"";"Data.mostreig";"Codi.EDAR";"Cabal..m3.ultimes.24h.";"LDt..CG.L.";"N1..CG.L.";"Poblacio.servida";"Positius.diagnosticats.municipis.servits..dia.mostreig.";"X.1.dia";"X.2.dies";"X.3.dies";"X.4.dies";"X.5.dies";"X.6.dies";"X.br."
"1";"2020-07-06";"DABR";29638;148,15;148,15;65160;0;0;0;1;0;1;4;"<br>"
"2";"2020-07-13";"DABR";24094;148,15;148,15;65160;1;1;3;0;3;3;1;"<br>"
"3";"2020-07-20";"DABR";23254;148,15;748,18;65160;6;2;2;1;0;3;6;"<br>"
"4";"2020-07-27";"DABR";17096;148,15;148,15;65160;5;2;1;8;10;9;7;"<br>"
"5";"2020-08-03";"DABR";22459;148,15;148,15;65160;8;4;4;7;4;9;16;"<br>"
"6";"2020-08-10";"DABR";17971;148,15;5337,84;65160;4;1;8;11;4;6;4;"<br>"
"7";"2020-08-17";"DABR";19749;148,15;3965,42;65160;6;2;8;6;11;3;12;"<br>"
"8";"2020-08-24";"DABR";17852;666,67;64649,96;65160;6;1;3;17;9;13;9;"<br>"
"9";"2020-08-31";"DABR";18536;666,67;169149,66;65160;8;0;2;3;3;17;12;"<br>"
"10";"2020-09-07";"DABR";21010;666,67;78142,82;65160;5;7;9;4;13;5;6;"<br>"
"11";"2020-09-14";"DABR";15754;666,67;35723,84;65160;3;1;1;2;6;5;8;"<br>"
"12";"2020-09-21";"DABR";18370;666,67;76757,41;65160;3;0;2;3;9;2;2;"<br>"
"13";"2020-09-28";"DABR";15541;833,33;63024,23;65160;10;6;2;3;3;2;4;"<br>"
"14";"2020-10-05";"DABR";15798;833,33;150341;65160;5;2;6;5;3;6;15;"<br>"
"15";"2020-10-12";"DABR";12562;666,67;317789,21;65160;5;2;6;11;9;11;8;"<br>"
"16";"2020-10-19";"DABR";15077;833,33;334929,37;65160;26;9;11;17;19;11;16;"<br>"
"17";"2020-10-26";"DABR";14373;666,67;1039576;65160;53;24;22;18;31;14;47;"<br>"
"18";"2020-11-02";"DABR";14702;833,33;4729494,58;65160;42;12;18;26;29;35;30;"<br>"
"19";"2020-11-09";"DABR";14727;833,33;74409,59;65160;4;2;10;27;24;35;24;"<br>"
"20";"2020-11-16";"DABR";16121;833,33;249805,66;65160;16;4;6;20;8;16;22;"<br>"
"21";"2020-11-23";"DABR";17007;833,33;689295,98;65160;24;4;5;12;14;18;17;"<br>"
"22";"2020-11-30";"DABR";15795;666,67;98888,24;65160;16;3;10;18;11;9;15;"<br>"
"23";"2020-12-08";"DABR";16502;833,33;390685,07;65160;3;11;7;4;12;20;14;"<br>"
"24";"2020-12-14";"DABR";15797;833,33;459258,59;65160;19;12;10;9;9;9;3;"<br>"
"25";"2020-12-21";"DABR";16654;833,33;1586039,63;65160;21;3;11;10;14;14;20;"<br>"
"26";"2020-12-28";"DABR";16371;833,33;407759,34;65160;34;8;9;13;14;25;21;"<br>"
"27";"2021-01-04";"DABR";15560;666,67;1241040,62;65160;43;19;13;15;37;50;56;"<br>"
"28";"2021-01-11";"DABR";19529;800;3527865,03;65160;37;17;18;34;34;19;41;"<br>"
"29";"2021-01-18";"DABR";18229;666,67;1364638,75;65160;40;11;27;31;26;44;35;"<br>"
"30";"2021-01-25";"DABR";16776;833,33;1026536,23;65160;29;5;19;29;27;21;31;"<br>"
"31";"2021-02-01";"DABR";16606;666,67;599956,77;65160;19;8;14;12;23;28;20;"<br>"
"32";"2021-02-08";"DABR";17869;666,67;708935,32;65160;20;11;5;20;24;14;31;"<br>"
"33";"2021-02-15";"DABR";15597;833,33;1269405,47;65160;21;7;12;17;14;22;26;"<br>"
"34";"2021-02-22";"DABR";30480;833,33;1858893,07;65160;19;7;4;11;10;20;27;"<br>"
"35";"2021-03-01";"DABR";14481;766,67;593587,64;65160;9;5;2;8;19;22;16;"<br>"
"36";"2021-03-08";"DABR";20563;833,33;380381,19;65160;3;9;5;7;12;8;4;"<br>"
"37";"2021-03-15";"DABR";16056;833,33;220717,06;65160;6;3;0;2;7;1;7;"<br>"
"38";"2021-03-22";"DABR";15838;1833,33;202557,63;65160;7;7;7;4;4;9;6;"<br>"
"39";"2021-03-29";"DABR";16424;666,67;313808,24;65160;7;7;6;9;9;17;12;"<br>"
"40";"2021-04-05";"DABR";13388;833,33;148675,04;65160;4;5;8;2;12;7;14;"<br>"
"41";"2021-04-12";"DABR";17887;833,33;131756,98;65160;13;6;7;16;11;21;17;"<br>"
"42";"2021-04-19";"DABR";16716;766,67;216971,77;65160;21;7;7;18;19;21;12;"<br>"
"43";"2021-04-26";"DABR";22050;766,67;522994,11;65160;31;21;15;22;13;29;18;"<br>"
"44";"2021-05-03";"DABR";17718;733,33;336992,82;65160;16;2;0;13;7;19;32;"<br>"
"45";"2021-05-10";"DABR";18150;833,33;36132,8;65160;7;9;1;10;11;7;17;"<br>"
"46";"2021-05-17";"DABR";15657;800;61208,85;65160;4;2;3;5;4;5;6;"<br>"
"47";"2021-05-24";"DABR";16590;833,33;129277,84;65160;13;4;3;3;3;8;2;"<br>"
"48";"2021-05-31";"DABR";16117;833,33;34976,22;65160;6;1;3;3;9;20;17;"<br>"
"49";"2021-06-07";"DABR";15333;766,67;106752,38;65160;10;2;8;7;9;8;9;"<br>"
"50";"2021-06-14";"DABR";16168;766,67;10722,82;65160;7;0;4;5;9;5;5;"<br>"
"51";"2021-06-21";"DABR";17173;866,67;9803,83;65160;2;2;3;1;2;1;4;"<br>"
"52";"2021-06-28";"DABR";16988;1800;152121,24;65160;19;4;6;2;2;3;3;"<br>"
"53";"2021-07-05";"DABR";17025;1333,33;271783,77;65160;46;14;16;23;25;23;21;"<br>"
"54";"2021-07-12";"DABR";17090;1466,67;463348,44;65160;36;17;37;51;60;74;46;"<br>"
"55";"2021-07-19";"DABR";16210;3333,33;354194,05;65160;49;31;25;37;46;39;56;"<br>"
"56";"2021-07-26";"DABR";15751;1466,67;203021;65160;50;23;25;63;38;46;53;"<br>"
"57";"2021-08-02";"DABR";13940;1333,33;178060,91;65160;39;15;12;27;28;35;39;"<br>"
"58";"2021-08-09";"DABR";13952;1400;292938,42;65160;28;10;13;19;14;15;31;"<br>"
"59";"2021-08-16";"DABR";13657;1600;230781,02;65160;17;6;13;14;7;19;28;"<br>"
"60";"2021-08-23";"DABR";15999;1533,33;71908,04;65160;8;1;6;6;9;19;7;"<br>"
"61";"2021-08-30";"DABR";14770;1600;113489,79;65160;5;3;7;7;12;6;9;"<br>"
"62";"2021-09-06";"DABR";15693;1866,67;29140,3;65160;5;4;1;5;7;6;4;"<br>"
"63";"2021-09-13";"DABR";15499;1533,33;31391,3;65160;4;2;1;3;1;2;5;"<br>"
"64";"2021-09-20";"DABR";15971;1533,33;90978,69;65160;2;1;1;5;7;6;3;"<br>"
"65";"2021-09-27";"DABR";15650;2000;26161,6;65160;0;0;0;5;5;4;2;"<br>"
"66";"2021-10-04";"DABR";19279;1666,67;84043,04;65160;1;2;1;2;3;4;3;"<br>"
"67";"2021-10-13";"DABR";15670;1600;16805,97;65160;2;3;3;2;1;3;0;"<br>"
"68";"2021-10-18";"DABR";16269;1800;23846,67;65160;3;1;1;2;3;2;3;"<br>"
"69";"2021-10-25";"DABR";14712;933,33;5768,19;65160;3;1;1;2;1;2;4;"<br>"
"70";"2021-11-02";"DABR";11149;1800;204595,41;65160;2;0;2;0;0;1;1;"<br>"
"71";"2021-11-08";"DABR";15211;1933,33;143916,94;65160;10;2;8;7;14;10;2;"<br>"
