"data","nous_casos_confirmats","m_3","m_7","m_14"
2020-03-01,13,13,13,13
2020-03-02,8,8,8,8
2020-03-03,15,12,15,15
2020-03-04,7,10,7,7
2020-03-05,19,13.6666666666667,19,19
2020-03-06,14,13.3333333333333,14,14
2020-03-07,17,16.6666666666667,13.2857142857143,17
2020-03-08,13,14.6666666666667,13.2857142857143,13
2020-03-09,101,43.6666666666667,26.5714285714286,101
2020-03-10,185,99.6666666666667,50.8571428571429,185
2020-03-11,213,166.333333333333,80.2857142857143,213
2020-03-12,373,257,130.857142857143,373
2020-03-13,575,387,211,575
2020-03-14,446,464.666666666667,272.285714285714,142.785714285714
2020-03-15,591,537.333333333333,354.857142857143,184.071428571429
2020-03-16,1391,809.333333333333,539.142857142857,282.857142857143
2020-03-17,1219,1067,686.857142857143,368.857142857143
2020-03-18,1441,1350.33333333333,862.285714285714,471.285714285714
2020-03-19,1580,1413.33333333333,1034.71428571429,582.785714285714
2020-03-20,1792,1604.33333333333,1208.57142857143,709.785714285714
2020-03-21,1155,1509,1309.85714285714,791.071428571429
2020-03-22,1052,1333,1375.71428571429,865.285714285714
2020-03-23,2437,1548,1525.14285714286,1032.14285714286
2020-03-24,2092,1860.33333333333,1649.85714285714,1168.35714285714
2020-03-25,2030,2186.33333333333,1734,1298.14285714286
2020-03-26,1999,2040.33333333333,1793.85714285714,1414.28571428571
2020-03-27,1780,1936.33333333333,1792.14285714286,1500.35714285714
2020-03-28,1238,1672.33333333333,1804,1556.92857142857
2020-03-29,1092,1370,1809.71428571429,1592.71428571429
2020-03-30,2167,1499,1771.14285714286,1648.14285714286
2020-03-31,1644,1634.33333333333,1707.14285714286,1678.5
2020-04-01,1822,1877.66666666667,1677.42857142857,1705.71428571429
2020-04-02,1570,1678.66666666667,1616.14285714286,1705
2020-04-03,1615,1669,1592.57142857143,1692.35714285714
2020-04-04,947,1377.33333333333,1551,1677.5
2020-04-05,700,1087.33333333333,1495,1652.35714285714
2020-04-06,1596,1081,1413.42857142857,1592.28571428571
2020-04-07,1409,1235,1379.85714285714,1543.5
2020-04-08,1556,1520.33333333333,1341.85714285714,1509.64285714286
2020-04-09,1663,1542.66666666667,1355.14285714286,1485.64285714286
2020-04-10,1289,1502.66666666667,1308.57142857143,1450.57142857143
2020-04-11,952,1301.33333333333,1309.28571428571,1430.14285714286
2020-04-12,620,953.666666666667,1297.85714285714,1396.42857142857
2020-04-13,1028,866.666666666667,1216.71428571429,1315.07142857143
2020-04-14,1425,1024.33333333333,1219,1299.42857142857
2020-04-15,1526,1326.33333333333,1214.71428571429,1278.28571428571
2020-04-16,1419,1456.66666666667,1179.85714285714,1267.5
2020-04-17,1912,1619,1268.85714285714,1288.71428571429
2020-04-18,916,1415.66666666667,1263.71428571429,1286.5
2020-04-19,529,1119,1250.71428571429,1274.28571428571
2020-04-20,1237,894,1280.57142857143,1248.64285714286
2020-04-21,1168,978,1243.85714285714,1231.42857142857
2020-04-22,1311,1238.66666666667,1213.14285714286,1213.92857142857
2020-04-23,994,1157.66666666667,1152.42857142857,1166.14285714286
2020-04-24,976,1093.66666666667,1018.71428571429,1143.78571428571
2020-04-25,552,840.666666666667,966.714285714286,1115.21428571429
2020-04-26,367,631.666666666667,943.571428571429,1097.14285714286
2020-04-27,669,529.333333333333,862.428571428571,1071.5
2020-04-28,685,573.666666666667,793.428571428571,1018.64285714286
2020-04-29,871,741.666666666667,730.571428571429,971.857142857143
2020-04-30,639,731.666666666667,679.857142857143,916.142857142857
2020-05-01,616,708.666666666667,628.428571428571,823.571428571429
2020-05-02,317,524,594.857142857143,780.785714285714
2020-05-03,147,360,563.428571428571,753.5
2020-05-04,539,334.333333333333,544.857142857143,703.642857142857
2020-05-05,685,457,544.857142857143,669.142857142857
2020-05-06,802,675.333333333333,535,632.785714285714
2020-05-07,494,660.333333333333,514.285714285714,597.071428571429
2020-05-08,452,582.666666666667,490.857142857143,559.642857142857
2020-05-09,317,421,490.857142857143,542.857142857143
2020-05-10,177,315.333333333333,495.142857142857,529.285714285714
2020-05-11,369,287.666666666667,470.857142857143,507.857142857143
2020-05-12,443,329.666666666667,436.285714285714,490.571428571429
2020-05-13,451,421,386.142857142857,460.571428571429
2020-05-14,426,440,376.428571428571,445.357142857143
2020-05-15,357,411.333333333333,362.857142857143,426.857142857143
2020-05-16,249,344,353.142857142857,422
2020-05-17,89,231.666666666667,340.571428571429,417.857142857143
2020-05-18,351,229.666666666667,338,404.428571428571
2020-05-19,418,286,334.428571428571,385.357142857143
2020-05-20,400,389.666666666667,327.142857142857,356.642857142857
2020-05-21,566,461.333333333333,347.142857142857,361.785714285714
2020-05-22,508,491.333333333333,368.714285714286,365.785714285714
2020-05-23,130,401.333333333333,351.714285714286,352.428571428571
2020-05-24,263,300.333333333333,376.571428571429,358.571428571429
2020-05-25,341,244.666666666667,375.142857142857,356.571428571429
2020-05-26,495,366.333333333333,386.142857142857,360.285714285714
2020-05-27,816,550.666666666667,445.571428571429,386.357142857143
2020-05-28,777,696,475.714285714286,411.428571428571
2020-05-29,400,664.333333333333,460.285714285714,414.5
2020-05-30,269,482,480.142857142857,415.928571428571
2020-05-31,106,258.333333333333,457.714285714286,417.142857142857
2020-06-01,127,167.333333333333,427.142857142857,401.142857142857
2020-06-02,241,158,390.857142857143,388.5
2020-06-03,316,228,319.428571428571,382.5
2020-06-04,310,289,252.714285714286,364.214285714286
2020-06-05,360,328.666666666667,247,353.642857142857
2020-06-06,226,298.666666666667,240.857142857143,360.5
2020-06-07,103,229.666666666667,240.428571428571,349.071428571429
2020-06-08,245,191.333333333333,257.285714285714,342.214285714286
2020-06-09,231,193,255.857142857143,323.357142857143
2020-06-10,314,263.333333333333,255.571428571429,287.5
2020-06-11,290,278.333333333333,252.714285714286,252.714285714286
2020-06-12,274,292.666666666667,240.428571428571,243.714285714286
2020-06-13,176,246.666666666667,233.285714285714,237.071428571429
2020-06-14,76,175.333333333333,229.428571428571,234.928571428571
2020-06-15,186,146,221,239.142857142857
2020-06-16,249,170.333333333333,223.571428571429,239.714285714286
2020-06-17,225,220,210.857142857143,233.214285714286
2020-06-18,246,240,204.571428571429,228.642857142857
2020-06-19,205,225.333333333333,194.714285714286,217.571428571429
2020-06-20,152,201,191.285714285714,212.285714285714
2020-06-21,75,144,191.142857142857,210.285714285714
2020-06-22,162,129.666666666667,187.714285714286,204.357142857143
2020-06-23,238,158.333333333333,186.142857142857,204.857142857143
2020-06-24,121,173.666666666667,171.285714285714,191.071428571429
2020-06-25,265,208,174,189.285714285714
2020-06-26,341,242.333333333333,193.428571428571,194.071428571429
2020-06-27,165,257,195.285714285714,193.285714285714
2020-06-28,103,203,199.285714285714,195.214285714286
2020-06-29,263,177,213.714285714286,200.714285714286
2020-06-30,381,249,234.142857142857,210.142857142857
2020-07-01,504,382.666666666667,288.857142857143,230.071428571429
2020-07-02,439,441.333333333333,313.714285714286,243.857142857143
2020-07-03,484,475.666666666667,334.142857142857,263.785714285714
2020-07-04,243,388.666666666667,345.285714285714,270.285714285714
2020-07-05,170,299,354.857142857143,277.071428571429
2020-07-06,512,308.333333333333,390.428571428571,302.071428571429
2020-07-07,687,456.333333333333,434.142857142857,334.142857142857
2020-07-08,826,675,480.142857142857,384.5
2020-07-09,856,789.666666666667,539.714285714286,426.714285714286
2020-07-10,906,862.666666666667,600,467.071428571429
2020-07-11,444,735.333333333333,628.714285714286,487
2020-07-12,276,542,643.857142857143,499.357142857143
2020-07-13,1218,646,744.714285714286,567.571428571429
2020-07-14,1299,931,832.142857142857,633.142857142857
2020-07-15,1582,1366.33333333333,940.142857142857,710.142857142857
2020-07-16,1514,1465,1034.14285714286,786.928571428571
2020-07-17,1596,1564,1132.71428571429,866.357142857143
2020-07-18,738,1282.66666666667,1174.71428571429,901.714285714286
2020-07-19,460,931.333333333333,1201,922.428571428571
2020-07-20,1648,948.666666666667,1262.42857142857,1003.57142857143
2020-07-21,1637,1248.33333333333,1310.71428571429,1071.42857142857
2020-07-22,1609,1631.33333333333,1314.57142857143,1127.35714285714
2020-07-23,1648,1631.33333333333,1333.71428571429,1183.92857142857
2020-07-24,1539,1598.66666666667,1325.57142857143,1229.14285714286
2020-07-25,645,1277.33333333333,1312.28571428571,1243.5
2020-07-26,446,876.666666666667,1310.28571428571,1255.64285714286
2020-07-27,1505,865.333333333333,1289.85714285714,1276.14285714286
2020-07-28,1588,1179.66666666667,1282.85714285714,1296.78571428571
2020-07-29,1579,1557.33333333333,1278.57142857143,1296.57142857143
2020-07-30,1455,1540.66666666667,1251,1292.35714285714
2020-07-31,1479,1504.33333333333,1242.42857142857,1284
2020-08-01,619,1184.33333333333,1238.71428571429,1275.5
2020-08-02,395,831,1231.42857142857,1270.85714285714
2020-08-03,1364,792.666666666667,1211.28571428571,1250.57142857143
2020-08-04,1356,1038.33333333333,1178.14285714286,1230.5
2020-08-05,1306,1342,1139.14285714286,1208.85714285714
2020-08-06,1261,1307.66666666667,1111.42857142857,1181.21428571429
2020-08-07,1393,1320,1099.14285714286,1170.78571428571
2020-08-08,642,1098.66666666667,1102.42857142857,1170.57142857143
2020-08-09,486,840.333333333333,1115.42857142857,1173.42857142857
2020-08-10,1358,828.666666666667,1114.57142857143,1162.92857142857
2020-08-11,1336,1060,1111.71428571429,1144.92857142857
2020-08-12,1282,1325.33333333333,1108.28571428571,1123.71428571429
2020-08-13,1405,1341,1128.85714285714,1120.14285714286
2020-08-14,1397,1361.33333333333,1129.42857142857,1114.28571428571
2020-08-15,667,1156.33333333333,1133,1117.71428571429
2020-08-16,521,861.666666666667,1138,1126.71428571429
2020-08-17,1384,857.333333333333,1141.71428571429,1128.14285714286
2020-08-18,1490,1131.66666666667,1163.71428571429,1137.71428571429
2020-08-19,1518,1464,1197.42857142857,1152.85714285714
