"";"cell_time";"cell_values"
"1";75;0,0139
"2";75,1;0,02641
"3";75,2;0,037669
"4";75,3;0,047802
"5";75,4;0,056922
"6";75,5;0,06513
"7";75,6;0,072517
"8";75,7;0,079165
"9";75,8;0,085149
"10";75,9;0,090534
"11";76;0,081481
"12";76,1;0,073333
"13";76,2;0,066
"14";76,3;0,0594
"15";76,4;0,05346
"16";76,5;0,048114
"17";76,6;0,043303
"18";76,7;0,038973
"19";76,8;0,035075
"20";76,9;0,031568
"21";77;0,028411
"22";77,1;0,02557
"23";77,2;0,023013
"24";77,3;0,020712
"25";77,4;0,018641
"26";77,5;0,016777
"27";77,6;0,015099
"28";77,7;0,013589
"29";77,8;0,01223
"30";77,9;0,011007
"31";78;0,009906
"32";78,1;0,008915
"33";78,2;0,008023
"34";78,3;0,007221
"35";78,4;0,006499
"36";78,5;0,005849
"37";78,6;0,005264
"38";78,7;0,004738
"39";78,8;0,004265
"40";78,9;0,003838
"41";79;0,003454
"42";79,1;0,003109
"43";79,2;0,002798
"44";79,3;0,002518
"45";79,4;0,002266
"46";79,5;0,002039
"47";79,6;0,001835
"48";79,7;0,001651
"49";79,8;0,001485
"50";79,9;0,001337
"51";80;0,001204
"52";80,1;0,001083
"53";80,2;0,001144
"54";80,3;0,001516
"55";80,4;0,002299
"56";80,5;0,003566
"57";80,6;0,005368
"58";80,7;0,007738
"59";80,8;0,010695
"60";80,9;0,014242
"61";81;0,018377
"62";81,1;0,023088
"63";81,2;0,028187
"64";81,3;0,033519
"65";81,4;0,038956
"66";81,5;0,044396
"67";81,6;0,049755
"68";81,7;0,054967
"69";81,8;0,05998
"70";81,9;0,064756
"71";82;0,069264
"72";82,1;0,073486
"73";82,2;0,077407
"74";82,3;0,081022
"75";82,4;0,084328
"76";82,5;0,087327
"77";82,6;0,090024
"78";82,7;0,092426
"79";82,8;0,094543
"80";82,9;0,096386
"81";83;0,097968
"82";83,1;0,099301
"83";83,2;0,100399
"84";83,3;0,101274
"85";83,4;0,101941
"86";83,5;0,102413
"87";83,6;0,102703
"88";83,7;0,102825
"89";83,8;0,102791
"90";83,9;0,102613
"91";84;0,102303
"92";84,1;0,101871
"93";84,2;0,101328
"94";84,3;0,100685
"95";84,4;0,099951
"96";84,5;0,099134
"97";84,6;0,098243
"98";84,7;0,097285
"99";84,8;0,096267
"100";84,9;0,095197
"101";85;0,094081
"102";85,1;0,092925
"103";85,2;0,091734
"104";85,3;0,090513
"105";85,4;0,089269
"106";85,5;0,088011
"107";85,6;0,086754
"108";85,7;0,085515
"109";85,8;0,084317
"110";85,9;0,083186
"111";86;0,082151
"112";86,1;0,081247
"113";86,2;0,080511
"114";86,3;0,079981
"115";86,4;0,079696
"116";86,5;0,079693
"117";86,6;0,080004
"118";86,7;0,080658
"119";86,8;0,081678
"120";86,9;0,083082
"121";87;0,084884
"122";87,1;0,08709
"123";87,2;0,089703
"124";87,3;0,092721
"125";87,4;0,096138
"126";87,5;0,099944
"127";87,6;0,104126
"128";87,7;0,108667
"129";87,8;0,113549
"130";87,9;0,118751
"131";88;0,12425
"132";88,1;0,130023
"133";88,2;0,136045
"134";88,3;0,142291
"135";88,4;0,148735
"136";88,5;0,155352
"137";88,6;0,162116
