"";"cell_time";"cell_values"
"1";45;0,0139
"2";45,1;0,02641
"3";45,2;0,037669
"4";45,3;0,047802
"5";45,4;0,056922
"6";45,5;0,06513
"7";45,6;0,072517
"8";45,7;0,079165
"9";45,8;0,085149
"10";45,9;0,090534
"11";46;0,081481
"12";46,1;0,073333
"13";46,2;0,066
"14";46,3;0,0594
"15";46,4;0,05346
"16";46,5;0,048114
"17";46,6;0,043303
"18";46,7;0,038973
"19";46,8;0,035075
"20";46,9;0,031568
"21";47;0,028411
"22";47,1;0,02557
"23";47,2;0,023013
"24";47,3;0,020712
"25";47,4;0,018641
"26";47,5;0,016777
"27";47,6;0,015099
"28";47,7;0,013589
"29";47,8;0,01223
"30";47,9;0,011007
"31";48;0,009906
"32";48,1;0,008915
"33";48,2;0,008023
"34";48,3;0,007221
"35";48,4;0,006499
"36";48,5;0,005849
"37";48,6;0,005264
"38";48,7;0,004738
"39";48,8;0,004265
"40";48,9;0,003838
"41";49;0,003454
"42";49,1;0,003109
"43";49,2;0,002798
"44";49,3;0,002518
"45";49,4;0,002266
"46";49,5;0,002039
"47";49,6;0,001835
"48";49,7;0,001651
"49";49,8;0,001485
"50";49,9;0,001337
"51";50;0,001204
"52";50,1;0,001252
"53";50,2;0,001614
"54";50,3;0,002387
"55";50,4;0,003645
"56";50,5;0,005439
"57";50,6;0,007802
"58";50,7;0,010752
"59";50,8;0,014295
"60";50,9;0,018425
"61";51;0,023131
"62";51,1;0,028226
"63";51,2;0,033554
"64";51,3;0,038988
"65";51,4;0,044425
"66";51,5;0,049782
"67";51,6;0,054991
"68";51,7;0,060002
"69";51,8;0,064775
"70";51,9;0,069281
"71";52;0,073501
"72";52,1;0,077421
"73";52,2;0,081034
"74";52,3;0,084339
"75";52,4;0,087336
"76";52,5;0,090031
"77";52,6;0,092433
"78";52,7;0,094549
"79";52,8;0,096392
"80";52,9;0,097974
"81";53;0,099306
"82";53,1;0,100403
"83";53,2;0,101279
"84";53,3;0,101946
"85";53,4;0,102418
"86";53,5;0,102709
"87";53,6;0,102831
"88";53,7;0,102797
"89";53,8;0,102618
"90";53,9;0,102307
"91";54;0,101875
"92";54,1;0,101333
"93";54,2;0,100689
"94";54,3;0,099954
"95";54,4;0,099137
"96";54,5;0,098245
"97";54,6;0,097286
"98";54,7;0,096269
"99";54,8;0,0952
"100";54,9;0,094084
"101";55;0,092928
"102";55,1;0,091737
"103";55,2;0,090518
"104";55,3;0,089281
"105";55,4;0,088041
"106";55,5;0,086815
"107";55,6;0,085627
"108";55,7;0,084502
"109";55,8;0,083471
"110";55,9;0,082569
"111";56;0,081832
"112";56,1;0,081299
"113";56,2;0,08101
"114";56,3;0,081001
"115";56,4;0,081304
"116";56,5;0,081949
"117";56,6;0,082959
