"";"cell_time";"cell_values"
"1";40;0,1
"2";40,1;0,19
"3";40,2;0,271
"4";40,3;0,3439
"5";40,4;0,40951
"6";40,5;0,468559
"7";40,6;0,521703
"8";40,7;0,569533
"9";40,8;0,61258
"10";40,9;0,651322
"11";41;0,58619
"12";41,1;0,527571
"13";41,2;0,474814
"14";41,3;0,427333
"15";41,4;0,3846
"16";41,5;0,34614
"17";41,6;0,311526
"18";41,7;0,280373
"19";41,8;0,252335
"20";41,9;0,227102
"21";42;0,204392
"22";42,1;0,183953
"23";42,2;0,165558
"24";42,3;0,149002
"25";42,4;0,134102
"26";42,5;0,120692
"27";42,6;0,108623
"28";42,7;0,097761
"29";42,8;0,087985
"30";42,9;0,079186
"31";43;0,071267
"32";43,1;0,06414
"33";43,2;0,057726
"34";43,3;0,051953
"35";43,4;0,046757
"36";43,5;0,042081
"37";43,6;0,037873
"38";43,7;0,034086
"39";43,8;0,030678
"40";43,9;0,02761
"41";44;0,024849
"42";44,1;0,022364
"43";44,2;0,020127
"44";44,3;0,018115
"45";44,4;0,016304
"46";44,5;0,014674
"47";44,6;0,013206
"48";44,7;0,011885
"49";44,8;0,010696
"50";44,9;0,009627
"51";45;0,008664
"52";45,1;0,009013
"53";45,2;0,011612
"54";45,3;0,017173
"55";45,4;0,026223
"56";45,5;0,039129
"57";45,6;0,056129
"58";45,7;0,07735
"59";45,8;0,102833
"60";45,9;0,132547
"61";46;0,166405
"62";46,1;0,203058
"63";46,2;0,241391
"64";46,3;0,280488
"65";46,4;0,319603
"66";46,5;0,358137
"67";46,6;0,395613
"68";46,7;0,431662
"69";46,8;0,466001
"70";46,9;0,498422
"71";47;0,528781
"72";47,1;0,556984
"73";47,2;0,58298
"74";47,3;0,606755
"75";47,4;0,628321
"76";47,5;0,647715
"77";47,6;0,664992
"78";47,7;0,68022
"79";47,8;0,693479
"80";47,9;0,704856
"81";48;0,714442
"82";48,1;0,722334
"83";48,2;0,72863
"84";48,3;0,733427
"85";48,4;0,736823
"86";48,5;0,738913
"87";48,6;0,73979
"88";48,7;0,739544
"89";48,8;0,738262
"90";48,9;0,736027
"91";49;0,73292
"92";49,1;0,729016
"93";49,2;0,724385
"94";49,3;0,719097
"95";49,4;0,713215
"96";49,5;0,706799
"97";49,6;0,699905
"98";49,7;0,692584
"99";49,8;0,684887
"100";49,9;0,676859
"101";50;0,668541
"102";50,1;0,659972
"103";50,2;0,651205
"104";50,3;0,64231
"105";50,4;0,633389
"106";50,5;0,624572
"107";50,6;0,616022
"108";50,7;0,607932
"109";50,8;0,60052
"110";50,9;0,594031
"111";51;0,58873
"112";51,1;0,5849
"113";51,2;0,582819
"114";51,3;0,582752
"115";51,4;0,584935
"116";51,5;0,589575
"117";51,6;0,59684
"118";51,7;0,606861
"119";51,8;0,619732
"120";51,9;0,635507
"121";52;0,654207
"122";52,1;0,675817
"123";52,2;0,700295
"124";52,3;0,727568
"125";52,4;0,757541
"126";52,5;0,790097
"127";52,6;0,825103
"128";52,7;0,862409
"129";52,8;0,901853
"130";52,9;0,943267
"131";53;0,986473
"132";53,1;1,03129
"133";53,2;1,077533
"134";53,3;1,125019
"135";53,4;1,173565
"136";53,5;1,222989
"137";53,6;1,273113
"138";53,7;1,323767
"139";53,8;1,374784
"140";53,9;1,426002
"141";54;1,477269
"142";54,1;1,528438
"143";54,2;1,579371
"144";54,3;1,629938
"145";54,4;1,680016
"146";54,5;1,729492
"147";54,6;1,778261
"148";54,7;1,826223
"149";54,8;1,873289
"150";54,9;1,919378
"151";55;1,964414
"152";55,1;2,008332
"153";55,2;2,051071
"154";55,3;2,092578
"155";55,4;2,132808
"156";55,5;2,171722
"157";55,6;2,20929
"158";55,7;2,245493
"159";55,8;2,28032
"160";55,9;2,313774
"161";56;2,345872
"162";56,1;2,376644
"163";56,2;2,40614
"164";56,3;2,434425
"165";56,4;2,461585
"166";56,5;2,487726
"167";56,6;2,512971
"168";56,7;2,537464
"169";56,8;2,561367
"170";56,9;2,584858
"171";57;2,608129
"172";57,1;2,631388
"173";57,2;2,654852
"174";57,3;2,678748
"175";57,4;2,703308
"176";57,5;2,728768
"177";57,6;2,755368
"178";57,7;2,783345
"179";57,8;2,812934
"180";57,9;2,844365
"181";58;2,877862
"182";58,1;2,913638
"183";58,2;2,951897
"184";58,3;2,992831
"185";58,4;3,036621
"186";58,5;3,083432
"187";58,6;3,133414
"188";58,7;3,186702
"189";58,8;3,243415
"190";58,9;3,303655
"191";59;3,367508
"192";59,1;3,435043
"193";59,2;3,506312
"194";59,3;3,581352
"195";59,4;3,660181
"196";59,5;3,742804
"197";59,6;3,829208
"198";59,7;3,919367
"199";59,8;4,013241
"200";59,9;4,110775
"201";60;4,211903
"202";60,1;4,316546
"203";60,2;4,424613
"204";60,3;4,536003
"205";60,4;4,650606
"206";60,5;4,768302
"207";60,6;4,888964
"208";60,7;5,012458
"209";60,8;5,138641
"210";60,9;5,267368
"211";61;5,398487
"212";61,1;5,531844
"213";61,2;5,667282
"214";61,3;5,804644
"215";61,4;5,943771
"216";61,5;6,084506
"217";61,6;6,226696
"218";61,7;6,370191
"219";61,8;6,514849
"220";61,9;6,660533
"221";62;6,807116
"222";62,1;6,954481
"223";62,2;7,102525
"224";62,3;7,251156
"225";62,4;7,400298
"226";62,5;7,549891
"227";62,6;7,699892
"228";62,7;7,850276
"229";62,8;8,001037
"230";62,9;8,152189
"231";63;8,303765
"232";63,1;8,455819
"233";63,2;8,608425
"234";63,3;8,761677
"235";63,4;8,915691
"236";63,5;9,0706
"237";63,6;9,226559
"238";63,7;9,383738
"239";63,8;9,542327
"240";63,9;9,702531
"241";64;9,864572
"242";64,1;10,028684
"243";64,2;10,195116
"244";64,3;10,364127
"245";64,4;10,535986
"246";64,5;10,710972
"247";64,6;10,889369
"248";64,7;11,071469
"249";64,8;11,257566
"250";64,9;11,447957
"251";65;11,642939
"252";65,1;11,837103
"253";65,2;12,031282
"254";65,3;12,226251
"255";65,4;12,422728
"256";65,5;12,621379
"257";65,6;12,822821
"258";65,7;13,027627
"259";65,8;13,236326
"260";65,9;13,449409
"261";66;13,667328
"262";66,1;13,896206
"263";66,2;14,135886
"264";66,3;14,386234
"265";66,4;14,647135
"266";66,5;14,918493
"267";66,6;15,200222
"268";66,7;15,492243
"269";66,8;15,794487
"270";66,9;16,106886
"271";67;16,429375
"272";67,1;16,761889
"273";67,2;17,104361
"274";67,3;17,456721
"275";67,4;17,818898
"276";67,5;18,190814
"277";67,6;18,572388
"278";67,7;18,963537
"279";67,8;19,36417
"280";67,9;19,774195
"281";68;20,193515
"282";68,1;20,622031
"283";68,2;21,059643
"284";68,3;21,506251
"285";68,4;21,961753
"286";68,5;22,426052
"287";68,6;22,899053
"288";68,7;23,380664
"289";68,8;23,870802
"290";68,9;24,36939
"291";69;24,876361
"292";69,1;25,391659
"293";69,2;25,915238
"294";69,3;26,447069
"295";69,4;26,987138
"296";69,5;27,535445
"297";69,6;28,092009
"298";69,7;28,656871
"299";69,8;29,230089
"300";69,9;29,811742
"301";70;30,401933
"302";70,1;31,000788
"303";70,2;31,608458
"304";70,3;32,225045
"305";70,4;32,850623
"306";70,5;33,485248
"307";70,6;34,128973
"308";70,7;34,781848
"309";70,8;35,443937
"310";70,9;36,115317
"311";71;36,796085
"312";71,1;37,48636
"313";71,2;38,186287
"314";71,3;38,896109
"315";71,4;39,616152
"316";71,5;40,346811
"317";71,6;41,088542
"318";71,7;41,841853
"319";71,8;42,607293
"320";71,9;43,385449
"321";72;44,176936
"322";72,1;44,982394
"323";72,2;45,802482
"324";72,3;46,637874
"325";72,4;47,489254
"326";72,5;48,357316
"327";72,6;49,242754
"328";72,7;50,146266
"329";72,8;51,068549
"330";72,9;52,010296
"331";73;52,972196
"332";73,1;53,954928
"333";73,2;54,959164
"334";73,3;55,985564
"335";73,4;57,034778
"336";73,5;58,107441
"337";73,6;59,204176
"338";73,7;60,325591
"339";73,8;61,472277
"340";73,9;62,644811
"341";74;63,843753
"342";74,1;65,069647
"343";74,2;66,32302
"344";74,3;67,604385
"345";74,4;68,914236
"346";74,5;70,253055
"347";74,6;71,621308
"348";74,7;73,019446
"349";74,8;74,447909
"350";74,9;75,907126
"351";75;77,397512
"352";75,1;78,919476
"353";75,2;80,47342
"354";75,3;82,059736
"355";75,4;83,678816
"356";75,5;85,331046
"357";75,6;87,016811
"358";75,7;88,736493
"359";75,8;90,490472
"360";75,9;92,279123
"361";76;94,102823
"362";76,1;95,961946
"363";76,2;97,856863
"364";76,3;99,787947
"365";76,4;101,755571
"366";76,5;103,760113
"367";76,6;105,801954
"368";76,7;107,881487
"369";76,8;109,999116
"370";76,9;112,155262
"371";77;114,350366
"372";77,1;116,584895
"373";77,2;118,859343
"374";77,3;121,174237
"375";77,4;123,530138
"376";77,5;125,927642
"377";77,6;128,367389
"378";77,7;130,850059
"379";77,8;133,376378
"380";77,9;135,947119
"381";78;138,563104
"382";78,1;141,225202
"383";78,2;143,934332
"384";78,3;146,691463
"385";78,4;149,497615
"386";78,5;152,35386
"387";78,6;155,26132
"388";78,7;158,221168
"389";78,8;161,234624
"390";78,9;164,302959
"391";79;167,427487
"392";79,1;170,609573
"393";79,2;173,850625
"394";79,3;177,152096
"395";79,4;180,515477
"396";79,5;183,942301
"397";79,6;187,434138
"398";79,7;190,992594
"399";79,8;194,619313
"400";79,9;198,315966
"401";80;202,08426
"402";80,1;205,925927
"403";80,2;209,842728
"404";80,3;213,836449
"405";80,4;217,9089
"406";80,5;222,061915
"407";80,6;226,297346
"408";80,7;230,617064
"409";80,8;235,022958
"410";80,9;239,516934
"411";81;244,100914
"412";81,1;248,776833
"413";81,2;253,546639
"414";81,3;258,412293
"415";81,4;263,375767
"416";81,5;268,439041
"417";81,6;273,604107
"418";81,7;278,87297
"419";81,8;284,247639
"420";81,9;289,730131
"421";82;295,322477
"422";82,1;301,02671
"423";82,2;306,844874
"424";82,3;312,779026
"425";82,4;318,831229
"426";82,5;325,003561
"427";82,6;331,298111
"428";82,7;337,716977
"429";82,8;344,262274
"430";82,9;350,936142
"431";83;357,740729
"432";83,1;364,67822
"433";83,2;371,750822
"434";83,3;378,960761
"435";83,4;386,310307
"436";83,5;393,801759
"437";83,6;401,437455
"438";83,7;409,219779
"439";83,8;417,151163
"440";83,9;425,234086
"441";84;433,471085
"442";84,1;441,864752
"443";84,2;450,417742
"444";84,3;459,132778
"445";84,4;468,012648
"446";84,5;477,060219
"447";84,6;486,278435
"448";84,7;495,670317
"449";84,8;505,238973
"450";84,9;514,987596
"451";85;524,919472
"452";85,1;535,037978
"453";85,2;545,346581
"454";85,3;555,848861
"455";85,4;566,548492
"456";85,5;577,449249
"457";85,6;588,555023
"458";85,7;599,869806
"459";85,8;611,397705
"460";85,9;623,142932
"461";86;635,109808
"462";86,1;647,302771
"463";86,2;659,726386
"464";86,3;672,385315
"465";86,4;685,284344
"466";86,5;698,428381
"467";86,6;711,822436
"468";86,7;725,471642
"469";86,8;739,381249
"470";86,9;753,556628
"471";87;768,003265
"472";87,1;782,726763
"473";87,2;797,732836
"474";87,3;813,027319
"475";87,4;828,616156
"476";87,5;844,505401
"477";87,6;860,701233
"478";87,7;877,209943
"479";87,8;894,037921
"480";87,9;911,191674
"481";88;928,677825
"482";88,1;946,5031
"483";88,2;964,674334
"484";88,3;983,198479
"485";88,4;1002,082592
"486";88,5;1021,333838
"487";88,6;1040,959479
"488";88,7;1060,966895
"489";88,8;1081,363587
"490";88,9;1102,15716
"491";89;1123,355335
"492";89,1;1144,965931
"493";89,2;1166,996888
"494";89,3;1189,456251
"495";89,4;1212,352198
"496";89,5;1235,693018
"497";89,6;1259,487134
"498";89,7;1283,743091
"499";89,8;1308,469556
"500";89,9;1333,67533
"501";90;1359,369349
"502";90,1;1385,560694
"503";90,2;1412,258594
"504";90,3;1439,472437
"505";90,4;1467,211756
"506";90,5;1495,486256
"507";90,6;1524,305787
"508";90,7;1553,680396
"509";90,8;1583,620289
"510";90,9;1614,135865
"511";91;1645,237708
"512";91,1;1676,936609
"513";91,2;1709,243567
"514";91,3;1742,169788
"515";91,4;1775,726685
