"";"time";"values"
"1";0;861753
"2";0,1;861752,88
"3";0,2;861752,879718
"4";0,3;861752,879164
"5";0,4;861752,878348
"6";0,5;861752,877279
"7";0,6;861752,875965
"8";0,7;861752,874413
"9";0,8;861752,872629
"10";0,9;861752,870619
"11";1;861752,868388
"12";1,1;861752,865941
"13";1,2;861752,863281
"14";1,3;861752,860412
"15";1,4;861752,857336
"16";1,5;861752,854055
"17";1,6;861752,850571
"18";1,7;861752,846885
"19";1,8;861752,842998
"20";1,9;861752,838911
"21";2;861752,834623
"22";2,1;861752,830134
"23";2,2;861752,825443
"24";2,3;861752,820549
"25";2,4;861752,815451
"26";2,5;861752,810146
"27";2,6;861752,804633
"28";2,7;861752,798909
"29";2,8;861752,792971
"30";2,9;861752,786816
"31";3;861752,780441
"32";3,1;861752,773841
"33";3,2;861752,767013
"34";3,3;861752,759953
"35";3,4;861752,752656
"36";3,5;861752,745117
"37";3,6;861752,737331
"38";3,7;861752,729293
"39";3,8;861752,720997
"40";3,9;861752,712436
"41";4;861752,703605
"42";4,1;861752,694497
"43";4,2;861752,685106
"44";4,3;861752,675424
"45";4,4;861752,665444
"46";4,5;861752,655158
"47";4,6;861752,644558
"48";4,7;861752,633636
"49";4,8;861752,622383
"50";4,9;861752,610791
"51";5;861752,59885
"52";5,1;861752,586551
"53";5,2;861752,573884
"54";5,3;861752,560839
"55";5,4;861752,547405
"56";5,5;861752,533572
"57";5,6;861752,519328
"58";5,7;861752,504662
"59";5,8;861752,489561
"60";5,9;861752,474014
"61";6;861752,458008
"62";6,1;861752,44153
"63";6,2;861752,424566
"64";6,3;861752,407103
"65";6,4;861752,389126
"66";6,5;861752,37062
"67";6,6;861752,351571
"68";6,7;861752,331962
"69";6,8;861752,311778
"70";6,9;861752,291001
"71";7;861752,269615
"72";7,1;861752,247602
"73";7,2;861752,224945
"74";7,3;861752,201624
"75";7,4;861752,17762
"76";7,5;861752,152913
"77";7,6;861752,127483
"78";7,7;861752,101309
"79";7,8;861752,07437
"80";7,9;861752,046642
"81";8;861752,018104
"82";8,1;861751,988731
"83";8,2;861751,958499
"84";8,3;861751,927383
"85";8,4;861751,895358
"86";8,5;861751,862397
"87";8,6;861751,828472
"88";8,7;861751,793556
"89";8,8;861751,75762
"90";8,9;861751,720634
"91";9;861751,682567
"92";9,1;861751,643388
"93";9,2;861751,603064
"94";9,3;861751,561562
"95";9,4;861751,518848
"96";9,5;861751,474886
