"data","nous_casos_confirmats","model1.7"
2020-02-27,1,12.6291408675605
2020-02-28,2,25.2383937892599
2020-03-02,1,47.2093405570193
2020-03-03,6,55.8840051960391
2020-03-04,2,54.4448420827015
2020-03-06,1,52.8966622467019
2020-03-09,4,61.106335993677
2020-03-10,26,88.8951544267046
2020-03-11,7,124.627795057283
2020-03-12,15,143.817232827567
2020-03-13,24,158.011341098803
2020-03-14,39,178.687619071154
2020-03-15,48,217.323565944784
2020-03-16,24,283.983238015786
2020-03-17,49,355.276387304355
2020-03-18,75,416.272057605633
2020-03-19,146,482.683813096185
2020-03-20,97,570.014167316876
2020-03-21,84,693.765633808565
2020-03-22,124,863.433023387705
2020-03-23,61,1041.16794797592
2020-03-24,176,1246.69681573245
2020-03-25,143,1498.8991676119
2020-03-26,267,1835.62748464765
2020-03-27,134,2226.5940019489
2020-03-28,157,2425.84425155283
2020-03-29,200,2346.91966307412
2020-03-30,159,2069.15832867601
2020-03-31,205,1917.17921659812
2020-04-01,145,1787.41458495432
2020-04-02,140,1685.56450201067
2020-04-03,124,1620.23655590796
2020-04-04,115,1560.74969342443
2020-04-05,91,1499.10455258186
2020-04-06,108,1442.23813979098
2020-04-07,163,1393.0910572363
2020-04-08,165,1353.14440350779
2020-04-09,185,1313.35924204157
2020-04-10,123,1272.18425863182
2020-04-11,69,1231.38372847758
2020-04-12,67,1192.43810676039
2020-04-13,93,1156.82784866181
2020-04-14,81,1126.02499672982
2020-04-15,125,1097.25431629438
2020-04-16,223,1066.2409512692
2020-04-17,175,1034.46339546773
2020-04-18,173,1002.63663833428
2020-04-19,45,971.475669313106
2020-04-20,77,941.695477848501
2020-04-21,168,914.011053384747
2020-04-22,140,889.137385366113
2020-04-23,82,867.893587280989
2020-04-24,98,849.676611821669
2020-04-25,62,828.057358924969
2020-04-26,8,802.952004628911
2020-04-27,31,775.655015204735
2020-04-28,58,747.460856923732
2020-04-29,43,719.663996057156
2020-04-30,47,693.558898876297
2020-05-01,26,670.440031652375
2020-05-02,6,651.601860656738
2020-05-03,5,638.338852160581
2020-05-04,66,631.945472435225
2020-05-05,39,624.919360429449
2020-05-06,73,607.549921691891
2020-05-07,28,585.74874029147
2020-05-08,29,561.952862441693
2020-05-09,9,538.598339028445
2020-05-10,4,518.121220937486
2020-05-11,25,502.957559054681
2020-05-12,14,495.543404265787
2020-05-13,19,491.680270097662
2020-05-14,34,478.648271662678
2020-05-15,21,462.689099982221
2020-05-16,5,445.426939211902
2020-05-17,1,428.298866299323
2020-05-18,19,412.741958192164
2020-05-19,27,400.193291838041
2020-05-20,25,392.089944184583
2020-05-21,38,388.146245897486
2020-05-22,26,380.424577623737
2020-05-23,11,368.968498053859
2020-05-24,5,355.238304930885
2020-05-25,24,340.520559535551
2020-05-26,39,326.101823148638
2020-05-27,55,313.268657050779
2020-05-28,22,303.3076225228
2020-05-29,25,297.505280845333
2020-05-30,9,297.145043476819
2020-06-01,10,299.479661284509
2020-06-02,35,294.865231920005
2020-06-03,31,283.653255175974
2020-06-04,16,268.221302592574
2020-06-05,32,250.946945710166
2020-06-06,7,234.207756068819
2020-06-07,5,220.381305208866
2020-06-08,21,211.845164670536
2020-06-09,32,210.97690599403
2020-06-10,32,220.154100719592
2020-06-11,22,230.829470697863
2020-06-12,22,225.219733702514
2020-06-13,1,213.766457077931
2020-06-14,5,199.538953377734
2020-06-15,10,185.438432779643
2020-06-16,19,174.366105461449
2020-06-17,12,169.223181600973
2020-06-18,16,172.910871375905
2020-06-19,15,178.267677296521
2020-06-20,2,173.387089443771
2020-06-21,2,165.730663969109
2020-06-22,6,156.806056380461
2020-06-23,17,148.087108986438
2020-06-24,5,141.047664095546
2020-06-25,13,137.161564016409
2020-06-26,19,137.90265105755
2020-06-27,5,140.166871911933
2020-06-28,1,137.639047146658
2020-06-29,22,132.236633200402
2020-06-30,21,125.113555133881
2020-07-01,24,117.423738007696
2020-07-02,22,110.321106882286
2020-07-03,19,104.95958681815
2020-07-04,10,102.493102875858
2020-07-05,2,104.075580115896
2020-07-06,13,110.269622959357
2020-07-07,32,114.018410861885
