"";"time";"values"
"1";0,2;0,1
"2";0,3;0,1
"3";0,4;0,1
"4";0,5;0,1
"5";0,6;0,1
"6";0,7;0,1
"7";0,8;0,1
"8";0,9;0,1
"9";1;0,1
"10";1,1;0,1
"11";1,2;0,1
"12";1,3;0,1
"13";1,4;0,1
"14";1,5;0,1
"15";1,6;0,1
"16";1,7;0,1
"17";1,8;0,1
"18";1,9;0,1
"19";2;0,1
"20";2,1;0,1
"21";2,2;0,1
"22";2,3;0,1
"23";2,4;0,1
"24";2,5;0,1
"25";2,6;0,1
"26";2,7;0,1
"27";2,8;0,1
"28";2,9;0,1
"29";3;0,1
"30";3,1;0,1
"31";3,2;0,1
"32";3,3;0,1
"33";3,4;0,1
"34";3,5;0,1
"35";3,6;0,1
"36";3,7;0,1
"37";3,8;0,1
"38";3,9;0,1
"39";4;0,1
"40";4,1;0,1
"41";4,2;0,1
"42";4,3;0,1
"43";4,4;0,1
"44";4,5;0,1
"45";4,6;0,1
"46";4,7;0,1
"47";4,8;0,1
"48";4,9;0,1
"49";5;0,1
"50";5,1;0,1
"51";5,2;0,1
"52";5,3;0,1
"53";5,4;0,1
"54";5,5;0,1
"55";5,6;0,1
"56";5,7;0,1
"57";5,8;0,1
"58";5,9;0,1
"59";6;0,1
"60";6,1;0,1
"61";6,2;0,1
"62";6,3;0,1
"63";6,4;0,1
"64";6,5;0,1
"65";6,6;0,1
"66";6,7;0,1
"67";6,8;0,1
"68";6,9;0,1
"69";7;0,1
"70";7,1;0,1
"71";7,2;0,1
"72";7,3;0,1
"73";7,4;0,1
"74";7,5;0,1
"75";7,6;0,1
"76";7,7;0,1
"77";7,8;0,1
"78";7,9;0,1
"79";8;0,1
"80";8,1;0,1
"81";8,2;0,1
"82";8,3;0,1
"83";8,4;0,1
"84";8,5;0,1
"85";8,6;0,1
"86";8,7;0,1
"87";8,8;0,1
"88";8,9;0,1
"89";9;0,1
"90";9,1;0,1
"91";9,2;0,1
"92";9,3;0,1
"93";9,4;0,1
"94";9,5;0,1
"95";9,6;0,1
"96";9,7;0,1
"97";9,8;0,1
"98";9,9;0,1
"99";10;0,1
"100";10,1;0,11
"101";10,2;0,12
"102";10,3;0,13
"103";10,4;0,14
"104";10,5;0,15
"105";10,6;0,16
"106";10,7;0,17
"107";10,8;0,18
"108";10,9;0,19
"109";11;0,2
"110";11,1;0,21
"111";11,2;0,22
"112";11,3;0,23
"113";11,4;0,24
"114";11,5;0,25
"115";11,6;0,25
"116";11,7;0,25
"117";11,8;0,25
"118";11,9;0,25
"119";12;0,25
"120";12,1;0,25
"121";12,2;0,25
"122";12,3;0,25
"123";12,4;0,25
"124";12,5;0,25
"125";12,6;0,25
"126";12,7;0,25
"127";12,8;0,25
"128";12,9;0,25
"129";13;0,25
"130";13,1;0,25
"131";13,2;0,25
"132";13,3;0,25
"133";13,4;0,25
"134";13,5;0,25
"135";13,6;0,25
"136";13,7;0,25
"137";13,8;0,25
"138";13,9;0,25
"139";14;0,25
"140";14,1;0,25
"141";14,2;0,25
"142";14,3;0,25
"143";14,4;0,25
"144";14,5;0,25
"145";14,6;0,25
"146";14,7;0,25
"147";14,8;0,25
"148";14,9;0,25
"149";15;0,25
"150";15,1;0,25
"151";15,2;0,25
"152";15,3;0,25
"153";15,4;0,25
"154";15,5;0,25
"155";15,6;0,25
"156";15,7;0,25
"157";15,8;0,25
"158";15,9;0,25
"159";16;0,25
"160";16,1;0,25
"161";16,2;0,25
"162";16,3;0,25
"163";16,4;0,25
"164";16,5;0,25
"165";16,6;0,25
"166";16,7;0,25
"167";16,8;0,25
"168";16,9;0,25
"169";17;0,25
"170";17,1;0,25
"171";17,2;0,25
"172";17,3;0,25
"173";17,4;0,25
"174";17,5;0,25
"175";17,6;0,25
"176";17,7;0,25
"177";17,8;0,25
"178";17,9;0,25
"179";18;0,25
"180";18,1;0,25
"181";18,2;0,25
"182";18,3;0,25
"183";18,4;0,25
"184";18,5;0,25
"185";18,6;0,25
"186";18,7;0,25
"187";18,8;0,25
"188";18,9;0,25
"189";19;0,25
"190";19,1;0,25
"191";19,2;0,25
"192";19,3;0,25
"193";19,4;0,25
"194";19,5;0,25
"195";19,6;0,25
"196";19,7;0,25
"197";19,8;0,25
"198";19,9;0,25
"199";20;0,25
"200";20,1;0,25
"201";20,2;0,25
"202";20,3;0,25
"203";20,4;0,25
"204";20,5;0,25
"205";20,6;0,25
"206";20,7;0,25
"207";20,8;0,25
"208";20,9;0,25
"209";21;0,25
"210";21,1;0,25
"211";21,2;0,25
"212";21,3;0,25
"213";21,4;0,25
"214";21,5;0,25
"215";21,6;0,25
"216";21,7;0,25
"217";21,8;0,25
"218";21,9;0,25
"219";22;0,25
"220";22,1;0,25
"221";22,2;0,25
"222";22,3;0,25
"223";22,4;0,25
"224";22,5;0,25
"225";22,6;0,25
"226";22,7;0,25
"227";22,8;0,25
"228";22,9;0,25
"229";23;0,25
"230";23,1;0,25
"231";23,2;0,25
"232";23,3;0,25
"233";23,4;0,25
"234";23,5;0,25
"235";23,6;0,25
"236";23,7;0,25
"237";23,8;0,25
"238";23,9;0,25
"239";24;0,25
"240";24,1;0,25
"241";24,2;0,25
"242";24,3;0,25
"243";24,4;0,25
"244";24,5;0,25
"245";24,6;0,25
"246";24,7;0,25
"247";24,8;0,25
"248";24,9;0,25
"249";25;0,25
"250";25,1;0,25
"251";25,2;0,25
"252";25,3;0,26
"253";25,4;0,27
"254";25,5;0,28
"255";25,6;0,29
"256";25,7;0,3
"257";25,8;0,31
"258";25,9;0,32
"259";26;0,33
"260";26,1;0,34
"261";26,2;0,35
"262";26,3;0,36
"263";26,4;0,37
"264";26,5;0,38
"265";26,6;0,39
"266";26,7;0,4
"267";26,8;0,41
"268";26,9;0,42
"269";27;0,43
"270";27,1;0,44
"271";27,2;0,45
"272";27,3;0,45
"273";27,4;0,45
"274";27,5;0,45
"275";27,6;0,45
