"data","nous_casos_confirmats","model1.7"
2020-02-27,1,12.6291408675605
2020-02-28,5,25.2383937892599
2020-03-02,4,47.2093405570193
2020-03-03,8,55.8840051960391
2020-03-04,4,54.4448420827015
2020-03-05,7,52.8966622467019
2020-03-06,4,61.106335993677
2020-03-07,3,88.8951544267046
2020-03-08,5,124.627795057283
2020-03-09,20,143.817232827567
2020-03-10,71,158.011341098803
2020-03-11,91,178.687619071154
2020-03-12,217,217.323565944784
2020-03-13,328,283.983238015786
2020-03-14,344,355.276387304355
2020-03-15,494,416.272057605633
2020-03-16,709,482.683813096185
2020-03-17,841,570.014167316876
2020-03-18,1018,693.765633808565
2020-03-19,1329,863.433023387705
2020-03-20,1484,1041.16794797592
2020-03-21,1238,1246.69681573245
2020-03-22,1046,1498.8991676119
2020-03-23,1563,1835.62748464765
2020-03-24,1956,2226.5940019489
2020-03-25,1878,2425.84425155283
2020-03-26,2354,2346.91966307412
2020-03-27,1769,2069.15832867601
2020-03-28,1576,1917.17921659812
2020-03-29,1265,1787.41458495432
2020-03-30,1827,1685.56450201067
2020-03-31,1778,1620.23655590796
2020-04-01,1680,1560.74969342443
2020-04-02,1488,1499.10455258186
2020-04-03,1597,1442.23813979098
2020-04-04,1054,1393.0910572363
2020-04-05,726,1353.14440350779
2020-04-06,1272,1313.35924204157
2020-04-07,1327,1272.18425863182
2020-04-08,1443,1231.38372847758
2020-04-09,1555,1192.43810676039
2020-04-10,1160,1156.82784866181
2020-04-11,952,1126.02499672982
2020-04-12,648,1097.25431629438
2020-04-13,841,1066.2409512692
2020-04-14,1317,1034.46339546773
2020-04-15,1426,1002.63663833428
2020-04-16,1390,971.475669313106
2020-04-17,1716,941.695477848501
2020-04-18,931,914.011053384747
2020-04-19,592,889.137385366113
2020-04-20,1169,867.893587280989
2020-04-21,1223,849.676611821669
2020-04-22,1381,828.057358924969
2020-04-23,1025,802.952004628911
2020-04-24,997,775.655015204735
2020-04-25,441,747.460856923732
2020-04-26,321,719.663996057156
2020-04-27,512,693.558898876297
2020-04-28,681,670.440031652375
2020-04-29,570,651.601860656738
2020-04-30,515,638.338852160581
2020-05-01,417,631.945472435225
2020-05-02,212,624.919360429449
2020-05-03,113,607.549921691891
2020-05-04,463,585.74874029147
2020-05-05,596,561.952862441693
2020-05-06,588,538.598339028445
2020-05-07,434,518.121220937486
2020-05-08,379,502.957559054681
2020-05-09,154,495.543404265787
2020-05-10,103,491.680270097662
2020-05-11,284,478.648271662678
2020-05-12,387,462.689099982221
2020-05-13,390,445.426939211902
2020-05-14,335,428.298866299323
2020-05-15,323,412.741958192164
2020-05-16,111,400.193291838041
2020-05-17,40,392.089944184583
2020-05-18,252,388.146245897486
2020-05-19,364,380.424577623737
2020-05-20,347,368.968498053859
2020-05-21,428,355.238304930885
2020-05-22,457,340.520559535551
2020-05-23,85,326.101823148638
2020-05-24,126,313.268657050779
2020-05-25,266,303.3076225228
2020-05-26,395,297.505280845333
2020-05-27,743,297.145043476819
2020-05-28,339,299.479661284509
2020-05-29,318,294.865231920005
2020-05-30,126,283.653255175974
2020-05-31,38,268.221302592574
2020-06-01,65,250.946945710166
2020-06-02,239,234.207756068819
2020-06-03,247,220.381305208866
2020-06-04,209,211.845164670536
2020-06-05,290,210.97690599403
2020-06-06,113,220.154100719592
2020-06-07,32,230.829470697863
2020-06-08,162,225.219733702514
2020-06-09,174,213.766457077931
2020-06-10,189,199.538953377734
