"";"time";"values"
"1";0,2;0,00024
"2";0,3;0,000476
"3";0,4;0,000708
"4";0,5;0,000937
"5";0,6;0,001164
"6";0,7;0,001389
"7";0,8;0,001612
"8";0,9;0,001835
"9";1;0,002057
"10";1,1;0,002279
"11";1,2;0,002262
"12";1,3;0,002249
"13";1,4;0,002242
"14";1,5;0,002239
"15";1,6;0,00224
"16";1,7;0,002246
"17";1,8;0,002256
"18";1,9;0,00227
"19";2;0,002288
"20";2,1;0,00231
"21";2,2;0,002335
"22";2,3;0,002364
"23";2,4;0,002396
"24";2,5;0,002432
"25";2,6;0,002471
"26";2,7;0,002513
"27";2,8;0,002559
"28";2,9;0,002608
"29";3;0,00266
"30";3,1;0,002715
"31";3,2;0,002773
"32";3,3;0,002835
"33";3,4;0,0029
"34";3,5;0,002968
"35";3,6;0,003039
"36";3,7;0,003113
"37";3,8;0,00319
"38";3,9;0,00327
"39";4;0,003354
"40";4,1;0,003441
"41";4,2;0,003531
"42";4,3;0,003624
"43";4,4;0,00372
"44";4,5;0,00382
"45";4,6;0,003924
"46";4,7;0,004031
"47";4,8;0,004142
"48";4,9;0,004256
"49";5;0,004374
"50";5,1;0,004496
"51";5,2;0,004622
"52";5,3;0,004752
"53";5,4;0,004886
"54";5,5;0,005024
"55";5,6;0,005167
"56";5,7;0,005314
"57";5,8;0,005466
"58";5,9;0,005622
"59";6;0,005783
"60";6,1;0,005949
"61";6,2;0,00612
"62";6,3;0,006296
"63";6,4;0,006478
"64";6,5;0,006665
"65";6,6;0,006857
"66";6,7;0,007056
"67";6,8;0,00726
"68";6,9;0,007471
"69";7;0,007687
"70";7,1;0,00791
"71";7,2;0,00814
"72";7,3;0,008377
"73";7,4;0,00862
"74";7,5;0,008871
"75";7,6;0,009129
"76";7,7;0,009394
"77";7,8;0,009667
"78";7,9;0,009948
"79";8;0,010238
"80";8,1;0,010536
"81";8,2;0,010843
"82";8,3;0,011159
"83";8,4;0,011485
"84";8,5;0,01182
"85";8,6;0,012165
"86";8,7;0,01252
"87";8,8;0,012885
"88";8,9;0,013261
"89";9;0,013648
"90";9,1;0,014046
"91";9,2;0,014456
"92";9,3;0,014878
"93";9,4;0,015312
"94";9,5;0,015758
"95";9,6;0,016218
"96";9,7;0,016691
"97";9,8;0,017179
"98";9,9;0,01768
"99";10;0,018196
"100";10,1;0,018727
"101";10,2;0,019492
"102";10,3;0,020504
"103";10,4;0,021778
"104";10,5;0,023328
"105";10,6;0,025167
"106";10,7;0,027313
"107";10,8;0,029781
"108";10,9;0,03259
"109";11;0,035755
"110";11,1;0,039296
"111";11,2;0,043013
"112";11,3;0,046914
"113";11,4;0,051006
"114";11,5;0,055297
"115";11,6;0,059796
"116";11,7;0,064174
"117";11,8;0,068419
"118";11,9;0,07252
"119";12;0,076466
"120";12,1;0,080244
"121";12,2;0,083841
"122";12,3;0,087243
"123";12,4;0,090435
"124";12,5;0,093403
"125";12,6;0,09613
"126";12,7;0,098936
"127";12,8;0,101825
"128";12,9;0,104798
"129";13;0,107858
"130";13,1;0,111008
"131";13,2;0,114249
"132";13,3;0,117585
"133";13,4;0,121018
"134";13,5;0,124551
"135";13,6;0,128188
"136";13,7;0,131932
"137";13,8;0,135785
"138";13,9;0,13975
"139";14;0,143831
"140";14,1;0,148031
"141";14,2;0,152354
"142";14,3;0,156803
"143";14,4;0,161382
"144";14,5;0,166095
"145";14,6;0,170945
"146";14,7;0,175936
"147";14,8;0,181073
"148";14,9;0,186361
"149";15;0,191803
"150";15,1;0,197403
"151";15,2;0,203167
"152";15,3;0,209099
"153";15,4;0,215205
"154";15,5;0,221489
"155";15,6;0,227956
"156";15,7;0,234612
"157";15,8;0,241462
"158";15,9;0,248513
"159";16;0,25577
"160";16,1;0,263239
"161";16,2;0,270926
"162";16,3;0,278837
"163";16,4;0,286979
"164";16,5;0,295359
"165";16,6;0,303984
"166";16,7;0,312861
"167";16,8;0,321997
"168";16,9;0,331399
"169";17;0,341075
"170";17,1;0,351035
"171";17,2;0,361285
"172";17,3;0,371835
"173";17,4;0,382693
"174";17,5;0,393867
"175";17,6;0,405368
"176";17,7;0,417205
"177";17,8;0,429388
"178";17,9;0,441926
"179";18;0,454831
"180";18,1;0,468111
"181";18,2;0,48178
"182";18,3;0,495848
"183";18,4;0,510326
"184";18,5;0,525228
"185";18,6;0,540565
"186";18,7;0,55635
"187";18,8;0,572595
"188";18,9;0,589315
"189";19;0,606523
"190";19,1;0,624234
"191";19,2;0,642462
"192";19,3;0,661222
"193";19,4;0,680531
"194";19,5;0,700403
"195";19,6;0,720855
"196";19,7;0,741904
"197";19,8;0,763568
"198";19,9;0,785865
"199";20;0,808813
"200";20,1;0,832431
"201";20,2;0,856738
"202";20,3;0,881755
"203";20,4;0,907502
"204";20,5;0,934001
"205";20,6;0,961274
"206";20,7;0,989343
"207";20,8;1,018232
"208";20,9;1,047964
"209";21;1,078565
"210";21,1;1,110059
"211";21,2;1,142473
"212";21,3;1,175834
"213";21,4;1,210169
"214";21,5;1,245506
"215";21,6;1,281875
"216";21,7;1,319306
"217";21,8;1,35783
"218";21,9;1,397479
"219";22;1,438285
"220";22,1;1,480284
"221";22,2;1,523509
"222";22,3;1,567995
"223";22,4;1,61378
"224";22,5;1,660903
"225";22,6;1,709401
"226";22,7;1,759316
"227";22,8;1,810689
"228";22,9;1,863561
"229";23;1,917978
"230";23,1;1,973983
"231";23,2;2,031623
"232";23,3;2,090947
"233";23,4;2,152003
"234";23,5;2,214842
"235";23,6;2,279516
"236";23,7;2,346078
"237";23,8;2,414583
"238";23,9;2,48509
"239";24;2,557654
"240";24,1;2,632337
"241";24,2;2,709202
"242";24,3;2,788311
"243";24,4;2,86973
"244";24,5;2,953526
"245";24,6;3,039769
"246";24,7;3,12853
"247";24,8;3,219883
"248";24,9;3,313903
"249";25;3,410669
"250";25,1;3,51026
"251";25,2;3,612759
"252";25,3;3,718251
"253";25,4;3,826824
"254";25,5;3,938566
"255";25,6;4,053572
"256";25,7;4,171936
"257";25,8;4,293756
"258";25,9;4,419133
"259";26;4,548171
"260";26,1;4,680977
"261";26,2;4,817661
"262";26,3;4,958336
"263";26,4;5,103118
"264";26,5;5,252128
"265";26,6;5,405488
"266";26,7;5,563326
"267";26,8;5,725773
"268";26,9;5,892963
"269";27;6,065035
"270";27,1;6,242132
"271";27,2;6,424399
"272";27,3;6,611988
"273";27,4;6,805054
"274";27,5;7,003758
"275";27,6;7,208264
"276";27,7;7,418741
"277";27,8;7,635363
"278";27,9;7,858311
"279";28;8,087768
"280";28,1;8,323925
"281";28,2;8,566977
"282";28,3;8,817126
"283";28,4;9,074579
"284";28,5;9,339549
"285";28,6;9,612255
"286";28,7;9,892924
"287";28,8;10,181788
"288";28,9;10,479085
"289";29;10,785063
"290";29,1;11,099975
"291";29,2;11,424082
"292";29,3;11,757651
"293";29,4;12,10096
"294";29,5;12,454292
"295";29,6;12,817941
"296";29,7;13,192207
"297";29,8;13,577401
"298";29,9;13,973842
"299";30;14,381857
"300";30,1;14,801784
"301";30,2;15,233971
"302";30,3;15,678777
"303";30,4;16,136569
"304";30,5;16,607728
"305";30,6;17,092642
"306";30,7;17,591714
"307";30,8;18,105356
"308";30,9;18,633993
"309";31;19,178065
"310";31,1;19,738021
"311";31,2;20,314325
"312";31,3;20,907455
"313";31,4;21,517901
"314";31,5;22,146167
"315";31,6;22,792776
"316";31,7;23,458262
"317";31,8;24,143177
"318";31,9;24,848087
"319";32;25,573575
"320";32,1;26,320243
"321";32,2;27,088709
"322";32,3;27,879608
"323";32,4;28,693596
"324";32,5;29,531347
"325";32,6;30,393553
"326";32,7;31,280928
"327";32,8;32,194207
"328";32,9;33,134147
"329";33;34,101525
"330";33,1;35,097142
"331";33,2;36,121822
"332";33,3;37,176413
"333";33,4;38,261787
"334";33,5;39,378843
"335";33,6;40,528506
"336";33,7;41,711727
"337";33,8;42,929485
"338";33,9;44,182788
"339";34;45,472673
"340";34,1;46,800206
"341";34,2;48,166487
"342";34,3;49,572646
"343";34,4;51,019846
"344";34,5;52,509285
"345";34,6;54,042195
"346";34,7;55,619844
"347";34,8;57,243537
"348";34,9;58,914617
"349";35;60,634466
"350";35,1;62,404507
"351";35,2;64,226203
"352";35,3;66,101061
"353";35,4;68,030633
"354";35,5;70,016513
"355";35,6;72,060343
"356";35,7;74,163814
"357";35,8;76,328664
"358";35,9;78,556683
"359";36;80,849714
"360";36,1;83,209651
"361";36,2;85,638446
"362";36,3;88,138106
"363";36,4;90,710696
"364";36,5;93,358343
"365";36,6;96,083236
"366";36,7;98,887624
"367";36,8;101,773826
"368";36,9;104,744226
"369";37;107,801277
"370";37,1;110,947506
"371";37,2;114,18551
"372";37,3;117,517964
"373";37,4;120,947621
"374";37,5;124,477311
"375";37,6;128,109949
"376";37,7;131,848535
"377";37,8;135,696154
"378";37,9;139,655982
"379";38;143,731287
"380";38,1;147,925433
"381";38,2;152,24188
"382";38,3;156,684189
"383";38,4;161,256024
"384";38,5;165,961158
"385";38,6;170,803469
"386";38,7;175,786952
"387";38,8;180,915715
"388";38,9;186,193986
"389";39;191,626117
"390";39,1;197,216583
"391";39,2;202,969991
"392";39,3;208,891081
"393";39,4;214,984732
"394";39,5;221,255961
"395";39,6;227,709933
"396";39,7;234,351961
"397";39,8;241,187513
"398";39,9;248,222215
"399";40;255,461855
"400";40,1;262,912389
"401";40,2;270,579947
"402";40,3;278,470833
"403";40,4;286,591534
"404";40,5;294,948726
"405";40,6;303,549278
"406";40,7;312,400255
"407";40,8;321,508928
"408";40,9;330,882776
"409";41;340,529495
"410";41,1;350,457003
"411";41,2;360,673446
"412";41,3;371,187205
"413";41,4;382,006902
"414";41,5;393,141408
"415";41,6;404,599847
"416";41,7;416,391608
"417";41,8;428,526349
"418";41,9;441,014006
"419";42;452,267525
"420";42,1;464,272092
"421";42,2;477,013334
"422";42,3;490,47781
"423";42,4;504,652873
"424";42,5;519,526544
"425";42,6;535,087388
"426";42,7;551,324401
"427";42,8;568,226894
"428";42,9;585,784391
"429";43;605,583799
"430";43,1;625,640091
"431";43,2;645,968018
"432";43,3;666,58154
"433";43,4;687,493879
"434";43,5;708,717576
"435";43,6;730,26454
"436";43,7;752,146093
"437";43,8;774,373015
"438";43,9;796,955587
"439";44;819,903627
"440";44,1;841,158451
"441";44,2;860,708527
"442";44,3;878,540565
"443";44,4;894,63961
"444";44,5;908,989116
"445";44,6;921,571025
"446";44,7;932,365837
"447";44,8;941,352676
"448";44,9;948,509348
"449";45;953,812402
"450";45,1;959,305259
"451";45,2;964,982641
"452";45,3;970,839555
"453";45,4;976,871281
"454";45,5;983,073359
"455";45,6;989,441575
"456";45,7;995,97195
"457";45,8;1002,66073
"458";45,9;1009,504374
"459";46;1016,499546
"460";46,1;1023,643104
"461";46,2;1030,932089
"462";46,3;1038,363723
"463";46,4;1045,935393
"464";46,5;1053,644647
"465";46,6;1061,489188
"466";46,7;1069,466862
"467";46,8;1077,575657
"468";46,9;1085,813694
"469";47;1094,17922
"470";47,1;1102,670602
"471";47,2;1111,286324
"472";47,3;1120,024979
"473";47,4;1128,885267
"474";47,5;1137,865987
"475";47,6;1146,966034
"476";47,7;1156,184396
