"";"time";"values"
"1";0;7566000
"2";0,1;7565999,88
"3";0,2;7565999,879718
"4";0,3;7565999,879164
"5";0,4;7565999,878348
"6";0,5;7565999,877279
"7";0,6;7565999,875965
"8";0,7;7565999,874413
"9";0,8;7565999,872629
"10";0,9;7565999,870619
"11";1;7565999,868388
"12";1,1;7565999,865941
"13";1,2;7565999,863281
"14";1,3;7565999,860412
"15";1,4;7565999,857336
"16";1,5;7565999,854055
"17";1,6;7565999,850571
"18";1,7;7565999,846885
"19";1,8;7565999,842998
"20";1,9;7565999,838911
"21";2;7565999,834623
"22";2,1;7565999,830134
"23";2,2;7565999,825443
"24";2,3;7565999,820549
"25";2,4;7565999,815451
"26";2,5;7565999,810146
"27";2,6;7565999,804633
"28";2,7;7565999,798909
"29";2,8;7565999,792971
"30";2,9;7565999,786816
"31";3;7565999,780441
"32";3,1;7565999,773841
"33";3,2;7565999,767013
"34";3,3;7565999,759953
"35";3,4;7565999,752656
"36";3,5;7565999,745117
"37";3,6;7565999,737331
"38";3,7;7565999,729293
"39";3,8;7565999,720997
"40";3,9;7565999,712436
"41";4;7565999,703605
"42";4,1;7565999,694497
"43";4,2;7565999,685106
"44";4,3;7565999,675424
"45";4,4;7565999,665444
"46";4,5;7565999,655158
"47";4,6;7565999,644558
"48";4,7;7565999,633636
"49";4,8;7565999,622383
"50";4,9;7565999,610791
"51";5;7565999,59885
"52";5,1;7565999,586551
"53";5,2;7565999,573884
"54";5,3;7565999,560839
"55";5,4;7565999,547405
"56";5,5;7565999,533572
"57";5,6;7565999,519328
"58";5,7;7565999,504662
"59";5,8;7565999,489561
"60";5,9;7565999,474014
"61";6;7565999,458008
"62";6,1;7565999,44153
"63";6,2;7565999,424566
"64";6,3;7565999,407103
"65";6,4;7565999,389126
"66";6,5;7565999,37062
"67";6,6;7565999,351571
"68";6,7;7565999,331962
"69";6,8;7565999,311778
"70";6,9;7565999,291001
"71";7;7565999,269615
"72";7,1;7565999,247602
"73";7,2;7565999,224945
"74";7,3;7565999,201624
"75";7,4;7565999,17762
"76";7,5;7565999,152913
"77";7,6;7565999,127483
"78";7,7;7565999,101309
"79";7,8;7565999,074369
"80";7,9;7565999,046641
"81";8;7565999,018102
"82";8,1;7565998,988729
"83";8,2;7565998,958497
"84";8,3;7565998,927381
"85";8,4;7565998,895356
"86";8,5;7565998,862395
"87";8,6;7565998,82847
"88";8,7;7565998,793554
"89";8,8;7565998,757618
"90";8,9;7565998,720632
"91";9;7565998,682565
"92";9,1;7565998,643386
"93";9,2;7565998,603062
"94";9,3;7565998,56156
"95";9,4;7565998,518846
"96";9,5;7565998,474884
"97";9,6;7565998,429638
"98";9,7;7565998,38307
"99";9,8;7565998,335142
"100";9,9;7565998,285814
"101";10;7565998,235045
"102";10,1;7565998,182794
"103";10,2;7565998,129017
"104";10,3;7565998,073669
"105";10,4;7565998,016705
"106";10,5;7565997,958077
"107";10,6;7565997,897737
"108";10,7;7565997,835635
"109";10,8;7565997,771719
"110";10,9;7565997,705937
