"";"time";"values"
"1";0,2;0
"2";0,3;1e-06
"3";0,4;2e-06
"4";0,5;4e-06
"5";0,6;6e-06
"6";0,7;8e-06
"7";0,8;1,1e-05
"8";0,9;1,4e-05
"9";1;1,7e-05
"10";1,1;2,1e-05
"11";1,2;2,5e-05
"12";1,3;2,9e-05
"13";1,4;3,3e-05
"14";1,5;3,8e-05
"15";1,6;4,3e-05
"16";1,7;4,8e-05
"17";1,8;5,4e-05
"18";1,9;6e-05
"19";2;6,6e-05
"20";2,1;7,2e-05
"21";2,2;7,9e-05
"22";2,3;8,6e-05
"23";2,4;9,3e-05
"24";2,5;0,000101
"25";2,6;0,000109
"26";2,7;0,000117
"27";2,8;0,000126
"28";2,9;0,000135
"29";3;0,000144
"30";3,1;0,000154
"31";3,2;0,000164
"32";3,3;0,000174
"33";3,4;0,000185
"34";3,5;0,000196
"35";3,6;0,000207
"36";3,7;0,000219
"37";3,8;0,000231
"38";3,9;0,000243
"39";4;0,000256
"40";4,1;0,000269
"41";4,2;0,000283
"42";4,3;0,000297
"43";4,4;0,000311
"44";4,5;0,000326
"45";4,6;0,000341
"46";4,7;0,000357
"47";4,8;0,000373
"48";4,9;0,00039
"49";5;0,000407
"50";5,1;0,000425
"51";5,2;0,000443
"52";5,3;0,000462
"53";5,4;0,000481
"54";5,5;0,000501
"55";5,6;0,000522
"56";5,7;0,000543
"57";5,8;0,000565
"58";5,9;0,000587
"59";6;0,00061
"60";6,1;0,000634
"61";6,2;0,000659
"62";6,3;0,000684
"63";6,4;0,00071
"64";6,5;0,000737
"65";6,6;0,000765
"66";6,7;0,000793
"67";6,8;0,000822
"68";6,9;0,000852
"69";7;0,000883
"70";7,1;0,000915
"71";7,2;0,000948
"72";7,3;0,000982
"73";7,4;0,001017
"74";7,5;0,001053
"75";7,6;0,00109
"76";7,7;0,001128
"77";7,8;0,001167
"78";7,9;0,001207
"79";8;0,001248
"80";8,1;0,00129
"81";8,2;0,001334
"82";8,3;0,001379
"83";8,4;0,001425
"84";8,5;0,001473
"85";8,6;0,001522
"86";8,7;0,001572
"87";8,8;0,001624
"88";8,9;0,001677
"89";9;0,001732
"90";9,1;0,001789
"91";9,2;0,001847
"92";9,3;0,001907
"93";9,4;0,001969
"94";9,5;0,002033
"95";9,6;0,002098
"96";9,7;0,002165
"97";9,8;0,002234
"98";9,9;0,002305
"99";10;0,002378
"100";10,1;0,002454
"101";10,2;0,002532
"102";10,3;0,002612
"103";10,4;0,002694
"104";10,5;0,002779
"105";10,6;0,002866
"106";10,7;0,002956
"107";10,8;0,003048
"108";10,9;0,003143
"109";11;0,003241
"110";11,1;0,003342
"111";11,2;0,003446
"112";11,3;0,003553
"113";11,4;0,003663
"114";11,5;0,003776
"115";11,6;0,003892
"116";11,7;0,004012
"117";11,8;0,004135
"118";11,9;0,004262
"119";12;0,004393
"120";12,1;0,004527
"121";12,2;0,004665
"122";12,3;0,004807
"123";12,4;0,004953
"124";12,5;0,005104
"125";12,6;0,005259
"126";12,7;0,005419
"127";12,8;0,005583
"128";12,9;0,005752
"129";13;0,005926
"130";13,1;0,006105
"131";13,2;0,006289
"132";13,3;0,006479
"133";13,4;0,006674
"134";13,5;0,006875
"135";13,6;0,007082
"136";13,7;0,007295
"137";13,8;0,007514
"138";13,9;0,00774
"139";14;0,007972
"140";14,1;0,008211
"141";14,2;0,008457
"142";14,3;0,00871
"143";14,4;0,00897
"144";14,5;0,009238
"145";14,6;0,009514
"146";14,7;0,009798
"147";14,8;0,01009
"148";14,9;0,010391
"149";15;0,0107
"150";15,1;0,011019
"151";15,2;0,011347
"152";15,3;0,011684
"153";15,4;0,012031
"154";15,5;0,012388
"155";15,6;0,012756
"156";15,7;0,013135
"157";15,8;0,013525
"158";15,9;0,013926
"159";16;0,014339
"160";16,1;0,014764
"161";16,2;0,015201
"162";16,3;0,015651
"163";16,4;0,016114
"164";16,5;0,016591
"165";16,6;0,017082
"166";16,7;0,017587
"167";16,8;0,018107
"168";16,9;0,018642
"169";17;0,019192
"170";17,1;0,019758
"171";17,2;0,020341
"172";17,3;0,020941
"173";17,4;0,021559
"174";17,5;0,022195
"175";17,6;0,022849
"176";17,7;0,023522
"177";17,8;0,024215
"178";17,9;0,024928
"179";18;0,025662
"180";18,1;0,026417
"181";18,2;0,027194
"182";18,3;0,027994
"183";18,4;0,028817
"184";18,5;0,029665
"185";18,6;0,030537
"186";18,7;0,031435
"187";18,8;0,032359
"188";18,9;0,03331
"189";19;0,034289
"190";19,1;0,035296
"191";19,2;0,036333
"192";19,3;0,0374
"193";19,4;0,038498
"194";19,5;0,039628
"195";19,6;0,040791
"196";19,7;0,041988
"197";19,8;0,04322
"198";19,9;0,044488
"199";20;0,045793
"200";20,1;0,047136
"201";20,2;0,048518
"202";20,3;0,049941
"203";20,4;0,051405
"204";20,5;0,052912
"205";20,6;0,054463
"206";20,7;0,056059
"207";20,8;0,057702
"208";20,9;0,059393
"209";21;0,061133
"210";21,1;0,062924
"211";21,2;0,064768
"212";21,3;0,066665
"213";21,4;0,068618
"214";21,5;0,070628
"215";21,6;0,072696
"216";21,7;0,074825
"217";21,8;0,077016
"218";21,9;0,079271
"219";22;0,081592
"220";22,1;0,083981
"221";22,2;0,086439
"222";22,3;0,088969
"223";22,4;0,091573
"224";22,5;0,094253
"225";22,6;0,097011
"226";22,7;0,09985
"227";22,8;0,102772
"228";22,9;0,105779
"229";23;0,108874
"230";23,1;0,112059
"231";23,2;0,115337
"232";23,3;0,118711
"233";23,4;0,122184
"234";23,5;0,125758
"235";23,6;0,129436
"236";23,7;0,133222
"237";23,8;0,137118
"238";23,9;0,141128
"239";24;0,145255
"240";24,1;0,149503
"241";24,2;0,153875
"242";24,3;0,158374
"243";24,4;0,163005
"244";24,5;0,167771
"245";24,6;0,172676
"246";24,7;0,177724
"247";24,8;0,18292
"248";24,9;0,188267
"249";25;0,193771
"250";25,1;0,199435
"251";25,2;0,205265
"252";25,3;0,211265
"253";25,4;0,21744
"254";25,5;0,223795
"255";25,6;0,230336
"256";25,7;0,237068
"257";25,8;0,243997
"258";25,9;0,251128
"259";26;0,258467
"260";26,1;0,26602
"261";26,2;0,273794
"262";26,3;0,281795
"263";26,4;0,29003
"264";26,5;0,298505
"265";26,6;0,307228
"266";26,7;0,316205
"267";26,8;0,325444
"268";26,9;0,334953
"269";27;0,34474
"270";27,1;0,354813
"271";27,2;0,36518
"272";27,3;0,375849
"273";27,4;0,38683
"274";27,5;0,398132
"275";27,6;0,409764
"276";27,7;0,421735
"277";27,8;0,434056
"278";27,9;0,446737
"279";28;0,459788
"280";28,1;0,47322
"281";28,2;0,487044
"282";28,3;0,501272
"283";28,4;0,515915
"284";28,5;0,530986
"285";28,6;0,546497
"286";28,7;0,562461
"287";28,8;0,578891
"288";28,9;0,595801
"289";29;0,613204
"290";29,1;0,631116
"291";29,2;0,649551
"292";29,3;0,668524
"293";29,4;0,688051
"294";29,5;0,708148
"295";29,6;0,728832
"296";29,7;0,75012
"297";29,8;0,772029
"298";29,9;0,794578
"299";30;0,817786
"300";30,1;0,841671
"301";30,2;0,866254
"302";30,3;0,891554
"303";30,4;0,917593
"304";30,5;0,944392
"305";30,6;0,971974
"306";30,7;1,000361
"307";30,8;1,029577
"308";30,9;1,059646
"309";31;1,090593
"310";31,1;1,122444
"311";31,2;1,155225
"312";31,3;1,188963
"313";31,4;1,223686
"314";31,5;1,259423
"315";31,6;1,296203
"316";31,7;1,334057
"317";31,8;1,373017
"318";31,9;1,413114
"319";32;1,454382
"320";32,1;1,496855
"321";32,2;1,540568
"322";32,3;1,585557
"323";32,4;1,63186
"324";32,5;1,679515
"325";32,6;1,728561
"326";32,7;1,779039
"327";32,8;1,830991
"328";32,9;1,88446
"329";33;1,93949
"330";33,1;1,996127
"331";33,2;2,054417
"332";33,3;2,114409
"333";33,4;2,176153
"334";33,5;2,2397
"335";33,6;2,305102
"336";33,7;2,372413
"337";33,8;2,44169
"338";33,9;2,512989
"339";34;2,58637
"340";34,1;2,661893
"341";34,2;2,739621
"342";34,3;2,819619
"343";34,4;2,901952
"344";34,5;2,986689
"345";34,6;3,0739
"346";34,7;3,163657
"347";34,8;3,256034
"348";34,9;3,351108
"349";35;3,448958
"350";35,1;3,549665
"351";35,2;3,653312
"352";35,3;3,759985
"353";35,4;3,869772
"354";35,5;3,982764
"355";35,6;4,099054
"356";35,7;4,218739
"357";35,8;4,341918
"358";35,9;4,468693
"359";36;4,599169
"360";36,1;4,733454
"361";36,2;4,871659
"362";36,3;5,013898
"363";36,4;5,16029
"364";36,5;5,310955
"365";36,6;5,466018
"366";36,7;5,625608
"367";36,8;5,789856
"368";36,9;5,958898
"369";37;6,132875
"370";37,1;6,31193
"371";37,2;6,496212
"372";37,3;6,685873
"373";37,4;6,88107
"374";37,5;7,081964
"375";37,6;7,288722
"376";37,7;7,501514
"377";37,8;7,720517
"378";37,9;7,945912
"379";38;8,177886
"380";38,1;8,41663
"381";38,2;8,662342
"382";38,3;8,915225
"383";38,4;9,175489
"384";38,5;9,443348
"385";38,6;9,719024
"386";38,7;10,002746
"387";38,8;10,294747
"388";38,9;10,59527
"389";39;10,904562
"390";39,1;11,22288
"391";39,2;11,550487
"392";39,3;11,887653
"393";39,4;12,234658
"394";39,5;12,591788
"395";39,6;12,959338
"396";39,7;13,337613
"397";39,8;13,726925
"398";39,9;14,127595
"399";40;14,539955
"400";40,1;14,964346
"401";40,2;15,401118
"402";40,3;15,850632
"403";40,4;16,313259
"404";40,5;16,789382
"405";40,6;17,279394
"406";40,7;17,7837
"407";40,8;18,302716
"408";40,9;18,836871
"409";41;19,386606
"410";41,1;19,952374
"411";41,2;20,534643
"412";41,3;21,133894
"413";41,4;21,750621
"414";41,5;22,385333
"415";41,6;23,038554
"416";41,7;23,710823
"417";41,8;24,402694
"418";41,9;25,114739
"419";42;25,846458
"420";42,1;26,597381
"421";42,2;27,367063
"422";42,3;28,155086
"423";42,4;28,961056
"424";42,5;29,784601
"425";42,6;30,625373
"426";42,7;31,483043
"427";42,8;32,357303
"428";42,9;33,247865
"429";43;34,154457
"430";43,1;35,076827
"431";43,2;36,014738
"432";43,3;36,96797
"433";43,4;37,936317
"434";43,5;38,919589
"435";43,6;39,917608
"436";43,7;40,93021
"437";43,8;41,957243
"438";43,9;42,998569
"439";44;44,054059
"440";44,1;45,123597
"441";44,2;46,207076
"442";44,3;47,304399
"443";44,4;48,41548
"444";44,5;49,540242
"445";44,6;50,678615
"446";44,7;51,830539
"447";44,8;52,995962
"448";44,9;54,174839
"449";45;55,367133
"450";45,1;56,572813
"451";45,2;57,791856
"452";45,3;59,024245
"453";45,4;60,26997
"454";45,5;61,529025
"455";45,6;62,801411
"456";45,7;64,087135
"457";45,8;65,386209
"458";45,9;66,698649
"459";46;68,024477
"460";46,1;69,36372
"461";46,2;70,716408
"462";46,3;72,082577
"463";46,4;73,462266
"464";46,5;74,855519
"465";46,6;76,262383
"466";46,7;77,682909
"467";46,8;79,117152
"468";46,9;80,56517
"469";47;82,027025
"470";47,1;83,502781
"471";47,2;84,992507
"472";47,3;86,496275
"473";47,4;88,014158
"474";47,5;89,546233
"475";47,6;91,092581
"476";47,7;92,653284
"477";47,8;94,228427
"478";47,9;95,818098
"479";48;97,422387
"480";48,1;99,041387
"481";48,2;100,675194
"482";48,3;102,323905
"483";48,4;103,987619
"484";48,5;105,666439
"485";48,6;107,360469
"486";48,7;109,069815
"487";48,8;110,794586
"488";48,9;112,534892
"489";49;114,290846
"490";49,1;116,062562
"491";49,2;117,850157
"492";49,3;119,653748
"493";49,4;121,473456
"494";49,5;123,309403
"495";49,6;125,161713
"496";49,7;127,030512
"497";49,8;128,915927
"498";49,9;130,818087
"499";50;132,737123
"500";50,1;134,673168
"501";50,2;136,626356
"502";50,3;138,596823
"503";50,4;140,584707
"504";50,5;142,590148
"505";50,6;144,613286
"506";50,7;146,654265
"507";50,8;148,713228
"508";50,9;150,790322
"509";51;152,885694
"510";51,1;154,999493
"511";51,2;157,13187
"512";51,3;159,282977
"513";51,4;161,452969
"514";51,5;163,642001
"515";51,6;165,85023
"516";51,7;168,077815
"517";51,8;170,324916
"518";51,9;172,591695
"519";52;174,878316
"520";52,1;177,184944
"521";52,2;179,511745
"522";52,3;181,858888
"523";52,4;184,226543
"524";52,5;186,614881
"525";52,6;189,024075
"526";52,7;191,454299
"527";52,8;193,90573
"528";52,9;196,378546
"529";53;198,872926
"530";53,1;201,389051
"531";53,2;203,927104
"532";53,3;206,48727
"533";53,4;209,069734
"534";53,5;211,674684
"535";53,6;214,302308
"536";53,7;216,952798
"537";53,8;219,626347
