"";"time";"values"
"1";0,2;0,002352
"2";0,3;0,004616
"3";0,4;0,006799
"4";0,5;0,008908
"5";0,6;0,010951
"6";0,7;0,012935
"7";0,8;0,014865
"8";0,9;0,016748
"9";1;0,01859
"10";1,1;0,020394
"11";1,2;0,022166
"12";1,3;0,023912
"13";1,4;0,025636
"14";1,5;0,027341
"15";1,6;0,029033
"16";1,7;0,030715
"17";1,8;0,032389
"18";1,9;0,03406
"19";2;0,035732
"20";2,1;0,037408
"21";2,2;0,03909
"22";2,3;0,040782
"23";2,4;0,042486
"24";2,5;0,044206
"25";2,6;0,045943
"26";2,7;0,047702
"27";2,8;0,049484
"28";2,9;0,051292
"29";3;0,053129
"30";3,1;0,054996
"31";3,2;0,056897
"32";3,3;0,058834
"33";3,4;0,060809
"34";3,5;0,062825
"35";3,6;0,064883
"36";3,7;0,066986
"37";3,8;0,069137
"38";3,9;0,071338
"39";4;0,073591
"40";4,1;0,075898
"41";4,2;0,078261
"42";4,3;0,080684
"43";4,4;0,083169
"44";4,5;0,085718
"45";4,6;0,088334
"46";4,7;0,091017
"47";4,8;0,093773
"48";4,9;0,096602
"49";5;0,099508
"50";5,1;0,102493
"51";5,2;0,10556
"52";5,3;0,108711
"53";5,4;0,11195
"54";5,5;0,115279
"55";5,6;0,118701
"56";5,7;0,12222
"57";5,8;0,125838
"58";5,9;0,129558
"59";6;0,133384
"60";6,1;0,137318
"61";6,2;0,141365
"62";6,3;0,145527
"63";6,4;0,149809
"64";6,5;0,154214
"65";6,6;0,158745
"66";6,7;0,163407
"67";6,8;0,168203
"68";6,9;0,173138
"69";7;0,178215
"70";7,1;0,183438
"71";7,2;0,188812
"72";7,3;0,194343
"73";7,4;0,200033
"74";7,5;0,205889
"75";7,6;0,211915
"76";7,7;0,218115
"77";7,8;0,224496
"78";7,9;0,231063
"79";8;0,237821
"80";8,1;0,244776
"81";8,2;0,251932
"82";8,3;0,259297
"83";8,4;0,266877
"84";8,5;0,274677
"85";8,6;0,282705
"86";8,7;0,290967
"87";8,8;0,299469
"88";8,9;0,30822
"89";9;0,317226
"90";9,1;0,326493
"91";9,2;0,336032
"92";9,3;0,345849
"93";9,4;0,355951
"94";9,5;0,366348
"95";9,6;0,37705
"96";9,7;0,388064
"97";9,8;0,399399
"98";9,9;0,411065
"99";10;0,423071
"100";10,1;0,435427
"101";10,2;0,448144
"102";10,3;0,461232
"103";10,4;0,474703
"104";10,5;0,488566
"105";10,6;0,502834
"106";10,7;0,517518
"107";10,8;0,532631
"108";10,9;0,548186
"109";11;0,564195
"110";11,1;0,58067
"111";11,2;0,597626
"112";11,3;0,615078
"113";11,4;0,63304
"114";11,5;0,651526
"115";11,6;0,670552
"116";11,7;0,690133
"117";11,8;0,710287
"118";11,9;0,731028
"119";12;0,752375
"120";12,1;0,774345
"121";12,2;0,796957
"122";12,3;0,820229
"123";12,4;0,844181
"124";12,5;0,868831
"125";12,6;0,894202
"126";12,7;0,920313
"127";12,8;0,947187
"128";12,9;0,974845
"129";13;1,003311
"130";13,1;1,032608
"131";13,2;1,062761
"132";13,3;1,093794
"133";13,4;1,125734
"134";13,5;1,158606
"135";13,6;1,192437
"136";13,7;1,227257
"137";13,8;1,263094
"138";13,9;1,299976
"139";14;1,337936
"140";14,1;1,377005
"141";14,2;1,417214
"142";14,3;1,458598
"143";14,4;1,50119
"144";14,5;1,545026
"145";14,6;1,590141
"146";14,7;1,636573
"147";14,8;1,684361
"148";14,9;1,733545
"149";15;1,784166
"150";15,1;1,836264
"151";15,2;1,889884
"152";15,3;1,94507
"153";15,4;2,001867
"154";15,5;2,060323
"155";15,6;2,120485
"156";15,7;2,182404
"157";15,8;2,24613
"158";15,9;2,311718
"159";16;2,379221
"160";16,1;2,448695
"161";16,2;2,520199
"162";16,3;2,593789
"163";16,4;2,669529
"164";16,5;2,74748
"165";16,6;2,827707
"166";16,7;2,910277
"167";16,8;2,995258
"168";16,9;3,08272
"169";17;3,172737
"170";17,1;3,265383
"171";17,2;3,360734
"172";17,3;3,458869
"173";17,4;3,559869
"174";17,5;3,663818
"175";17,6;3,770803
"176";17,7;3,880912
"177";17,8;3,994236
"178";17,9;4,110869
"179";18;4,230908
"180";18,1;4,354452
"181";18,2;4,481604
"182";18,3;4,612468
"183";18,4;4,747154
"184";18,5;4,885772
"185";18,6;5,028438
"186";18,7;5,17527
"187";18,8;5,32639
"188";18,9;5,481922
"189";19;5,641996
"190";19,1;5,806744
"191";19,2;5,976302
"192";19,3;6,150812
"193";19,4;6,330418
"194";19,5;6,515269
"195";19,6;6,705517
"196";19,7;6,901321
"197";19,8;7,102842
"198";19,9;7,310247
"199";20;7,523709
"200";20,1;7,743404
"201";20,2;7,969514
"202";20,3;8,202226
"203";20,4;8,441734
"204";20,5;8,688235
"205";20,6;8,941935
"206";20,7;9,203042
"207";20,8;9,471774
"208";20,9;9,748353
"209";21;10,033008
"210";21,1;10,325975
"211";21,2;10,627496
"212";21,3;10,937823
"213";21,4;11,25721
"214";21,5;11,585923
"215";21,6;11,924236
"216";21,7;12,272426
"217";21,8;12,630784
"218";21,9;12,999606
"219";22;13,379198
"220";22,1;13,769874
"221";22,2;14,171958
"222";22,3;14,585783
"223";22,4;15,011691
"224";22,5;15,450036
"225";22,6;15,90118
"226";22,7;16,365498
"227";22,8;16,843374
"228";22,9;17,335204
"229";23;17,841396
"230";23,1;18,362369
"231";23,2;18,898555
"232";23,3;19,450396
"233";23,4;20,018351
"234";23,5;20,602891
"235";23,6;21,204499
"236";23,7;21,823674
"237";23,8;22,460929
"238";23,9;23,116792
"239";24;23,791806
"240";24,1;24,48653
"241";24,2;25,20154
"242";24,3;25,937428
"243";24,4;26,694804
"244";24,5;27,474295
"245";24,6;28,276548
"246";24,7;29,102226
"247";24,8;29,952013
"248";24,9;30,826615
"249";25;31,726754
"250";25,1;32,653177
"251";25,2;33,606651
"252";25,3;34,587966
"253";25,4;35,597936
"254";25,5;36,637397
"255";25,6;37,707209
"256";25,7;38,80826
"257";25,8;39,94146
"258";25,9;41,107749
"259";26;42,308094
"260";26,1;43,543489
"261";26,2;44,814956
"262";26,3;46,123549
"263";26,4;47,470352
"264";26,5;48,856481
"265";26,6;50,283083
"266";26,7;51,751342
"267";26,8;53,262473
"268";26,9;54,817728
"269";27;56,418395
"270";27,1;58,0658
"271";27,2;59,761308
"272";27,3;61,506324
"273";27,4;63,302292
"274";27,5;65,150701
"275";27,6;67,053081
"276";27,7;69,01101
"277";27,8;71,026107
"278";27,9;73,100043
"279";28;75,234536
"280";28,1;77,431354
"281";28,2;79,692316
"282";28,3;82,019296
"283";28,4;84,41422
"284";28,5;86,879073
"285";28,6;89,415896
"286";28,7;92,02679
"287";28,8;94,713918
"288";28,9;97,479506
"289";29;100,325845
"290";29,1;103,255292
"291";29,2;106,270274
"292";29,3;109,373287
"293";29,4;112,566902
"294";29,5;115,853765
"295";29,6;119,236597
"296";29,7;122,718201
"297";29,8;126,301461
"298";29,9;129,989343
"299";30;133,784902
"300";30,1;137,691283
"301";30,2;141,71172
"302";30,3;145,849544
"303";30,4;150,108181
"304";30,5;154,491159
"305";30,6;159,002106
"306";30,7;163,64476
"307";30,8;168,422965
"308";30,9;173,340678
"309";31;178,401973
"310";31,1;183,61104
"311";31,2;188,972194
"312";31,3;194,489875
"313";31,4;200,168652
"314";31,5;206,013226
"315";31,6;212,028439
"316";31,7;218,219272
"317";31,8;224,590851
"318";31,9;231,148453
"319";32;237,897507
"320";32,1;244,843602
"321";32,2;251,99249
"322";32,3;259,35009
"323";32,4;266,922494
"324";32,5;274,715972
"325";32,6;282,736979
"326";32,7;290,992154
"327";32,8;299,488332
"328";32,9;308,232549
"329";33;317,232043
"330";33,1;326,494265
"331";33,2;336,026885
"332";33,3;345,837793
"333";33,4;355,935111
"334";33,5;366,327198
"335";33,6;377,022659
"336";33,7;388,030347
"337";33,8;399,359372
"338";33,9;411,019114
"339";34;423,019224
"340";34,1;435,369635
"341";34,2;448,080569
"342";34,3;461,162546
"343";34,4;474,626394
"344";34,5;488,483257
"345";34,6;502,744603
"346";34,7;517,422233
"347";34,8;532,528296
"348";34,9;548,075292
"349";35;564,076086
"350";35,1;580,543919
"351";35,2;597,492417
"352";35,3;614,935603
"353";35,4;632,88791
"354";35,5;651,364191
"355";35,6;670,379733
"356";35,7;689,950267
"357";35,8;710,091982
"358";35,9;730,821541
"359";36;752,156091
"360";36,1;774,113279
"361";36,2;796,711265
"362";36,3;819,968742
"363";36,4;843,904942
"364";36,5;868,539661
"365";36,6;893,893271
"366";36,7;919,986736
"367";36,8;946,841633
"368";36,9;974,480167
"369";37;1002,925187
"370";37,1;1032,200209
"371";37,2;1062,329433
"372";37,3;1093,337766
"373";37,4;1125,250837
"374";37,5;1158,095023
"375";37,6;1191,897468
"376";37,7;1226,686105
"377";37,8;1262,489682
"378";37,9;1299,337781
"379";38;1337,260845
"380";38,1;1376,290205
"381";38,2;1416,458102
"382";38,3;1457,797714
"383";38,4;1500,343183
"384";38,5;1544,129646
"385";38,6;1589,193261
"386";38,7;1635,571236
"387";38,8;1683,301861
"388";38,9;1732,424539
"389";39;1782,979819
"390";39,1;1835,009425
"391";39,2;1888,556295
"392";39,3;1943,664616
"393";39,4;2000,379856
"394";39,5;2058,748802
"395";39,6;2118,819603
"396";39,7;2180,641801
"397";39,8;2244,266379
"398";39,9;2309,745799
"399";40;2377,134043
"400";40,1;2446,486661
"401";40,2;2517,860813
"402";40,3;2591,315316
"403";40,4;2666,910693
"404";40,5;2744,709217
"405";40,6;2824,77497
"406";40,7;2907,173889
"407";40,8;2991,973821
"408";40,9;3079,244575
"409";41;3169,057982
"410";41,1;3261,487954
"411";41,2;3356,610538
"412";41,3;3454,503981
"413";41,4;3555,248795
"414";41,5;3658,927818
"415";41,6;3765,626281
"416";41,7;3875,431878
"417";41,8;3988,434837
"418";41,9;4104,727988
"419";42;4218,145521
"420";42,1;4328,848987
"421";42,2;4436,992388
"422";42,3;4542,722539
"423";42,4;4646,179416
"424";42,5;4747,496485
"425";42,6;4846,801015
"426";42,7;4944,214381
"427";42,8;5039,852344
"428";42,9;5133,825321
"429";43;5226,238653
"430";43,1;5317,192837
"431";43,2;5406,78377
"432";43,3;5495,102966
"433";43,4;5582,237772
"434";43,5;5668,271567
"435";43,6;5753,283957
"436";43,7;5837,350956
"437";43,8;5920,54516
"438";43,9;6002,935912
"439";44;6084,589465
"440";44,1;6165,569124
"441";44,2;6245,935398
"442";44,3;6325,746131
"443";44,4;6405,056634
"444";44,5;6483,919804
"445";44,6;6562,386248
"446";44,7;6640,504392
"447";44,8;6718,320588
"448";44,9;6795,879214
"449";45;6873,222775
"450";45,1;6950,391991
"451";45,2;7027,425884
"452";45,3;7104,361865
"453";45,4;7181,235813
"454";45,5;7258,082148
"455";45,6;7334,933905
"456";45,7;7411,822803
"457";45,8;7488,779307
"458";45,9;7565,832696
"459";46;7643,011119
"460";46,1;7720,341648
"461";46,2;7797,850339
"462";46,3;7875,562278
"463";46,4;7953,501632
"464";46,5;8031,691692
"465";46,6;8110,154923
"466";46,7;8188,913001
"467";46,8;8267,986856
"468";46,9;8347,396708
"469";47;8427,162105
"470";47,1;8507,301957
"471";47,2;8587,834569
"472";47,3;8668,777672
"473";47,4;8750,148456
"474";47,5;8831,963592
"475";47,6;8914,239266
