"data","nous_casos_confirmats","model1.7"
2020-02-28,1,12.6291408675605
2020-03-05,1,25.2383937892599
2020-03-06,1,47.2093405570193
2020-03-09,1,55.8840051960391
2020-03-10,4,54.4448420827015
2020-03-11,4,52.8966622467019
2020-03-12,5,61.106335993677
2020-03-13,36,88.8951544267046
2020-03-14,21,124.627795057283
2020-03-15,33,143.817232827567
2020-03-16,38,158.011341098803
2020-03-17,42,178.687619071154
2020-03-18,72,217.323565944784
2020-03-19,87,283.983238015786
2020-03-20,153,355.276387304355
2020-03-21,83,416.272057605633
2020-03-22,89,482.683813096185
2020-03-23,108,570.014167316876
2020-03-24,154,693.765633808565
2020-03-25,155,863.433023387705
2020-03-26,152,1041.16794797592
2020-03-27,135,1246.69681573245
2020-03-28,79,1498.8991676119
2020-03-29,71,1835.62748464765
2020-03-30,139,2226.5940019489
2020-03-31,121,2425.84425155283
2020-04-01,108,2346.91966307412
2020-04-02,135,2069.15832867601
2020-04-03,119,1917.17921659812
2020-04-04,67,1787.41458495432
2020-04-05,58,1685.56450201067
2020-04-06,146,1620.23655590796
2020-04-07,114,1560.74969342443
2020-04-08,75,1499.10455258186
2020-04-09,110,1442.23813979098
2020-04-10,67,1393.0910572363
2020-04-11,75,1353.14440350779
2020-04-12,42,1313.35924204157
2020-04-13,52,1272.18425863182
2020-04-14,89,1231.38372847758
2020-04-15,129,1192.43810676039
2020-04-16,128,1156.82784866181
2020-04-17,129,1126.02499672982
2020-04-18,108,1097.25431629438
2020-04-19,42,1066.2409512692
2020-04-20,142,1034.46339546773
2020-04-21,221,1002.63663833428
2020-04-22,355,971.475669313106
2020-04-23,281,941.695477848501
2020-04-24,196,914.011053384747
2020-04-25,36,889.137385366113
2020-04-26,23,867.893587280989
2020-04-27,108,849.676611821669
2020-04-28,87,828.057358924969
2020-04-29,121,802.952004628911
2020-04-30,84,775.655015204735
2020-05-01,37,747.460856923732
2020-05-02,7,719.663996057156
2020-05-03,17,693.558898876297
2020-05-04,81,670.440031652375
2020-05-05,105,651.601860656738
2020-05-06,102,638.338852160581
2020-05-07,58,631.945472435225
2020-05-08,56,624.919360429449
2020-05-09,16,607.549921691891
2020-05-10,29,585.74874029147
2020-05-11,56,561.952862441693
2020-05-12,62,538.598339028445
2020-05-13,41,518.121220937486
2020-05-14,64,502.957559054681
2020-05-15,42,495.543404265787
2020-05-16,24,491.680270097662
2020-05-17,10,478.648271662678
2020-05-18,28,462.689099982221
2020-05-19,51,445.426939211902
2020-05-20,35,428.298866299323
2020-05-21,62,412.741958192164
2020-05-22,52,400.193291838041
2020-05-23,9,392.089944184583
2020-05-24,6,388.146245897486
2020-05-25,30,380.424577623737
2020-05-26,59,368.968498053859
2020-05-27,41,355.238304930885
2020-05-28,22,340.520559535551
2020-05-29,43,326.101823148638
2020-05-30,11,313.268657050779
2020-05-31,6,303.3076225228
2020-06-01,9,297.505280845333
2020-06-02,24,297.145043476819
2020-06-03,47,299.479661284509
2020-06-04,26,294.865231920005
2020-06-05,48,283.653255175974
2020-06-06,8,268.221302592574
2020-06-07,3,250.946945710166
2020-06-08,19,234.207756068819
2020-06-09,21,220.381305208866
2020-06-10,15,211.845164670536
2020-06-11,13,210.97690599403
2020-06-12,17,220.154100719592
2020-06-14,2,230.829470697863
2020-06-15,14,225.219733702514
2020-06-16,17,213.766457077931
2020-06-17,11,199.538953377734
2020-06-18,11,185.438432779643
2020-06-19,12,174.366105461449
2020-06-20,1,169.223181600973
2020-06-21,3,172.910871375905
2020-06-22,14,178.267677296521
2020-06-23,6,173.387089443771
2020-06-24,2,165.730663969109
2020-06-25,6,156.806056380461
2020-06-26,13,148.087108986438
2020-06-27,2,141.047664095546
2020-06-28,2,137.161564016409
2020-06-29,9,137.90265105755
2020-06-30,7,140.166871911933
2020-07-01,12,137.639047146658
2020-07-02,17,132.236633200402
2020-07-03,14,125.113555133881
2020-07-04,5,117.423738007696
2020-07-05,3,110.321106882286
2020-07-06,18,104.95958681815
2020-07-07,15,102.493102875858
2020-07-08,25,104.075580115896
2020-07-09,43,110.269622959357
2020-07-10,48,114.018410861885
