"";"cell_time";"cell_values"
"1";28,1;0,00024
"2";28,2;0,000476
"3";28,3;0,000708
"4";28,4;0,000937
"5";28,5;0,001164
"6";28,6;0,001389
"7";28,7;0,001612
"8";28,8;0,001835
"9";28,9;0,002057
"10";29;0,002279
"11";29,1;0,002262
"12";29,2;0,002249
"13";29,3;0,002242
"14";29,4;0,002239
"15";29,5;0,00224
"16";29,6;0,002246
"17";29,7;0,002256
"18";29,8;0,00227
"19";29,9;0,002288
"20";30;0,00231
"21";30,1;0,002335
"22";30,2;0,002364
"23";30,3;0,002396
"24";30,4;0,002432
"25";30,5;0,002471
"26";30,6;0,002513
"27";30,7;0,002559
"28";30,8;0,002608
"29";30,9;0,00266
"30";31;0,002715
"31";31,1;0,002773
"32";31,2;0,002835
"33";31,3;0,0029
"34";31,4;0,002968
"35";31,5;0,003039
"36";31,6;0,003113
"37";31,7;0,00319
"38";31,8;0,00327
"39";31,9;0,003354
"40";32;0,003441
"41";32,1;0,003531
"42";32,2;0,003624
"43";32,3;0,00372
"44";32,4;0,00382
"45";32,5;0,003924
"46";32,6;0,004031
"47";32,7;0,004142
"48";32,8;0,004256
"49";32,9;0,004374
"50";33;0,004496
"51";33,1;0,004622
"52";33,2;0,004752
"53";33,3;0,004886
"54";33,4;0,005024
"55";33,5;0,005167
"56";33,6;0,005314
"57";33,7;0,005466
"58";33,8;0,005622
"59";33,9;0,005783
"60";34;0,005949
"61";34,1;0,00612
"62";34,2;0,006296
"63";34,3;0,006478
"64";34,4;0,006665
"65";34,5;0,006857
"66";34,6;0,007056
"67";34,7;0,00726
"68";34,8;0,007471
"69";34,9;0,007687
"70";35;0,00791
"71";35,1;0,00814
"72";35,2;0,008377
"73";35,3;0,00862
"74";35,4;0,008871
"75";35,5;0,009129
"76";35,6;0,009394
"77";35,7;0,009667
"78";35,8;0,009948
"79";35,9;0,010238
"80";36;0,010536
"81";36,1;0,010843
"82";36,2;0,011159
"83";36,3;0,011485
"84";36,4;0,01182
"85";36,5;0,012165
"86";36,6;0,01252
"87";36,7;0,012885
"88";36,8;0,013261
"89";36,9;0,013648
"90";37;0,014046
"91";37,1;0,014456
"92";37,2;0,014878
"93";37,3;0,015312
"94";37,4;0,015758
"95";37,5;0,016218
"96";37,6;0,016691
"97";37,7;0,017179
"98";37,8;0,01768
"99";37,9;0,018196
"100";38;0,021914
"101";38,1;0,02574
"102";38,2;0,029677
"103";38,3;0,03373
"104";38,4;0,037902
"105";38,5;0,042194
"106";38,6;0,046613
"107";38,7;0,05116
"108";38,8;0,05584
"109";38,9;0,060657
"110";39;0,062428
"111";39,1;0,06425
"112";39,2;0,066126
"113";39,3;0,068056
"114";39,4;0,070042
"115";39,5;0,072088
"116";39,6;0,074193
"117";39,7;0,076359
"118";39,8;0,078589
"119";39,9;0,080883
"120";40;0,083244
"121";40,1;0,085675
"122";40,2;0,088177
"123";40,3;0,090752
"124";40,4;0,093403
"125";40,5;0,09613
"126";40,6;0,098936
"127";40,7;0,101825
"128";40,8;0,104798
"129";40,9;0,107858
"130";41;0,111008
"131";41,1;0,114249
"132";41,2;0,117585
"133";41,3;0,121018
"134";41,4;0,124551
"135";41,5;0,128188
"136";41,6;0,131932
"137";41,7;0,135785
"138";41,8;0,13975
"139";41,9;0,143831
"140";42;0,148031
"141";42,1;0,152354
"142";42,2;0,156803
"143";42,3;0,161382
"144";42,4;0,166095
"145";42,5;0,170945
"146";42,6;0,175936
"147";42,7;0,181073
"148";42,8;0,186361
"149";42,9;0,191803
"150";43;0,197403
"151";43,1;0,203167
"152";43,2;0,209099
"153";43,3;0,215205
"154";43,4;0,221489
"155";43,5;0,227957
"156";43,6;0,234613
"157";43,7;0,241464
"158";43,8;0,248515
"159";43,9;0,255772
"160";44;0,263241
"161";44,1;0,270928
"162";44,2;0,278839
"163";44,3;0,286981
"164";44,4;0,295361
"165";44,5;0,303985
"166";44,6;0,312862
"167";44,7;0,321997
"168";44,8;0,331399
"169";44,9;0,341076
"170";45;0,351036
"171";45,1;0,361286
"172";45,2;0,371836
"173";45,3;0,382694
"174";45,4;0,393868
"175";45,5;0,405369
"176";45,6;0,417206
"177";45,7;0,429389
"178";45,8;0,441927
"179";45,9;0,454831
"180";46;0,468112
"181";46,1;0,481781
"182";46,2;0,495849
"183";46,3;0,510328
"184";46,4;0,52523
"185";46,5;0,540567
"186";46,6;0,556352
"187";46,7;0,572597
"188";46,8;0,589317
"189";46,9;0,606525
"190";47;0,624236
"191";47,1;0,642464
"192";47,2;0,661224
"193";47,3;0,680532
"194";47,4;0,700404
"195";47,5;0,720856
"196";47,6;0,741905
"197";47,7;0,763569
"198";47,8;0,785866
