"";"cell_time";"cell_values"
"1";54;0,01
"2";54,1;0,019
"3";54,2;0,0271
"4";54,3;0,03439
"5";54,4;0,040951
"6";54,5;0,046856
"7";54,6;0,05217
"8";54,7;0,056953
"9";54,8;0,061258
"10";54,9;0,065132
"11";55;0,058619
"12";55,1;0,052757
"13";55,2;0,047481
"14";55,3;0,042733
"15";55,4;0,03846
"16";55,5;0,034614
"17";55,6;0,031153
"18";55,7;0,028038
"19";55,8;0,025234
"20";55,9;0,022711
"21";56;0,02044
"22";56,1;0,018396
"23";56,2;0,016557
"24";56,3;0,014901
"25";56,4;0,013411
"26";56,5;0,01207
"27";56,6;0,010863
"28";56,7;0,009776
"29";56,8;0,008798
"30";56,9;0,007918
"31";57;0,007126
"32";57,1;0,006414
"33";57,2;0,005772
"34";57,3;0,005195
"35";57,4;0,004675
"36";57,5;0,004207
"37";57,6;0,003786
"38";57,7;0,003408
"39";57,8;0,003068
"40";57,9;0,002761
"41";58;0,002485
"42";58,1;0,002236
"43";58,2;0,002013
"44";58,3;0,001812
"45";58,4;0,001631
"46";58,5;0,001468
"47";58,6;0,001322
"48";58,7;0,00119
"49";58,8;0,001071
"50";58,9;0,000964
"51";59;0,000868
"52";59,1;0,000859
"53";59,2;0,000996
"54";59,3;0,001325
"55";59,4;0,001879
"56";59,5;0,002681
"57";59,6;0,003745
"58";59,7;0,00508
"59";59,8;0,006688
"60";59,9;0,008568
"61";60;0,010712
"62";60,1;0,013036
"63";60,2;0,015468
"64";60,3;0,01795
"65";60,4;0,020434
"66";60,5;0,022882
"67";60,6;0,025263
"68";60,7;0,027554
"69";60,8;0,029737
"70";60,9;0,031798
"71";61;0,033728
"72";61,1;0,035521
"73";61,2;0,037174
"74";61,3;0,038685
"75";61,4;0,040056
"76";61,5;0,041289
"77";61,6;0,042388
"78";61,7;0,043356
"79";61,8;0,044198
"80";61,9;0,044921
"81";62;0,045531
"82";62,1;0,046032
"83";62,2;0,046432
"84";62,3;0,046737
"85";62,4;0,046952
"86";62,5;0,047084
"87";62,6;0,047139
"88";62,7;0,047122
"89";62,8;0,04704
"90";62,9;0,046897
"91";63;0,046698
"92";63,1;0,046449
"93";63,2;0,046153
"94";63,3;0,045815
"95";63,4;0,04544
"96";63,5;0,045031
"97";63,6;0,044591
"98";63,7;0,044125
"99";63,8;0,043634
"100";63,9;0,043122
"101";64;0,042592
"102";64,1;0,042046
"103";64,2;0,041487
"104";64,3;0,040919
"105";64,4;0,040346
"106";64,5;0,039774
"107";64,6;0,039211
"108";64,7;0,038665
"109";64,8;0,038146
"110";64,9;0,037663
"111";65;0,037228
"112";65,1;0,036853
"113";65,2;0,03655
"114";65,3;0,036329
"115";65,4;0,0362
"116";65,5;0,036173
"117";65,6;0,036254
"118";65,7;0,036448
"119";65,8;0,036759
"120";65,9;0,037191
"121";66;0,037743
"122";66,1;0,038416
"123";66,2;0,039207
"124";66,3;0,040114
"125";66,4;0,041134
"126";66,5;0,042261
"127";66,6;0,04349
"128";66,7;0,044815
"129";66,8;0,04623
"130";66,9;0,047727
"131";67;0,049301
"132";67,1;0,050942
"133";67,2;0,052645
"134";67,3;0,054401
"135";67,4;0,056202
"136";67,5;0,058042
"137";67,6;0,059913
"138";67,7;0,061809
"139";67,8;0,063722
"140";67,9;0,065646
"141";68;0,067574
"142";68,1;0,069502
"143";68,2;0,071422
"144";68,3;0,07333
"145";68,4;0,075222
"146";68,5;0,077091
"147";68,6;0,078934
"148";68,7;0,080747
"149";68,8;0,082527
"150";68,9;0,084269
"151";69;0,085971
"152";69,1;0,087629
"153";69,2;0,089242
"154";69,3;0,090808
"155";69,4;0,092324
"156";69,5;0,093789
"157";69,6;0,095201
"158";69,7;0,09656
"159";69,8;0,097864
"160";69,9;0,099115
"161";70;0,100311
"162";70,1;0,101426
"163";70,2;0,102464
"164";70,3;0,10343
"165";70,4;0,104328
"166";70,5;0,105163
"167";70,6;0,105942
"168";70,7;0,106667
"169";70,8;0,107347
"170";70,9;0,107985
"171";71;0,108589
"172";71,1;0,109193
