"";"cell_time";"cell_values"
"1";20;0,1
"2";20,1;0,19
"3";20,2;0,271
"4";20,3;0,3439
"5";20,4;0,40951
"6";20,5;0,468559
"7";20,6;0,521703
"8";20,7;0,569533
"9";20,8;0,61258
"10";20,9;0,651322
"11";21;0,58619
"12";21,1;0,527571
"13";21,2;0,474814
"14";21,3;0,427333
"15";21,4;0,3846
"16";21,5;0,34614
"17";21,6;0,311526
"18";21,7;0,280373
"19";21,8;0,252335
"20";21,9;0,227102
"21";22;0,204392
"22";22,1;0,183953
"23";22,2;0,165558
"24";22,3;0,149002
"25";22,4;0,134102
"26";22,5;0,120692
"27";22,6;0,108623
"28";22,7;0,097761
"29";22,8;0,087985
"30";22,9;0,079186
"31";23;0,071267
"32";23,1;0,06414
"33";23,2;0,057726
"34";23,3;0,051953
"35";23,4;0,046757
"36";23,5;0,042081
"37";23,6;0,037873
"38";23,7;0,034086
"39";23,8;0,030678
"40";23,9;0,02761
"41";24;0,024849
"42";24,1;0,022364
"43";24,2;0,020127
"44";24,3;0,018115
"45";24,4;0,016304
"46";24,5;0,014674
"47";24,6;0,013206
"48";24,7;0,011885
"49";24,8;0,010696
"50";24,9;0,009627
"51";25;0,008664
"52";25,1;0,008592
"53";25,2;0,010019
"54";25,3;0,013408
"55";25,4;0,019101
"56";25,5;0,027334
"57";25,6;0,038261
"58";25,7;0,051963
"59";25,8;0,068466
"60";25,9;0,087746
"61";26;0,109747
"62";26,1;0,133584
"63";26,2;0,15853
"64";26,3;0,183984
"65";26,4;0,209458
"66";26,5;0,234561
"67";26,6;0,258981
"68";26,7;0,282474
"69";26,8;0,304855
"70";26,9;0,325989
"71";27;0,345779
"72";27,1;0,364166
"73";27,2;0,381115
"74";27,3;0,396616
"75";27,4;0,410678
"76";27,5;0,423323
"77";27,6;0,434587
"78";27,7;0,444515
"79";27,8;0,453158
"80";27,9;0,460574
"81";28;0,466823
"82";28,1;0,471966
"83";28,2;0,476067
"84";28,3;0,47919
"85";28,4;0,481398
"86";28,5;0,482755
"87";28,6;0,48332
"88";28,7;0,483152
"89";28,8;0,482309
"90";28,9;0,480844
"91";29;0,478809
"92";29,1;0,476254
"93";29,2;0,473225
"94";29,3;0,469768
"95";29,4;0,465923
"96";29,5;0,461729
"97";29,6;0,457223
"98";29,7;0,452439
"99";29,8;0,447409
"100";29,9;0,442162
"101";30;0,436726
"102";30,1;0,431127
"103";30,2;0,425395
"104";30,3;0,419568
"105";30,4;0,413696
"106";30,5;0,407841
"107";30,6;0,402078
"108";30,7;0,396495
"109";30,8;0,39119
"110";30,9;0,386272
"111";31;0,381859
"112";31,1;0,378074
"113";31,2;0,37504
"114";31,3;0,372872
"115";31,4;0,371674
"116";31,5;0,371537
"117";31,6;0,372535
"118";31,7;0,374726
"119";31,8;0,378151
"120";31,9;0,382836
"121";32;0,38879
"122";32,1;0,396008
"123";32,2;0,404473
"124";32,3;0,414155
"125";32,4;0,425015
"126";32,5;0,437003
"127";32,6;0,450063
"128";32,7;0,464132
"129";32,8;0,479141
"130";32,9;0,495018
"131";33;0,511687
"132";33,1;0,529072
"133";33,2;0,547094
"134";33,3;0,565674
"135";33,4;0,584734
"136";33,5;0,604197
"137";33,6;0,623987
"138";33,7;0,64403
"139";33,8;0,664255
"140";33,9;0,684594
"141";34;0,704981
"142";34,1;0,725353
"143";34,2;0,745651
"144";34,3;0,765819
"145";34,4;0,785805
"146";34,5;0,805559
"147";34,6;0,825036
"148";34,7;0,844194
"149";34,8;0,862995
"150";34,9;0,881402
"151";35;0,899384
"152";35,1;0,916912
"153";35,2;0,93396
"154";35,3;0,950506
"155";35,4;0,966529
"156";35,5;0,982012
"157";35,6;0,996942
"158";35,7;1,011308
"159";35,8;1,025103
"160";35,9;1,038325
"161";36;1,050977
"162";36,1;1,063065
"163";36,2;1,074602
"164";36,3;1,085605
"165";36,4;1,096098
"166";36,5;1,106112
"167";36,6;1,11568
"168";36,7;1,124845
"169";36,8;1,133654
"170";36,9;1,142159
"171";37;1,150414
"172";37,1;1,158481
"173";37,2;1,166422
"174";37,3;1,174304
"175";37,4;1,182195
"176";37,5;1,190164
"177";37,6;1,198282
"178";37,7;1,206618
"179";37,8;1,215241
"180";37,9;1,224219
"181";38;1,233619
"182";38,1;1,243504
"183";38,2;1,253936
"184";38,3;1,264972
"185";38,4;1,276666
"186";38,5;1,289068
"187";38,6;1,302224
"188";38,7;1,316177
"189";38,8;1,330963
"190";38,9;1,346615
"191";39;1,363162
"192";39,1;1,380626
"193";39,2;1,399025
"194";39,3;1,418374
"195";39,4;1,438682
"196";39,5;1,459954
"197";39,6;1,482192
"198";39,7;1,50539
"199";39,8;1,529541
"200";39,9;1,554634
"201";40;1,580653
"202";40,1;1,60758
"203";40,2;1,635393
"204";40,3;1,664067
"205";40,4;1,693575
"206";40,5;1,723886
"207";40,6;1,754967
"208";40,7;1,786784
"209";40,8;1,819302
"210";40,9;1,852481
"211";41;1,886282
"212";41,1;1,920664
"213";41,2;1,955587
"214";41,3;1,991008
"215";41,4;2,026884
"216";41,5;2,063174
"217";41,6;2,099836
"218";41,7;2,136829
"219";41,8;2,174111
"220";41,9;2,211645
"221";42;2,249393
"222";42,1;2,287321
"223";42,2;2,325394
"224";42,3;2,363583
"225";42,4;2,40186
"226";42,5;2,440201
"227";42,6;2,478585
"228";42,7;2,516994
"229";42,8;2,555416
"230";42,9;2,593839
"231";43;2,632258
"232";43,1;2,670671
"233";43,2;2,709081
"234";43,3;2,747494
"235";43,4;2,785921
"236";43,5;2,824376
"237";43,6;2,862877
"238";43,7;2,901446
"239";43,8;2,940109
"240";43,9;2,978895
"241";44;3,017836
"242";44,1;3,056967
"243";44,2;3,096326
"244";44,3;3,135953
"245";44,4;3,175892
"246";44,5;3,216186
"247";44,6;3,256882
"248";44,7;3,298028
"249";44,8;3,339672
"250";44,9;3,381864
"251";45;3,424654
"252";45,1;3,468093
"253";45,2;3,512231
"254";45,3;3,557118
"255";45,4;3,602803
"256";45,5;3,649335
"257";45,6;3,696762
"258";45,7;3,74513
"259";45,8;3,794483
"260";45,9;3,844866
"261";46;3,896319
"262";46,1;3,948881
"263";46,2;4,002589
"264";46,3;4,057478
"265";46,4;4,113579
"266";46,5;4,170923
"267";46,6;4,229535
"268";46,7;4,28944
"269";46,8;4,35066
"270";46,9;4,413212
"271";47;4,477113
"272";47,1;4,542375
"273";47,2;4,609008
"274";47,3;4,677019
"275";47,4;4,746413
"276";47,5;4,817191
"277";47,6;4,889354
"278";47,7;4,962898
"279";47,8;5,037817
"280";47,9;5,114105
"281";48;5,191752
"282";48,1;5,270748
"283";48,2;5,351081
"284";48,3;5,432737
"285";48,4;5,515701
"286";48,5;5,599959
"287";48,6;5,685494
"288";48,7;5,77229
"289";48,8;5,860332
"290";48,9;5,949603
"291";49;6,040087
"292";49,1;6,131769
"293";49,2;6,224635
"294";49,3;6,318672
"295";49,4;6,413869
"296";49,5;6,510214
"297";49,6;6,6077
"298";49,7;6,70632
"299";49,8;6,80607
"300";49,9;6,906947
"301";50;7,008951
"302";50,1;7,112086
"303";50,2;7,216356
"304";50,3;7,321769
"305";50,4;7,428336
"306";50,5;7,536071
"307";50,6;7,644988
"308";50,7;7,755108
"309";50,8;7,866452
"310";50,9;7,979045
"311";51;8,092915
"312";51,1;8,20809
"313";51,2;8,324604
"314";51,3;8,442493
"315";51,4;8,561794
"316";51,5;8,682547
"317";51,6;8,804795
"318";51,7;8,928582
"319";51,8;9,053953
"320";51,9;9,180958
"321";52;9,309646
"322";52,1;9,440068
"323";52,2;9,572278
"324";52,3;9,706328
"325";52,4;9,842273
"326";52,5;9,980168
"327";52,6;10,12007
"328";52,7;10,262034
"329";52,8;10,406118
"330";52,9;10,552377
"331";53;10,700868
"332";53,1;10,851647
"333";53,2;11,004769
"334";53,3;11,160289
"335";53,4;11,318262
"336";53,5;11,478741
"337";53,6;11,641777
"338";53,7;11,807423
"339";53,8;11,975727
"340";53,9;12,146738
"341";54;12,320503
"342";54,1;12,497069
"343";54,2;12,676479
"344";54,3;12,858776
"345";54,4;13,044001
"346";54,5;13,232194
"347";54,6;13,423393
"348";54,7;13,617634
"349";54,8;13,814954
"350";54,9;14,015386
"351";55;14,218963
"352";55,1;14,425715
"353";55,2;14,635674
"354";55,3;14,848869
"355";55,4;15,065328
"356";55,5;15,285078
"357";55,6;15,508148
"358";55,7;15,734564
"359";55,8;15,964353
"360";55,9;16,19754
"361";56;16,434152
"362";56,1;16,674216
"363";56,2;16,917758
"364";56,3;17,164806
"365";56,4;17,415387
"366";56,5;17,669532
"367";56,6;17,927268
"368";56,7;18,188628
"369";56,8;18,453643
"370";56,9;18,722347
"371";57;18,994776
"372";57,1;19,270967
"373";57,2;19,550959
"374";57,3;19,834792
"375";57,4;20,122511
"376";57,5;20,414159
"377";57,6;20,709785
"378";57,7;21,009438
"379";57,8;21,31317
"380";57,9;21,621038
"381";58;21,933097
"382";58,1;22,249408
"383";58,2;22,570033
"384";58,3;22,895038
"385";58,4;23,224489
"386";58,5;23,558458
"387";58,6;23,897017
"388";58,7;24,240241
"389";58,8;24,588209
"390";58,9;24,940999
"391";59;25,298696
"392";59,1;25,661384
"393";59,2;26,029149
"394";59,3;26,402082
"395";59,4;26,780274
"396";59,5;27,163817
"397";59,6;27,552808
"398";59,7;27,947343
"399";59,8;28,34752
"400";59,9;28,753441
"401";60;29,165205
"402";60,1;29,582916
"403";60,2;30,006678
"404";60,3;30,436595
"405";60,4;30,872774
"406";60,5;31,315322
"407";60,6;31,764346
"408";60,7;32,219955
"409";60,8;32,682257
"410";60,9;33,151362
"411";61;33,62738
"412";61,1;34,110421
"413";61,2;34,600595
"414";61,3;35,098014
"415";61,4;35,602789
"416";61,5;36,115031
"417";61,6;36,634852
"418";61,7;37,162363
"419";61,8;37,697678
"420";61,9;38,240906
"421";62;38,792162
"422";62,1;39,351558
"423";62,2;39,919207
"424";62,3;40,495221
"425";62,4;41,079714
"426";62,5;41,672801
"427";62,6;42,274596
"428";62,7;42,885214
"429";62,8;43,504771
"430";62,9;44,133385
"431";63;44,771172
"432";63,1;45,418251
"433";63,2;46,074743
"434";63,3;46,740769
"435";63,4;47,416451
"436";63,5;48,101913
"437";63,6;48,797281
"438";63,7;49,502682
"439";63,8;50,218245
"440";63,9;50,944102
"441";64;51,680387
"442";64,1;52,427236
"443";64,2;53,184786
"444";64,3;53,953179
"445";64,4;54,732559
"446";64,5;55,523072
"447";64,6;56,324867
"448";64,7;57,138097
"449";64,8;57,962917
"450";64,9;58,799486
"451";65;59,647967
"452";65,1;60,483864
"453";65,2;61,309955
"454";65,3;62,128747
"455";65,4;62,942513
"456";65,5;63,753311
"457";65,6;64,563007
"458";65,7;65,373296
"459";65,8;66,185716
"460";65,9;67,00167
"461";66;67,822433
"462";66,1;68,673831
"463";66,2;69,554322
"464";66,3;70,462548
"465";66,4;71,397309
"466";66,5;72,357552
"467";66,6;73,342355
"468";66,7;74,350917
"469";66,8;75,382544
"470";66,9;76,436635
"471";67;77,51268
"472";67,1;78,610248
"473";67,2;79,72898
"474";67,3;80,868579
"475";67,4;82,028808
"476";67,5;83,209485
"477";67,6;84,410475
"478";67,7;85,631684
"479";67,8;86,873059
"480";67,9;88,134585
"481";68;89,416278
"482";68,1;90,718184
"483";68,2;92,040375
"484";68,3;93,382948
"485";68,4;94,746023
"486";68,5;96,129739
"487";68,6;97,534255
"488";68,7;98,959748
"489";68,8;100,40641
"490";68,9;101,874447
"491";69;103,364079
"492";69,1;104,875539
"493";69,2;106,40907
"494";69,3;107,964929
"495";69,4;109,54338
"496";69,5;111,144699
"497";69,6;112,769169
"498";69,7;114,417082
"499";69,8;116,088739
"500";69,9;117,784448
"501";70;119,504525
"502";70,1;121,249291
"503";70,2;123,019079
"504";70,3;124,814027
"505";70,4;126,634133
"506";70,5;128,479284
"507";70,6;130,349292
"508";70,7;132,243917
"509";70,8;134,16289
"510";70,9;136,105929
"511";71;138,072753
"512";71,1;140,063099
"513";71,2;142,07672
"514";71,3;144,113599
"515";71,4;146,173903
"516";71,5;148,257956
"517";71,6;150,366203
"518";71,7;152,499192
"519";71,8;154,657551
"520";71,9;156,84197
"521";72;159,053193
"522";72,1;161,291995
"523";72,2;163,559183
"524";72,3;165,855582
"525";72,4;168,182027
"526";72,5;170,539362
"527";72,6;172,92843
"528";72,7;175,350078
"529";72,8;177,805147
"530";72,9;180,294474
"531";73;182,818884
"532";73,1;185,379197
"533";73,2;187,976226
"534";73,3;190,610774
"535";73,4;193,283634
"536";73,5;195,995589
"537";73,6;198,747419
"538";73,7;201,539892
"539";73,8;204,373768
"540";73,9;207,249802
"541";74;210,168747
"542";74,1;213,131346
"543";74,2;216,13834
"544";74,3;219,190465
"545";74,4;222,288458
"546";74,5;225,433053
"547";74,6;228,624986
"548";74,7;231,864986
"549";74,8;235,153789
"550";74,9;238,492132
"551";75;241,88075
"552";75,1;245,32039
"553";75,2;248,811794
"554";75,3;252,35571
"555";75,4;255,952893
"556";75,5;259,604099
"557";75,6;263,310088
"558";75,7;267,071621
"559";75,8;270,889452
"560";75,9;274,764331
"561";76;278,696997
"562";76,1;282,688174
"563";76,2;286,73858
"564";76,3;290,848911
"565";76,4;295,019843
"566";76,5;299,252039
"567";76,6;303,546143
"568";76,7;307,90279
"569";76,8;312,322609
"570";76,9;316,806221
"571";77;321,35425
"572";77,1;325,967324
"573";77,2;330,646068
"574";77,3;335,391136
"575";77,4;340,203191
"576";77,5;345,082912
"577";77,6;350,031005
"578";77,7;355,048201
"579";77,8;360,135255
"580";77,9;365,292952
"581";78;370,522108
"582";78,1;375,82357
"583";78,2;381,198222
"584";78,3;386,646974
"585";78,4;392,170781
"586";78,5;397,770625
"587";78,6;403,447529
"588";78,7;409,202543
"589";78,8;415,036759
"590";78,9;420,9513
"591";79;426,947327
"592";79,1;433,026031
"593";79,2;439,188641
"594";79,3;445,436422
"595";79,4;451,770659
"596";79,5;458,192684
"597";79,6;464,703847
"598";79,7;471,305538
"599";79,8;477,999172
"600";79,9;484,786199
"601";80;491,668093
"602";80,1;498,646356
"603";80,2;505,722516
"604";80,3;512,898133
"605";80,4;520,174796
"606";80,5;527,554114
"607";80,6;535,037726
"608";80,7;542,627295
"609";80,8;550,324512
"610";80,9;558,131086
"611";81;566,048749
"612";81,1;574,079272
"613";81,2;582,224444
"614";81,3;590,486065
"615";81,4;598,865973
"616";81,5;607,366022
"617";81,6;615,98808
"618";81,7;624,734046
"619";81,8;633,605823
"620";81,9;642,605347
