01/12/2020;cell_time;cell_values
21/12/2020;20;0,1
21/12/2020;20,1;0,19
21/12/2020;20,2;0,271
21/12/2020;20,3;0,3439
21/12/2020;20,4;0,40951
21/12/2020;20,5;0,468559
21/12/2020;20,6;0,521703
21/12/2020;20,7;0,569533
21/12/2020;20,8;0,61258
21/12/2020;20,9;0,651322
22/12/2020;21;0,58619
22/12/2020;21,1;0,527571
22/12/2020;21,2;0,474814
22/12/2020;21,3;0,427333
22/12/2020;21,4;0,3846
22/12/2020;21,5;0,34614
22/12/2020;21,6;0,311526
22/12/2020;21,7;0,280373
22/12/2020;21,8;0,252335
22/12/2020;21,9;0,227102
23/12/2020;22;0,204392
23/12/2020;22,1;0,183953
23/12/2020;22,2;0,165558
23/12/2020;22,3;0,149002
23/12/2020;22,4;0,134102
23/12/2020;22,5;0,120692
23/12/2020;22,6;0,108623
23/12/2020;22,7;0,097761
23/12/2020;22,8;0,087985
23/12/2020;22,9;0,079186
24/12/2020;23;0,071267
24/12/2020;23,1;0,06414
24/12/2020;23,2;0,057726
24/12/2020;23,3;0,051953
24/12/2020;23,4;0,046757
24/12/2020;23,5;0,042081
24/12/2020;23,6;0,037873
24/12/2020;23,7;0,034086
24/12/2020;23,8;0,030678
24/12/2020;23,9;0,02761
25/12/2020;24;0,024849
25/12/2020;24,1;0,022364
25/12/2020;24,2;0,020127
25/12/2020;24,3;0,018115
25/12/2020;24,4;0,016304
25/12/2020;24,5;0,014674
25/12/2020;24,6;0,013206
25/12/2020;24,7;0,011885
25/12/2020;24,8;0,010696
25/12/2020;24,9;0,009627
26/12/2020;25;0,008664
26/12/2020;25,1;0,008592
26/12/2020;25,2;0,010019
26/12/2020;25,3;0,013408
26/12/2020;25,4;0,019101
26/12/2020;25,5;0,027334
26/12/2020;25,6;0,038261
26/12/2020;25,7;0,051963
26/12/2020;25,8;0,068466
26/12/2020;25,9;0,087746
27/12/2020;26;0,109747
27/12/2020;26,1;0,133584
27/12/2020;26,2;0,15853
27/12/2020;26,3;0,183984
27/12/2020;26,4;0,209458
27/12/2020;26,5;0,234561
27/12/2020;26,6;0,258981
27/12/2020;26,7;0,282474
27/12/2020;26,8;0,304855
27/12/2020;26,9;0,325989
28/12/2020;27;0,345779
28/12/2020;27,1;0,364166
28/12/2020;27,2;0,381115
28/12/2020;27,3;0,396616
28/12/2020;27,4;0,410678
28/12/2020;27,5;0,423323
28/12/2020;27,6;0,434587
28/12/2020;27,7;0,444515
28/12/2020;27,8;0,453158
28/12/2020;27,9;0,460574
29/12/2020;28;0,466823
29/12/2020;28,1;0,471966
29/12/2020;28,2;0,476067
29/12/2020;28,3;0,47919
29/12/2020;28,4;0,481398
29/12/2020;28,5;0,482755
29/12/2020;28,6;0,48332
29/12/2020;28,7;0,483152
29/12/2020;28,8;0,482309
29/12/2020;28,9;0,480844
30/12/2020;29;0,478809
30/12/2020;29,1;0,476254
30/12/2020;29,2;0,473225
30/12/2020;29,3;0,469768
30/12/2020;29,4;0,465923
30/12/2020;29,5;0,461729
30/12/2020;29,6;0,457223
30/12/2020;29,7;0,452439
30/12/2020;29,8;0,447409
30/12/2020;29,9;0,442162
31/12/2020;30;0,436726
31/12/2020;30,1;0,431127
31/12/2020;30,2;0,425395
31/12/2020;30,3;0,419568
31/12/2020;30,4;0,413696
31/12/2020;30,5;0,407841
31/12/2020;30,6;0,402078
31/12/2020;30,7;0,396495
31/12/2020;30,8;0,39119
31/12/2020;30,9;0,386272
01/01/2021;31;0,381859
01/01/2021;31,1;0,378074
01/01/2021;31,2;0,37504
01/01/2021;31,3;0,372872
01/01/2021;31,4;0,371674
01/01/2021;31,5;0,371537
01/01/2021;31,6;0,372535
01/01/2021;31,7;0,374726
01/01/2021;31,8;0,378151
01/01/2021;31,9;0,382836
02/01/2021;32;0,38879
02/01/2021;32,1;0,396008
02/01/2021;32,2;0,404473
02/01/2021;32,3;0,414155
02/01/2021;32,4;0,425015
02/01/2021;32,5;0,437003
02/01/2021;32,6;0,450063
02/01/2021;32,7;0,464132
02/01/2021;32,8;0,479141
02/01/2021;32,9;0,495018
03/01/2021;33;0,511687
03/01/2021;33,1;0,529072
03/01/2021;33,2;0,547094
03/01/2021;33,3;0,565674
03/01/2021;33,4;0,584734
03/01/2021;33,5;0,604197
03/01/2021;33,6;0,623987
03/01/2021;33,7;0,64403
03/01/2021;33,8;0,664255
03/01/2021;33,9;0,684594
04/01/2021;34;0,704981
04/01/2021;34,1;0,725353
04/01/2021;34,2;0,745651
04/01/2021;34,3;0,765819
04/01/2021;34,4;0,785805
04/01/2021;34,5;0,805559
04/01/2021;34,6;0,825036
04/01/2021;34,7;0,844194
04/01/2021;34,8;0,862995
04/01/2021;34,9;0,881402
05/01/2021;35;0,899384
05/01/2021;35,1;0,916912
05/01/2021;35,2;0,93396
05/01/2021;35,3;0,950506
05/01/2021;35,4;0,966529
05/01/2021;35,5;0,982012
05/01/2021;35,6;0,996942
05/01/2021;35,7;1,011308
05/01/2021;35,8;1,025103
05/01/2021;35,9;1,038325
06/01/2021;36;1,050977
06/01/2021;36,1;1,063065
06/01/2021;36,2;1,074602
06/01/2021;36,3;1,085605
06/01/2021;36,4;1,096098
06/01/2021;36,5;1,106112
06/01/2021;36,6;1,11568
06/01/2021;36,7;1,124845
06/01/2021;36,8;1,133654
06/01/2021;36,9;1,142159
07/01/2021;37;1,150414
07/01/2021;37,1;1,158481
07/01/2021;37,2;1,166422
07/01/2021;37,3;1,174304
07/01/2021;37,4;1,182195
07/01/2021;37,5;1,190164
07/01/2021;37,6;1,198282
07/01/2021;37,7;1,206618
07/01/2021;37,8;1,215241
07/01/2021;37,9;1,224219
08/01/2021;38;1,233619
08/01/2021;38,1;1,243504
08/01/2021;38,2;1,253936
08/01/2021;38,3;1,264972
08/01/2021;38,4;1,276666
08/01/2021;38,5;1,289068
08/01/2021;38,6;1,302224
08/01/2021;38,7;1,316177
08/01/2021;38,8;1,330963
08/01/2021;38,9;1,346615
09/01/2021;39;1,363162
09/01/2021;39,1;1,380626
09/01/2021;39,2;1,399025
09/01/2021;39,3;1,418374
09/01/2021;39,4;1,438682
09/01/2021;39,5;1,459954
09/01/2021;39,6;1,482192
09/01/2021;39,7;1,50539
09/01/2021;39,8;1,529541
09/01/2021;39,9;1,554634
10/01/2021;40;1,580653
10/01/2021;40,1;1,60758
10/01/2021;40,2;1,635393
10/01/2021;40,3;1,664067
10/01/2021;40,4;1,693575
10/01/2021;40,5;1,723886
10/01/2021;40,6;1,754967
10/01/2021;40,7;1,786784
10/01/2021;40,8;1,819302
10/01/2021;40,9;1,852481
11/01/2021;41;1,886282
11/01/2021;41,1;1,920664
11/01/2021;41,2;1,955587
11/01/2021;41,3;1,991008
11/01/2021;41,4;2,026884
11/01/2021;41,5;2,063174
11/01/2021;41,6;2,099836
11/01/2021;41,7;2,136829
11/01/2021;41,8;2,174111
11/01/2021;41,9;2,211645
12/01/2021;42;2,249393
12/01/2021;42,1;2,287321
12/01/2021;42,2;2,325394
12/01/2021;42,3;2,363583
12/01/2021;42,4;2,40186
12/01/2021;42,5;2,440201
12/01/2021;42,6;2,478585
12/01/2021;42,7;2,516994
12/01/2021;42,8;2,555416
12/01/2021;42,9;2,593839
13/01/2021;43;2,632258
13/01/2021;43,1;2,670671
13/01/2021;43,2;2,709081
13/01/2021;43,3;2,747494
13/01/2021;43,4;2,785921
13/01/2021;43,5;2,824376
13/01/2021;43,6;2,862877
13/01/2021;43,7;2,901446
13/01/2021;43,8;2,940109
13/01/2021;43,9;2,978895
14/01/2021;44;3,017836
14/01/2021;44,1;3,056967
14/01/2021;44,2;3,096326
14/01/2021;44,3;3,135953
14/01/2021;44,4;3,175892
14/01/2021;44,5;3,216186
14/01/2021;44,6;3,256882
14/01/2021;44,7;3,298028
14/01/2021;44,8;3,339672
14/01/2021;44,9;3,381864
15/01/2021;45;3,424654
15/01/2021;45,1;3,468093
15/01/2021;45,2;3,512231
15/01/2021;45,3;3,557118
15/01/2021;45,4;3,602803
15/01/2021;45,5;3,649335
15/01/2021;45,6;3,696762
15/01/2021;45,7;3,74513
15/01/2021;45,8;3,794483
15/01/2021;45,9;3,844866
16/01/2021;46;3,896319
16/01/2021;46,1;3,948881
16/01/2021;46,2;4,002589
16/01/2021;46,3;4,057478
16/01/2021;46,4;4,113579
16/01/2021;46,5;4,170923
16/01/2021;46,6;4,229535
16/01/2021;46,7;4,28944
16/01/2021;46,8;4,35066
16/01/2021;46,9;4,413212
17/01/2021;47;4,477113
17/01/2021;47,1;4,542375
17/01/2021;47,2;4,609008
17/01/2021;47,3;4,677019
17/01/2021;47,4;4,746413
17/01/2021;47,5;4,817191
17/01/2021;47,6;4,889354
17/01/2021;47,7;4,962898
17/01/2021;47,8;5,037817
17/01/2021;47,9;5,114105
18/01/2021;48;5,191752
18/01/2021;48,1;5,270748
18/01/2021;48,2;5,351081
18/01/2021;48,3;5,432737
18/01/2021;48,4;5,515701
18/01/2021;48,5;5,599959
18/01/2021;48,6;5,685494
18/01/2021;48,7;5,77229
18/01/2021;48,8;5,860332
18/01/2021;48,9;5,949603
19/01/2021;49;6,040087
19/01/2021;49,1;6,131769
19/01/2021;49,2;6,224635
19/01/2021;49,3;6,318672
19/01/2021;49,4;6,413869
19/01/2021;49,5;6,510214
19/01/2021;49,6;6,6077
19/01/2021;49,7;6,70632
19/01/2021;49,8;6,80607
19/01/2021;49,9;6,906947
20/01/2021;50;7,008951
20/01/2021;50,1;7,112086
20/01/2021;50,2;7,216356
20/01/2021;50,3;7,321769
20/01/2021;50,4;7,428336
20/01/2021;50,5;7,536071
20/01/2021;50,6;7,644988
20/01/2021;50,7;7,755108
20/01/2021;50,8;7,866452
20/01/2021;50,9;7,979045
21/01/2021;51;8,092915
21/01/2021;51,1;8,20809
21/01/2021;51,2;8,324604
21/01/2021;51,3;8,442493
21/01/2021;51,4;8,561794
21/01/2021;51,5;8,682547
21/01/2021;51,6;8,804795
21/01/2021;51,7;8,928582
21/01/2021;51,8;9,053953
21/01/2021;51,9;9,180958
22/01/2021;52;9,309646
22/01/2021;52,1;9,440068
22/01/2021;52,2;9,572278
22/01/2021;52,3;9,706328
22/01/2021;52,4;9,842273
22/01/2021;52,5;9,980168
22/01/2021;52,6;10,12007
22/01/2021;52,7;10,262034
22/01/2021;52,8;10,406118
22/01/2021;52,9;10,552377
23/01/2021;53;10,700868
23/01/2021;53,1;10,851647
23/01/2021;53,2;11,004769
23/01/2021;53,3;11,160289
23/01/2021;53,4;11,318262
23/01/2021;53,5;11,478741
23/01/2021;53,6;11,641777
23/01/2021;53,7;11,807423
23/01/2021;53,8;11,975727
23/01/2021;53,9;12,146738
24/01/2021;54;12,320503
24/01/2021;54,1;12,497069
24/01/2021;54,2;12,676479
24/01/2021;54,3;12,858776
24/01/2021;54,4;13,044001
24/01/2021;54,5;13,232194
24/01/2021;54,6;13,423393
24/01/2021;54,7;13,617634
24/01/2021;54,8;13,814954
24/01/2021;54,9;14,015386
25/01/2021;55;14,218963
25/01/2021;55,1;14,425715
25/01/2021;55,2;14,635674
25/01/2021;55,3;14,848869
25/01/2021;55,4;15,065328
25/01/2021;55,5;15,285078
25/01/2021;55,6;15,508148
25/01/2021;55,7;15,734564
25/01/2021;55,8;15,964353
25/01/2021;55,9;16,19754
26/01/2021;56;16,434152
26/01/2021;56,1;16,674216
26/01/2021;56,2;16,917758
26/01/2021;56,3;17,164806
26/01/2021;56,4;17,415387
26/01/2021;56,5;17,669532
26/01/2021;56,6;17,927268
26/01/2021;56,7;18,188628
26/01/2021;56,8;18,453643
26/01/2021;56,9;18,722347
27/01/2021;57;18,994776
27/01/2021;57,1;19,270967
27/01/2021;57,2;19,550959
27/01/2021;57,3;19,834792
27/01/2021;57,4;20,122511
27/01/2021;57,5;20,414159
27/01/2021;57,6;20,709785
27/01/2021;57,7;21,009438
27/01/2021;57,8;21,31317
27/01/2021;57,9;21,621038
28/01/2021;58;21,933097
28/01/2021;58,1;22,249408
28/01/2021;58,2;22,570033
28/01/2021;58,3;22,895038
28/01/2021;58,4;23,224489
28/01/2021;58,5;23,558458
28/01/2021;58,6;23,897017
28/01/2021;58,7;24,240241
28/01/2021;58,8;24,588209
28/01/2021;58,9;24,940999
29/01/2021;59;25,298696
29/01/2021;59,1;25,661384
29/01/2021;59,2;26,029149
29/01/2021;59,3;26,402082
29/01/2021;59,4;26,780274
29/01/2021;59,5;27,163817
29/01/2021;59,6;27,552808
29/01/2021;59,7;27,947343
29/01/2021;59,8;28,34752
29/01/2021;59,9;28,753441
30/01/2021;60;29,165205
30/01/2021;60,1;29,582916
30/01/2021;60,2;30,006678
30/01/2021;60,3;30,436595
30/01/2021;60,4;30,872774
30/01/2021;60,5;31,315322
30/01/2021;60,6;31,764346
30/01/2021;60,7;32,219955
30/01/2021;60,8;32,682257
30/01/2021;60,9;33,151362
31/01/2021;61;33,62738
31/01/2021;61,1;34,110421
31/01/2021;61,2;34,600595
31/01/2021;61,3;35,098014
31/01/2021;61,4;35,602789
31/01/2021;61,5;36,115031
31/01/2021;61,6;36,634852
31/01/2021;61,7;37,162363
31/01/2021;61,8;37,697678
31/01/2021;61,9;38,240906
01/02/2021;62;38,792162
01/02/2021;62,1;39,351558
01/02/2021;62,2;39,919207
01/02/2021;62,3;40,495221
01/02/2021;62,4;41,079714
01/02/2021;62,5;41,672801
01/02/2021;62,6;42,274596
01/02/2021;62,7;42,885214
01/02/2021;62,8;43,504771
01/02/2021;62,9;44,133385
02/02/2021;63;44,771172
02/02/2021;63,1;45,418251
02/02/2021;63,2;46,074743
02/02/2021;63,3;46,740769
02/02/2021;63,4;47,416451
02/02/2021;63,5;48,101913
02/02/2021;63,6;48,797281
02/02/2021;63,7;49,502682
02/02/2021;63,8;50,218245
02/02/2021;63,9;50,944102
03/02/2021;64;51,680387
03/02/2021;64,1;52,427236
03/02/2021;64,2;53,184786
03/02/2021;64,3;53,953179
03/02/2021;64,4;54,732559
03/02/2021;64,5;55,523072
03/02/2021;64,6;56,324867
03/02/2021;64,7;57,138097
03/02/2021;64,8;57,962917
03/02/2021;64,9;58,799486
04/02/2021;65;59,647967
04/02/2021;65,1;60,483864
04/02/2021;65,2;61,309955
04/02/2021;65,3;62,128747
04/02/2021;65,4;62,942513
04/02/2021;65,5;63,753311
04/02/2021;65,6;64,563007
04/02/2021;65,7;65,373296
04/02/2021;65,8;66,185716
04/02/2021;65,9;67,00167
05/02/2021;66;67,822433
05/02/2021;66,1;68,673831
05/02/2021;66,2;69,554322
05/02/2021;66,3;70,462548
05/02/2021;66,4;71,397309
05/02/2021;66,5;72,357552
05/02/2021;66,6;73,342355
05/02/2021;66,7;74,350917
05/02/2021;66,8;75,382544
05/02/2021;66,9;76,436635
06/02/2021;67;77,51268
06/02/2021;67,1;78,610248
06/02/2021;67,2;79,72898
06/02/2021;67,3;80,868579
06/02/2021;67,4;82,028808
06/02/2021;67,5;83,209485
06/02/2021;67,6;84,410475
06/02/2021;67,7;85,631684
06/02/2021;67,8;86,873059
06/02/2021;67,9;88,134585
07/02/2021;68;89,416278
07/02/2021;68,1;90,718184
07/02/2021;68,2;92,040375
07/02/2021;68,3;93,382948
07/02/2021;68,4;94,746023
07/02/2021;68,5;96,129739
07/02/2021;68,6;97,534255
07/02/2021;68,7;98,959748
07/02/2021;68,8;100,40641
07/02/2021;68,9;101,874447
08/02/2021;69;103,364079
08/02/2021;69,1;104,875539
08/02/2021;69,2;106,40907
08/02/2021;69,3;107,964929
08/02/2021;69,4;109,54338
08/02/2021;69,5;111,144699
08/02/2021;69,6;112,769169
08/02/2021;69,7;114,417082
08/02/2021;69,8;116,088739
08/02/2021;69,9;117,784448
09/02/2021;70;119,504525
09/02/2021;70,1;121,249291
09/02/2021;70,2;123,019079
09/02/2021;70,3;124,814027
09/02/2021;70,4;126,634133
09/02/2021;70,5;128,479284
09/02/2021;70,6;130,349292
09/02/2021;70,7;132,243917
09/02/2021;70,8;134,16289
09/02/2021;70,9;136,105929
10/02/2021;71;138,072753
10/02/2021;71,1;140,063099
10/02/2021;71,2;142,07672
10/02/2021;71,3;144,113599
10/02/2021;71,4;146,173903
10/02/2021;71,5;148,257956
10/02/2021;71,6;150,366203
10/02/2021;71,7;152,499192
10/02/2021;71,8;154,657551
10/02/2021;71,9;156,84197
11/02/2021;72;159,053193
11/02/2021;72,1;161,291995
11/02/2021;72,2;163,559183
11/02/2021;72,3;165,855582
11/02/2021;72,4;168,182027
11/02/2021;72,5;170,539362
11/02/2021;72,6;172,92843
11/02/2021;72,7;175,350078
11/02/2021;72,8;177,805147
11/02/2021;72,9;180,294474
12/02/2021;73;182,818884
12/02/2021;73,1;185,379197
12/02/2021;73,2;187,976226
12/02/2021;73,3;190,610774
12/02/2021;73,4;193,283634
12/02/2021;73,5;195,995589
12/02/2021;73,6;198,747419
12/02/2021;73,7;201,539892
12/02/2021;73,8;204,373768
12/02/2021;73,9;207,249802
13/02/2021;74;210,168747
13/02/2021;74,1;213,131346
13/02/2021;74,2;216,13834
13/02/2021;74,3;219,190465
13/02/2021;74,4;222,288458
13/02/2021;74,5;225,433053
13/02/2021;74,6;228,624986
13/02/2021;74,7;231,864986
13/02/2021;74,8;235,153789
13/02/2021;74,9;238,492132
14/02/2021;75;241,88075
14/02/2021;75,1;245,32039
14/02/2021;75,2;248,811794
14/02/2021;75,3;252,35571
14/02/2021;75,4;255,952893
14/02/2021;75,5;259,604099
14/02/2021;75,6;263,310088
14/02/2021;75,7;267,071621
14/02/2021;75,8;270,889452
14/02/2021;75,9;274,764331
15/02/2021;76;278,696997
15/02/2021;76,1;282,688174
15/02/2021;76,2;286,73858
15/02/2021;76,3;290,848911
15/02/2021;76,4;295,019843
15/02/2021;76,5;299,252039
15/02/2021;76,6;303,546143
15/02/2021;76,7;307,90279
15/02/2021;76,8;312,322609
15/02/2021;76,9;316,806221
16/02/2021;77;321,35425
16/02/2021;77,1;325,967324
16/02/2021;77,2;330,646068
16/02/2021;77,3;335,391136
16/02/2021;77,4;340,203191
16/02/2021;77,5;345,082912
16/02/2021;77,6;350,031005
16/02/2021;77,7;355,048201
16/02/2021;77,8;360,135255
16/02/2021;77,9;365,292952
17/02/2021;78;370,522108
17/02/2021;78,1;375,82357
17/02/2021;78,2;381,198222
17/02/2021;78,3;386,646974
17/02/2021;78,4;392,170781
17/02/2021;78,5;397,770625
17/02/2021;78,6;403,447529
17/02/2021;78,7;409,202543
17/02/2021;78,8;415,036759
17/02/2021;78,9;420,9513
18/02/2021;79;426,947327
18/02/2021;79,1;433,026031
18/02/2021;79,2;439,188641
18/02/2021;79,3;445,436422
18/02/2021;79,4;451,770659
18/02/2021;79,5;458,192684
18/02/2021;79,6;464,703847
18/02/2021;79,7;471,305538
18/02/2021;79,8;477,999172
18/02/2021;79,9;484,786199
19/02/2021;80;491,668093
19/02/2021;80,1;498,646356
19/02/2021;80,2;505,722516
19/02/2021;80,3;512,898133
19/02/2021;80,4;520,174796
19/02/2021;80,5;527,554114
19/02/2021;80,6;535,037726
19/02/2021;80,7;542,627295
19/02/2021;80,8;550,324512
19/02/2021;80,9;558,131086
20/02/2021;81;566,048749
20/02/2021;81,1;574,079272
20/02/2021;81,2;582,224444
20/02/2021;81,3;590,486065
20/02/2021;81,4;598,865973
20/02/2021;81,5;607,366022
20/02/2021;81,6;615,98808
20/02/2021;81,7;624,734046
20/02/2021;81,8;633,605823
20/02/2021;81,9;642,605347
21/02/2021;82;651,734565
21/02/2021;82,1;660,995436
21/02/2021;82,2;670,389936
21/02/2021;82,3;679,920057
21/02/2021;82,4;689,587793
21/02/2021;82,5;699,395166
21/02/2021;82,6;709,344202
21/02/2021;82,7;719,436939
21/02/2021;82,8;729,675434
21/02/2021;82,9;740,06175
22/02/2021;83;750,597968
22/02/2021;83,1;761,28617
22/02/2021;83,2;772,128462
22/02/2021;83,3;783,126966
22/02/2021;83,4;794,283821
22/02/2021;83,5;805,601173
22/02/2021;83,6;817,081196
22/02/2021;83,7;828,726075
22/02/2021;83,8;840,53802
22/02/2021;83,9;852,519264
23/02/2021;84;864,67206
23/02/2021;84,1;876,998695
23/02/2021;84,2;889,501478
23/02/2021;84,3;902,18274
23/02/2021;84,4;915,044849
23/02/2021;84,5;928,090198
23/02/2021;84,6;941,321222
23/02/2021;84,7;954,740387
23/02/2021;84,8;968,350195
23/02/2021;84,9;982,153179
24/02/2021;85;996,151915
24/02/2021;85,1;1010,349029
24/02/2021;85,2;1024,74718
24/02/2021;85,3;1039,349079
24/02/2021;85,4;1054,157471
24/02/2021;85,5;1069,175159
24/02/2021;85,6;1084,404987
24/02/2021;85,7;1099,849854
24/02/2021;85,8;1115,512696
24/02/2021;85,9;1131,396522
25/02/2021;86;1147,504396
25/02/2021;86,1;1163,839405
25/02/2021;86,2;1180,404712
25/02/2021;86,3;1197,20354
25/02/2021;86,4;1214,239161
25/02/2021;86,5;1231,514906
25/02/2021;86,6;1249,034169
25/02/2021;86,7;1266,800392
25/02/2021;86,8;1284,817091
25/02/2021;86,9;1303,087843
26/02/2021;87;1321,616273
26/02/2021;87,1;1340,40608
26/02/2021;87,2;1359,461024
26/02/2021;87,3;1378,784925
26/02/2021;87,4;1398,381677
26/02/2021;87,5;1418,255224
26/02/2021;87,6;1438,409582
26/02/2021;87,7;1458,848827
26/02/2021;87,8;1479,577099
26/02/2021;87,9;1500,598595
27/02/2021;88;1521,917589
27/02/2021;88,1;1543,538415
27/02/2021;88,2;1565,465466
27/02/2021;88,3;1587,703198
27/02/2021;88,4;1610,256128
27/02/2021;88,5;1633,128858
27/02/2021;88,6;1656,326038
27/02/2021;88,7;1679,852393
27/02/2021;88,8;1703,712708
27/02/2021;88,9;1727,911817
28/02/2021;89;1752,454627
28/02/2021;89,1;1777,34613
28/02/2021;89,2;1802,591345
28/02/2021;89,3;1828,195373
28/02/2021;89,4;1854,163391
28/02/2021;89,5;1880,50061
28/02/2021;89,6;1907,212329
28/02/2021;89,7;1934,303894
28/02/2021;89,8;1961,780737
28/02/2021;89,9;1989,648352
01/03/2021;90;2017,912293
01/03/2021;90,1;2046,578163
01/03/2021;90,2;2075,651649
01/03/2021;90,3;2105,138515
01/03/2021;90,4;2135,044606
01/03/2021;90,5;2165,375819
01/03/2021;90,6;2196,138111
01/03/2021;90,7;2227,337525
01/03/2021;90,8;2258,980176
01/03/2021;90,9;2291,072266
02/03/2021;91;2323,620068
02/03/2021;91,1;2356,629931
02/03/2021;91,2;2390,1083
02/03/2021;91,3;2424,061693
02/03/2021;91,4;2458,496678
02/03/2021;91,5;2493,419945
02/03/2021;91,6;2528,83828
02/03/2021;91,7;2564,758544
02/03/2021;91,8;2601,187646
02/03/2021;91,9;2638,132641
03/03/2021;92;2675,600659
03/03/2021;92,1;2713,598926
03/03/2021;92,2;2752,13479
03/03/2021;92,3;2791,215674
03/03/2021;92,4;2830,849097
03/03/2021;92,5;2871,042725
03/03/2021;92,6;2911,804273
03/03/2021;92,7;2953,141627
03/03/2021;92,8;2995,062769
03/03/2021;92,9;3037,575757
04/03/2021;93;3080,688794
04/03/2021;93,1;3124,410205
04/03/2021;93,2;3168,748413
04/03/2021;93,3;3213,711963
04/03/2021;93,4;3259,309571
04/03/2021;93,5;3305,55
04/03/2021;93,6;3352,442212
04/03/2021;93,7;3399,995239
04/03/2021;93,8;3448,218286
04/03/2021;93,9;3497,120703
05/03/2021;94;3546,711963
05/03/2021;94,1;3597,001684
05/03/2021;94,2;3647,999609
05/03/2021;94,3;3699,715649
05/03/2021;94,4;3752,159814
05/03/2021;94,5;3805,342285
05/03/2021;94,6;3859,273388
05/03/2021;94,7;3913,963622
05/03/2021;94,8;3969,423632
05/03/2021;94,9;4025,66416
06/03/2021;95;4082,696118
06/03/2021;95,1;4140,530615
06/03/2021;95,2;4199,178906
06/03/2021;95,3;4258,652392
06/03/2021;95,4;4318,962597
06/03/2021;95,5;4380,12124
06/03/2021;95,6;4442,140235
06/03/2021;95,7;4505,031642
06/03/2021;95,8;4568,807619
06/03/2021;95,9;4633,480617
07/03/2021;96;4699,063185
07/03/2021;96,1;4765,56797
07/03/2021;96,2;4833,007863
07/03/2021;96,3;4901,3959
07/03/2021;96,4;4970,745363
07/03/2021;96,5;5041,069728
07/03/2021;96,6;5112,38252
07/03/2021;96,7;5184,697461
07/03/2021;96,8;5258,028564
07/03/2021;96,9;5332,389941
08/03/2021;97;5407,795898
08/03/2021;97,1;5484,260986
08/03/2021;97,2;5561,799853
08/03/2021;97,3;5640,427392
08/03/2021;97,4;5720,15869
08/03/2021;97,5;5801,008934
08/03/2021;97,6;5882,993651
08/03/2021;97,7;5966,128466
08/03/2021;97,8;6050,429247
08/03/2021;97,9;6135,912059
09/03/2021;98;6222,593212
09/03/2021;98,1;6310,48916
09/03/2021;98,2;6399,61665
09/03/2021;98,3;6489,992578
09/03/2021;98,4;6581,634033
09/03/2021;98,5;6674,558398
09/03/2021;98,6;6768,783252
09/03/2021;98,7;6864,326415
09/03/2021;98,8;6961,205908
09/03/2021;98,9;7059,439892
10/03/2021;99;7159,046874
10/03/2021;99,1;7260,045604
10/03/2021;99,2;7362,455028
10/03/2021;99,3;7466,294383
10/03/2021;99,4;7571,583153
10/03/2021;99,5;7678,341015
10/03/2021;99,6;7786,587841
10/03/2021;99,7;7896,343945
10/03/2021;99,8;8007,629784
10/03/2021;99,9;8120,46621
11/03/2021;100;8234,874169
11/03/2021;100,1;8350,874902
11/03/2021;100,2;8468,48999
11/03/2021;100,3;8587,741309
11/03/2021;100,4;8708,650928
11/03/2021;100,5;8831,241309
11/03/2021;100,6;8955,535157
11/03/2021;100,7;9081,555372
11/03/2021;100,8;9209,325294
11/03/2021;100,9;9338,868458
12/03/2021;101;9470,208888
12/03/2021;101,1;9603,370802
12/03/2021;101,2;9738,378614
12/03/2021;101,3;9875,257227
12/03/2021;101,4;10014,03174
12/03/2021;101,5;10154,72764
12/03/2021;101,6;10297,3708
12/03/2021;101,7;10441,9874
12/03/2021;101,8;10588,60381
12/03/2021;101,9;10737,24688
13/03/2021;102;10887,94365
13/03/2021;102,1;11040,72158
13/03/2021;102,2;11195,60869
13/03/2021;102,3;11352,63301
13/03/2021;102,4;11511,82315
13/03/2021;102,5;11673,20791
13/03/2021;102,6;11836,8166
13/03/2021;102,7;12002,67871
13/03/2021;102,8;12170,82442
13/03/2021;102,9;12341,28399
14/03/2021;103;12514,08819
14/03/2021;103,1;12689,26807
14/03/2021;103,2;12866,85498
14/03/2021;103,3;13046,88096
14/03/2021;103,4;13229,37813
14/03/2021;103,5;13414,3792
14/03/2021;103,6;13601,91709
14/03/2021;103,7;13792,02539
14/03/2021;103,8;13984,73779
14/03/2021;103,9;14180,08848
15/03/2021;104;14378,11201
15/03/2021;104,1;14578,84365
15/03/2021;104,2;14782,31875
15/03/2021;104,3;14988,57305
15/03/2021;104,4;15197,64297
15/03/2021;104,5;15409,56514
15/03/2021;104,6;15624,37666
15/03/2021;104,7;15842,11524
15/03/2021;104,8;16062,81875
15/03/2021;104,9;16286,52569
16/03/2021;105;16513,2749
16/03/2021;105,1;16743,10557
16/03/2021;105,2;16813,97305
16/03/2021;105,3;16739,88926
16/03/2021;105,4;16533,43945
16/03/2021;105,5;16205,92481
16/03/2021;105,6;15767,49024
16/03/2021;105,7;15227,23975
16/03/2021;105,8;14593,34053
