"";"cell_time";"cell_values"
"1";0,1;0
"2";0,2;0
"3";0,3;0
"4";0,4;0
"5";0,5;0
"6";0,6;0
"7";0,7;0
"8";0,8;0
"9";0,9;0
"10";1;0
"11";1,1;0
"12";1,2;0
"13";1,3;0
"14";1,4;0
"15";1,5;0
"16";1,6;0
"17";1,7;0
"18";1,8;0
"19";1,9;0
"20";2;0
"21";2,1;0
"22";2,2;0
"23";2,3;0
"24";2,4;0
"25";2,5;0
"26";2,6;0
"27";2,7;0
"28";2,8;0
"29";2,9;0
"30";3;0
"31";3,1;0
"32";3,2;0
"33";3,3;0
"34";3,4;0
"35";3,5;0
"36";3,6;0
"37";3,7;0
"38";3,8;0
"39";3,9;0
"40";4;0
"41";4,1;0
"42";4,2;0
"43";4,3;0
"44";4,4;0
"45";4,5;0
"46";4,6;0
"47";4,7;0
"48";4,8;0
"49";4,9;0
"50";5;0
"51";5,1;0
"52";5,2;0
"53";5,3;0
"54";5,4;0
"55";5,5;0
"56";5,6;0
"57";5,7;0
"58";5,8;0
"59";5,9;0
"60";6;0
"61";6,1;0
"62";6,2;0
"63";6,3;0
"64";6,4;0
"65";6,5;0
"66";6,6;0
"67";6,7;0
"68";6,8;0
"69";6,9;0
"70";7;0
"71";7,1;0
"72";7,2;0
"73";7,3;0
"74";7,4;0
"75";7,5;0
"76";7,6;0
"77";7,7;0
"78";7,8;0
"79";7,9;0
"80";8;0
"81";8,1;0
"82";8,2;0
"83";8,3;0
"84";8,4;0
"85";8,5;0
"86";8,6;0
"87";8,7;0
"88";8,8;0
"89";8,9;0
"90";9;0
"91";9,1;0
"92";9,2;0
"93";9,3;0
"94";9,4;0
"95";9,5;0
"96";9,6;0
"97";9,7;0
"98";9,8;0
"99";9,9;0
"100";10;0
"101";10,1;0
"102";10,2;0
"103";10,3;0
"104";10,4;0
"105";10,5;0
"106";10,6;0
"107";10,7;0
"108";10,8;0
"109";10,9;0
"110";11;0
"111";11,1;0
"112";11,2;0
"113";11,3;0
"114";11,4;0
"115";11,5;0
"116";11,6;0
"117";11,7;0
"118";11,8;0
"119";11,9;0
"120";12;0
"121";12,1;0
"122";12,2;0
"123";12,3;0
"124";12,4;0
"125";12,5;0
"126";12,6;0
"127";12,7;0
"128";12,8;0
"129";12,9;0
"130";13;0
"131";13,1;0
"132";13,2;0
"133";13,3;0
"134";13,4;0
"135";13,5;0
"136";13,6;0
"137";13,7;0
"138";13,8;0
"139";13,9;0
"140";14;0
"141";14,1;0
"142";14,2;0
"143";14,3;0
"144";14,4;0
"145";14,5;0
"146";14,6;0
"147";14,7;0
"148";14,8;0
"149";14,9;0
"150";15;0
"151";15,1;0
"152";15,2;0
"153";15,3;0
"154";15,4;0
"155";15,5;0
"156";15,6;0
"157";15,7;0
"158";15,8;0
"159";15,9;0
"160";16;0
"161";16,1;0
"162";16,2;0
"163";16,3;0
"164";16,4;0
"165";16,5;0
"166";16,6;0
"167";16,7;0
"168";16,8;0
"169";16,9;0
"170";17;0
"171";17,1;0
"172";17,2;0
"173";17,3;0
"174";17,4;0
"175";17,5;0
"176";17,6;0
"177";17,7;0
"178";17,8;0
"179";17,9;0
"180";18;0
"181";18,1;0
"182";18,2;0
"183";18,3;0
"184";18,4;0
"185";18,5;0
"186";18,6;0
"187";18,7;0
"188";18,8;0
"189";18,9;0
"190";19;0
"191";19,1;0
"192";19,2;0
"193";19,3;0
"194";19,4;0
"195";19,5;0
"196";19,6;0
"197";19,7;0
"198";19,8;0
"199";19,9;0
"200";20;0
"201";20,1;0
"202";20,2;0
"203";20,3;0
"204";20,4;0
"205";20,5;0
"206";20,6;0
"207";20,7;0
"208";20,8;0
"209";20,9;0
"210";21;0
"211";21,1;0
"212";21,2;0
"213";21,3;0
"214";21,4;0
"215";21,5;0
"216";21,6;0
"217";21,7;0
"218";21,8;0
"219";21,9;0
"220";22;0
"221";22,1;0
"222";22,2;0
"223";22,3;0
"224";22,4;0
"225";22,5;0
"226";22,6;0
"227";22,7;0
"228";22,8;0
"229";22,9;0
"230";23;0
"231";23,1;0
"232";23,2;0
"233";23,3;0
"234";23,4;0
"235";23,5;0
"236";23,6;0
"237";23,7;0
"238";23,8;0
"239";23,9;0
"240";24;0
"241";24,1;0
"242";24,2;0
"243";24,3;0
"244";24,4;0
"245";24,5;0
"246";24,6;0
"247";24,7;0
"248";24,8;0
"249";24,9;0
"250";25;0
"251";25,1;0
"252";25,2;0
"253";25,3;0
"254";25,4;0
"255";25,5;0
"256";25,6;0
"257";25,7;0
"258";25,8;0
"259";25,9;0
"260";26;0
"261";26,1;0
"262";26,2;0
"263";26,3;0
"264";26,4;0
"265";26,5;0
"266";26,6;0
"267";26,7;0
"268";26,8;0
"269";26,9;0
"270";27;0
"271";27,1;0
"272";27,2;0
"273";27,3;0
"274";27,4;0
"275";27,5;0
"276";27,6;0
"277";27,7;0
"278";27,8;0
"279";27,9;0
"280";28;0
"281";28,1;0
"282";28,2;0
"283";28,3;0
"284";28,4;0
"285";28,5;0
"286";28,6;0
"287";28,7;0
"288";28,8;0
"289";28,9;0
"290";29;0
"291";29,1;0
"292";29,2;0
"293";29,3;0
"294";29,4;0
"295";29,5;0
"296";29,6;0
"297";29,7;0
"298";29,8;0
"299";29,9;0
"300";30;0
"301";30,1;0
"302";30,2;0
"303";30,3;0
"304";30,4;0
"305";30,5;0
"306";30,6;0
"307";30,7;0
"308";30,8;0
"309";30,9;0
"310";31;0
"311";31,1;0
"312";31,2;0
"313";31,3;0
"314";31,4;0
"315";31,5;0
"316";31,6;0
"317";31,7;0
"318";31,8;0
"319";31,9;0
"320";32;0
"321";32,1;0
"322";32,2;0
"323";32,3;0
"324";32,4;0
"325";32,5;0
"326";32,6;0
"327";32,7;0
"328";32,8;0
"329";32,9;0
"330";33;0
"331";33,1;0
"332";33,2;0
"333";33,3;0
"334";33,4;0
"335";33,5;0
"336";33,6;0
"337";33,7;0
"338";33,8;0
"339";33,9;0
"340";34;0
"341";34,1;0
"342";34,2;0
"343";34,3;0
"344";34,4;0
"345";34,5;0
"346";34,6;0
"347";34,7;0
"348";34,8;0
"349";34,9;0
"350";35;0
"351";35,1;0
"352";35,2;0
"353";35,3;0
"354";35,4;0
"355";35,5;0
"356";35,6;0
"357";35,7;0
"358";35,8;0
"359";35,9;0
"360";36;0
"361";36,1;0
"362";36,2;0
"363";36,3;0
"364";36,4;0
"365";36,5;0
"366";36,6;0
"367";36,7;0
"368";36,8;0
"369";36,9;0
"370";37;0
"371";37,1;0
"372";37,2;0
"373";37,3;0
"374";37,4;0
"375";37,5;0
"376";37,6;0
"377";37,7;0
"378";37,8;0
"379";37,9;0
"380";38;0
"381";38,1;0
"382";38,2;0
"383";38,3;0
"384";38,4;0
"385";38,5;0
"386";38,6;0
"387";38,7;0
"388";38,8;0
"389";38,9;0
"390";39;0
"391";39,1;0
"392";39,2;0
"393";39,3;0
"394";39,4;0
"395";39,5;0
"396";39,6;0
"397";39,7;0
"398";39,8;0
"399";39,9;0
"400";40;0
"401";40,1;0
"402";40,2;0
"403";40,3;0
"404";40,4;0
"405";40,5;0
"406";40,6;0
