"Time","Exposed","Death","Recovered","Susceptible","Infective","to exposed"
"0","0","0","0","8000000","0","4"
"0.1","0.4","0","0","7999999.6","0","4"
"0.2","0.793730407523511","0","0","7999999.199999999","0.00626959247648903","4.019538556039874"
"0.3","1.1832433476490734","3.7033729013312524e-7","0.00004319875566670516","7999998.798046144","0.018666938861957125","0.05817363952915077"
"0.4","1.1705145776262977","0.0000014729709268713853","0.00017181772635211512","7999998.79222878","0.03708335123332578","0.11556653833631271"
"0.5","1.1637246079861627","0.000003663439901737744","0.0004273294897144674","7999998.7806721255","0.05517227247475499","0.1719388437341731"
"0.6","1.1626782947422423","0.000006922399707404298","0.000807477565869572","7999998.763478241","0.07302906305613217","0.22758773693117323"
"0.7","1.167213270712127","0.000011236138664854773","0.001310662527788648","7999998.740719467","0.09074536207848827","0.2827988018664129"
"0.8","1.177198272047481","0.00001659635810660009","0.00193591636031694","7999998.712439587","0.10840962687780552","0.3378477068277686"
"0.9","1.192531659155846","0.00002299998443364211","0.002682880537171312","7999998.678654817","0.12610764264903604","0.39300179264119683"
"1","1.2131401196244194","0.000030449011275315533","0.0035517876093500416","7999998.639354638","0.14392300534556182","0.4485215775757525"
"1.1","1.238977541964684","0.0000389503701734203","0.004543446120817204","7999998.59450248","0.16193758089250723","0.5046621884331693"
"1.2","1.2700240501188993","0.000048515828391532256","0.005659228688259322","7999998.544036261","0.18023194355594857","0.5616747266788913"
"1.3","1.3062851897128245","0.000059161912618256124","0.006901063101294229","7999998.487868788","0.1988857961326509","0.6198075779185568"
"1.4","1.3477912580107487","0.00007090985749058087","0.008271426317871873","7999998.42588803","0.2179783744651323","0.679307672525841"
"1.5","1.3945967704355782","0.00008378557801145387","0.009773341246865472","7999998.357957263","0.23758883864337255","0.7404217047804194"
"1.6","1.4467800573644731","0.00009781966507516942","0.011410376226121233","7999998.283915092","0.25779665312620004","0.8033973174750249"
"1.7","1.5044429857050088","0.00011304740344607073","0.013186647119621073","7999998.203575361","0.2786819579012959","0.8684842585950122"
"1.8","1.567710800503303","0.0001295088116612272","0.01510682197201256","7999998.116726935","0.30032593270189634","0.9359355163595208"
"1.9","1.6367320825388898","0.00014724870344695422","0.017176128172665305","7999998.023133383","0.3228111562098231","1.0060084386376855"
"2","1.7116788185258733","0.00016631677035302438","0.019400362094708665","7999997.922532539","0.3462219620976588","1.0789658425139488"
"2.1","1.7927465811702796","0.0001867676854178618","0.021785901187271757","7999997.814635955","0.37064479369701947","1.155077119571271"
"2.2","1.8801548169335154","0.00020866122778356484","0.024339718511459354","7999997.699128243","0.3961685590243577","1.2346193422880112"
"2.3","1.9741472399251137","0.00023206242828187636","0.027069399722527105","7999997.575666309","0.42288498784999395","1.3178783768017102"
"2.4","2.0749923308979947","0.0002570417361117926","0.029983162512334398","7999997.443878472","0.4508889924596469","1.405150007179475"
"2.5","2.182983940849516","0.0002836752068269212","0.03308987853751675","7999997.303363471","0.4802790337301757","1.4967410762487905"
"2.6","2.2984419992447793","0.0003120447119464938","0.03639909786999395","7999997.153689364","0.5111574941221952","1.5929706479831798"
"2.7","2.421713327377819","0.00034223817059860406","0.039921076017472454","7999996.994392299","0.5436310591813435","1.6941711964032262"
"2.8","2.5531725578742885","0.00037434980369826636","0.04366680357256836","7999996.8249751795","0.5778111091370006","1.8006898259441648"
"2.9","2.693223161818638","0.0004084804112567411","0.047648038560124555","7999996.644906197","0.6138141221919532","1.9128895282558633"
"3","2.8422985854621143","0.00044473767351269387","0.05187734156327481","7999996.453617244","0.6517620911086572","2.0311504804389062"
"3.1","3.0008634989376333","0.00048323647667060626","0.05636811371987129","7999996.250502196","0.6917829547172747","2.1558713897812853"
"3.2","3.169415159875987","0.0005240992641278463","0.06113463769208935","7999996.034915057","0.7340110459973742","2.2874708901434646"
"3.3","3.348484895287261","0.0005674564141693866","0.0661921217234055","7999995.806167968","0.7785875584190882","2.426388995245202"
"3.4","3.538639705543956","0.0006134466452087352","0.07155674690876009","7999995.563529068","0.8256610322705197","2.5730886142352576"
"3.5","3.7404839947802726","0.0006622174497556388","0.0772457178156136","7999995.306220206","0.8753878627463286","2.7280571350751086"
"3.6","3.954661432507528","0.000713925558395971","0.08327731660583587","7999995.033414493","0.9279328316277211","2.8918080814400695"
"3.7","4.181856951740759","0.0007687374351773166","0.08967096082097754","7999994.744233686","0.9834696644465745","3.064882849035989"
"3.8","4.422798889438389","0.0008268298059055713","0.09644726500651454","7999994.437745401","1.042181615096277","3.247852527447313"
"3.9","4.678261275577503","0.0008883902209738017","0.10362810636417931","7999994.112960148","1.1042620799291614","3.4413198138731684"
"4","4.9490662777237935","0.0009536176544651004","0.11123669463554668","7999993.768828167","1.1699152434653293","3.6459210253726924"
"4.1","5.236086808509905","0.0010227231413966866","0.11929764643468407","7999993.404236064","1.2393567579304166","3.862328216529842"
"4.2","5.540249304010698","0.0010959304551034872","0.1278370642629538","7999993.018003243","1.3128144589406332","4.091251409761928"
"4.3","5.862536681601141","0.0011734768268963666","0.13688262045502908","7999992.608878102","1.3905291197625125","4.3334409458360605"
"4.4","6.2039914865044805","0.0012556137102735828","0.1464636463219126","7999992.175534007","1.472755246692521","4.589689962524412"
"4.5","6.565719236886944","0.00134260759211435","0.15661122677427974","7999991.716565011","1.5597619182282887","4.860837009723781"
"4.6","6.948891978033507","0.0014347408534412464","0.16735830072788185","7999991.23048131","1.6518336708391734","5.1477688097883805"
"4.7","7.354752056848812","0.0015323126825040195","0.1787397676120865","7999990.715704429","1.749271434289441","5.451423172278431"
"4.8","7.784616128671501","0.0016356400431118041","0.19079260032298276","7999990.170562112","1.8523935196230905","5.772792072812321"
"4.9","8.239879409171051","0.0017450587013244263","0.20355596498390216","7999989.5932829045","1.9615366630856441","6.112924906228169"
"5","8.722020184916577","0.0018609243138068996","0.2170713478987695","7999988.981990414","2.077057129435583","6.472931924813229"
"5.1","9.232604597070052","0.001983613581355214","0.23138269010749343","7999988.334697221","2.1993318782871567","6.853987872948508"
"5.2","9.773291713564435","0.0021135254713165823","0.24653652997769307","7999987.649298434","2.328759797327467","7.2573358301427175"
"5.3","10.345838906083964","0.0022510825128543403","0.2625821542935386","7999986.923564851","2.4657630064648237","7.68429127509663"
"5.4","10.952107549172252","0.002396732169247329","0.2795717583304384","7999986.155135724","2.6107882371929105","8.136246384147809"
"5.5","11.594069059857059","0.0025509482916666456","0.29756061543382106","7999985.341511086","2.7643082916970805","8.614674578198834"
"5.6","12.273811297303006","0.0027142326591400655","0.31660725665145584","7999984.480043628","2.9268235864859067","9.121135333032163"
"5.7","12.993545343187684","0.0028871166096969126","0.3367736610017046","7999983.567930095","3.098863785603645","9.657279268763666"
"5.8","13.755612684747627","0.003070162767984827","0.35812545699493603","7999982.602202168","3.280989528768546","10.224853535088108"
"5.9","14.562492823761966","0.003263966874965597","0.3807321360621635","7999981.579716815","3.4737942600888156","10.825707509925488"
"6","15.416811336137553","0.003469159725631023","0.40466727858390117","7999980.4971460635","3.67790616333337","11.461798830090803"
"6.1","16.321348408235384","0.003686409221032924","0.4300087932534288","7999979.350966181","3.8939902100796866","12.135199773684596"
"6.2","17.279047877637776","0.003916422541294755","0.4568391705522059","7999978.137446203","4.122750327426721","12.848104015040871"
"6.3","18.29302680770553","0.004159948446667424","0.48524575116126484","7999976.852635802","4.364931692348617","13.602833774276315"
"6.4","19.36658562701866","0.004417779714109838","0.5153210101811653","7999975.492352424","4.621323160175781","14.401847384764675"
"6.5","20.50321886663903","0.004690755717316885","0.5471628580846696","7999974.052167686","4.89275983512516","15.247747303215322"
"6.6","21.706626530085337","0.00497976515858557","0.5808749593808932","7999972.5273929555","5.180125791262887","16.14328858847206"
"6.7","22.9807261329751","0.005285748961405131","0.6165670700274337","7999970.913064097","5.484356952770979","17.091387876669216"
"6.8","24.32966545147313","0.005609703333181039","0.6543553946881175","7999969.20392531","5.806444142907406","18.095132881994104"
"6.9","25.75783602099742","0.0059526830080574335","0.6943629649986993","7999967.394412021","6.147436311597077","19.157792454012064"
"7","27.269887429078913","0.006315804680389434","0.7367200400713086","7999965.478632776","6.508443952171843","20.282827224317636"
"7.1","28.870742448860533","0.006700250640038222","0.7815645305409289","7999963.450350054","6.890642718392712","21.473900877190946"
"7.2","30.565613062459565","0.007107272621319239","0.8290424475338851","7999961.302959966","7.295277253538549","22.73489208096493"
"7.3","32.36001742631687","0.007538195878130062","0.8793083780195241","7999959.029470758","7.723665244035275","24.06990711895661"
"7.4","34.25979783372482","0.007994423498521306","0.9325259880922205","7999956.622480046","8.177201710829914","25.483293261089045"
"7.5","36.27113973297283","0.008477440972753787","0.9888685558218093","7999954.07415072","8.657363552486983","26.97965291973703"
"7.6","38.4005918629877","0.008988821029710973","1.048519535406874","7999951.376185427","9.165714354803779","28.563858635879175"
