"";"time";"report_cell";"values"
"10";105,1;0;125147,039062
"20";324,1;0;9881,320313
"30";329,1;0;31666,921875
"9";105,1;1;210940,865625
"19";324,1;1;17035,095
"29";329,1;1;54660,46875
"8";105,1;2;61281,297656
"18";324,1;2;4925,662031
"28";329,1;2;15799,460938
"7";105,1;3;298361,74375
"17";324,1;3;23881,695
"27";329,1;3;76582,0125
"6";105,1;4;180719,907812
"16";324,1;4;14066,198437
"26";329,1;4;45079,65
"5";105,1;5;22861,02793
"15";324,1;5;1751,525508
"25";329,1;5;5618,373438
"4";105,1;6;473206,43125
"14";324,1;6;37483,96875
"24";329,1;6;120142,3375
"3";105,1;7;685152,95625
"13";324,1;7;54152,11125
"23";329,1;7;173554,875
"2";105,1;8;582766,5375
"12";324,1;8;45732,91125
"22";329,1;8;146554,8375
"1";105,1;9;2638386,625
"11";324,1;9;208032,33
"21";329,1;9;666696,4
