"";"time";"report_cell";"values"
"1";0,1;0;0,1
"20";0,2;0;0,1
"21";0,3;0;0,1
"40";0,4;0;0,1
"41";0,5;0;0,1
"60";0,6;0;0,1
"61";0,7;0;0,1
"80";0,8;0;0,1
"81";0,9;0;0,1
"100";1;0;0,1
"101";1,1;0;0,1
"120";1,2;0;0,1
"121";1,3;0;0,1
"140";1,4;0;0,1
"141";1,5;0;0,1
"160";1,6;0;0,1
"161";1,7;0;0,1
"180";1,8;0;0,1
"181";1,9;0;0,1
"200";2;0;0,1
"201";2,1;0;0,1
"220";2,2;0;0,1
"221";2,3;0;0,1
"240";2,4;0;0,1
"241";2,5;0;0,1
"260";2,6;0;0,1
"261";2,7;0;0,1
"280";2,8;0;0,1
"281";2,9;0;0,1
"300";3;0;0,1
"301";3,1;0;0,1
"320";3,2;0;0,1
"321";3,3;0;0,1
"340";3,4;0;0,1
"341";3,5;0;0,1
"360";3,6;0;0,1
"361";3,7;0;0,1
"380";3,8;0;0,1
"381";3,9;0;0,1
"400";4;0;0,1
"401";4,1;0;0,1
"420";4,2;0;0,1
"421";4,3;0;0,1
"440";4,4;0;0,1
"441";4,5;0;0,1
"460";4,6;0;0,1
"461";4,7;0;0,1
"480";4,8;0;0,1
"481";4,9;0;0,1
"500";5;0;0,1
"501";5,1;0;0,1
"520";5,2;0;0,1
"521";5,3;0;0,1
"540";5,4;0;0,1
"541";5,5;0;0,1
"560";5,6;0;0,1
"561";5,7;0;0,1
"580";5,8;0;0,1
"581";5,9;0;0,1
"600";6;0;0,1
"601";6,1;0;0,1
"620";6,2;0;0,1
"621";6,3;0;0,1
"640";6,4;0;0,1
"641";6,5;0;0,1
"660";6,6;0;0,1
"661";6,7;0;0,1
"680";6,8;0;0,1
"681";6,9;0;0,1
"700";7;0;0,1
"701";7,1;0;0,1
"720";7,2;0;0,1
"721";7,3;0;0,1
"740";7,4;0;0,1
"741";7,5;0;0,1
"760";7,6;0;0,1
"761";7,7;0;0,1
"780";7,8;0;0,1
"781";7,9;0;0,1
"800";8;0;0,1
"801";8,1;0;0,1
"820";8,2;0;0,1
"821";8,3;0;0,1
"840";8,4;0;0,1
"841";8,5;0;0,1
"860";8,6;0;0,1
"861";8,7;0;0,1
"880";8,8;0;0,1
"881";8,9;0;0,1
"900";9;0;0,1
"901";9,1;0;0,1
"920";9,2;0;0,1
"921";9,3;0;0,1
"940";9,4;0;0,1
"941";9,5;0;0,1
"960";9,6;0;0,1
"961";9,7;0;0,1
"980";9,8;0;0,1
"981";9,9;0;0,1
"1000";10;0;0,1
"1001";10,1;0;0,1
"1020";10,2;0;0,1
"1021";10,3;0;0,1
"1040";10,4;0;0,1
"1041";10,5;0;0,1
"1060";10,6;0;0,1
"1061";10,7;0;0,1
"1080";10,8;0;0,1
"1081";10,9;0;0,1
"1100";11;0;0,1
"1101";11,1;0;0,1
"1120";11,2;0;0,1
"1121";11,3;0;0,1
"1140";11,4;0;0,1
"1141";11,5;0;0,1
"1160";11,6;0;0,1
"1161";11,7;0;0,1
"1180";11,8;0;0,1
"1181";11,9;0;0,1
"1200";12;0;0,1
"1201";12,1;0;0,1
"1220";12,2;0;0,1
"1221";12,3;0;0,1
"1240";12,4;0;0,1
"1241";12,5;0;0,1
"1260";12,6;0;0,1
"1261";12,7;0;0,1
"1280";12,8;0;0,1
"1281";12,9;0;0,1
"1300";13;0;0,1
"1301";13,1;0;0,1
"1320";13,2;0;0,1
"1321";13,3;0;0,1
"1340";13,4;0;0,1
"1341";13,5;0;0,1
"1360";13,6;0;0,1
"1361";13,7;0;0,1
"1380";13,8;0;0,1
"1381";13,9;0;0,1
"1400";14;0;0,1
"1401";14,1;0;0,1
"1420";14,2;0;0,1
"1421";14,3;0;0,1
"1440";14,4;0;0,1
"1441";14,5;0;0,1
"1460";14,6;0;0,1
"1461";14,7;0;0,1
"1480";14,8;0;0,1
"1481";14,9;0;0,1
"1500";15;0;0,1
"1501";15,1;0;0,1
"1520";15,2;0;0,1
"1521";15,3;0;0,1
"1540";15,4;0;0,1
"1541";15,5;0;0,1
"1560";15,6;0;0,1
"1561";15,7;0;0,1
"1580";15,8;0;0,1
"1581";15,9;0;0,1
"1600";16;0;0,1
"1601";16,1;0;0,1
"1620";16,2;0;0,1
"1621";16,3;0;0,1
"1640";16,4;0;0,1
"1641";16,5;0;0,1
"1660";16,6;0;0,1
"1661";16,7;0;0,1
"1680";16,8;0;0,1
"1681";16,9;0;0,1
"1700";17;0;0,1
"1701";17,1;0;0,1
"1720";17,2;0;0,1
"1721";17,3;0;0,1
"1740";17,4;0;0,1
"1741";17,5;0;0,1
"1760";17,6;0;0,1
"1761";17,7;0;0,1
"1780";17,8;0;0,1
"1781";17,9;0;0,1
"1800";18;0;0,1
"1801";18,1;0;0,1
"1820";18,2;0;0,1
"1821";18,3;0;0,1
"1840";18,4;0;0,1
"1841";18,5;0;0,1
"1860";18,6;0;0,1
"1861";18,7;0;0,1
"1880";18,8;0;0,1
"1881";18,9;0;0,1
"1900";19;0;0,1
"1901";19,1;0;0,1
"1920";19,2;0;0,1
"1921";19,3;0;0,1
"1940";19,4;0;0,1
"1941";19,5;0;0,1
"1960";19,6;0;0,1
"1961";19,7;0;0,1
"1980";19,8;0;0,1
"1981";19,9;0;0,1
"2000";20;0;0,1
"2001";20,1;0;0,1
"2020";20,2;0;0,1
"2021";20,3;0;0,1
"2040";20,4;0;0,1
"2041";20,5;0;0,1
"2060";20,6;0;0,1
"2061";20,7;0;0,1
"2080";20,8;0;0,1
"2081";20,9;0;0,1
"2100";21;0;0,1
"2101";21,1;0;0,1
"2120";21,2;0;0,1
"2121";21,3;0;0,1
"2140";21,4;0;0,1
"2141";21,5;0;0,1
"2160";21,6;0;0,1
"2161";21,7;0;0,1
"2180";21,8;0;0,1
"2181";21,9;0;0,1
"2200";22;0;0,1
"2201";22,1;0;0,1
"2220";22,2;0;0,1
"2221";22,3;0;0,1
"2240";22,4;0;0,1
"2241";22,5;0;0,1
"2260";22,6;0;0,1
"2261";22,7;0;0,1
"2280";22,8;0;0,1
"2281";22,9;0;0,1
"2300";23;0;0,1
"2301";23,1;0;0,1
"2320";23,2;0;0,1
"2321";23,3;0;0,1
"2340";23,4;0;0,1
"2341";23,5;0;0,1
"2360";23,6;0;0,1
"2361";23,7;0;0,1
"2380";23,8;0;0,1
"2381";23,9;0;0,1
"2400";24;0;0,1
"2401";24,1;0;0,1
"2420";24,2;0;0,1
"2421";24,3;0;0,1
"2440";24,4;0;0,1
"2441";24,5;0;0,1
"2460";24,6;0;0,1
"2461";24,7;0;0,1
"2480";24,8;0;0,1
"2481";24,9;0;0,1
"2500";25;0;0,1
"2501";25,1;0;0,1
"2518";25,2;0;0,1
"2519";25,3;0;0,1
"2536";25,4;0;0,1
"2537";25,5;0;0,1
"2554";25,6;0;0,1
"2555";25,7;0;0,1
"2572";25,8;0;0,1
"2573";25,9;0;0,1
"2590";26;0;0,1
"2591";26,1;0;0,1
"2608";26,2;0;0,1
"2609";26,3;0;0,1
"2626";26,4;0;0,1
"2627";26,5;0;0,1
"2644";26,6;0;0,1
"2645";26,7;0;0,1
"2662";26,8;0;0,1
"2663";26,9;0;0,1
"2680";27;0;0,1
"2681";27,1;0;0,1
"2698";27,2;0;0,1
"2699";27,3;0;0,1
"2716";27,4;0;0,1
"2717";27,5;0;0,1
"2734";27,6;0;0,1
"2735";27,7;0;0,1
"2752";27,8;0;0,1
