"";"time";"report_cell";"values"
"645";47;0;0
"649";47,1;0;0
"661";47,2;0;0
"665";47,3;0;0
"677";47,4;0;0
"681";47,5;0;0
"693";47,6;0;0
"697";47,7;0;0
"709";47,8;0;0
"713";47,9;0;0
"725";48;0;0
"729";48,1;0;0
"741";48,2;0;0
"745";48,3;0;0
"757";48,4;0;0
"761";48,5;0;0
"773";48,6;0;0
"777";48,7;0;0
"789";48,8;0;0
"793";48,9;0;0
"805";49;0;0
"809";49,1;0;0
"821";49,2;0;0
"825";49,3;0;0
"837";49,4;0;0
"841";49,5;0;0
"853";49,6;0;0
"857";49,7;0;0
"869";49,8;0;0
"873";49,9;0;0
"885";50;0;0
"889";50,1;0;0
"901";50,2;0;0
"905";50,3;0;0
"917";50,4;0;0
"921";50,5;0;0
"933";50,6;0;0
"937";50,7;0;0
"949";50,8;0;0
"953";50,9;0;0
"965";51;0;0
"969";51,1;0;0
"981";51,2;0;0
"985";51,3;0;0
"997";51,4;0;0
"1001";51,5;0;0
"1013";51,6;0;0
"1017";51,7;0;0
"1029";51,8;0;0
"1033";51,9;0;0
"1045";52;0;0
"1049";52,1;0;0
"1061";52,2;0;0
"1065";52,3;0;0
"1077";52,4;0;0
"1081";52,5;0;0
"1093";52,6;0;0
"1097";52,7;0;0
"1109";52,8;0;0
"1113";52,9;0;0
"1125";53;0;0
"1129";53,1;0;0
"1141";53,2;0;0
"1145";53,3;0;0
"1157";53,4;0;0
"1161";53,5;0;0
"1173";53,6;0;0
"1177";53,7;0;0
"1189";53,8;0;0
"1193";53,9;0;0
"1205";54;0;0
"1210";54,1;0;0
"1223";54,2;0;0
"1228";54,3;0;0
"1241";54,4;0;0
"1246";54,5;0;0
"1259";54,6;0;0
"1264";54,7;0;0
"1277";54,8;0;0
"1282";54,9;0;0
"1296";55;0;0
"1301";55,1;0;0
"1316";55,2;0;0
"1321";55,3;0;0
"1336";55,4;0;0
"1341";55,5;0;0
"1356";55,6;0;0
"1361";55,7;0;0
"1376";55,8;0;0
"1381";55,9;0;0
"1396";56;0;0
"1401";56,1;0;0
"1416";56,2;0;0
"1421";56,3;0;0
"1436";56,4;0;0
"1441";56,5;0;0
"1456";56,6;0;0
"1461";56,7;0;0
"1476";56,8;0;0
"1481";56,9;0;0
"1496";57;0;0
"1501";57,1;0;0
"1516";57,2;0;0
"1521";57,3;0;0
"1536";57,4;0;0
"1541";57,5;0;0
"1556";57,6;0;0
"1561";57,7;0;0
"1576";57,8;0;0
"1581";57,9;0;0
"1596";58;0;0
"1601";58,1;0;0
"1616";58,2;0;0
"1621";58,3;0;0
"1636";58,4;0;0
"1641";58,5;0;0
"1656";58,6;0;0
"1661";58,7;0;0
"1676";58,8;0;0
"1681";58,9;0;0
"1696";59;0;0
"1701";59,1;0;0
"1716";59,2;0;0
"1721";59,3;0;0
"1736";59,4;0;0
"1741";59,5;0;0
"1756";59,6;0;0
"1761";59,7;0;0
"1776";59,8;0;0
"1781";59,9;0;0
"1796";60;0;0
"1801";60,1;0;0
"1816";60,2;0;0
"1821";60,3;0;0
"1836";60,4;0;0
"1841";60,5;0;0
"1856";60,6;0;0
"1861";60,7;0;0
"1876";60,8;0;0
"1881";60,9;0;0
"1896";61;0;0
"1901";61,1;0;0
"1916";61,2;0;0
"1921";61,3;0;0
"1936";61,4;0;0
"1941";61,5;0;0
"1956";61,6;0;0
"1961";61,7;0;0
"1976";61,8;0;0
"1981";61,9;0;0
"1996";62;0;0
"2001";62,1;0;0
"2016";62,2;0;0
"2021";62,3;0;0
"2036";62,4;0;0
"2041";62,5;0;0
"2056";62,6;0;0
"2061";62,7;0;0
"2076";62,8;0;0
"2081";62,9;0;0
"2096";63;0;0
"2101";63,1;0;0
"2116";63,2;0;0
"2121";63,3;0;0
"2136";63,4;0;0
"2141";63,5;0;0
"2156";63,6;0;0
"2161";63,7;0;0
"2176";63,8;0;0
"2181";63,9;0;0
"2196";64;0;0
"2201";64,1;0;0
"2216";64,2;0;0
"2221";64,3;0;0
"2236";64,4;0;0
"2241";64,5;0;0
"2256";64,6;0;0
"2261";64,7;0;0
"2276";64,8;0;0
"2281";64,9;0;0
"2292";65;0;0
"2301";65,1;0;0
"2316";65,2;0;0
"2321";65,3;0;0
"2336";65,4;0;0
"2341";65,5;0;0
"2356";65,6;0;0
"2361";65,7;0;0
"2376";65,8;0;0
"2381";65,9;0;0
"2396";66;0;0
"2401";66,1;0;0
"2416";66,2;0;0
"2421";66,3;0;0
"2436";66,4;0;0
"2441";66,5;0;0
"2456";66,6;0;0
"2461";66,7;0;0
"2476";66,8;0;0
"2481";66,9;0;0
"2496";67;0;0
"2501";67,1;0;0
"2516";67,2;0;0
"2521";67,3;0;0
"2536";67,4;0;0
"2541";67,5;0;0
"2556";67,6;0;0
"2561";67,7;0;0
"2576";67,8;0;0
"2581";67,9;0;0
"2596";68;0;0
"2601";68,1;0;0
"2616";68,2;0;0
"2621";68,3;0;0
"2636";68,4;0;0
"2641";68,5;0;0
"2656";68,6;0;0
"2661";68,7;0;0
"2676";68,8;0;0
"2681";68,9;0;0
"2696";69;0;0
"2701";69,1;0;0
"2716";69,2;0;0
"2721";69,3;0;0
"2736";69,4;0;0
"2741";69,5;0;0
"2756";69,6;0;0
"2761";69,7;0;0
"2776";69,8;0;0
"2781";69,9;0;0
"2796";70;0;0
"2801";70,1;0;0
"2816";70,2;0;0
"2821";70,3;0;0
"2836";70,4;0;0
"2841";70,5;0;0
"2856";70,6;0;0
"2861";70,7;0;0
"2876";70,8;0;0
"2881";70,9;0;0
"2896";71;0;0
"2901";71,1;0;0
"2916";71,2;0;0
"2921";71,3;0;0
"2936";71,4;0;0
"2941";71,5;0;0
"2956";71,6;0;0
"2961";71,7;0;0
"2976";71,8;0;0
"2981";71,9;0;0
"2996";72;0;0
"3001";72,1;0;0
"3016";72,2;0;0
"3021";72,3;0;0
"3036";72,4;0;0
"3041";72,5;0;0
"3056";72,6;0;0
"3061";72,7;0;0
"3076";72,8;0;0
"3081";72,9;0;0
"3096";73;0;0
"3101";73,1;0;0
"3116";73,2;0;0
"3121";73,3;0;0
"3136";73,4;0;0
"3141";73,5;0;0
"3156";73,6;0;0
"3161";73,7;0;0
"3176";73,8;0;0
"3181";73,9;0;0
"3196";74;0;0
"3201";74,1;0;0
"3216";74,2;0;0
"3221";74,3;0;0
"3236";74,4;0;0
"3241";74,5;0;0
"3256";74,6;0;0
"3261";74,7;0;0
"3276";74,8;0;0
"3281";74,9;0;0
"3296";75;0;0
"3301";75,1;0;0
"3316";75,2;0;0
"3321";75,3;0;0
"3336";75,4;0;0
"3341";75,5;0;0
"3356";75,6;0;0
"3361";75,7;0;0
"3376";75,8;0;0
"3381";75,9;0;0
"3396";76;0;0
"3401";76,1;0;0
"3416";76,2;0;0
"3421";76,3;0;0
"3436";76,4;0;0
"3441";76,5;0;0
"3456";76,6;0;0
"3461";76,7;0;0
"3476";76,8;0;0
"3481";76,9;0;0
"3496";77;0;0
"3501";77,1;0;0
"3516";77,2;0;0
"3521";77,3;0;0
"3536";77,4;0;0
"3541";77,5;0;0
"3556";77,6;0;0
"3561";77,7;0;0
"3576";77,8;0;0
"3581";77,9;0;0
"3596";78;0;0
"3601";78,1;0;0
"3616";78,2;0;0
"3621";78,3;0;0
"3636";78,4;0;0
"3641";78,5;0;0
"3656";78,6;0;0
"3661";78,7;0;0
"3676";78,8;0;0
"3681";78,9;0;0
"3696";79;0;0
"3701";79,1;0;0
"3716";79,2;0;0
"3721";79,3;0;0
"3736";79,4;0;0
"3741";79,5;0;0
"3756";79,6;0;0
"3761";79,7;0;0
"3776";79,8;0;0
"3781";79,9;0;0
"3796";80;0;0
"3801";80,1;0;0
"3816";80,2;0;0
"3821";80,3;0;0
"3836";80,4;0;0
"3841";80,5;0;0
"3856";80,6;0;0
"3861";80,7;0;0
"3876";80,8;0;0
"3881";80,9;0;0
"3896";81;0;0
"3901";81,1;0;0
"3916";81,2;0;0
"3921";81,3;0;0
"3936";81,4;0;0
"3941";81,5;0;0
"3956";81,6;0;0
"3961";81,7;0;0
"3976";81,8;0;0
"3981";81,9;0;0
"3996";82;0;0
"4001";82,1;0;0
"4016";82,2;0;0
"4021";82,3;0;0
"4036";82,4;0;0
"4041";82,5;0;0
"4056";82,6;0;0
"4061";82,7;0;0
"4076";82,8;0;0
"4081";82,9;0;0
"4096";83;0;0
"4101";83,1;0;0
"4116";83,2;0;0
"4121";83,3;0;0
"4136";83,4;0;0
"4141";83,5;0;0
"4156";83,6;0;0
"4161";83,7;0;0
"4176";83,8;0;0
"4181";83,9;0;0
"4196";84;0;0
"4201";84,1;0;0
"4216";84,2;0;0
"4221";84,3;0;0
"4236";84,4;0;0
"4241";84,5;0;0
"4256";84,6;0;0
"4261";84,7;0;0
"4276";84,8;0;0
"4281";84,9;0;0
"4296";85;0;0
"4301";85,1;0;0
"4316";85,2;0;0
"4321";85,3;0;0
"4336";85,4;0;0
"4341";85,5;0;0
"4356";85,6;0;0
"4361";85,7;0;0
"4376";85,8;0;0
"4381";85,9;0;0
"4396";86;0;0
"4401";86,1;0;0
"4416";86,2;0;0
"4421";86,3;0;0
"4436";86,4;0;0
"4441";86,5;0;0
"4456";86,6;0;0
"4461";86,7;0;0
"4476";86,8;0;0
"4481";86,9;0;0
"4496";87;0;0
"4501";87,1;0;0
"4516";87,2;0;0
"4521";87,3;0;0
"4536";87,4;0;0
"4541";87,5;0;0
"4556";87,6;0;0
"4561";87,7;0;0
"4576";87,8;0;0
"4581";87,9;0;0
"4596";88;0;0
"4601";88,1;0;0
"4616";88,2;0;0
"4621";88,3;0;0
"4636";88,4;0;0
"4641";88,5;0;0
"4656";88,6;0;0
"4661";88,7;0;0
"4676";88,8;0;0
"4681";88,9;0;0
"4696";89;0;0
"4701";89,1;0;0
"4716";89,2;0;0
"4721";89,3;0;0
"4736";89,4;0;0
"4741";89,5;0;0
"4756";89,6;0;0
"4761";89,7;0;0
"4776";89,8;0;0
"4781";89,9;0;0
"4796";90;0;0
"4801";90,1;0;0
"4816";90,2;0;0
"4821";90,3;0;0
"4836";90,4;0;0
"4841";90,5;0;0
"4856";90,6;0;0
"4861";90,7;0;0
"4876";90,8;0;0
"4881";90,9;0;0
"4896";91;0;0
"4901";91,1;0;0
"4916";91,2;0;0
"4921";91,3;0;0
"4936";91,4;0;0
"4941";91,5;0;0
"4956";91,6;0;0
"4961";91,7;0;0
"4976";91,8;0;0
"4981";91,9;0;0
"4996";92;0;0
"5001";92,1;0;0
"5016";92,2;0;0
"5021";92,3;0;0
"5036";92,4;0;0
"5041";92,5;0;0
"5056";92,6;0;0
"5061";92,7;0;0
"5076";92,8;0;0
"5081";92,9;0;0
"5096";93;0;0
"5101";93,1;0;0
"5116";93,2;0;0
"5121";93,3;0;0
"5136";93,4;0;0
"5141";93,5;0;0
"5156";93,6;0;0
"5161";93,7;0;0
"5176";93,8;0;0
"5181";93,9;0;0
"5196";94;0;0
"5201";94,1;0;0
"5216";94,2;0;0
"5221";94,3;0;0
"5236";94,4;0;0
"5241";94,5;0;0
"5256";94,6;0;0
"5261";94,7;0;0
"5276";94,8;0;0
"5281";94,9;0;0
"5296";95;0;0
"5301";95,1;0;0
"5316";95,2;0;0
"5321";95,3;0;0
"5336";95,4;0;0
"5341";95,5;0;0
"5356";95,6;0;0
"5361";95,7;0;0
"5376";95,8;0;0
"5381";95,9;0;0
"5396";96;0;0
"5401";96,1;0;0
"5416";96,2;0;0
"5421";96,3;0;0
"5436";96,4;0;0
"5441";96,5;0;0
"5456";96,6;0;0
"5461";96,7;0;0
"5476";96,8;0;0
"5481";96,9;0;0
"5496";97;0;0
"5501";97,1;0;0
"5516";97,2;0;0
"5521";97,3;0;0
"5536";97,4;0;0
"5541";97,5;0;0
"5556";97,6;0;0
"5561";97,7;0;0
"5576";97,8;0;0
"5581";97,9;0;0
"5596";98;0;0
"5601";98,1;0;0
"5616";98,2;0;0
"5621";98,3;0;0
"5636";98,4;0;0
"5641";98,5;0;0
"5656";98,6;0;0
"5661";98,7;0;0
"5676";98,8;0;0
"5681";98,9;0;0
"5696";99;0;0
"5701";99,1;0;0
"5716";99,2;0;0
"5721";99,3;0;0
"5736";99,4;0;0
"5741";99,5;0;0
"5756";99,6;0;0
"5761";99,7;0;0
"5776";99,8;0;0
"5781";99,9;0;0
"5796";100;0;0
"5801";100,1;0;0
"5816";100,2;0;0
"5821";100,3;0;0
"5836";100,4;0;0
"5841";100,5;0;0
"5856";100,6;0;0
"5861";100,7;0;0
"5876";100,8;0;0
"5881";100,9;0;0
"5896";101;0;0
"5901";101,1;0;0
"5916";101,2;0;0
"5921";101,3;0;0
"5936";101,4;0;0
"5941";101,5;0;0
"5956";101,6;0;0
"5961";101,7;0;0
"5976";101,8;0;0
"5981";101,9;0;0
"5996";102;0;0
"6001";102,1;0;0
"6016";102,2;0;0
"6021";102,3;0;0
"6036";102,4;0;0
"6041";102,5;0;0
"6056";102,6;0;0
"6061";102,7;0;0
"6076";102,8;0;0
"6081";102,9;0;0
"6096";103;0;0
"6101";103,1;0;0
"6116";103,2;0;0
"6121";103,3;0;0
"6136";103,4;0;0
"6141";103,5;0;0
"6156";103,6;0;0
"6161";103,7;0;0
"6176";103,8;0;0
"6181";103,9;0;0
"6196";104;0;0
"6201";104,1;0;0
"6216";104,2;0;0
"6221";104,3;0;0
"6236";104,4;0;0
"6241";104,5;0;0
"6256";104,6;0;0
"6261";104,7;0;0
"6276";104,8;0;0
"6281";104,9;0;0
"6296";105;0;0
"6301";105,1;0;0
"6316";105,2;0;0
"6321";105,3;0;0
"6336";105,4;0;0
"6341";105,5;0;0
"6356";105,6;0;0
"6361";105,7;0;0
"6376";105,8;0;0
"6381";105,9;0;0
"6396";106;0;0
"6401";106,1;0;0
"6416";106,2;0;0
"6421";106,3;0;0
"6436";106,4;0;0
"6441";106,5;0;0
"6456";106,6;0;0
"6461";106,7;0;0
"6476";106,8;0;0
"6481";106,9;0;0
"6496";107;0;0
"6501";107,1;0;0
"6516";107,2;0;0
"6521";107,3;0;0
"6536";107,4;0;0
"6541";107,5;0;0
"6556";107,6;0;0
"6561";107,7;0;0
"6576";107,8;0;0
"6581";107,9;0;0
"6596";108;0;0
"6601";108,1;0;0
"6616";108,2;0;0
"6621";108,3;0;0
"6636";108,4;0;0
"6641";108,5;0;0
"6656";108,6;0;0
"6661";108,7;0;0
"6676";108,8;0;0
"6681";108,9;0;0
"6696";109;0;0
"6701";109,1;0;0
"6716";109,2;0;0
"6721";109,3;0;0
"6736";109,4;0;0
"6741";109,5;0;0
"6756";109,6;0;0
"6761";109,7;0;0
"6776";109,8;0;0
"6781";109,9;0;0
"6796";110;0;0
"6801";110,1;0;0
"6816";110,2;0;0
"6821";110,3;0;0
"6836";110,4;0;0
"6841";110,5;0;0
"6856";110,6;0;0
"6861";110,7;0;0
"6876";110,8;0;0
"6881";110,9;0;0
"6896";111;0;0
"6901";111,1;0;0
"6916";111,2;0;0
"6921";111,3;0;0
"6936";111,4;0;0
"6941";111,5;0;0
"6956";111,6;0;0
"6961";111,7;0;0
"6976";111,8;0;0
"6981";111,9;0;0
"6996";112;0;0
"7001";112,1;0;0
"7016";112,2;0;0
"7021";112,3;0;0
"7036";112,4;0;0
"7041";112,5;0;0
"7056";112,6;0;0
"7061";112,7;0;0
"7076";112,8;0;0
"7081";112,9;0;0
"7096";113;0;0
"7101";113,1;0;0
"7116";113,2;0;0
"7121";113,3;0;0
"7136";113,4;0;0
"7141";113,5;0;0
"7156";113,6;0;0
"7161";113,7;0;0
"7176";113,8;0;0
"7181";113,9;0;0
"7196";114;0;0
"7201";114,1;0;0
"7216";114,2;0;0
"7221";114,3;0;0
"7236";114,4;0;0
"7241";114,5;0;0
"7256";114,6;0;0
"7261";114,7;0;0
"7276";114,8;0;0
"7281";114,9;0;0
"7296";115;0;0
"7301";115,1;0;0
"7316";115,2;0;0
"7321";115,3;0;0
"7336";115,4;0;0
"7341";115,5;0;0
"7356";115,6;0;0
"7361";115,7;0;0
"7376";115,8;0;0
"7381";115,9;0;0
"7396";116;0;0
"7401";116,1;0;0
"7416";116,2;0;0
"7421";116,3;0;0
"7436";116,4;0;0
"7441";116,5;0;0
"7456";116,6;0;0
"7461";116,7;0;0
"7476";116,8;0;0
"7481";116,9;0;0
"7496";117;0;0
"7501";117,1;0;0
"7516";117,2;0;0
"7521";117,3;0;0
"7536";117,4;0;0
"7541";117,5;0;0
"7556";117,6;0;0
"7561";117,7;0;0
"7576";117,8;0;0
"7581";117,9;0;0
"7596";118;0;0
"7601";118,1;0;0
"7616";118,2;0;0
"7621";118,3;0;0
"7636";118,4;0;0
"7641";118,5;0;0
"7656";118,6;0;0
"7661";118,7;0;0
"7676";118,8;0;0
"7681";118,9;0;0
"7696";119;0;0
"7701";119,1;0;0
"7716";119,2;0;0
"7721";119,3;0;0
"7736";119,4;0;0
"7741";119,5;0;0
"7756";119,6;0;0
"7761";119,7;0;0
"7776";119,8;0;0
"7781";119,9;0;0
"7796";120;0;0
"7801";120,1;0;0
"7816";120,2;0;0
"7821";120,3;0;0
"7836";120,4;0;0
"7841";120,5;0;0
"7856";120,6;0;0
"7861";120,7;0;0
"7876";120,8;0;0
"7881";120,9;0;0
"7896";121;0;0
"7901";121,1;0;0
"7916";121,2;0;0
"7921";121,3;0;0
"7936";121,4;0;0
"7941";121,5;0;0
"7956";121,6;0;0
"7961";121,7;0;0
"7976";121,8;0;0
"7981";121,9;0;0
"7996";122;0;0
"8001";122,1;0;0
"8016";122,2;0;0
"8021";122,3;0;0
"8036";122,4;0;0
"8041";122,5;0;0
"8056";122,6;0;0
"8061";122,7;0;0
"8076";122,8;0;0
"8081";122,9;0;0
"8096";123;0;0
"8101";123,1;0;0
"8116";123,2;0;0
"8121";123,3;0;0
"8136";123,4;0;0
"8141";123,5;0;0
"8156";123,6;0;0
"8161";123,7;0;0
"8176";123,8;0;0
"8181";123,9;0;0
"8196";124;0;0
"8201";124,1;0;0
"8216";124,2;0;0
"8221";124,3;0;0
"8236";124,4;0;0
"8241";124,5;0;0
"8256";124,6;0;0
"8261";124,7;0;0
"8276";124,8;0;0
"8281";124,9;0;0
"8296";125;0;0
"8301";125,1;0;0
"8316";125,2;0;0
"8321";125,3;0;0
"8336";125,4;0;0
"8341";125,5;0;0
"8356";125,6;0;0
"8361";125,7;0;0
"8376";125,8;0;0
"8381";125,9;0;0
"8396";126;0;0
"8401";126,1;0;0
"8416";126,2;0;0
"8421";126,3;0;0
"8436";126,4;0;0
"8441";126,5;0;0
"8456";126,6;0;0
"8461";126,7;0;0
"8476";126,8;0;0
"8481";126,9;0;0
"8496";127;0;0
"8501";127,1;0;0
"8516";127,2;0;0
"8521";127,3;0;0
"8536";127,4;0;0
"8541";127,5;0;0
"8556";127,6;0;0
"8561";127,7;0;0
"8576";127,8;0;0
"8581";127,9;0;0
"8596";128;0;0
"8601";128,1;0;0
"8616";128,2;0;0
"8621";128,3;0;0
"8636";128,4;0;0
"8641";128,5;0;0
"8656";128,6;0;0
"8661";128,7;0;0
"8676";128,8;0;0
"8681";128,9;0;0
"8696";129;0;0
"8701";129,1;0;0
"8716";129,2;0;0
"8721";129,3;0;0
"8736";129,4;0;0
"8741";129,5;0;0
"8756";129,6;0;0
"8761";129,7;0;0
"8776";129,8;0;0
