"";"time";"report_cell";"values"
"641";42;0;0,9
"656";42,1;0;0,81
"657";42,2;0;0,729
"672";42,3;0;0,6561
"673";42,4;0;0,59049
"688";42,5;0;0,531441
"689";42,6;0;0,478297
"704";42,7;0;0,430467
"705";42,8;0;0,38742
"720";42,9;0;0,348678
"721";43;0;0,31381
"736";43,1;0;0,282429
"737";43,2;0;0,254186
"752";43,3;0;0,228767
"753";43,4;0;0,20589
"768";43,5;0;0,185301
"769";43,6;0;0,166771
"784";43,7;0;0,150094
"785";43,8;0;0,135085
"800";43,9;0;0,121576
"801";44;0;0,109418
"816";44,1;0;0,098476
"817";44,2;0;0,088628
"832";44,3;0;0,079765
"833";44,4;0;0,071788
"848";44,5;0;0,064609
"849";44,6;0;0,058148
"864";44,7;0;0,052333
"865";44,8;0;0,0471
"880";44,9;0;0,04239
"881";45;0;0,038151
"896";45,1;0;0,034336
"897";45,2;0;0,030902
"912";45,3;0;0,027812
"913";45,4;0;0,025031
"928";45,5;0;0,022528
"929";45,6;0;0,020275
"944";45,7;0;0,018247
"945";45,8;0;0,016422
"960";45,9;0;0,01478
"961";46;0;0,013302
"976";46,1;0;0,011972
"977";46,2;0;0,010775
"992";46,3;0;0,009697
"993";46,4;0;0,008727
"1008";46,5;0;0,007854
"1009";46,6;0;0,007069
"1024";46,7;0;0,006362
"1025";46,8;0;0,005726
"1040";46,9;0;0,005153
"1041";47;0;0,004638
"1056";47,1;0;0,011142
"1057";47,2;0;0,023127
"1072";47,3;0;0,039296
"1073";47,4;0;0,058558
"1088";47,5;0;0,080001
"1089";47,6;0;0,102868
"1104";47,7;0;0,126535
"1105";47,8;0;0,150488
"1120";47,9;0;0,174313
"1121";48;0;0,197678
"1136";48,1;0;0,22032
"1137";48,2;0;0,242036
"1152";48,3;0;0,262673
"1153";48,4;0;0,282121
"1168";48,5;0;0,300304
"1169";48,6;0;0,317175
"1184";48,7;0;0,332712
"1185";48,8;0;0,346912
"1200";48,9;0;0,359789
"1201";49;0;0,371368
"1218";49,1;0;0,381685
"1219";49,2;0;0,390784
"1236";49,3;0;0,398713
"1237";49,4;0;0,405527
"1254";49,5;0;0,411282
"1255";49,6;0;0,416036
"1272";49,7;0;0,419846
"1273";49,8;0;0,422772
"1290";49,9;0;0,424872
"1291";50;0;0,426203
"1310";50,1;0;0,42682
"1311";50,2;0;0,426776
"1330";50,3;0;0,426123
"1331";50,4;0;0,42491
"1350";50,5;0;0,423185
"1351";50,6;0;0,420991
"1370";50,7;0;0,41837
"1371";50,8;0;0,415363
"1390";50,9;0;0,412007
"1391";51;0;0,408338
"1410";51,1;0;0,404388
"1411";51,2;0;0,400189
"1430";51,3;0;0,395768
"1431";51,4;0;0,391153
"1450";51,5;0;0,386367
"1451";51,6;0;0,381433
"1470";51,7;0;0,376374
"1471";51,8;0;0,371209
"1490";51,9;0;0,365954
"1491";52;0;0,360628
"1510";52,1;0;0,355245
"1511";52,2;0;0,349873
"1530";52,3;0;0,344614
"1531";52,4;0;0,339591
"1550";52,5;0;0,334934
"1551";52,6;0;0,330776
"1570";52,7;0;0,327244
"1571";52,8;0;0,324454
"1590";52,9;0;0,32251
"1591";53;0;0,321499
"1610";53,1;0;0,321495
"1611";53,2;0;0,322554
"1630";53,3;0;0,324717
"1631";53,4;0;0,328009
"1650";53,5;0;0,33244
"1651";53,6;0;0,338009
"1670";53,7;0;0,3447
"1671";53,8;0;0,352488
"1690";53,9;0;0,361338
"1691";54;0;0,371206
"1710";54,1;0;0,382043
"1711";54,2;0;0,393791
"1730";54,3;0;0,406391
"1731";54,4;0;0,419779
"1750";54,5;0;0,433886
"1751";54,6;0;0,448645
"1770";54,7;0;0,463986
"1771";54,8;0;0,479839
"1790";54,9;0;0,496136
"1791";55;0;0,512806
"1810";55,1;0;0,529783
"1811";55,2;0;0,547002
"1830";55,3;0;0,564399
"1831";55,4;0;0,581913
"1850";55,5;0;0,599486
"1851";55,6;0;0,617063
"1870";55,7;0;0,634591
"1871";55,8;0;0,65202
"1890";55,9;0;0,669305
"1891";56;0;0,686401
"1910";56,1;0;0,703268
"1911";56,2;0;0,719869
"1930";56,3;0;0,736169
"1931";56,4;0;0,752138
"1950";56,5;0;0,767747
"1951";56,6;0;0,782969
"1970";56,7;0;0,797782
"1971";56,8;0;0,812165
"1990";56,9;0;0,826101
"1991";57;0;0,839573
"2010";57,1;0;0,852568
"2011";57,2;0;0,865075
"2030";57,3;0;0,877085
"2031";57,4;0;0,888592
"2050";57,5;0;0,899592
"2051";57,6;0;0,910088
"2070";57,7;0;0,920086
"2071";57,8;0;0,929597
"2090";57,9;0;0,938639
"2091";58;0;0,947234
"2110";58,1;0;0,955408
"2111";58,2;0;0,963196
"2130";58,3;0;0,970637
"2131";58,4;0;0,977772
"2150";58,5;0;0,984649
"2151";58,6;0;0,991319
"2170";58,7;0;0,997835
"2171";58,8;0;1,004255
"2190";58,9;0;1,010638
"2191";59;0;1,017044
"2210";59,1;0;1,023534
"2211";59,2;0;1,030169
"2230";59,3;0;1,037009
"2231";59,4;0;1,044114
"2250";59,5;0;1,051542
"2251";59,6;0;1,059349
"2270";59,7;0;1,06759
"2271";59,8;0;1,076315
"2290";59,9;0;1,085574
"2291";60;0;1,09541
"2310";60,1;0;1,105864
"2311";60,2;0;1,116974
"2330";60,3;0;1,128774
"2331";60,4;0;1,141294
"2350";60,5;0;1,154559
"2351";60,6;0;1,168591
"2370";60,7;0;1,183406
"2371";60,8;0;1,19902
"2390";60,9;0;1,21544
"2391";61;0;1,232673
"2410";61,1;0;1,250722
"2411";61,2;0;1,269584
"2430";61,3;0;1,289254
"2431";61,4;0;1,309723
"2450";61,5;0;1,33098
"2451";61,6;0;1,353011
"2470";61,7;0;1,375798
"2471";61,8;0;1,399321
"2490";61,9;0;1,423557
"2491";62;0;1,448482
"2510";62,1;0;1,474068
"2511";62,2;0;1,500287
"2530";62,3;0;1,527108
"2531";62,4;0;1,554501
"2550";62,5;0;1,582431
"2551";62,6;0;1,610865
"2570";62,7;0;1,639768
"2571";62,8;0;1,669103
"2590";62,9;0;1,698836
"2591";63;0;1,728929
"2610";63,1;0;1,759346
"2611";63,2;0;1,790051
"2630";63,3;0;1,82101
"2631";63,4;0;1,852187
"2650";63,5;0;1,883551
"2651";63,6;0;1,91507
"2670";63,7;0;1,946713
"2671";63,8;0;1,978454
"2690";63,9;0;2,010267
"2691";64;0;2,04213
"2710";64,1;0;2,074022
"2711";64,2;0;2,105926
"2730";64,3;0;2,137828
"2731";64,4;0;2,169718
"2750";64,5;0;2,201589
"2751";64,6;0;2,233436
"2770";64,7;0;2,265259
"2771";64,8;0;2,297062
"2790";64,9;0;2,32885
"2791";65;0;2,360633
"2810";65,1;0;2,383944
"2811";65,2;0;2,408216
"2830";65,3;0;2,433369
"2831";65,4;0;2,459334
"2850";65,5;0;2,486055
"2851";65,6;0;2,513486
"2870";65,7;0;2,541591
"2871";65,8;0;2,570342
"2890";65,9;0;2,599721
"2891";66;0;2,629716
"2910";66,1;0;2,660322
"2911";66,2;0;2,691538
"2930";66,3;0;2,723369
"2931";66,4;0;2,755826
"2950";66,5;0;2,788922
"2951";66,6;0;2,822674
"2970";66,7;0;2,857101
"2971";66,8;0;2,892226
"2990";66,9;0;2,928072
"2991";67;0;2,964664
"3010";67,1;0;3,002029
"3011";67,2;0;3,040194
"3030";67,3;0;3,079186
"3031";67,4;0;3,119032
"3050";67,5;0;3,15976
"3051";67,6;0;3,201396
"3070";67,7;0;3,243966
"3071";67,8;0;3,287495
"3090";67,9;0;3,332006
"3091";68;0;3,377522
"3110";68,1;0;3,424063
"3111";68,2;0;3,471647
"3130";68,3;0;3,520292
"3131";68,4;0;3,570014
"3150";68,5;0;3,620825
"3151";68,6;0;3,672736
"3170";68,7;0;3,725757
"3171";68,8;0;3,779895
"3190";68,9;0;3,835154
"3191";69;0;3,891538
"3210";69,1;0;3,949046
"3211";69,2;0;4,007679
"3230";69,3;0;4,067433
"3231";69,4;0;4,128304
"3250";69,5;0;4,190284
"3251";69,6;0;4,253365
"3270";69,7;0;4,317538
"3271";69,8;0;4,382792
"3290";69,9;0;4,449116
"3291";70;0;4,516497
"3310";70,1;0;4,584921
