"";"time";"report_cell";"values"
"10";0,1;0;0
"11";0,2;0;0
"30";0,3;0;0
"31";0,4;0;0
"50";0,5;0;0
"51";0,6;0;0
"70";0,7;0;0
"71";0,8;0;0
"90";0,9;0;0
"91";1;0;0
"110";1,1;0;0
"111";1,2;0;0
"130";1,3;0;0
"131";1,4;0;0
"150";1,5;0;0
"151";1,6;0;0
"170";1,7;0;0
"171";1,8;0;0
"190";1,9;0;0
"191";2;0;0
"210";2,1;0;0
"211";2,2;0;0
"230";2,3;0;0
"231";2,4;0;0
"250";2,5;0;0
"251";2,6;0;0
"270";2,7;0;0
"271";2,8;0;0
"290";2,9;0;0
"291";3;0;0
"310";3,1;0;0
"311";3,2;0;0
"330";3,3;0;0
"331";3,4;0;0
"350";3,5;0;0
"351";3,6;0;0
"370";3,7;0;0
"371";3,8;0;0
"390";3,9;0;0
"391";4;0;0
"410";4,1;0;0
"411";4,2;0;0
"430";4,3;0;0
"431";4,4;0;0
"450";4,5;0;0
"451";4,6;0;0
"470";4,7;0;0
"471";4,8;0;0
"490";4,9;0;0
"491";5;0;0
"510";5,1;0;0
"511";5,2;0;0
"530";5,3;0;0
"531";5,4;0;0
"550";5,5;0;0
"551";5,6;0;0
"570";5,7;0;0
"571";5,8;0;0
"590";5,9;0;0
"591";6;0;0
"610";6,1;0;0
"611";6,2;0;0
"630";6,3;0;0
"631";6,4;0;0
"650";6,5;0;0
"651";6,6;0;0
"670";6,7;0;0
"671";6,8;0;0
"690";6,9;0;0
"691";7;0;0
"710";7,1;0;0
"711";7,2;0;0
"730";7,3;0;0
"731";7,4;0;0
"750";7,5;0;0
"751";7,6;0;0
"770";7,7;0;0
"771";7,8;0;0
"790";7,9;0;0
"791";8;0;0
"810";8,1;0;0
"811";8,2;0;0
"830";8,3;0;0
"831";8,4;0;0
"850";8,5;0;0
"851";8,6;0;0
"870";8,7;0;0
"871";8,8;0;0
"890";8,9;0;0
"891";9;0;0
"910";9,1;0;0
"911";9,2;0;0
"930";9,3;0;0
"931";9,4;0;0
"950";9,5;0;0
"951";9,6;0;0
"970";9,7;0;0
"971";9,8;0;0
"990";9,9;0;0
"991";10;0;0
"1010";10,1;0;0
"1011";10,2;0;0
"1030";10,3;0;0
"1031";10,4;0;0
"1050";10,5;0;0
"1051";10,6;0;0
"1070";10,7;0;0
"1071";10,8;0;0
"1090";10,9;0;0
"1091";11;0;0
"1110";11,1;0;0
"1111";11,2;0;0
"1130";11,3;0;0
"1131";11,4;0;0
"1150";11,5;0;0
"1151";11,6;0;0
"1170";11,7;0;0
"1171";11,8;0;0
"1190";11,9;0;0
"1191";12;0;0
"1210";12,1;0;0
"1211";12,2;0;0
"1230";12,3;0;0
"1231";12,4;0;0
"1250";12,5;0;0
"1251";12,6;0;0
"1270";12,7;0;0
"1271";12,8;0;0
"1290";12,9;0;0
"1291";13;0;0
"1310";13,1;0;0
"1311";13,2;0;0
"1330";13,3;0;0
"1331";13,4;0;0
"1350";13,5;0;0
"1351";13,6;0;0
"1370";13,7;0;0
"1371";13,8;0;0
"1390";13,9;0;0
"1391";14;0;0
"1410";14,1;0;0
"1411";14,2;0;0
"1430";14,3;0;0
"1431";14,4;0;0
"1450";14,5;0;0
"1451";14,6;0;0
"1470";14,7;0;0
"1471";14,8;0;0
"1490";14,9;0;0
"1491";15;0;0
"1510";15,1;0;0
"1511";15,2;0;0
"1530";15,3;0;0
"1531";15,4;0;0
"1550";15,5;0;0
"1551";15,6;0;0
"1570";15,7;0;0
"1571";15,8;0;0
"1590";15,9;0;0
