"";"time";"report_cell";"values"
"645";47;0;0,011
"649";47,1;0;0,02068
"661";47,2;0;0,029176
"665";47,3;0;0,036612
"677";47,4;0;0,043097
"681";47,5;0;0,04873
"693";47,6;0;0,053601
"697";47,7;0;0,057791
"709";47,8;0;0,06137
"713";47,9;0;0,064404
"725";48;0;0,066952
"729";48,1;0;0,069064
"741";48,2;0;0,07079
"745";48,3;0;0,07217
"757";48,4;0;0,073243
"761";48,5;0;0,074043
"773";48,6;0;0,074601
"777";48,7;0;0,074943
"789";48,8;0;0,075095
"793";48,9;0;0,07508
"805";49;0;0,074915
"809";49,1;0;0,074621
"821";49,2;0;0,074211
"825";49,3;0;0,073702
"837";49,4;0;0,073106
"841";49,5;0;0,072433
"853";49,6;0;0,071695
"857";49,7;0;0,070901
"869";49,8;0;0,070058
"873";49,9;0;0,069175
"885";50;0;0,068258
"889";50,1;0;0,067313
"901";50,2;0;0,066344
"905";50,3;0;0,065357
"917";50,4;0;0,064356
"921";50,5;0;0,063344
"933";50,6;0;0,062325
"937";50,7;0;0,061302
"949";50,8;0;0,060276
"953";50,9;0;0,059251
"965";51;0;0,058229
"969";51,1;0;0,057211
"981";51,2;0;0,056198
"985";51,3;0;0,055193
"997";51,4;0;0,054196
"1001";51,5;0;0,053208
"1013";51,6;0;0,05223
"1017";51,7;0;0,051263
"1029";51,8;0;0,050308
"1033";51,9;0;0,049365
"1045";52;0;0,048434
"1049";52,1;0;0,047602
"1061";52,2;0;0,046932
"1065";52,3;0;0,046474
"1077";52,4;0;0,04626
"1081";52,5;0;0,046313
"1093";52,6;0;0,046644
"1097";52,7;0;0,047257
"1109";52,8;0;0,048151
"1113";52,9;0;0,049319
"1125";53;0;0,050749
"1129";53,1;0;0,052426
"1141";53,2;0;0,054336
"1145";53,3;0;0,05646
"1157";53,4;0;0,058779
"1161";53,5;0;0,061274
"1173";53,6;0;0,063925
"1177";53,7;0;0,066713
"1189";53,8;0;0,069619
"1193";53,9;0;0,072624
"1205";54;0;0,07571
"1210";54,1;0;0,078861
"1223";54,2;0;0,08206
"1228";54,3;0;0,085292
"1241";54,4;0;0,088543
"1246";54,5;0;0,091799
"1259";54,6;0;0,095047
"1264";54,7;0;0,098278
"1277";54,8;0;0,10148
"1282";54,9;0;0,104643
"1296";55;0;0,107759
"1301";55,1;0;0,110821
"1316";55,2;0;0,11382
"1321";55,3;0;0,116752
"1336";55,4;0;0,11961
"1341";55,5;0;0,12239
"1356";55,6;0;0,125088
"1361";55,7;0;0,1277
"1376";55,8;0;0,130223
"1381";55,9;0;0,132654
"1396";56;0;0,134991
"1401";56,1;0;0,137234
"1416";56,2;0;0,139381
"1421";56,3;0;0,14143
"1436";56,4;0;0,143382
"1441";56,5;0;0,145237
"1456";56,6;0;0,146994
"1461";56,7;0;0,148654
"1476";56,8;0;0,150218
"1481";56,9;0;0,151687
"1496";57;0;0,153061
"1501";57,1;0;0,154341
"1516";57,2;0;0,155531
"1521";57,3;0;0,156632
"1536";57,4;0;0,15765
"1541";57,5;0;0,158591
"1556";57,6;0;0,159462
"1561";57,7;0;0,160272
"1576";57,8;0;0,161032
"1581";57,9;0;0,161753
"1596";58;0;0,162447
"1601";58,1;0;0,163128
"1616";58,2;0;0,163808
"1621";58,3;0;0,1645
"1636";58,4;0;0,165219
"1641";58,5;0;0,165978
"1656";58,6;0;0,16679
"1661";58,7;0;0,167667
"1676";58,8;0;0,168622
"1681";58,9;0;0,169665
"1696";59;0;0,170809
"1701";59,1;0;0,172062
"1716";59,2;0;0,173434
"1721";59,3;0;0,174933
"1736";59,4;0;0,176565
"1741";59,5;0;0,178336
"1756";59,6;0;0,180253
"1761";59,7;0;0,182319
"1776";59,8;0;0,184537
"1781";59,9;0;0,18691
"1796";60;0;0,18944
"1801";60,1;0;0,192126
"1816";60,2;0;0,194969
"1821";60,3;0;0,197968
"1836";60,4;0;0,201121
"1841";60,5;0;0,204426
"1856";60,6;0;0,207879
"1861";60,7;0;0,211478
"1876";60,8;0;0,215217
"1881";60,9;0;0,219093
"1896";61;0;0,2231
"1901";61,1;0;0,227234
"1916";61,2;0;0,231488
"1921";61,3;0;0,235856
"1936";61,4;0;0,240331
"1941";61,5;0;0,244908
"1956";61,6;0;0,24958
"1961";61,7;0;0,254339
"1976";61,8;0;0,259179
"1981";61,9;0;0,264092
"1996";62;0;0,269072
"2001";62,1;0;0,27411
"2016";62,2;0;0,279201
"2021";62,3;0;0,284337
"2036";62,4;0;0,289511
"2041";62,5;0;0,294716
"2056";62,6;0;0,299945
"2061";62,7;0;0,305192
"2076";62,8;0;0,31045
"2081";62,9;0;0,315713
"2096";63;0;0,320976
"2101";63,1;0;0,326234
"2116";63,2;0;0,331481
"2121";63,3;0;0,336715
"2136";63,4;0;0,341931
"2141";63,5;0;0,347127
"2156";63,6;0;0,352301
"2161";63,7;0;0,357451
"2176";63,8;0;0,362576
"2181";63,9;0;0,367677
"2196";64;0;0,372754
"2201";64,1;0;0,377808
"2216";64,2;0;0,382843
"2221";64,3;0;0,387861
"2236";64,4;0;0,392865
"2241";64,5;0;0,39786
"2256";64,6;0;0,40285
"2261";64,7;0;0,407842
"2276";64,8;0;0,41284
"2281";64,9;0;0,417851
"2292";65;0;0,414692
"2301";65,1;0;0,419915
"2316";65,2;0;0,425168
"2321";65,3;0;0,430461
"2336";65,4;0;0,435801
"2341";65,5;0;0,441196
"2356";65,6;0;0,446655
"2361";65,7;0;0,452186
"2376";65,8;0;0,457797
"2381";65,9;0;0,463496
"2396";66;0;0,469292
"2401";66,1;0;0,475193
"2416";66,2;0;0,481206
"2421";66,3;0;0,48734
"2436";66,4;0;0,493601
"2441";66,5;0;0,499996
"2456";66,6;0;0,506533
"2461";66,7;0;0,513218
"2476";66,8;0;0,520056
"2481";66,9;0;0,527054
"2496";67;0;0,534216
"2501";67,1;0;0,541548
"2516";67,2;0;0,549054
"2521";67,3;0;0,556738
"2536";67,4;0;0,564602
"2541";67,5;0;0,572651
"2556";67,6;0;0,580887
"2561";67,7;0;0,58931
"2576";67,8;0;0,597924
"2581";67,9;0;0,606729
"2596";68;0;0,615726
"2601";68,1;0;0,624915
"2616";68,2;0;0,634295
"2621";68,3;0;0,643866
"2636";68,4;0;0,653626
"2641";68,5;0;0,663575
"2656";68,6;0;0,67371
"2661";68,7;0;0,684029
"2676";68,8;0;0,694529
"2681";68,9;0;0,705209
"2696";69;0;0,716064
"2701";69,1;0;0,727092
"2716";69,2;0;0,738289
"2721";69,3;0;0,749652
"2736";69,4;0;0,761178
"2741";69,5;0;0,772863
"2756";69,6;0;0,784703
"2761";69,7;0;0,796695
"2776";69,8;0;0,808837
"2781";69,9;0;0,821124
"2796";70;0;0,833553
"2801";70,1;0;0,84602
"2816";70,2;0;0,858533
"2821";70,3;0;0,871104
"2836";70,4;0;0,88374
"2841";70,5;0;0,89645
"2856";70,6;0;0,909242
"2861";70,7;0;0,922121
"2876";70,8;0;0,935094
"2881";70,9;0;0,948166
"2896";71;0;0,961344
"2901";71,1;0;0,974632
"2916";71,2;0;0,988036
"2921";71,3;0;1,001561
"2936";71,4;0;1,015212
"2941";71,5;0;1,028995
"2956";71,6;0;1,042914
"2961";71,7;0;1,056976
"2976";71,8;0;1,071186
"2981";71,9;0;1,085549
"2996";72;0;1,100073
"3001";72,1;0;1,114763
"3016";72,2;0;1,129626
"3021";72,3;0;1,144668
"3036";72,4;0;1,159896
"3041";72,5;0;1,175317
"3056";72,6;0;1,190939
"3061";72,7;0;1,206769
"3076";72,8;0;1,222814
"3081";72,9;0;1,239082
"3096";73;0;1,255581
"3101";73,1;0;1,272319
"3116";73,2;0;1,289304
"3121";73,3;0;1,306544
"3136";73,4;0;1,324047
"3141";73,5;0;1,34182
"3156";73,6;0;1,359873
"3161";73,7;0;1,378212
"3176";73,8;0;1,396847
"3181";73,9;0;1,415784
"3196";74;0;1,435032
"3201";74,1;0;1,454597
"3216";74,2;0;1,474488
"3221";74,3;0;1,494711
"3236";74,4;0;1,515274
"3241";74,5;0;1,536183
"3256";74,6;0;1,557445
"3261";74,7;0;1,579066
"3276";74,8;0;1,601052
"3281";74,9;0;1,623409
"3296";75;0;1,646143
"3301";75,1;0;1,669258
"3316";75,2;0;1,692759
"3321";75,3;0;1,716651
"3336";75,4;0;1,740937
"3341";75,5;0;1,765618
"3356";75,6;0;1,790697
"3361";75,7;0;1,816174
"3376";75,8;0;1,842052
"3381";75,9;0;1,86833
"3396";76;0;1,895009
"3401";76,1;0;1,92209
"3416";76,2;0;1,949572
"3421";76,3;0;1,977458
"3436";76,4;0;2,005746
"3441";76,5;0;2,034438
"3456";76,6;0;2,063534
"3461";76,7;0;2,093035
"3476";76,8;0;2,122942
"3481";76,9;0;2,153256
"3496";77;0;2,183978
"3501";77,1;0;2,21511
"3516";77,2;0;2,246654
"3521";77,3;0;2,278612
"3536";77,4;0;2,310986
"3541";77,5;0;2,343778
"3556";77,6;0;2,376992
"3561";77,7;0;2,41063
"3576";77,8;0;2,444697
"3581";77,9;0;2,479196
"3596";78;0;2,514131
"3601";78,1;0;2,549506
"3616";78,2;0;2,585328
"3621";78,3;0;2,6216
"3636";78,4;0;2,658329
"3641";78,5;0;2,695521
"3656";78,6;0;2,733183
"3661";78,7;0;2,77132
"3676";78,8;0;2,809941
"3681";78,9;0;2,849052
"3696";79;0;2,888663
"3701";79,1;0;2,928781
"3716";79,2;0;2,969416
"3721";79,3;0;3,010576
"3736";79,4;0;3,052271
"3741";79,5;0;3,094512
"3756";79,6;0;3,137307
"3761";79,7;0;3,180669
"3776";79,8;0;3,224608
"3781";79,9;0;3,269136
"3796";80;0;3,314264
"3801";80,1;0;3,360004
"3816";80,2;0;3,406368
"3821";80,3;0;3,453368
"3836";80,4;0;3,501019
"3841";80,5;0;3,549331
"3856";80,6;0;3,598319
"3861";80,7;0;3,647997
"3876";80,8;0;3,698376
"3881";80,9;0;3,749471
"3896";81;0;3,801296
"3901";81,1;0;3,853864
"3916";81,2;0;3,907188
"3921";81,3;0;3,961283
"3936";81,4;0;4,016162
"3941";81,5;0;4,071838
"3956";81,6;0;4,128324
"3961";81,7;0;4,185635
"3976";81,8;0;4,243783
"3981";81,9;0;4,302782
"3996";82;0;4,362644
"4001";82,1;0;4,423383
"4016";82,2;0;4,485012
"4021";82,3;0;4,547542
"4036";82,4;0;4,610987
"4041";82,5;0;4,675359
"4056";82,6;0;4,740671
"4061";82,7;0;4,806934
"4076";82,8;0;4,874161
"4081";82,9;0;4,942363
"4096";83;0;5,011554
"4101";83,1;0;5,081745
"4116";83,2;0;5,152947
"4121";83,3;0;5,225173
"4136";83,4;0;5,298435
"4141";83,5;0;5,372744
"4156";83,6;0;5,448113
"4161";83,7;0;5,524553
"4176";83,8;0;5,602076
"4181";83,9;0;5,680695
"4196";84;0;5,760422
"4201";84,1;0;5,841269
"4216";84,2;0;5,923249
"4221";84,3;0;6,006374
"4236";84,4;0;6,090658
"4241";84,5;0;6,176113
"4256";84,6;0;6,262753
"4261";84,7;0;6,350592
"4276";84,8;0;6,439643
"4281";84,9;0;6,529921
"4296";85;0;6,62144
"4301";85,1;0;6,714216
"4316";85,2;0;6,808263
"4321";85,3;0;6,903597
"4336";85,4;0;7,000235
"4341";85,5;0;7,098192
"4356";85,6;0;7,197485
"4361";85,7;0;7,298133
"4376";85,8;0;7,400153
"4381";85,9;0;7,503563
"4396";86;0;7,608381
"4401";86,1;0;7,714628
"4416";86,2;0;7,822323
"4421";86,3;0;7,931485
"4436";86,4;0;8,042137
"4441";86,5;0;8,1543
"4456";86,6;0;8,267995
"4461";86,7;0;8,383244
"4476";86,8;0;8,500071
"4481";86,9;0;8,618499
"4496";87;0;8,738552
"4501";87,1;0;8,860253
"4516";87,2;0;8,983629
"4521";87,3;0;9,108704
