"";"time";"report_cell";"values"
"1";10;0;0,11
"655";47;0;0,11
"659";47,1;0;0,11
"671";47,2;0;0,11
"675";47,3;0;0,11
"687";47,4;0;0,11
"691";47,5;0;0,11
"703";47,6;0;0,11
"707";47,7;0;0,11
"719";47,8;0;0,11
"723";47,9;0;0,11
"735";48;0;0,11
"739";48,1;0;0,11
"751";48,2;0;0,11
"755";48,3;0;0,11
"767";48,4;0;0,11
"771";48,5;0;0,11
"783";48,6;0;0,11
"787";48,7;0;0,11
"799";48,8;0;0,11
"803";48,9;0;0,11
"815";49;0;0,11
"819";49,1;0;0,11
"831";49,2;0;0,11
"835";49,3;0;0,11
"847";49,4;0;0,11
"851";49,5;0;0,11
"863";49,6;0;0,11
"867";49,7;0;0,11
"879";49,8;0;0,11
"883";49,9;0;0,11
"895";50;0;0,11
"899";50,1;0;0,11
"911";50,2;0;0,11
"915";50,3;0;0,11
"927";50,4;0;0,11
"931";50,5;0;0,11
"943";50,6;0;0,11
"947";50,7;0;0,11
"959";50,8;0;0,11
"963";50,9;0;0,11
"975";51;0;0,11
"979";51,1;0;0,11
"991";51,2;0;0,11
"995";51,3;0;0,11
"1007";51,4;0;0,11
"1011";51,5;0;0,11
"1023";51,6;0;0,11
"1027";51,7;0;0,11
"1039";51,8;0;0,11
"1043";51,9;0;0,11
"1055";52;0;0,11
"1059";52,1;0;0,11
"1071";52,2;0;0,11
"1075";52,3;0;0,11
"1087";52,4;0;0,11
"1091";52,5;0;0,11
"1103";52,6;0;0,11
"1107";52,7;0;0,11
"1119";52,8;0;0,11
"1123";52,9;0;0,11
"1135";53;0;0,11
"1139";53,1;0;0,11
"1151";53,2;0;0,11
"1155";53,3;0;0,11
"1167";53,4;0;0,11
"1171";53,5;0;0,11
"1183";53,6;0;0,11
"1187";53,7;0;0,11
"1199";53,8;0;0,11
"1203";53,9;0;0,11
"1215";54;0;0,11
"1220";54,1;0;0,11
"1233";54,2;0;0,11
"1238";54,3;0;0,11
"1251";54,4;0;0,11
"1256";54,5;0;0,11
"1269";54,6;0;0,11
"1274";54,7;0;0,11
"1287";54,8;0;0,11
"1292";54,9;0;0,11
"1306";55;0;0,11
"1311";55,1;0;0,11
"1326";55,2;0;0,11
"1331";55,3;0;0,11
"1346";55,4;0;0,11
"1351";55,5;0;0,11
"1366";55,6;0;0,11
"1371";55,7;0;0,11
"1386";55,8;0;0,11
"1391";55,9;0;0,11
"1406";56;0;0,11
"1411";56,1;0;0,11
"1426";56,2;0;0,11
"1431";56,3;0;0,11
"1446";56,4;0;0,11
"1451";56,5;0;0,11
"1466";56,6;0;0,11
"1471";56,7;0;0,11
"1486";56,8;0;0,11
"1491";56,9;0;0,11
"1506";57;0;0,11
"1511";57,1;0;0,11
"1526";57,2;0;0,11
"1531";57,3;0;0,11
"1546";57,4;0;0,11
"1551";57,5;0;0,11
"1566";57,6;0;0,11
"1571";57,7;0;0,11
"1586";57,8;0;0,11
"1591";57,9;0;0,11
"1606";58;0;0,11
"1611";58,1;0;0,11
"1626";58,2;0;0,11
"1631";58,3;0;0,11
"1646";58,4;0;0,11
"1651";58,5;0;0,11
"1666";58,6;0;0,11
"1671";58,7;0;0,11
"1686";58,8;0;0,11
"1691";58,9;0;0,11
"1706";59;0;0,11
"1711";59,1;0;0,11
"1726";59,2;0;0,11
"1731";59,3;0;0,11
"1746";59,4;0;0,11
"1751";59,5;0;0,11
"1766";59,6;0;0,11
"1771";59,7;0;0,11
"1786";59,8;0;0,11
"1791";59,9;0;0,11
"1806";60;0;0,11
"1811";60,1;0;0,11
"1826";60,2;0;0,11
"1831";60,3;0;0,11
"1846";60,4;0;0,11
"1851";60,5;0;0,11
"1866";60,6;0;0,11
"1871";60,7;0;0,11
"1886";60,8;0;0,11
"1891";60,9;0;0,11
"1906";61;0;0,11
"1911";61,1;0;0,11
"1926";61,2;0;0,11
"1931";61,3;0;0,11
"1946";61,4;0;0,11
"1951";61,5;0;0,11
"1966";61,6;0;0,11
"1971";61,7;0;0,11
"1986";61,8;0;0,11
"1991";61,9;0;0,11
"2006";62;0;0,11
"2011";62,1;0;0,11
"2026";62,2;0;0,11
"2031";62,3;0;0,11
"2046";62,4;0;0,11
"2051";62,5;0;0,11
"2066";62,6;0;0,11
"2071";62,7;0;0,11
"2086";62,8;0;0,11
"2091";62,9;0;0,11
"2106";63;0;0,11
"2111";63,1;0;0,11
"2126";63,2;0;0,11
"2131";63,3;0;0,11
"2146";63,4;0;0,11
"2151";63,5;0;0,11
"2166";63,6;0;0,11
"2171";63,7;0;0,11
