"";"time";"report_cell";"values"
"1";0;0;362850
"20";0,1;0;362850
"21";0,2;0;362850
"40";0,3;0;362850
"41";0,4;0;362850
"60";0,5;0;362850
"61";0,6;0;362850
"80";0,7;0;362850
"81";0,8;0;362850
"100";0,9;0;362850
"101";1;0;362850
"120";1,1;0;362850
"121";1,2;0;362850
"140";1,3;0;362850
"141";1,4;0;362850
"160";1,5;0;362850
"161";1,6;0;362850
"180";1,7;0;362850
"181";1,8;0;362850
"200";1,9;0;362850
"201";2;0;362850
"220";2,1;0;362850
"221";2,2;0;362850
"240";2,3;0;362850
"241";2,4;0;362850
"260";2,5;0;362850
"261";2,6;0;362850
"280";2,7;0;362850
"281";2,8;0;362850
"300";2,9;0;362850
"301";3;0;362850
"320";3,1;0;362850
"321";3,2;0;362850
"340";3,3;0;362850
"341";3,4;0;362850
"360";3,5;0;362850
"361";3,6;0;362850
"380";3,7;0;362850
"381";3,8;0;362850
"400";3,9;0;362850
"401";4;0;362850
"420";4,1;0;362850
"421";4,2;0;362850
"440";4,3;0;362850
"441";4,4;0;362850
"460";4,5;0;362850
"461";4,6;0;362850
"480";4,7;0;362850
"481";4,8;0;362850
"500";4,9;0;362850
"501";5;0;362850
"520";5,1;0;362850
"521";5,2;0;362850
"540";5,3;0;362850
"541";5,4;0;362850
"560";5,5;0;362850
"561";5,6;0;362850
"580";5,7;0;362850
"581";5,8;0;362850
"600";5,9;0;362850
"601";6;0;362850
"620";6,1;0;362850
"621";6,2;0;362850
"640";6,3;0;362850
"641";6,4;0;362850
"660";6,5;0;362850
"661";6,6;0;362850
"680";6,7;0;362850
"681";6,8;0;362850
"700";6,9;0;362850
"701";7;0;362850
"720";7,1;0;362850
"721";7,2;0;362850
"740";7,3;0;362850
"741";7,4;0;362850
"760";7,5;0;362850
"761";7,6;0;362850
"780";7,7;0;362850
"781";7,8;0;362850
"800";7,9;0;362850
"801";8;0;362850
"820";8,1;0;362850
"821";8,2;0;362850
"840";8,3;0;362850
"841";8,4;0;362850
"860";8,5;0;362850
"861";8,6;0;362850
"880";8,7;0;362850
"881";8,8;0;362850
"900";8,9;0;362850
"901";9;0;362850
"920";9,1;0;362850
"921";9,2;0;362850
"940";9,3;0;362850
"941";9,4;0;362850
"960";9,5;0;362850
"961";9,6;0;362850
"980";9,7;0;362850
"981";9,8;0;362850
"1000";9,9;0;362850
"1001";10;0;362850
"1020";10,1;0;362850
"1021";10,2;0;362850
"1040";10,3;0;362850
"1041";10,4;0;362850
"1060";10,5;0;362850
"1061";10,6;0;362850
"1080";10,7;0;362850
"1081";10,8;0;362850
"1100";10,9;0;362850
"1101";11;0;362850
"1120";11,1;0;362850
"1121";11,2;0;362850
"1140";11,3;0;362850
"1141";11,4;0;362850
"1160";11,5;0;362850
"1161";11,6;0;362850
"1180";11,7;0;362850
"1181";11,8;0;362850
"1200";11,9;0;362850
"1201";12;0;362850
"1220";12,1;0;362850
"1221";12,2;0;362850
"1240";12,3;0;362850
"1241";12,4;0;362850
"1260";12,5;0;362850
"1261";12,6;0;362850
"1280";12,7;0;362850
"1281";12,8;0;362850
"1300";12,9;0;362850
"1301";13;0;362850
"1320";13,1;0;362850
"1321";13,2;0;362850
"1340";13,3;0;362850
"1341";13,4;0;362850
"1360";13,5;0;362850
"1361";13,6;0;362850
"1380";13,7;0;362850
"1381";13,8;0;362850
"1400";13,9;0;362850
"1401";14;0;362850
"1420";14,1;0;362850
"1421";14,2;0;362850
"1440";14,3;0;362850
"1441";14,4;0;362850
"1460";14,5;0;362850
"1461";14,6;0;362850
"1480";14,7;0;362850
"1481";14,8;0;362850
"1500";14,9;0;362850
"1501";15;0;362850
"1520";15,1;0;362850
"1521";15,2;0;362850
"1540";15,3;0;362850
"1541";15,4;0;362850
"1560";15,5;0;362850
"1561";15,6;0;362850
"1580";15,7;0;362850
"1581";15,8;0;362850
"1600";15,9;0;362850
"1601";16;0;362850
"1620";16,1;0;362850
"1621";16,2;0;362850
"1640";16,3;0;362850
"1641";16,4;0;362850
"1660";16,5;0;362850
"1661";16,6;0;362850
"1680";16,7;0;362850
"1681";16,8;0;362850
"1700";16,9;0;362850
"1701";17;0;362850
"1720";17,1;0;362850
"1721";17,2;0;362850
"1740";17,3;0;362850
"1741";17,4;0;362850
"1760";17,5;0;362850
"1761";17,6;0;362850
"1780";17,7;0;362850
"1781";17,8;0;362850
"1800";17,9;0;362850
"1801";18;0;362850
"1820";18,1;0;362850
"1821";18,2;0;362850
"1840";18,3;0;362850
"1841";18,4;0;362850
"1860";18,5;0;362850
"1861";18,6;0;362850
"1880";18,7;0;362850
"1881";18,8;0;362850
"1900";18,9;0;362850
"1901";19;0;362850
"1920";19,1;0;362850
"1921";19,2;0;362850
"1940";19,3;0;362850
"1941";19,4;0;362850
"1960";19,5;0;362850
"1961";19,6;0;362850
"1980";19,7;0;362850
"1981";19,8;0;362850
"2000";19,9;0;362850
"2001";20;0;362850
"2020";20,1;0;362850
"2021";20,2;0;362850
"2040";20,3;0;362850
"2041";20,4;0;362850
"2060";20,5;0;362850
"2061";20,6;0;362850
"2080";20,7;0;362850
"2081";20,8;0;362850
"2100";20,9;0;362850
"2101";21;0;362850
"2120";21,1;0;362850
"2121";21,2;0;362850
"2140";21,3;0;362850
"2141";21,4;0;362850
"2160";21,5;0;362850
"2161";21,6;0;362850
"2180";21,7;0;362850
"2181";21,8;0;362850
"2200";21,9;0;362850
"2201";22;0;362850
"2220";22,1;0;362850
"2221";22,2;0;362850
"2240";22,3;0;362850
"2241";22,4;0;362850
"2260";22,5;0;362850
"2261";22,6;0;362850
"2280";22,7;0;362850
"2281";22,8;0;362850
"2300";22,9;0;362850
"2301";23;0;362850
"2320";23,1;0;362850
"2321";23,2;0;362850
"2340";23,3;0;362850
"2341";23,4;0;362850
"2360";23,5;0;362850
"2361";23,6;0;362850
"2380";23,7;0;362850
"2381";23,8;0;362850
"2400";23,9;0;362850
"2401";24;0;362850
"2420";24,1;0;362850
"2421";24,2;0;362850
"2440";24,3;0;362850
"2441";24,4;0;362850
"2460";24,5;0;362850
"2461";24,6;0;362850
"2480";24,7;0;362850
"2481";24,8;0;362850
"2500";24,9;0;362850
"2501";25;0;362850
"2520";25,1;0;362850
"2521";25,2;0;362850
"2540";25,3;0;362850
"2541";25,4;0;362850
"2560";25,5;0;362850
"2561";25,6;0;362850
"2580";25,7;0;362850
"2581";25,8;0;362850
"2600";25,9;0;362850
"2601";26;0;362850
"2620";26,1;0;362850
"2621";26,2;0;362850
"2640";26,3;0;362850
"2641";26,4;0;362850
"2660";26,5;0;362850
"2661";26,6;0;362850
"2680";26,7;0;362850
"2681";26,8;0;362850
"2700";26,9;0;362850
"2701";27;0;362850
"2720";27,1;0;362850
"2721";27,2;0;362850
"2740";27,3;0;362850
"2741";27,4;0;362850
"2760";27,5;0;362850
"2761";27,6;0;362850
"2780";27,7;0;362850
"2781";27,8;0;362850
"2800";27,9;0;362850
"2801";28;0;362850
"2820";28,1;0;362850
"2821";28,2;0;362850
"2840";28,3;0;362850
"2841";28,4;0;362850
"2860";28,5;0;362850
"2861";28,6;0;362850
"2880";28,7;0;362850
"2881";28,8;0;362850
"2900";28,9;0;362850
"2901";29;0;362850
"2920";29,1;0;362850
"2921";29,2;0;362850
"2940";29,3;0;362850
"2941";29,4;0;362850
"2960";29,5;0;362850
"2961";29,6;0;362850
"2980";29,7;0;362850
"2981";29,8;0;362850
"3000";29,9;0;362850
"3001";30;0;362850
"3020";30,1;0;362850
"3021";30,2;0;362850
"3040";30,3;0;362850
"3041";30,4;0;362850
"3060";30,5;0;362850
"3061";30,6;0;362850
"3080";30,7;0;362850
"3081";30,8;0;362850
"3100";30,9;0;362850
"3101";31;0;362850
"3120";31,1;0;362850
"3121";31,2;0;362850
"3140";31,3;0;362850
"3141";31,4;0;362850
"3160";31,5;0;362850
"3161";31,6;0;362850
"3180";31,7;0;362850
"3181";31,8;0;362850
"3200";31,9;0;362850
"3201";32;0;362850
"3220";32,1;0;362850
"3221";32,2;0;362850
"3240";32,3;0;362850
"3241";32,4;0;362850
"3260";32,5;0;362850
"3261";32,6;0;362850
"3280";32,7;0;362850
"3281";32,8;0;362850
"3300";32,9;0;362850
"3301";33;0;362850
"3320";33,1;0;362850
"3321";33,2;0;362850
"3340";33,3;0;362850
"3341";33,4;0;362850
"3360";33,5;0;362850
"3361";33,6;0;362850
"3380";33,7;0;362850
"3381";33,8;0;362850
"3400";33,9;0;362850
"3401";34;0;362850
"3420";34,1;0;362850
"3421";34,2;0;362850
"3440";34,3;0;362850
"3441";34,4;0;362850
"3460";34,5;0;362850
"3461";34,6;0;362850
"3480";34,7;0;362850
"3481";34,8;0;362850
"3500";34,9;0;362850
"3501";35;0;362850
"3520";35,1;0;362850
"3521";35,2;0;362850
"3540";35,3;0;362850
"3541";35,4;0;362850
"3560";35,5;0;362850
"3561";35,6;0;362850
"3580";35,7;0;362850
"3581";35,8;0;362850
"3600";35,9;0;362850
"3601";36;0;362850
"3620";36,1;0;362850
"3621";36,2;0;362850
"3640";36,3;0;362850
"3641";36,4;0;362850
"3660";36,5;0;362850
"3661";36,6;0;362850
"3680";36,7;0;362850
"3681";36,8;0;362850
"3700";36,9;0;362850
"3701";37;0;362850
"3720";37,1;0;362850
"3721";37,2;0;362850
"3740";37,3;0;362850
"3741";37,4;0;362850
"3760";37,5;0;362850
