"";"time";"report_cell";"values"
"1";0;0;0,79
"20";0,1;0;0,79
"21";0,2;0;0,79
"40";0,3;0;0,79
"41";0,4;0;0,79
"60";0,5;0;0,79
"61";0,6;0;0,79
"80";0,7;0;0,79
"81";0,8;0;0,79
"100";0,9;0;0,79
"101";1;0;0,79
"120";1,1;0;0,79
"121";1,2;0;0,79
"140";1,3;0;0,79
"141";1,4;0;0,79
"160";1,5;0;0,79
"161";1,6;0;0,79
"180";1,7;0;0,79
"181";1,8;0;0,79
"200";1,9;0;0,79
"201";2;0;0,79
"220";2,1;0;0,79
"221";2,2;0;0,79
"240";2,3;0;0,79
"241";2,4;0;0,79
"260";2,5;0;0,79
"261";2,6;0;0,79
"280";2,7;0;0,79
"281";2,8;0;0,79
"300";2,9;0;0,79
"301";3;0;0,79
"320";3,1;0;0,79
"321";3,2;0;0,79
"340";3,3;0;0,79
"341";3,4;0;0,79
"360";3,5;0;0,79
"361";3,6;0;0,79
"380";3,7;0;0,79
"381";3,8;0;0,79
"400";3,9;0;0,79
"401";4;0;0,79
"420";4,1;0;0,79
"421";4,2;0;0,79
"440";4,3;0;0,79
"441";4,4;0;0,79
"460";4,5;0;0,79
"461";4,6;0;0,79
"480";4,7;0;0,79
"481";4,8;0;0,79
"500";4,9;0;0,79
"501";5;0;0,79
"520";5,1;0;0,79
"521";5,2;0;0,79
"540";5,3;0;0,79
"541";5,4;0;0,79
"560";5,5;0;0,79
"561";5,6;0;0,79
"580";5,7;0;0,79
"581";5,8;0;0,79
"600";5,9;0;0,79
"601";6;0;0,79
"620";6,1;0;0,79
"621";6,2;0;0,79
"640";6,3;0;0,79
"641";6,4;0;0,79
"660";6,5;0;0,79
"661";6,6;0;0,79
"680";6,7;0;0,79
"681";6,8;0;0,79
"700";6,9;0;0,79
"701";7;0;0,79
"720";7,1;0;0,79
"721";7,2;0;0,79
"740";7,3;0;0,79
"741";7,4;0;0,79
"760";7,5;0;0,79
"761";7,6;0;0,79
"780";7,7;0;0,79
