"";"time";"report_cell";"values"
"1";398;0;396,706335
"11";405;0;2811,125186
"21";412;0;3664,603216
"31";427;0;1958,310862
"41";436;0;543,053426
"51";456;0;13898,564734
"61";484;0;13803,749645
"71";491;0;16356,740749
"81";505;0;25025,25773
"91";517;0;13799,293336
"101";533;0;30545,01299
"111";547;0;17265,401161
"121";561;0;28344,591797
"131";575;0;30247,815092
"141";582;0;23703,772418
"10";398;1;664,729379
"20";405;1;4710,379777
"30";412;1;6140,485299
"40";427;1;3281,386374
"50";436;1;909,951605
"60";456;1;23288,72388
"70";484;1;23129,849746
"80";491;1;27407,694691
"90";505;1;41932,841876
"100";517;1;23122,382662
"110";533;1;51181,85849
"120";547;1;28930,26496
"130";561;1;47494,787013
"140";575;1;50683,867515
"150";582;1;39718,533626
"2";398;2;193,31521
"12";405;2;1369,862814
"22";412;2;1785,763116
"32";427;2;954,285936
"42";436;2;264,630226
"52";456;2;6772,778064
"62";484;2;6726,57462
"72";491;2;7970,648557
"82";505;2;12194,821541
"92";517;2;6724,403058
"102";533;2;14884,601245
"112";547;2;8413,439264
"122";561;2;13812,334815
"132";575;2;14739,77655
"142";582;2;11550,861038
"9";398;3;942,160326
"19";405;3;6676,300296
"29";412;3;8703,27357
"39";427;3;4650,903294
"49";436;3;1289,728315
"59";456;3;33008,487958
"69";484;3;32783,306236
"79";491;3;38846,549293
"89";505;3;59433,900853
"99";517;3;32772,722695
"109";533;3;72543,080004
"119";547;3;41004,578329
"129";561;3;67317,175181
"139";575;3;71837,247895
"149";582;3;56295,430597
"3";398;4;576,127804
"13";405;4;4082,534703
"23";412;4;5322,021899
"33";427;4;2844,011392
"43";436;4;788,664435
"53";456;4;20184,577026
"63";484;4;20046,879176
"73";491;4;23754,531483
"83";505;4;36343,626259
"93";517;4;20040,407377
"103";533;4;44359,844289
"113";547;4;25074,158827
"123";561;4;41164,221437
"133";575;4;43928,230379
"143";582;4;34424,462476
"8";398;5;73,554395
"18";405;5;521,218325
"28";412;5;679,463995
"38";427;5;363,095714
"48";436;5;100,689005
"58";456;5;2576,970483
"68";484;5;2559,39056
"78";491;5;3032,747547
"88";505;5;4640,000728
"98";517;5;2558,564304
"108";533;5;5663,433482
"118";547;5;3201,224732
"128";561;5;5255,447436
"138";575;5;5608,329216
"148";582;5;4394,980562
"4";398;6;1498,60533
"14";405;6;10619,359495
"24";412;6;13843,474188
"34";427;6;7397,752028
"44";436;6;2051,448859
"54";456;6;52503,480139
"64";484;6;52145,304869
"74";491;6;61789,532191
"84";505;6;94535,885346
"94";517;6;52128,470632
"104";533;6;115387,416869
"114";547;6;65222,104892
"124";561;6;107075,064288
"134";575;6;114264,716485
"144";582;6;89543,817519
"7";398;7;2171,342087
"17";405;7;15386,480848
"27";412;7;20057,928218
"37";427;7;10718,66622
"47";436;7;2972,361808
"57";456;7;76072,741675
"67";484;7;75553,778461
"77";491;7;89527,381959
"87";505;7;136973,853272
"97";517;7;75529,38719
"107";533;7;167185,815734
"117";547;7;94500,865919
"127";561;7;155141,976947
"137";575;7;165559,12554
"147";582;7;129740,803479
"5";398;8;1851,459134
"15";405;8;13119,738557
"25";412;8;17102,986499
"35";427;8;9139,58818
"45";436;8;2534,47232
"55";456;8;64865,67604
"65";484;8;64423,166687
"75";491;8;76338,173529
"85";505;8;116794,812395
"95";517;8;64402,368747
"105";533;8;142555,936897
"115";547;8;80578,961915
"125";561;8;132286,401084
"135";575;8;141168,89133
"145";582;8;110627,338286
"6";398;9;8368
"16";405;9;59297
"26";412;9;77300
"36";427;9;41308
"46";436;9;11455
"56";456;9;293172
"66";484;9;291172
"76";491;9;345024
"86";505;9;527875
"96";517;9;291078
"106";533;9;644307
"116";547;9;364191
"126";561;9;597892
"136";575;9;638038
"146";582;9;5e+05
