"";"time";"report_cell";"values"
"648";47;0;1,4e-05
"649";47,1;0;4e-05
"664";47,2;0;7,6e-05
"665";47,3;0;0,000122
"680";47,4;0;0,000176
"681";47,5;0;0,000236
"696";47,6;0;0,000302
"697";47,7;0;0,000373
"712";47,8;0;0,000449
"713";47,9;0;0,000529
"728";48;0;0,000611
"729";48,1;0;0,000697
"744";48,2;0;0,000784
"745";48,3;0;0,000874
"760";48,4;0;0,000964
"761";48,5;0;0,001055
"776";48,6;0;0,001147
"777";48,7;0;0,00124
"792";48,8;0;0,001333
"793";48,9;0;0,001426
"808";49;0;0,001519
"809";49,1;0;0,001611
"824";49,2;0;0,001703
"825";49,3;0;0,001794
"840";49,4;0;0,001884
"841";49,5;0;0,001974
"856";49,6;0;0,002063
"857";49,7;0;0,002151
"872";49,8;0;0,002237
"873";49,9;0;0,002323
"888";50;0;0,002407
"889";50,1;0;0,002407
"890";50,1;0;0,00249
"898";50,2;0;0,00249
"906";50,2;0;0,002572
"907";50,3;0;0,002572
"908";50,3;0;0,002653
"916";50,4;0;0,002653
"924";50,4;0;0,002732
"925";50,5;0;0,002733
"926";50,5;0;0,002811
"934";50,6;0;0,002812
"942";50,6;0;0,002889
"943";50,7;0;0,00289
"944";50,7;0;0,002966
"952";50,8;0;0,002968
"960";50,8;0;0,003042
"961";50,9;0;0,003044
"962";50,9;0;0,003118
"970";51;0;0,003121
"978";51;0;0,003193
"979";51,1;0;0,003196
"980";51,1;0;0,003266
"988";51,2;0;0,00327
"996";51,2;0;0,00334
"997";51,3;0;0,003345
"998";51,3;0;0,003413
"1006";51,4;0;0,003419
"1014";51,4;0;0,003486
"1015";51,5;0;0,003492
"1016";51,5;0;0,003558
"1024";51,6;0;0,003565
"1032";51,6;0;0,00363
"1033";51,7;0;0,003638
"1034";51,7;0;0,003701
"1042";51,8;0;0,00371
"1050";51,8;0;0,003772
"1051";51,9;0;0,003782
"1052";51,9;0;0,003843
"1060";52;0;0,003854
"1068";52;0;0,003914
"1069";52,1;0;0,003926
"1070";52,1;0;0,003985
"1078";52,2;0;0,003998
"1086";52,2;0;0,004056
"1087";52,3;0;0,00407
"1088";52,3;0;0,004128
"1096";52,4;0;0,004143
"1104";52,4;0;0,0042
"1105";52,5;0;0,004217
"1106";52,5;0;0,004275
"1114";52,6;0;0,004293
"1122";52,6;0;0,004351
"1123";52,7;0;0,00437
"1124";52,7;0;0,004428
"1132";52,8;0;0,004448
"1140";52,8;0;0,004507
"1141";52,9;0;0,004528
"1142";52,9;0;0,004589
"1150";53;0;0,004611
"1158";53;0;0,004673
"1159";53,1;0;0,004696
"1160";53,1;0;0,004761
"1168";53,2;0;0,004785
"1176";53,2;0;0,004852
"1177";53,3;0;0,004877
"1178";53,3;0;0,004947
"1186";53,4;0;0,004973
"1194";53,4;0;0,005046
"1195";53,5;0;0,005073
"1196";53,5;0;0,005149
"1204";53,6;0;0,005177
"1212";53,6;0;0,005256
"1213";53,7;0;0,005285
"1214";53,7;0;0,005367
"1222";53,8;0;0,005397
"1230";53,8;0;0,005483
"1231";53,9;0;0,005514
"1232";53,9;0;0,005604
"1240";54;0;0,005636
"1249";54;0;0,00573
"1250";54,1;0;0,005763
"1251";54,1;0;0,005861
"1260";54,2;0;0,005895
"1269";54,2;0;0,005997
"1270";54,3;0;0,006032
"1271";54,3;0;0,006138
"1280";54,4;0;0,006174
"1289";54,4;0;0,006284
"1290";54,5;0;0,006321
"1291";54,5;0;0,006435
"1300";54,6;0;0,006473
"1309";54,6;0;0,006591
"1310";54,7;0;0,006629
"1311";54,7;0;0,006751
"1320";54,8;0;0,00679
"1329";54,8;0;0,006916
"1330";54,9;0;0,006956
"1331";54,9;0;0,007086
"1340";55;0;0,007127
"1350";55;0;0,007261
"1351";55,1;0;0,007302
"1352";55,1;0;0,007439
"1362";55,2;0;0,007481
"1372";55,2;0;0,007622
"1373";55,3;0;0,007665
"1374";55,3;0;0,007809
"1384";55,4;0;0,007852
"1394";55,4;0;0,008
"1395";55,5;0;0,008044
"1396";55,5;0;0,008195
"1406";55,6;0;0,00824
"1416";55,6;0;0,008394
"1417";55,7;0;0,008439
"1418";55,7;0;0,008597
"1428";55,8;0;0,008643
