"";"time";"report_cell";"values"
"641";47;0;4e-04
"656";47,1;0;0,000752
"657";47,2;0;0,001061
"672";47,3;0;0,001331
"673";47,4;0;0,001567
"688";47,5;0;0,001772
"689";47,6;0;0,001949
"704";47,7;0;0,002101
"705";47,8;0;0,002232
"720";47,9;0;0,002342
"721";48;0;0,002435
"736";48,1;0;0,002511
"737";48,2;0;0,002574
"752";48,3;0;0,002624
"753";48,4;0;0,002663
"768";48,5;0;0,002692
"769";48,6;0;0,002713
"784";48,7;0;0,002725
"785";48,8;0;0,002731
"800";48,9;0;0,00273
"801";49;0;0,002724
"816";49,1;0;0,002713
"817";49,2;0;0,002699
"832";49,3;0;0,00268
"833";49,4;0;0,002658
"848";49,5;0;0,002634
"849";49,6;0;0,002607
"864";49,7;0;0,002578
"865";49,8;0;0,002548
"880";49,9;0;0,002515
"881";50;0;0,002482
"896";50,1;0;0,002448
"897";50,2;0;0,002413
"912";50,3;0;0,002377
"913";50,4;0;0,00234
"928";50,5;0;0,002303
"929";50,6;0;0,002266
"944";50,7;0;0,002229
"945";50,8;0;0,002192
"960";50,9;0;0,002155
"961";51;0;0,002117
"976";51,1;0;0,00208
"977";51,2;0;0,002044
"992";51,3;0;0,002007
"993";51,4;0;0,001971
"1008";51,5;0;0,001935
"1009";51,6;0;0,001899
"1024";51,7;0;0,001864
"1025";51,8;0;0,001829
"1040";51,9;0;0,001795
"1041";52;0;0,001761
"1056";52,1;0;0,001731
"1057";52,2;0;0,001707
"1072";52,3;0;0,00169
"1073";52,4;0;0,001682
"1088";52,5;0;0,001684
"1089";52,6;0;0,001696
"1104";52,7;0;0,001718
"1105";52,8;0;0,001751
"1120";52,9;0;0,001793
"1121";53;0;0,001845
"1136";53,1;0;0,001906
"1137";53,2;0;0,001976
"1152";53,3;0;0,002053
"1153";53,4;0;0,002137
"1168";53,5;0;0,002228
"1169";53,6;0;0,002325
"1184";53,7;0;0,002426
"1185";53,8;0;0,002532
"1200";53,9;0;0,002641
"1201";54;0;0,002753
"1218";54,1;0;0,002868
"1219";54,2;0;0,002984
"1236";54,3;0;0,003102
"1237";54,4;0;0,00322
"1254";54,5;0;0,003338
"1255";54,6;0;0,003456
"1272";54,7;0;0,003574
"1273";54,8;0;0,00369
"1290";54,9;0;0,003805
"1291";55;0;0,003919
"1310";55,1;0;0,00403
"1311";55,2;0;0,004139
