"";"time";"report_cell";"values"
"641";42;0;0,1
"656";42,1;0;0,09
"657";42,2;0;0,081
"672";42,3;0;0,0729
"673";42,4;0;0,06561
"688";42,5;0;0,059049
"689";42,6;0;0,053144
"704";42,7;0;0,04783
"705";42,8;0;0,043047
"720";42,9;0;0,038742
"721";43;0;0,034868
"736";43,1;0;0,031381
"737";43,2;0;0,028243
"752";43,3;0;0,025419
"753";43,4;0;0,022877
"768";43,5;0;0,020589
"769";43,6;0;0,01853
"784";43,7;0;0,016677
"785";43,8;0;0,015009
"800";43,9;0;0,013509
"801";44;0;0,012158
"816";44,1;0;0,010942
"817";44,2;0;0,009848
"832";44,3;0;0,008863
"833";44,4;0;0,007977
"848";44,5;0;0,007179
"849";44,6;0;0,006461
"864";44,7;0;0,005815
"865";44,8;0;0,005233
"880";44,9;0;0,00471
"881";45;0;0,004239
"896";45,1;0;0,003815
"897";45,2;0;0,003434
"912";45,3;0;0,00309
"913";45,4;0;0,002781
"928";45,5;0;0,002503
"929";45,6;0;0,002253
"944";45,7;0;0,002028
"945";45,8;0;0,001825
"960";45,9;0;0,001642
"961";46;0;0,001478
"976";46,1;0;0,00133
"977";46,2;0;0,001197
"992";46,3;0;0,001078
"993";46,4;0;0,00097
"1008";46,5;0;0,000873
"1009";46,6;0;0,000785
"1024";46,7;0;0,000707
"1025";46,8;0;0,000636
"1040";46,9;0;0,000573
"1041";47;0;0,000515
"1056";47,1;0;0,001238
"1057";47,2;0;0,00257
"1072";47,3;0;0,004366
"1073";47,4;0;0,006506
"1088";47,5;0;0,008889
"1089";47,6;0;0,01143
"1104";47,7;0;0,014059
"1105";47,8;0;0,016721
"1120";47,9;0;0,019368
"1121";48;0;0,021964
"1136";48,1;0;0,02448
"1137";48,2;0;0,026893
"1152";48,3;0;0,029186
"1153";48,4;0;0,031347
"1168";48,5;0;0,033367
"1169";48,6;0;0,035242
"1184";48,7;0;0,036968
"1185";48,8;0;0,038546
"1200";48,9;0;0,039976
"1201";49;0;0,041263
"1218";49,1;0;0,04241
"1219";49,2;0;0,04342
"1236";49,3;0;0,044302
"1237";49,4;0;0,045059
"1254";49,5;0;0,045698
"1255";49,6;0;0,046226
"1272";49,7;0;0,04665
"1273";49,8;0;0,046975
"1290";49,9;0;0,047208
"1291";50;0;0,047356
"1310";50,1;0;0,047424
"1311";50,2;0;0,04742
"1330";50,3;0;0,047347
"1331";50,4;0;0,047212
"1350";50,5;0;0,04702
"1351";50,6;0;0,046777
"1370";50,7;0;0,046486
"1371";50,8;0;0,046152
"1390";50,9;0;0,045779
"1391";51;0;0,045371
"1410";51,1;0;0,044932
"1411";51,2;0;0,044465
"1430";51,3;0;0,043974
