"";"time";"report_cell";"values"
"1";47,1;0;8e-06
"2";47,2;0;2,2e-05
"3";47,3;0;4,1e-05
"4";47,4;0;6,4e-05
"5";47,5;0;8,9e-05
"6";47,6;0;0,000115
"7";47,7;0;0,000143
"8";47,8;0;0,00017
"9";47,9;0;0,000198
"10";48;0;0,000225
"11";48,1;0;0,000251
"12";48,2;0;0,000276
"13";48,3;0;3e-04
"14";48,4;0;0,000323
"15";48,5;0;0,000344
"16";48,6;0;0,000363
"17";48,7;0;0,000381
"18";48,8;0;0,000397
"19";48,9;0;0,000412
"20";49;0;0,000426
"21";49,1;0;0,000438
"22";49,2;0;0,000448
"23";49,3;0;0,000457
"24";49,4;0;0,000465
"25";49,5;0;0,000472
"26";49,6;0;0,000477
"27";49,7;0;0,000482
"28";49,8;0;0,000485
"29";49,9;0;0,000488
"30";50;0;0,000489
"31";50,1;0;0,00049
"32";50,2;0;0,00049
"33";50,3;0;0,000489
"34";50,4;0;0,000488
"35";50,5;0;0,000486
"36";50,6;0;0,000483
"37";50,7;0;0,00048
"38";50,8;0;0,000477
"39";50,9;0;0,000473
"40";51;0;0,000469
"41";51,1;0;0,000464
"42";51,2;0;0,000459
"43";51,3;0;0,000454
"44";51,4;0;0,000449
"45";51,5;0;0,000444
"46";51,6;0;0,000438
"47";51,7;0;0,000432
"48";51,8;0;0,000426
"49";51,9;0;0,00042
"50";52;0;0,000414
"51";52,1;0;0,000408
"52";52,2;0;0,000402
"53";52,3;0;0,000396
"54";52,4;0;0,00039
"55";52,5;0;0,000385
"56";52,6;0;0,00038
"57";52,7;0;0,000376
"58";52,8;0;0,000372
"59";52,9;0;0,00037
"60";53;0;0,000369
"61";53,1;0;0,000369
"62";53,2;0;0,00037
"63";53,3;0;0,000373
"64";53,4;0;0,000377
"65";53,5;0;0,000382
"66";53,6;0;0,000388
"67";53,7;0;0,000396
"68";53,8;0;0,000405
"69";53,9;0;0,000415
"70";54;0;0,000426
"71";54,1;0;0,000439
"72";54,2;0;0,000452
"73";54,3;0;0,000467
"74";54,4;0;0,000482
"75";54,5;0;0,000498
"76";54,6;0;0,000515
"77";54,7;0;0,000533
"78";54,8;0;0,000551
"79";54,9;0;0,00057
"80";55;0;0,000589
"81";55,1;0;0,000608
"82";55,2;0;0,000628
"83";55,3;0;0,000648
"84";55,4;0;0,000668
"85";55,5;0;0,000688
"86";55,6;0;0,000708
"87";55,7;0;0,000729
"88";55,8;0;0,000749
"89";55,9;0;0,000768
"90";56;0;0,000788
"91";56,1;0;0,000807
"92";56,2;0;0,000827
"93";56,3;0;0,000845
"94";56,4;0;0,000864
"95";56,5;0;0,000882
"96";56,6;0;0,000899
"97";56,7;0;0,000916
"98";56,8;0;0,000932
"99";56,9;0;0,000948
"100";57;0;0,000964
"101";57,1;0;0,000979
"102";57,2;0;0,000993
"103";57,3;0;0,001007
"104";57,4;0;0,00102
"105";57,5;0;0,001033
"106";57,6;0;0,001045
"107";57,7;0;0,001056
"108";57,8;0;0,001067
"109";57,9;0;0,001078
"110";58;0;0,001088
"111";58,1;0;0,001097
"112";58,2;0;0,001106
"113";58,3;0;0,001114
"114";58,4;0;0,001123
"115";58,5;0;0,001131
"116";58,6;0;0,001138
"117";58,7;0;0,001146
"118";58,8;0;0,001153
"119";58,9;0;0,00116
"120";59;0;0,001168
"121";59,1;0;0,001175
"122";59,2;0;0,001183
"123";59,3;0;0,001191
"124";59,4;0;0,001199
"125";59,5;0;0,001207
"126";59,6;0;0,001216
"127";59,7;0;0,001226
"128";59,8;0;0,001236
"129";59,9;0;0,001246
"130";60;0;0,001258
"131";60,1;0;0,00127
"132";60,2;0;0,001282
"133";60,3;0;0,001296
"134";60,4;0;0,00131
"135";60,5;0;0,001326
"136";60,6;0;0,001342
"137";60,7;0;0,001359
"138";60,8;0;0,001377
"139";60,9;0;0,001396
"140";61;0;0,001415
"141";61,1;0;0,001436
"142";61,2;0;0,001458
"143";61,3;0;0,00148
"144";61,4;0;0,001504
"145";61,5;0;0,001528
"146";61,6;0;0,001553
"147";61,7;0;0,00158
"148";61,8;0;0,001607
"149";61,9;0;0,001634
"150";62;0;0,001663
"151";62,1;0;0,001692
"152";62,2;0;0,001723
"153";62,3;0;0,001753
"154";62,4;0;0,001785
"155";62,5;0;0,001817
"156";62,6;0;0,00185
"157";62,7;0;0,001883
"158";62,8;0;0,001916
"159";62,9;0;0,001951
"160";63;0;0,001985
"161";63,1;0;0,00202
"162";63,2;0;0,002055
"163";63,3;0;0,002091
"164";63,4;0;0,002127
"165";63,5;0;0,002163
"166";63,6;0;0,002199
"167";63,7;0;0,002235
"168";63,8;0;0,002272
"169";63,9;0;0,002308
"170";64;0;0,002345
"171";64,1;0;0,002381
"172";64,2;0;0,002418
"173";64,3;0;0,002455
"174";64,4;0;0,002491
"175";64,5;0;0,002528
"176";64,6;0;0,002564
"177";64,7;0;0,002601
"178";64,8;0;0,002638
"179";64,9;0;0,002674
"180";65;0;0,00271
"181";65,1;0;0,002737
"182";65,2;0;0,002765
