"";"time";"report_cell";"values"
"1";0,1;0;0,1
"8";0,2;0;0,1
"9";0,3;0;0,1
"16";0,4;0;0,1
"17";0,5;0;0,1
"24";0,6;0;0,1
"25";0,7;0;0,1
"32";0,8;0;0,1
"33";0,9;0;0,1
"40";1;0;0,1
"41";1,1;0;0,1
"48";1,2;0;0,1
"49";1,3;0;0,1
"56";1,4;0;0,1
"57";1,5;0;0,1
"64";1,6;0;0,1
"65";1,7;0;0,1
"72";1,8;0;0,1
"73";1,9;0;0,1
"80";2;0;0,1
"81";2,1;0;0,1
"88";2,2;0;0,1
"89";2,3;0;0,1
"96";2,4;0;0,1
"97";2,5;0;0,1
"104";2,6;0;0,1
"105";2,7;0;0,1
"112";2,8;0;0,1
"113";2,9;0;0,1
"120";3;0;0,1
"121";3,1;0;0,1
"128";3,2;0;0,1
"129";3,3;0;0,1
"136";3,4;0;0,1
"137";3,5;0;0,1
"144";3,6;0;0,1
"145";3,7;0;0,1
"152";3,8;0;0,1
"153";3,9;0;0,1
"160";4;0;0,1
"161";4,1;0;0,1
"168";4,2;0;0,1
"169";4,3;0;0,1
"176";4,4;0;0,1
"177";4,5;0;0,1
"184";4,6;0;0,1
"185";4,7;0;0,1
"192";4,8;0;0,1
"193";4,9;0;0,1
"200";5;0;0,1
"201";5,1;0;0,1
"208";5,2;0;0,1
"209";5,3;0;0,1
"216";5,4;0;0,1
"217";5,5;0;0,1
"224";5,6;0;0,1
"225";5,7;0;0,1
"232";5,8;0;0,1
"233";5,9;0;0,1
"240";6;0;0,1
"241";6,1;0;0,1
"248";6,2;0;0,1
"249";6,3;0;0,1
"256";6,4;0;0,1
"257";6,5;0;0,1
"264";6,6;0;0,1
"265";6,7;0;0,1
"272";6,8;0;0,1
"273";6,9;0;0,1
"280";7;0;0,1
"281";7,1;0;0,1
"288";7,2;0;0,1
"289";7,3;0;0,1
"296";7,4;0;0,1
"297";7,5;0;0,1
"304";7,6;0;0,1
"305";7,7;0;0,1
"312";7,8;0;0,1
"313";7,9;0;0,1
"320";8;0;0,1
"321";8,1;0;0,1
"328";8,2;0;0,1
"329";8,3;0;0,1
"336";8,4;0;0,1
"337";8,5;0;0,1
"344";8,6;0;0,1
"345";8,7;0;0,1
"352";8,8;0;0,1
"353";8,9;0;0,1
"360";9;0;0,1
"361";9,1;0;0,1
"368";9,2;0;0,1
"369";9,3;0;0,1
"376";9,4;0;0,1
"377";9,5;0;0,1
"384";9,6;0;0,1
"385";9,7;0;0,1
"392";9,8;0;0,1
"393";9,9;0;0,1
"400";10;0;0,1
"401";10,1;0;0,1
"408";10,2;0;0,1
"409";10,3;0;0,1
"416";10,4;0;0,1
"417";10,5;0;0,1
"424";10,6;0;0,1
"425";10,7;0;0,1
"432";10,8;0;0,1
"433";10,9;0;0,1
"440";11;0;0,1
"441";11,1;0;0,1
"448";11,2;0;0,1
"449";11,3;0;0,1
"456";11,4;0;0,1
"457";11,5;0;0,1
"464";11,6;0;0,1
"465";11,7;0;0,1
"472";11,8;0;0,1
"473";11,9;0;0,1
"480";12;0;0,1
"481";12,1;0;0,1
"488";12,2;0;0,1
"489";12,3;0;0,1
"496";12,4;0;0,1
"497";12,5;0;0,1
"504";12,6;0;0,1
"505";12,7;0;0,1
"512";12,8;0;0,1
"513";12,9;0;0,1
"520";13;0;0,1
"521";13,1;0;0,1
"528";13,2;0;0,1
"529";13,3;0;0,1
"536";13,4;0;0,1
"537";13,5;0;0,1
"544";13,6;0;0,1
"545";13,7;0;0,1
"552";13,8;0;0,1
"553";13,9;0;0,1
"560";14;0;0,1
"561";14,1;0;0,1
"568";14,2;0;0,1
"569";14,3;0;0,1
"576";14,4;0;0,1
"577";14,5;0;0,1
"584";14,6;0;0,1
"585";14,7;0;0,1
"592";14,8;0;0,1
"593";14,9;0;0,1
"600";15;0;0,1
"601";15,1;0;0,1
"608";15,2;0;0,1
"609";15,3;0;0,1
"616";15,4;0;0,1
"617";15,5;0;0,1
"624";15,6;0;0,1
"625";15,7;0;0,1
"632";15,8;0;0,1
"633";15,9;0;0,1
"640";16;0;0,1
"641";16,1;0;0,1
"648";16,2;0;0,1
"649";16,3;0;0,1
"656";16,4;0;0,1
"657";16,5;0;0,1
"664";16,6;0;0,1
"665";16,7;0;0,1
"672";16,8;0;0,1
"673";16,9;0;0,1
"680";17;0;0,1
"681";17,1;0;0,1
"688";17,2;0;0,1
"689";17,3;0;0,1
"696";17,4;0;0,1
"697";17,5;0;0,1
"704";17,6;0;0,1
"705";17,7;0;0,1
"712";17,8;0;0,1
"713";17,9;0;0,1
"720";18;0;0,1
"721";18,1;0;0,1
"728";18,2;0;0,1
"729";18,3;0;0,1
"736";18,4;0;0,1
"737";18,5;0;0,1
"744";18,6;0;0,1
"745";18,7;0;0,1
"752";18,8;0;0,1
"753";18,9;0;0,1
"760";19;0;0,1
"761";19,1;0;0,1
"768";19,2;0;0,1
"769";19,3;0;0,1
"776";19,4;0;0,1
"777";19,5;0;0,1
"784";19,6;0;0,1
"785";19,7;0;0,1
"792";19,8;0;0,1
"793";19,9;0;0,1
"800";20;0;0,1
"801";20,1;0;0,1
"808";20,2;0;0,1
"809";20,3;0;0,1
"816";20,4;0;0,1
"817";20,5;0;0,1
"824";20,6;0;0,1
"825";20,7;0;0,1
"832";20,8;0;0,1
"833";20,9;0;0,1
"840";21;0;0,1
"841";21,1;0;0,1
"848";21,2;0;0,1
"849";21,3;0;0,1
"856";21,4;0;0,1
"857";21,5;0;0,1
"864";21,6;0;0,1
"865";21,7;0;0,1
"872";21,8;0;0,1
"873";21,9;0;0,1
"880";22;0;0,1
"881";22,1;0;0,1
"888";22,2;0;0,1
"889";22,3;0;0,1
"896";22,4;0;0,1
"897";22,5;0;0,1
"904";22,6;0;0,1
"905";22,7;0;0,1
"912";22,8;0;0,1
"913";22,9;0;0,1
"920";23;0;0,1
"921";23,1;0;0,1
"928";23,2;0;0,1
"929";23,3;0;0,1
"936";23,4;0;0,1
"937";23,5;0;0,1
"944";23,6;0;0,1
"945";23,7;0;0,1
"952";23,8;0;0,1
"953";23,9;0;0,1
"960";24;0;0,1
"961";24,1;0;0,1
"968";24,2;0;0,1
"969";24,3;0;0,1
"976";24,4;0;0,1
"977";24,5;0;0,1
"984";24,6;0;0,1
"985";24,7;0;0,1
"992";24,8;0;0,1
"993";24,9;0;0,1
"1000";25;0;0,1
"1001";25,1;0;0,1
"1008";25,2;0;0,1
"1009";25,3;0;0,1
"1016";25,4;0;0,1
"1017";25,5;0;0,1
"1024";25,6;0;0,1
"1025";25,7;0;0,1
"1032";25,8;0;0,1
"1033";25,9;0;0,1
"1040";26;0;0,1
"1041";26,1;0;0,1
"1048";26,2;0;0,1
"1049";26,3;0;0,1
"1056";26,4;0;0,1
"1057";26,5;0;0,1
"1064";26,6;0;0,1
"1065";26,7;0;0,1
"1072";26,8;0;0,1
"1073";26,9;0;0,1
"1080";27;0;0,1
"1081";27,1;0;0,1
"1088";27,2;0;0,1
"1089";27,3;0;0,1
"1096";27,4;0;0,1
"1097";27,5;0;0,1
"1104";27,6;0;0,1
"1105";27,7;0;0,1
"1112";27,8;0;0,1
"1113";27,9;0;0,1
"1120";28;0;0,1
"1121";28,1;0;0,1
"1126";28,2;0;0,1
"1127";28,3;0;0,1
"1132";28,4;0;0,1
"1133";28,5;0;0,1
"1138";28,6;0;0,1
"1139";28,7;0;0,1
"1144";28,8;0;0,1
"1145";28,9;0;0,1
"1150";29;0;0,1
"1151";29,1;0;0,1
"1156";29,2;0;0,1
"1157";29,3;0;0,1
"1162";29,4;0;0,1
"1163";29,5;0;0,1
"1168";29,6;0;0,1
"1169";29,7;0;0,1
"1174";29,8;0;0,1
"1175";29,9;0;0,1
"1180";30;0;0,1
"1181";30,1;0;0,1
"1186";30,2;0;0,1
"1187";30,3;0;0,1
"1192";30,4;0;0,1
"1193";30,5;0;0,1
"1198";30,6;0;0,1
"1199";30,7;0;0,1
"1204";30,8;0;0,1
"1205";30,9;0;0,1
"1210";31;0;0,1
"1211";31,1;0;0,1
"1216";31,2;0;0,1
"1217";31,3;0;0,1
"1222";31,4;0;0,1
"1223";31,5;0;0,1
"1228";31,6;0;0,1
"1229";31,7;0;0,1
"1234";31,8;0;0,1
"1235";31,9;0;0,1
"1240";32;0;0,1
"1241";32,1;0;0,1
"1246";32,2;0;0,1
"1247";32,3;0;0,1
"1252";32,4;0;0,1
"1253";32,5;0;0,1
"1258";32,6;0;0,1
"1259";32,7;0;0,1
"1264";32,8;0;0,1
"1265";32,9;0;0,1
"1270";33;0;0,1
"1271";33,1;0;0,1
"1276";33,2;0;0,1
"1277";33,3;0;0,1
"1282";33,4;0;0,1
"1283";33,5;0;0,1
"1288";33,6;0;0,1
"1289";33,7;0;0,1
"1294";33,8;0;0,1
"1295";33,9;0;0,1
"1300";34;0;0,1
"1301";34,1;0;0,1
"1306";34,2;0;0,1
"1307";34,3;0;0,1
"1312";34,4;0;0,1
"1313";34,5;0;0,1
"1318";34,6;0;0,1
"1319";34,7;0;0,1
"1324";34,8;0;0,1
"1325";34,9;0;0,1
"1330";35;0;0,1
"1331";35,1;0;0,1
"1336";35,2;0;0,1
"1337";35,3;0;0,1
"1342";35,4;0;0,1
"1343";35,5;0;0,1
"1348";35,6;0;0,1
"1349";35,7;0;0,1
"1354";35,8;0;0,1
"1355";35,9;0;0,1
"1360";36;0;0,1
"2";0,1;1;0,1
"7";0,2;1;0,1
"10";0,3;1;0,1
"15";0,4;1;0,1
"18";0,5;1;0,1
"23";0,6;1;0,1
"26";0,7;1;0,1
"31";0,8;1;0,1
"34";0,9;1;0,1
"39";1;1;0,1
"42";1,1;1;0,1
"47";1,2;1;0,1
"50";1,3;1;0,1
"55";1,4;1;0,1
"58";1,5;1;0,1
"63";1,6;1;0,1
"66";1,7;1;0,1
"71";1,8;1;0,1
"74";1,9;1;0,1
"79";2;1;0,1
"82";2,1;1;0,1
"87";2,2;1;0,1
"90";2,3;1;0,1
"95";2,4;1;0,1
"98";2,5;1;0,1
"103";2,6;1;0,1
"106";2,7;1;0,1
"111";2,8;1;0,1
"114";2,9;1;0,1
"119";3;1;0,1
"122";3,1;1;0,1
"127";3,2;1;0,1
"130";3,3;1;0,1
"135";3,4;1;0,1
"138";3,5;1;0,1
"143";3,6;1;0,1
"146";3,7;1;0,1
"151";3,8;1;0,1
"154";3,9;1;0,1
"159";4;1;0,1
"162";4,1;1;0,1
"167";4,2;1;0,1
"170";4,3;1;0,1
"175";4,4;1;0,1
"178";4,5;1;0,1
"183";4,6;1;0,1
"186";4,7;1;0,1
"191";4,8;1;0,1
"194";4,9;1;0,1
"199";5;1;0,1
"202";5,1;1;0,1
"207";5,2;1;0,1
"210";5,3;1;0,1
"215";5,4;1;0,1
"218";5,5;1;0,1
"223";5,6;1;0,1
"226";5,7;1;0,1
"231";5,8;1;0,1
"234";5,9;1;0,1
"239";6;1;0,1
"242";6,1;1;0,1
"247";6,2;1;0,1
"250";6,3;1;0,1
"255";6,4;1;0,1
"258";6,5;1;0,1
"263";6,6;1;0,1
"266";6,7;1;0,1
"271";6,8;1;0,1
"274";6,9;1;0,1
"279";7;1;0,1
"282";7,1;1;0,1
"287";7,2;1;0,1
"290";7,3;1;0,1
"295";7,4;1;0,1
"298";7,5;1;0,1
"303";7,6;1;0,1
"306";7,7;1;0,1
"311";7,8;1;0,1
"314";7,9;1;0,1
"319";8;1;0,1
"322";8,1;1;0,1
"327";8,2;1;0,1
"330";8,3;1;0,1
"335";8,4;1;0,1
"338";8,5;1;0,1
"343";8,6;1;0,1
"346";8,7;1;0,1
"351";8,8;1;0,1
"354";8,9;1;0,1
"359";9;1;0,1
"362";9,1;1;0,1
"367";9,2;1;0,1
"370";9,3;1;0,1
"375";9,4;1;0,1
"378";9,5;1;0,1
"383";9,6;1;0,1
"386";9,7;1;0,1
"391";9,8;1;0,1
"394";9,9;1;0,1
"399";10;1;0,1
"402";10,1;1;0,1
"407";10,2;1;0,1
"410";10,3;1;0,1
"415";10,4;1;0,1
"418";10,5;1;0,1
"423";10,6;1;0,1
"426";10,7;1;0,1
"431";10,8;1;0,1
"434";10,9;1;0,1
"439";11;1;0,1
"442";11,1;1;0,1
"447";11,2;1;0,1
"450";11,3;1;0,1
"455";11,4;1;0,1
"458";11,5;1;0,1
"463";11,6;1;0,1
"466";11,7;1;0,1
"471";11,8;1;0,1
"474";11,9;1;0,1
"479";12;1;0,1
"482";12,1;1;0,1
"487";12,2;1;0,1
"490";12,3;1;0,1
"495";12,4;1;0,1
"498";12,5;1;0,1
"503";12,6;1;0,1
"506";12,7;1;0,1
"511";12,8;1;0,1
