"";"time";"report_cell";"values"
"81";36;0;1,4e-05
"84";36,1;0;4e-05
"85";36,2;0;7,6e-05
"88";36,3;0;0,000122
"89";36,4;0;0,000176
"92";36,5;0;0,000236
"93";36,6;0;0,000302
"96";36,7;0;0,000373
"97";36,8;0;0,000449
"100";36,9;0;0,000529
"101";37;0;0,000611
"104";37,1;0;0,000697
"105";37,2;0;0,000784
"108";37,3;0;0,000874
"109";37,4;0;0,000964
"112";37,5;0;0,001055
"113";37,6;0;0,001147
"116";37,7;0;0,00124
"117";37,8;0;0,001333
"120";37,9;0;0,001426
"121";38;0;0,001519
"124";38,1;0;0,001611
"125";38,2;0;0,001703
"128";38,3;0;0,001794
"129";38,4;0;0,001884
"132";38,5;0;0,001974
"133";38,6;0;0,002063
"136";38,7;0;0,002151
"137";38,8;0;0,002237
"140";38,9;0;0,002323
"141";39;0;0,002407
"143";39,1;0;0,002407
"145";39,1;0;0,00249
"146";39,2;0;0,00249
"147";39,2;0;0,002572
"149";39,3;0;0,002572
"151";39,3;0;0,002653
"152";39,4;0;0,002653
"153";39,4;0;0,002732
"155";39,5;0;0,002733
"157";39,5;0;0,002811
"158";39,6;0;0,002812
"159";39,6;0;0,002889
"161";39,7;0;0,00289
"163";39,7;0;0,002966
"164";39,8;0;0,002968
"165";39,8;0;0,003042
"167";39,9;0;0,003044
"169";39,9;0;0,003118
"170";40;0;0,003121
"173";40;0;0,003193
"174";40,1;0;0,003196
"175";40,1;0;0,003266
"178";40,2;0;0,00327
"181";40,2;0;0,00334
"182";40,3;0;0,003345
"183";40,3;0;0,003413
"186";40,4;0;0,003419
"189";40,4;0;0,003486
"190";40,5;0;0,003492
"191";40,5;0;0,003558
"194";40,6;0;0,003565
"197";40,6;0;0,00363
"198";40,7;0;0,003638
"199";40,7;0;0,003701
"202";40,8;0;0,00371
"205";40,8;0;0,003772
"206";40,9;0;0,003782
"207";40,9;0;0,003843
"210";41;0;0,003854
"213";41;0;0,003914
"214";41,1;0;0,003926
"215";41,1;0;0,003985
"218";41,2;0;0,003998
"221";41,2;0;0,004056
"222";41,3;0;0,00407
"223";41,3;0;0,004128
"226";41,4;0;0,004143
"229";41,4;0;0,0042
"230";41,5;0;0,004217
"231";41,5;0;0,004275
"234";41,6;0;0,004293
"237";41,6;0;0,004351
"238";41,7;0;0,00437
"239";41,7;0;0,004428
"242";41,8;0;0,004448
"245";41,8;0;0,004507
"246";41,9;0;0,004528
"247";41,9;0;0,004589
"250";42;0;0,004611
"253";42;0;0,004673
"254";42,1;0;0,004696
"255";42,1;0;0,004761
"258";42,2;0;0,004785
"261";42,2;0;0,004852
"262";42,3;0;0,004877
"263";42,3;0;0,004947
"266";42,4;0;0,004973
"269";42,4;0;0,005046
"270";42,5;0;0,005073
"271";42,5;0;0,005149
"274";42,6;0;0,005177
"277";42,6;0;0,005256
"278";42,7;0;0,005285
"279";42,7;0;0,005367
"282";42,8;0;0,005397
"285";42,8;0;0,005483
"286";42,9;0;0,005514
"287";42,9;0;0,005604
"290";43;0;0,005636
"293";43;0;0,00573
"294";43,1;0;0,005763
"295";43,1;0;0,005861
"298";43,2;0;0,005895
"301";43,2;0;0,005997
"302";43,3;0;0,006032
"303";43,3;0;0,006138
"306";43,4;0;0,006174
"309";43,4;0;0,006284
"310";43,5;0;0,006321
"311";43,5;0;0,006435
"314";43,6;0;0,006473
"317";43,6;0;0,006591
"318";43,7;0;0,006629
"319";43,7;0;0,006751
"322";43,8;0;0,00679
"325";43,8;0;0,006916
"326";43,9;0;0,006956
"327";43,9;0;0,007086
"330";44;0;0,007127
"333";44;0;0,007261
"334";44,1;0;0,007302
"335";44,1;0;0,007439
"338";44,2;0;0,007481
"341";44,2;0;0,007622
"342";44,3;0;0,007665
"343";44,3;0;0,007809
"346";44,4;0;0,007852
"349";44,4;0;0,008
"350";44,5;0;0,008044
"351";44,5;0;0,008195
"354";44,6;0;0,00824
"357";44,6;0;0,008394
"358";44,7;0;0,008439
"359";44,7;0;0,008597
