"";"time";"report_cell";"values"
"82";36;0;0
"83";36,1;0;0
"86";36,2;0;0
"87";36,3;0;0
"90";36,4;0;0
"91";36,5;0;0
"94";36,6;0;0
"95";36,7;0;0
"98";36,8;0;0
"99";36,9;0;0
"102";37;0;0
"103";37,1;0;0
"106";37,2;0;0
"107";37,3;0;0
"110";37,4;0;0
"111";37,5;0;0
"114";37,6;0;0
"115";37,7;0;0
"118";37,8;0;0
"119";37,9;0;0
"122";38;0;0
"123";38,1;0;0
"126";38,2;0;0
"127";38,3;0;0
"130";38,4;0;0
"131";38,5;0;0
"134";38,6;0;0
"135";38,7;0;0
"138";38,8;0;0
"139";38,9;0;0
"142";39;0;0
"143";39,1;0;0
"146";39,2;0;0
"147";39,3;0;0
"150";39,4;0;0
"151";39,5;0;0
"154";39,6;0;0
"155";39,7;0;0
"158";39,8;0;0
"159";39,9;0;0
"162";40;0;0
"164";40,1;0;0
"168";40,2;0;0
"170";40,3;0;0
"174";40,4;0;0
"176";40,5;0;0
"180";40,6;0;0
"182";40,7;0;0
"186";40,8;0;0
"188";40,9;0;0
"192";41;0;0
"194";41,1;0;0
"198";41,2;0;0
"200";41,3;0;0
"204";41,4;0;0
"206";41,5;0;0
"210";41,6;0;0
"212";41,7;0;0
"216";41,8;0;0
"218";41,9;0;0
"222";42;0;0
"224";42,1;0;0
"228";42,2;0;0
"230";42,3;0;0
"234";42,4;0;0
"236";42,5;0;0
"240";42,6;0;0
"242";42,7;0;0
"246";42,8;0;0
"248";42,9;0;0
"252";43;0;0
"254";43,1;0;0
"258";43,2;0;0
"260";43,3;0;0
"264";43,4;0;0
"266";43,5;0;0
"270";43,6;0;0
"272";43,7;0;0
"276";43,8;0;0
"278";43,9;0;0
"282";44;0;0
"284";44,1;0;0
"288";44,2;0;0
"290";44,3;0;0
"294";44,4;0;0
"296";44,5;0;0
"300";44,6;0;0
"302";44,7;0;0
"306";44,8;0;0
"308";44,9;0;0
"312";45;0;0
"314";45,1;0;0
"318";45,2;0;0
"320";45,3;0;0
"324";45,4;0;0
"326";45,5;0;0
"330";45,6;0;0
"332";45,7;0;0
"336";45,8;0;0
"338";45,9;0;0
"342";46;0;0
"344";46,1;0;0
"348";46,2;0;0
"350";46,3;0;0
"354";46,4;0;0
"356";46,5;0;0
"360";46,6;0;0
"362";46,7;0;0
"366";46,8;0;0
"368";46,9;0;0
"373";47;0;0
"375";47,1;0;0
"381";47,2;0;0
"383";47,3;0;0
"389";47,4;0;0
"391";47,5;0;0
"397";47,6;0;0
"399";47,7;0;0
"405";47,8;0;0
"407";47,9;0;0
"413";48;0;0
"415";48,1;0;0
"421";48,2;0;0
"423";48,3;0;0
"429";48,4;0;0
"431";48,5;0;0
"437";48,6;0;0
"439";48,7;0;0
"445";48,8;0;0
"447";48,9;0;0
"453";49;0;0
"455";49,1;0;0
"461";49,2;0;0
"463";49,3;0;0
"469";49,4;0;0
"471";49,5;0;0
"477";49,6;0;0
"479";49,7;0;0
"485";49,8;0;0
"487";49,9;0;0
"493";50;0;0
"495";50,1;0;0
"501";50,2;0;0
"503";50,3;0;0
"509";50,4;0;0
"511";50,5;0;0
"517";50,6;0;0
"519";50,7;0;0
"525";50,8;0;0
"527";50,9;0;0
"533";51;0;0
"535";51,1;0;0
"541";51,2;0;0
"543";51,3;0;0
"549";51,4;0;0
"551";51,5;0;0
"557";51,6;0;0
"559";51,7;0;0
"565";51,8;0;0
"567";51,9;0;0
"573";52;0;0
"575";52,1;0;0
"581";52,2;0;0
"583";52,3;0;0
"589";52,4;0;0
"591";52,5;0;0
"597";52,6;0;0
"599";52,7;0;0
"605";52,8;0;0
"607";52,9;0;0
"613";53;0;0
"615";53,1;0;0
"621";53,2;0;0
"623";53,3;0;0
"629";53,4;0;0
"631";53,5;0;0
"637";53,6;0;0
"639";53,7;0;0
"645";53,8;0;0
"647";53,9;0;0
"653";54;0;0
"655";54,1;0;0
"661";54,2;0;0
"663";54,3;0;0
"669";54,4;0;0
"671";54,5;0;0
"677";54,6;0;0
"679";54,7;0;0
"685";54,8;0;0
"687";54,9;0;0
"693";55;0;0
"695";55,1;0;0
"701";55,2;0;0
"703";55,3;0;0
"709";55,4;0;0
"711";55,5;0;0
"717";55,6;0;0
"719";55,7;0;0
"725";55,8;0;0
"727";55,9;0;0
"733";56;0;0
"735";56,1;0;0
"741";56,2;0;0
"743";56,3;0;0
"749";56,4;0;0
"751";56,5;0;0
"757";56,6;0;0
"759";56,7;0;0
"765";56,8;0;0
"767";56,9;0;0
"773";57;0;0
"775";57,1;0;0
"781";57,2;0;0
"783";57,3;0;0
"789";57,4;0;0
"791";57,5;0;0
"797";57,6;0;0
"799";57,7;0;0
"805";57,8;0;0
"807";57,9;0;0
"813";58;0;0
"815";58,1;0;0
"821";58,2;0;0
"823";58,3;0;0
"829";58,4;0;0
"831";58,5;0;0
"837";58,6;0;0
"839";58,7;0;0
"845";58,8;0;0
"847";58,9;0;0
"853";59;0;0
"855";59,1;0;0
"861";59,2;0;0
"863";59,3;0;0
"869";59,4;0;0
"871";59,5;0;0
"877";59,6;0;0
"879";59,7;0;0
"885";59,8;0;0
"887";59,9;0;0
"893";60;0;0
"895";60,1;0;0
"901";60,2;0;0
"903";60,3;0;0
"909";60,4;0;0
"911";60,5;0;0
"917";60,6;0;0
"919";60,7;0;0
"925";60,8;0;0
"927";60,9;0;0
"933";61;0;0
"935";61,1;0;0
"941";61,2;0;0
"943";61,3;0;0
"949";61,4;0;0
"951";61,5;0;0
"957";61,6;0;0
"959";61,7;0;0
"965";61,8;0;0
"967";61,9;0;0
"973";62;0;0
"975";62,1;0;0
"981";62,2;0;0
"983";62,3;0;0
"989";62,4;0;0
"991";62,5;0;0
"997";62,6;0;0
"999";62,7;0;0
"1005";62,8;0;0
"1007";62,9;0;0
"1013";63;0;0
"1015";63,1;0;0
"1021";63,2;0;0
"1023";63,3;0;0
"1029";63,4;0;0
"1031";63,5;0;0
"1037";63,6;0;0
"1039";63,7;0;0
"1045";63,8;0;0
"1047";63,9;0;0
"1053";64;0;0
"1055";64,1;0;0
"1061";64,2;0;0
"1063";64,3;0;0
"1069";64,4;0;0
"1071";64,5;0;0
"1077";64,6;0;0
"1079";64,7;0;0
"1085";64,8;0;0
"1087";64,9;0;0
"1092";65;0;0
"1095";65,1;0;0
"1101";65,2;0;0
"1103";65,3;0;0
"1109";65,4;0;0
"1111";65,5;0;0
"1117";65,6;0;0
"1119";65,7;0;0
"1125";65,8;0;0
"1127";65,9;0;0
"1133";66;0;0
"1135";66,1;0;0
"1141";66,2;0;0
"1143";66,3;0;0
