"";"time";"report_cell";"values"
"81";31;0;0,9
"84";31,1;0;0,81
"85";31,2;0;0,729
"88";31,3;0;0,6561
"89";31,4;0;0,59049
"92";31,5;0;0,531441
"93";31,6;0;0,478297
"96";31,7;0;0,430467
"97";31,8;0;0,38742
"100";31,9;0;0,348678
"101";32;0;0,31381
"104";32,1;0;0,282429
"105";32,2;0;0,254186
"108";32,3;0;0,228767
"109";32,4;0;0,20589
"112";32,5;0;0,185301
"113";32,6;0;0,166771
"116";32,7;0;0,150094
"117";32,8;0;0,135085
"120";32,9;0;0,121576
"121";33;0;0,109418
"124";33,1;0;0,098476
"125";33,2;0;0,088628
"128";33,3;0;0,079765
"129";33,4;0;0,071788
"132";33,5;0;0,064609
"133";33,6;0;0,058148
"136";33,7;0;0,052333
"137";33,8;0;0,0471
"140";33,9;0;0,04239
"141";34;0;0,038151
"144";34,1;0;0,034336
"145";34,2;0;0,030902
"148";34,3;0;0,027812
"149";34,4;0;0,025031
"152";34,5;0;0,022528
"153";34,6;0;0,020275
"156";34,7;0;0,018247
"157";34,8;0;0,016422
"160";34,9;0;0,01478
"161";35;0;0,013302
"166";35,1;0;0,011972
"167";35,2;0;0,010775
"172";35,3;0;0,009697
"173";35,4;0;0,008727
"178";35,5;0;0,007854
"179";35,6;0;0,007069
"184";35,7;0;0,006362
"185";35,8;0;0,005726
"190";35,9;0;0,005153
"191";36;0;0,004638
"196";36,1;0;0,011142
"197";36,2;0;0,023127
"202";36,3;0;0,039296
"203";36,4;0;0,058558
"208";36,5;0;0,080001
"209";36,6;0;0,102868
"214";36,7;0;0,126535
"215";36,8;0;0,150488
"220";36,9;0;0,174313
"221";37;0;0,197678
"226";37,1;0;0,22032
"227";37,2;0;0,242036
"232";37,3;0;0,262673
"233";37,4;0;0,282121
"238";37,5;0;0,300304
"239";37,6;0;0,317175
"244";37,7;0;0,332712
"245";37,8;0;0,346912
"250";37,9;0;0,359789
"251";38;0;0,371368
"256";38,1;0;0,381685
"257";38,2;0;0,390784
"262";38,3;0;0,398713
"263";38,4;0;0,405527
"268";38,5;0;0,411282
"269";38,6;0;0,416036
"274";38,7;0;0,419846
"275";38,8;0;0,422772
"280";38,9;0;0,424872
"281";39;0;0,426203
"286";39,1;0;0,42682
"287";39,2;0;0,426776
"292";39,3;0;0,426123
"293";39,4;0;0,424911
"298";39,5;0;0,423185
"299";39,6;0;0,420991
"304";39,7;0;0,418371
"305";39,8;0;0,415364
"310";39,9;0;0,412009
"311";40;0;0,40834
"316";40,1;0;0,404391
"317";40,2;0;0,400191
"322";40,3;0;0,39577
"323";40,4;0;0,391154
"328";40,5;0;0,386368
"329";40,6;0;0,381435
"334";40,7;0;0,376375
"335";40,8;0;0,371209
"340";40,9;0;0,365955
"341";41;0;0,360629
"346";41,1;0;0,355246
"347";41,2;0;0,349874
"352";41,3;0;0,344615
"353";41,4;0;0,339592
"358";41,5;0;0,334936
"359";41,6;0;0,330779
"364";41,7;0;0,327247
