"";"time";"report_cell";"values"
"4";0,1;0;0
"5";0,2;0;0
"12";0,3;0;0
"13";0,4;0;0
"20";0,5;0;0
"21";0,6;0;0
"28";0,7;0;0
"29";0,8;0;0
"36";0,9;0;0
"37";1;0;0
"44";1,1;0;0
"45";1,2;0;0
"52";1,3;0;0
"53";1,4;0;0
"60";1,5;0;0
"61";1,6;0;0
"68";1,7;0;0
"69";1,8;0;0
"76";1,9;0;0
"77";2;0;0
"84";2,1;0;0
"85";2,2;0;0
"92";2,3;0;0
"93";2,4;0;0
"100";2,5;0;0
"101";2,6;0;0
"108";2,7;0;0
"109";2,8;0;0
"116";2,9;0;0
"117";3;0;0
"124";3,1;0;0
"125";3,2;0;0
"132";3,3;0;0
"133";3,4;0;0
"140";3,5;0;0
"141";3,6;0;0
"148";3,7;0;0
"149";3,8;0;0
"156";3,9;0;0
"157";4;0;0
"164";4,1;0;0
"165";4,2;0;0
"172";4,3;0;0
"173";4,4;0;0
"180";4,5;0;0
"181";4,6;0;0
"188";4,7;0;0
"189";4,8;0;0
"196";4,9;0;0
"197";5;0;0
"204";5,1;0;0
"205";5,2;0;0
"212";5,3;0;0
"213";5,4;0;0
"220";5,5;0;0
"221";5,6;0;0
"228";5,7;0;0
"229";5,8;0;0
"236";5,9;0;0
"237";6;0;0
"244";6,1;0;0
"245";6,2;0;0
"252";6,3;0;0
"253";6,4;0;0
"260";6,5;0;0
"261";6,6;0;0
"268";6,7;0;0
"269";6,8;0;0
"276";6,9;0;0
"277";7;0;0
"284";7,1;0;0
"285";7,2;0;0
"292";7,3;0;0
"293";7,4;0;0
"300";7,5;0;0
"301";7,6;0;0
"308";7,7;0;0
"309";7,8;0;0
"316";7,9;0;0
"317";8;0;0
"324";8,1;0;0
"325";8,2;0;0
"332";8,3;0;0
"333";8,4;0;0
"340";8,5;0;0
"341";8,6;0;0
"348";8,7;0;0
"349";8,8;0;0
"356";8,9;0;0
"357";9;0;0
"364";9,1;0;0
"365";9,2;0;0
"372";9,3;0;0
"373";9,4;0;0
"380";9,5;0;0
"381";9,6;0;0
"388";9,7;0;0
"389";9,8;0;0
"396";9,9;0;0
"397";10;0;0
"404";10,1;0;0
"405";10,2;0;0
"412";10,3;0;0
"413";10,4;0;0
"420";10,5;0;0
"421";10,6;0;0
"428";10,7;0;0
"429";10,8;0;0
"436";10,9;0;0
"437";11;0;0
"444";11,1;0;0
"445";11,2;0;0
"452";11,3;0;0
"453";11,4;0;0
"460";11,5;0;0
"461";11,6;0;0
"468";11,7;0;0
"469";11,8;0;0
"476";11,9;0;0
"477";12;0;0
"484";12,1;0;0
"485";12,2;0;0
"492";12,3;0;0
"493";12,4;0;0
"500";12,5;0;0
"501";12,6;0;0
"508";12,7;0;0
"509";12,8;0;0
"516";12,9;0;0
"517";13;0;0
"524";13,1;0;0
"525";13,2;0;0
"532";13,3;0;0
"533";13,4;0;0
"540";13,5;0;0
"541";13,6;0;0
"548";13,7;0;0
"549";13,8;0;0
"556";13,9;0;0
"557";14;0;0
"564";14,1;0;0
"565";14,2;0;0
"572";14,3;0;0
"573";14,4;0;0
"580";14,5;0;0
"581";14,6;0;0
"588";14,7;0;0
"589";14,8;0;0
"596";14,9;0;0
"597";15;0;0
"604";15,1;0;0
"605";15,2;0;0
"612";15,3;0;0
"613";15,4;0;0
"620";15,5;0;0
"621";15,6;0;0
"628";15,7;0;0
"629";15,8;0;0
"636";15,9;0;0
"637";16;0;0
"644";16,1;0;0
"645";16,2;0;0
"652";16,3;0;0
"653";16,4;0;0
"660";16,5;0;0
"661";16,6;0;0
"668";16,7;0;0
"669";16,8;0;0
"676";16,9;0;0
"677";17;0;0
"684";17,1;0;0
"685";17,2;0;0
"692";17,3;0;0
"693";17,4;0;0
"700";17,5;0;0
"701";17,6;0;0
"708";17,7;0;0
"709";17,8;0;0
"716";17,9;0;0
"717";18;0;0
"724";18,1;0;0
"725";18,2;0;0
"732";18,3;0;0
"733";18,4;0;0
"740";18,5;0;0
"741";18,6;0;0
"748";18,7;0;0
"749";18,8;0;0
"756";18,9;0;0
"757";19;0;0
"764";19,1;0;0
"765";19,2;0;0
"772";19,3;0;0
"773";19,4;0;0
"780";19,5;0;0
"781";19,6;0;0
"788";19,7;0;0
"789";19,8;0;0
"796";19,9;0;0
"797";20;0;0
"804";20,1;0;0
"805";20,2;0;0
"812";20,3;0;0
"813";20,4;0;0
"820";20,5;0;0
"821";20,6;0;0
"828";20,7;0;0
"829";20,8;0;0
"836";20,9;0;0
"837";21;0;0
"844";21,1;0;0
"845";21,2;0;0
"852";21,3;0;0
"853";21,4;0;0
"860";21,5;0;0
"861";21,6;0;0
"868";21,7;0;0
"869";21,8;0;0
"876";21,9;0;0
"877";22;0;0
"884";22,1;0;0
"885";22,2;0;0
"892";22,3;0;0
"893";22,4;0;0
"900";22,5;0;0
"901";22,6;0;0
"908";22,7;0;0
"909";22,8;0;0
"916";22,9;0;0
"917";23;0;0
"924";23,1;0;0
"925";23,2;0;0
"932";23,3;0;0
"933";23,4;0;0
"940";23,5;0;0
"941";23,6;0;0
"948";23,7;0;0
"949";23,8;0;0
"956";23,9;0;0
"957";24;0;0
"964";24,1;0;0
"965";24,2;0;0
"972";24,3;0;0
"973";24,4;0;0
"980";24,5;0;0
"981";24,6;0;0
"988";24,7;0;0
"989";24,8;0;0
"996";24,9;0;0
"997";25;0;0
"1004";25,1;0;0
"1005";25,2;0;0
"1012";25,3;0;0
"1013";25,4;0;0
"1020";25,5;0;0
"1021";25,6;0;0
"1028";25,7;0;0
"1029";25,8;0;0
"1036";25,9;0;0
"1037";26;0;0
"1044";26,1;0;0
"1045";26,2;0;0
"1052";26,3;0;0
"1053";26,4;0;0
"1060";26,5;0;0
"1061";26,6;0;0
"1068";26,7;0;0
"1069";26,8;0;0
"1076";26,9;0;0
"1077";27;0;0
"1084";27,1;0;0
"1085";27,2;0;0
"1092";27,3;0;0
"1093";27,4;0;0
"1100";27,5;0;0
"1101";27,6;0;0
"1108";27,7;0;0
"1109";27,8;0;0
"1116";27,9;0;0
"1117";28;0;0
"1124";28,1;0;0
"1125";28,2;0;0
"1132";28,3;0;0
"1133";28,4;0;0
"1140";28,5;0;0
"1141";28,6;0;0
"1148";28,7;0;0
"1149";28,8;0;0
"1156";28,9;0;0
"1157";29;0;0
"1164";29,1;0;0
"1165";29,2;0;0
"1172";29,3;0;0
"1173";29,4;0;0
"1180";29,5;0;0
"1181";29,6;0;0
"1188";29,7;0;0
"1189";29,8;0;0
"1196";29,9;0;0
"1197";30;0;0
"1204";30,1;0;0
"1205";30,2;0;0
"1212";30,3;0;0
"1213";30,4;0;0
"1220";30,5;0;0
"1221";30,6;0;0
"1228";30,7;0;0
"1229";30,8;0;0
"1236";30,9;0;0
"1237";31;0;0
"1244";31,1;0;0
"1245";31,2;0;0
"1252";31,3;0;0
"1253";31,4;0;0
"1260";31,5;0;0
"1261";31,6;0;0
"1268";31,7;0;0
"1269";31,8;0;0
"1276";31,9;0;0
"1277";32;0;0
"1284";32,1;0;0
"1285";32,2;0;0
"1292";32,3;0;0
"1293";32,4;0;0
"1300";32,5;0;0
"1301";32,6;0;0
"1308";32,7;0;0
"1309";32,8;0;0
"1316";32,9;0;0
"1317";33;0;0
"1324";33,1;0;0
"1325";33,2;0;0
"1332";33,3;0;0
"1333";33,4;0;0
"1340";33,5;0;0
"1341";33,6;0;0
"1348";33,7;0;0
"1349";33,8;0;0
"1356";33,9;0;0
"1357";34;0;0
"1364";34,1;0;0
"1365";34,2;0;0
"1372";34,3;0;0
"1373";34,4;0;0
"1380";34,5;0;0
"1381";34,6;0;0
"1388";34,7;0;0
"1389";34,8;0;0
"1396";34,9;0;0
"1397";35;0;0
"1404";35,1;0;0
"1405";35,2;0;0
"1412";35,3;0;0
"1413";35,4;0;0
