"";"time";"report_cell";"values"
"82";36;0;0,011
"83";36,1;0;0,02068
"86";36,2;0;0,029176
"87";36,3;0;0,036612
"90";36,4;0;0,043097
"91";36,5;0;0,04873
"94";36,6;0;0,053601
"95";36,7;0;0,057791
"98";36,8;0;0,06137
"99";36,9;0;0,064404
"102";37;0;0,066952
"103";37,1;0;0,069064
"106";37,2;0;0,07079
"107";37,3;0;0,07217
"110";37,4;0;0,073243
"111";37,5;0;0,074043
"114";37,6;0;0,074601
"115";37,7;0;0,074943
"118";37,8;0;0,075095
"119";37,9;0;0,07508
"122";38;0;0,074915
"123";38,1;0;0,074621
"126";38,2;0;0,074211
"127";38,3;0;0,073702
"130";38,4;0;0,073106
"131";38,5;0;0,072433
"134";38,6;0;0,071695
"135";38,7;0;0,070901
"138";38,8;0;0,070058
"139";38,9;0;0,069175
"142";39;0;0,068258
"143";39,1;0;0,067313
"146";39,2;0;0,066344
"147";39,3;0;0,065357
"150";39,4;0;0,064356
"151";39,5;0;0,063344
"154";39,6;0;0,062325
"155";39,7;0;0,061302
"158";39,8;0;0,060276
"159";39,9;0;0,059251
"162";40;0;0,058229
"164";40,1;0;0,057211
"168";40,2;0;0,056198
"170";40,3;0;0,055193
"174";40,4;0;0,054196
"176";40,5;0;0,053208
"180";40,6;0;0,05223
"182";40,7;0;0,051263
"186";40,8;0;0,050308
"188";40,9;0;0,049365
"192";41;0;0,048434
"194";41,1;0;0,047602
"198";41,2;0;0,046932
"200";41,3;0;0,046474
"204";41,4;0;0,04626
"206";41,5;0;0,046313
"210";41,6;0;0,046644
"212";41,7;0;0,047257
"216";41,8;0;0,048151
"218";41,9;0;0,049319
"222";42;0;0,050749
"224";42,1;0;0,052426
"228";42,2;0;0,054336
"230";42,3;0;0,05646
"234";42,4;0;0,058779
"236";42,5;0;0,061274
"240";42,6;0;0,063925
"242";42,7;0;0,066713
"246";42,8;0;0,069619
"248";42,9;0;0,072624
"252";43;0;0,07571
"254";43,1;0;0,078861
"258";43,2;0;0,08206
"260";43,3;0;0,085292
"264";43,4;0;0,088543
"266";43,5;0;0,091799
"270";43,6;0;0,095047
"272";43,7;0;0,098278
"276";43,8;0;0,10148
"278";43,9;0;0,104643
"282";44;0;0,107759
"284";44,1;0;0,110821
"288";44,2;0;0,113821
"290";44,3;0;0,116752
"294";44,4;0;0,119611
"296";44,5;0;0,122391
"300";44,6;0;0,125088
"302";44,7;0;0,1277
"306";44,8;0;0,130223
"308";44,9;0;0,132654
"312";45;0;0,134992
"314";45,1;0;0,137234
"318";45,2;0;0,139381
"320";45,3;0;0,14143
"324";45,4;0;0,143383
"326";45,5;0;0,145237
"330";45,6;0;0,146995
"332";45,7;0;0,148655
"336";45,8;0;0,150219
"338";45,9;0;0,151687
"342";46;0;0,153061
"344";46,1;0;0,154342
"348";46,2;0;0,155531
"350";46,3;0;0,156633
"354";46,4;0;0,157651
"356";46,5;0;0,158591
"360";46,6;0;0,159462
