"";"time";"report_cell";"values"
"1";10;0;0,11
"86";36;0;0,11
"87";36,1;0;0,11
"90";36,2;0;0,11
"91";36,3;0;0,11
"94";36,4;0;0,11
"95";36,5;0;0,11
"98";36,6;0;0,11
"99";36,7;0;0,11
"102";36,8;0;0,11
"103";36,9;0;0,11
"106";37;0;0,11
"107";37,1;0;0,11
"110";37,2;0;0,11
"111";37,3;0;0,11
"114";37,4;0;0,11
"115";37,5;0;0,11
"118";37,6;0;0,11
"119";37,7;0;0,11
"122";37,8;0;0,11
"123";37,9;0;0,11
"126";38;0;0,11
"127";38,1;0;0,11
"130";38,2;0;0,11
"131";38,3;0;0,11
"134";38,4;0;0,11
"135";38,5;0;0,11
"138";38,6;0;0,11
"139";38,7;0;0,11
"142";38,8;0;0,11
"143";38,9;0;0,11
"146";39;0;0,11
"147";39,1;0;0,11
"150";39,2;0;0,11
"151";39,3;0;0,11
"154";39,4;0;0,11
"155";39,5;0;0,11
"158";39,6;0;0,11
"159";39,7;0;0,11
"162";39,8;0;0,11
"163";39,9;0;0,11
"166";40;0;0,11
"168";40,1;0;0,11
"172";40,2;0;0,11
"174";40,3;0;0,11
"178";40,4;0;0,11
"180";40,5;0;0,11
"184";40,6;0;0,11
"186";40,7;0;0,11
"190";40,8;0;0,11
"192";40,9;0;0,11
"196";41;0;0,11
"198";41,1;0;0,11
"202";41,2;0;0,11
"204";41,3;0;0,11
"208";41,4;0;0,11
"210";41,5;0;0,11
"214";41,6;0;0,11
"216";41,7;0;0,11
"220";41,8;0;0,11
"222";41,9;0;0,11
"226";42;0;0,11
"228";42,1;0;0,11
"232";42,2;0;0,11
"234";42,3;0;0,11
"238";42,4;0;0,11
"240";42,5;0;0,11
"244";42,6;0;0,11
"246";42,7;0;0,11
"250";42,8;0;0,11
"252";42,9;0;0,11
"256";43;0;0,11
"258";43,1;0;0,11
"262";43,2;0;0,11
"264";43,3;0;0,11
"268";43,4;0;0,11
"270";43,5;0;0,11
"274";43,6;0;0,11
"276";43,7;0;0,11
"280";43,8;0;0,11
"282";43,9;0;0,11
"286";44;0;0,11
"288";44,1;0;0,11
"292";44,2;0;0,11
"294";44,3;0;0,11
"298";44,4;0;0,11
"300";44,5;0;0,11
"304";44,6;0;0,11
"306";44,7;0;0,11
"310";44,8;0;0,11
"312";44,9;0;0,11
"316";45;0;0,11
"318";45,1;0;0,11
"322";45,2;0;0,11
"324";45,3;0;0,11
"328";45,4;0;0,11
"330";45,5;0;0,11
"334";45,6;0;0,11
"336";45,7;0;0,11
"340";45,8;0;0,11
"342";45,9;0;0,11
"346";46;0;0,11
"348";46,1;0;0,11
"352";46,2;0;0,11
"354";46,3;0;0,11
"358";46,4;0;0,11
"360";46,5;0;0,11
"364";46,6;0;0,11
"366";46,7;0;0,11
"370";46,8;0;0,11
"372";46,9;0;0,11
"377";47;0;0,11
"379";47,1;0;0,11
"385";47,2;0;0,11
"387";47,3;0;0,11
"393";47,4;0;0,11
"395";47,5;0;0,11
"401";47,6;0;0,11
"403";47,7;0;0,11
"409";47,8;0;0,11
"411";47,9;0;0,11
"417";48;0;0,11
"419";48,1;0;0,11
"425";48,2;0;0,11
"427";48,3;0;0,11
"433";48,4;0;0,11
"435";48,5;0;0,11
"441";48,6;0;0,11
"443";48,7;0;0,11
"449";48,8;0;0,11
"451";48,9;0;0,11
"457";49;0;0,11
"459";49,1;0;0,11
"465";49,2;0;0,11
"467";49,3;0;0,11
"473";49,4;0;0,11
"475";49,5;0;0,11
"481";49,6;0;0,11
"483";49,7;0;0,11
"489";49,8;0;0,11
"491";49,9;0;0,11
"497";50;0;0,11
"499";50,1;0;0,11
"505";50,2;0;0,11
"507";50,3;0;0,11
"513";50,4;0;0,11
"515";50,5;0;0,11
"521";50,6;0;0,11
"523";50,7;0;0,11
"529";50,8;0;0,11
"531";50,9;0;0,11
"537";51;0;0,11
"539";51,1;0;0,11
"545";51,2;0;0,11
"547";51,3;0;0,11
"553";51,4;0;0,11
"555";51,5;0;0,11
"561";51,6;0;0,11
"563";51,7;0;0,11
"569";51,8;0;0,11
"571";51,9;0;0,11
"577";52;0;0,11
"579";52,1;0;0,11
"585";52,2;0;0,11
"587";52,3;0;0,11
"593";52,4;0;0,11
"595";52,5;0;0,11
"601";52,6;0;0,11
"603";52,7;0;0,11
"609";52,8;0;0,11
"611";52,9;0;0,11
"617";53;0;0,11
"619";53,1;0;0,11
"625";53,2;0;0,11
"627";53,3;0;0,11
"633";53,4;0;0,11
"635";53,5;0;0,11
"641";53,6;0;0,11
"643";53,7;0;0,11
"649";53,8;0;0,11
"651";53,9;0;0,11
"657";54;0;0,11
"659";54,1;0;0,11
"665";54,2;0;0,11
"667";54,3;0;0,11
"673";54,4;0;0,11
"675";54,5;0;0,11
"681";54,6;0;0,11
"683";54,7;0;0,11
"689";54,8;0;0,11
"691";54,9;0;0,11
"697";55;0;0,11
"699";55,1;0;0,11
"705";55,2;0;0,11
"707";55,3;0;0,11
"713";55,4;0;0,11
"715";55,5;0;0,11
"721";55,6;0;0,11
"723";55,7;0;0,11
"729";55,8;0;0,11
"731";55,9;0;0,11
"737";56;0;0,11
"739";56,1;0;0,11
"745";56,2;0;0,11
"747";56,3;0;0,11
"753";56,4;0;0,11
"755";56,5;0;0,11
"761";56,6;0;0,11
"763";56,7;0;0,11
"769";56,8;0;0,11
"771";56,9;0;0,11
"777";57;0;0,11
"779";57,1;0;0,11
"785";57,2;0;0,11
"787";57,3;0;0,11
"793";57,4;0;0,11
"795";57,5;0;0,11
"801";57,6;0;0,11
"803";57,7;0;0,11
"809";57,8;0;0,11
"811";57,9;0;0,11
"817";58;0;0,11
"819";58,1;0;0,11
"825";58,2;0;0,11
"827";58,3;0;0,11
"833";58,4;0;0,11
"835";58,5;0;0,11
"841";58,6;0;0,11
"843";58,7;0;0,11
"849";58,8;0;0,11
"851";58,9;0;0,11
"857";59;0;0,11
"859";59,1;0;0,11
"865";59,2;0;0,11
"867";59,3;0;0,11
"873";59,4;0;0,11
"875";59,5;0;0,11
"881";59,6;0;0,11
"883";59,7;0;0,11
"889";59,8;0;0,11
"891";59,9;0;0,11
"897";60;0;0,11
"899";60,1;0;0,11
"905";60,2;0;0,11
"907";60,3;0;0,11
"913";60,4;0;0,11
"915";60,5;0;0,11
"921";60,6;0;0,11
"923";60,7;0;0,11
"929";60,8;0;0,11
"931";60,9;0;0,11
"937";61;0;0,11
"939";61,1;0;0,11
"945";61,2;0;0,11
"947";61,3;0;0,11
"953";61,4;0;0,11
"955";61,5;0;0,11
"961";61,6;0;0,11
"963";61,7;0;0,11
"969";61,8;0;0,11
"971";61,9;0;0,11
"977";62;0;0,11
"979";62,1;0;0,11
"985";62,2;0;0,11
"987";62,3;0;0,11
"993";62,4;0;0,11
"995";62,5;0;0,11
"1001";62,6;0;0,11
"1003";62,7;0;0,11
"1009";62,8;0;0,11
"1011";62,9;0;0,11
"1017";63;0;0,11
"1019";63,1;0;0,11
"1025";63,2;0;0,11
"1027";63,3;0;0,11
"1033";63,4;0;0,11
"1035";63,5;0;0,11
"1041";63,6;0;0,11
"1043";63,7;0;0,11
"1049";63,8;0;0,11
"1051";63,9;0;0,11
"1057";64;0;0,11
"1059";64,1;0;0,11
"1065";64,2;0;0,11
"1067";64,3;0;0,11
"1073";64,4;0;0,11
"1075";64,5;0;0,11
"1081";64,6;0;0,11
"1083";64,7;0;0,11
"1089";64,8;0;0,11
"1091";64,9;0;0,11
"1096";65;0;0,11
"1099";65,1;0;0,11
"1105";65,2;0;0,11
"1107";65,3;0;0,11
"1113";65,4;0;0,11
"1115";65,5;0;0,11
"1121";65,6;0;0,11
"1123";65,7;0;0,11
"1129";65,8;0;0,11
"1131";65,9;0;0,11
"1137";66;0;0,11
"1139";66,1;0;0,11
"1145";66,2;0;0,11
"1147";66,3;0;0,11
"1153";66,4;0;0,11
"1155";66,5;0;0,11
"1161";66,6;0;0,11
"1163";66,7;0;0,11
