"";"time";"report_cell";"values"
"1";0;0;1484787
"8";0,1;0;1484787
"9";0,2;0;1484787
"16";0,3;0;1484787
"17";0,4;0;1484787
"24";0,5;0;1484787
"25";0,6;0;1484787
"32";0,7;0;1484787
"33";0,8;0;1484787
"40";0,9;0;1484787
"41";1;0;1484787
"48";1,1;0;1484787
"49";1,2;0;1484787
"56";1,3;0;1484787
"57";1,4;0;1484787
"64";1,5;0;1484787
"65";1,6;0;1484787
"72";1,7;0;1484787
"73";1,8;0;1484787
"80";1,9;0;1484787
"81";2;0;1484787
"88";2,1;0;1484787
"89";2,2;0;1484787
"96";2,3;0;1484787
"97";2,4;0;1484787
"104";2,5;0;1484787
"105";2,6;0;1484787
"112";2,7;0;1484787
"113";2,8;0;1484787
"120";2,9;0;1484787
"121";3;0;1484787
"128";3,1;0;1484787
"129";3,2;0;1484787
"136";3,3;0;1484787
"137";3,4;0;1484787
"144";3,5;0;1484787
"145";3,6;0;1484787
"152";3,7;0;1484787
"153";3,8;0;1484787
"160";3,9;0;1484787
"161";4;0;1484787
"168";4,1;0;1484787
"169";4,2;0;1484787
"176";4,3;0;1484787
"177";4,4;0;1484787
"184";4,5;0;1484787
"185";4,6;0;1484787
"192";4,7;0;1484787
"193";4,8;0;1484787
"200";4,9;0;1484787
"201";5;0;1484787
"208";5,1;0;1484787
"209";5,2;0;1484787
"216";5,3;0;1484787
"217";5,4;0;1484787
"224";5,5;0;1484787
"225";5,6;0;1484787
"232";5,7;0;1484787
"233";5,8;0;1484787
"240";5,9;0;1484787
"241";6;0;1484787
"248";6,1;0;1484787
"249";6,2;0;1484787
"256";6,3;0;1484787
"257";6,4;0;1484787
"264";6,5;0;1484787
"265";6,6;0;1484787
"272";6,7;0;1484787
"273";6,8;0;1484787
"280";6,9;0;1484787
"281";7;0;1484787
"288";7,1;0;1484787
"289";7,2;0;1484787
"296";7,3;0;1484787
"297";7,4;0;1484787
"304";7,5;0;1484787
"305";7,6;0;1484787
"312";7,7;0;1484787
"313";7,8;0;1484787
"320";7,9;0;1484787
"321";8;0;1484787
"328";8,1;0;1484787
"329";8,2;0;1484787
"336";8,3;0;1484787
"337";8,4;0;1484787
"344";8,5;0;1484787
"345";8,6;0;1484787
"352";8,7;0;1484787
"353";8,8;0;1484787
"360";8,9;0;1484787
"361";9;0;1484787
"368";9,1;0;1484787
"369";9,2;0;1484787
"376";9,3;0;1484787
"377";9,4;0;1484787
"384";9,5;0;1484787
"385";9,6;0;1484787
"392";9,7;0;1484787
"393";9,8;0;1484787
"400";9,9;0;1484787
"401";10;0;1484787
"408";10,1;0;1484787
"409";10,2;0;1484787
"416";10,3;0;1484787
"417";10,4;0;1484787
"424";10,5;0;1484787
"425";10,6;0;1484787
"432";10,7;0;1484787
"433";10,8;0;1484787
"440";10,9;0;1484787
"441";11;0;1484787
"448";11,1;0;1484787
"449";11,2;0;1484787
"456";11,3;0;1484787
"457";11,4;0;1484787
"464";11,5;0;1484787
"465";11,6;0;1484787
"472";11,7;0;1484787
"473";11,8;0;1484787
"480";11,9;0;1484787
"481";12;0;1484787
"488";12,1;0;1484787
"489";12,2;0;1484787
"496";12,3;0;1484787
"497";12,4;0;1484787
"504";12,5;0;1484787
"505";12,6;0;1484787
"512";12,7;0;1484787
"513";12,8;0;1484787
"520";12,9;0;1484787
"521";13;0;1484787
"528";13,1;0;1484787
"529";13,2;0;1484787
"536";13,3;0;1484787
"537";13,4;0;1484787
"544";13,5;0;1484787
"545";13,6;0;1484787
"552";13,7;0;1484787
"553";13,8;0;1484787
"560";13,9;0;1484787
"561";14;0;1484787
"568";14,1;0;1484787
"569";14,2;0;1484787
"576";14,3;0;1484787
"577";14,4;0;1484787
"584";14,5;0;1484787
"585";14,6;0;1484787
"592";14,7;0;1484787
"593";14,8;0;1484787
"600";14,9;0;1484787
"601";15;0;1484787
"608";15,1;0;1484787
"609";15,2;0;1484787
"616";15,3;0;1484787
"617";15,4;0;1484787
"624";15,5;0;1484787
"625";15,6;0;1484787
"632";15,7;0;1484787
"633";15,8;0;1484787
"640";15,9;0;1484787
