"";"time";"report_cell";"values"
"1";0;0;0,79
"8";0,1;0;0,79
"9";0,2;0;0,79
"16";0,3;0;0,79
"17";0,4;0;0,79
"24";0,5;0;0,79
"25";0,6;0;0,79
"32";0,7;0;0,79
"33";0,8;0;0,79
"40";0,9;0;0,79
"41";1;0;0,79
"48";1,1;0;0,79
"49";1,2;0;0,79
"56";1,3;0;0,79
"57";1,4;0;0,79
"64";1,5;0;0,79
"65";1,6;0;0,79
"72";1,7;0;0,79
"73";1,8;0;0,79
"80";1,9;0;0,79
"81";2;0;0,79
"88";2,1;0;0,79
"89";2,2;0;0,79
"96";2,3;0;0,79
"97";2,4;0;0,79
"104";2,5;0;0,79
"105";2,6;0;0,79
"112";2,7;0;0,79
"113";2,8;0;0,79
"120";2,9;0;0,79
"121";3;0;0,79
"128";3,1;0;0,79
"129";3,2;0;0,79
"136";3,3;0;0,79
"137";3,4;0;0,79
"144";3,5;0;0,79
"145";3,6;0;0,79
"152";3,7;0;0,79
"153";3,8;0;0,79
"160";3,9;0;0,79
"161";4;0;0,79
"168";4,1;0;0,79
"169";4,2;0;0,79
"176";4,3;0;0,79
"177";4,4;0;0,79
"184";4,5;0;0,79
"185";4,6;0;0,79
"192";4,7;0;0,79
"193";4,8;0;0,79
"200";4,9;0;0,79
"201";5;0;0,79
"208";5,1;0;0,79
"209";5,2;0;0,79
"216";5,3;0;0,79
"217";5,4;0;0,79
"224";5,5;0;0,79
"225";5,6;0;0,79
"232";5,7;0;0,79
"233";5,8;0;0,79
"240";5,9;0;0,79
"241";6;0;0,79
"248";6,1;0;0,79
"249";6,2;0;0,79
"256";6,3;0;0,79
"257";6,4;0;0,79
"264";6,5;0;0,79
"265";6,6;0;0,79
"272";6,7;0;0,79
"273";6,8;0;0,79
"280";6,9;0;0,79
"281";7;0;0,79
"288";7,1;0;0,79
"289";7,2;0;0,79
"296";7,3;0;0,79
"297";7,4;0;0,79
"304";7,5;0;0,79
"305";7,6;0;0,79
"312";7,7;0;0,79
"313";7,8;0;0,79
"320";7,9;0;0,79
"321";8;0;0,79
"328";8,1;0;0,79
"329";8,2;0;0,79
"336";8,3;0;0,79
"337";8,4;0;0,79
"344";8,5;0;0,79
"345";8,6;0;0,79
"352";8,7;0;0,79
"353";8,8;0;0,79
"360";8,9;0;0,79
"361";9;0;0,79
"368";9,1;0;0,79
"369";9,2;0;0,79
"376";9,3;0;0,79
"377";9,4;0;0,79
"384";9,5;0;0,79
"385";9,6;0;0,79
"392";9,7;0;0,79
"393";9,8;0;0,79
"400";9,9;0;0,79
"401";10;0;0,79
"408";10,1;0;0,79
"409";10,2;0;0,79
"416";10,3;0;0,79
"417";10,4;0;0,79
"424";10,5;0;0,79
"425";10,6;0;0,79
"432";10,7;0;0,79
"433";10,8;0;0,79
"440";10,9;0;0,79
"441";11;0;0,79
"448";11,1;0;0,79
"449";11,2;0;0,79
"456";11,3;0;0,79
"457";11,4;0;0,79
"464";11,5;0;0,79
"465";11,6;0;0,79
"472";11,7;0;0,79
"473";11,8;0;0,79
"480";11,9;0;0,79
"481";12;0;0,79
