"";"time";"report_cell";"values"
"81";36,1;0;0
"84";36,2;0;0
"85";36,3;0;0
"88";36,4;0;0
"89";36,5;0;0
"92";36,6;0;0
"93";36,7;0;0
"96";36,8;0;0
"97";36,9;0;0
"100";37;0;0
"101";37,1;0;0
"104";37,2;0;0
"105";37,3;0;0
"108";37,4;0;0
"109";37,5;0;0
"112";37,6;0;0
"113";37,7;0;0
"116";37,8;0;0
"117";37,9;0;0
"120";38;0;0
"121";38,1;0;0
"124";38,2;0;0
"125";38,3;0;0
"128";38,4;0;0
"129";38,5;0;0
"132";38,6;0;0
"133";38,7;0;0
"136";38,8;0;0
"137";38,9;0;0
"140";39;0;0
"141";39,1;0;0
"144";39,2;0;0
"145";39,3;0;0
"148";39,4;0;0
"149";39,5;0;0
"152";39,6;0;0
"153";39,7;0;0
"156";39,8;0;0
"157";39,9;0;0
"160";40;0;0
"161";40,1;0;0
"166";40,2;0;0
"167";40,3;0;0
"172";40,4;0;0
"173";40,5;0;0
"178";40,6;0;0
"179";40,7;0;0
"184";40,8;0;0
"185";40,9;0;0
"190";41;0;0
"191";41,1;0;0
"196";41,2;0;0
"197";41,3;0;0
"202";41,4;0;0
"203";41,5;0;0
"208";41,6;0;0
"209";41,7;0;0
"214";41,8;0;0
"215";41,9;0;0
"220";42;0;0
"221";42,1;0;0
"226";42,2;0;0
"227";42,3;0;0
"232";42,4;0;0
"233";42,5;0;0
"238";42,6;0;0
"239";42,7;0;0
"244";42,8;0;0
"245";42,9;0;0
"250";43;0;0
"251";43,1;0;0
"256";43,2;0;0
"257";43,3;0;0
"262";43,4;0;0
"263";43,5;0;0
"268";43,6;0;0
"269";43,7;0;0
"274";43,8;0;0
"275";43,9;0;0
"280";44;0;0
"281";44,1;0;0
"286";44,2;0;0
"287";44,3;0;0
"292";44,4;0;0
"293";44,5;0;0
"298";44,6;0;0
"299";44,7;0;0
"304";44,8;0;0
"305";44,9;0;0
"310";45;0;0
"311";45,1;0;0
"316";45,2;0;0
"317";45,3;0;0
"322";45,4;0;0
"323";45,5;0;0
"328";45,6;0;0
"329";45,7;0;0
"334";45,8;0;0
"335";45,9;0;0
"340";46;0;0
"341";46,1;0;0
"346";46,2;0;0
"347";46,3;0;0
"352";46,4;0;0
"353";46,5;0;0
"358";46,6;0;0
"359";46,7;0;0
"364";46,8;0;0
"365";46,9;0;0
"370";47;0;0
"371";47,1;0;0
"378";47,2;0;0
"379";47,3;0;0
"386";47,4;0;0
"387";47,5;0;0
"394";47,6;0;0
"395";47,7;0;0
"402";47,8;0;0
"403";47,9;0;0
"410";48;0;0
"411";48,1;0;0
"418";48,2;0;0
"419";48,3;0;0
"426";48,4;0;0
"427";48,5;0;0
"434";48,6;0;0
"435";48,7;0;0
"442";48,8;0;0
"443";48,9;0;0
"450";49;0;0
"451";49,1;0;0
"458";49,2;0;0
"459";49,3;0;0
"466";49,4;0;0
"467";49,5;0;0
"474";49,6;0;0
"475";49,7;0;0
"482";49,8;0;0
"483";49,9;0;0
"490";50;0;0
"491";50,1;0;0
"498";50,2;0;0
"499";50,3;0;0
"506";50,4;0;0
"507";50,5;0;0
"514";50,6;0;0
"515";50,7;0;0
"522";50,8;0;0
"523";50,9;0;0
"530";51;0;0
"531";51,1;0;0
"538";51,2;0;0
"539";51,3;0;0
"546";51,4;0;0
"547";51,5;0;0
"554";51,6;0;0
"555";51,7;0;0
"562";51,8;0;0
"563";51,9;0;0
"570";52;0;0
