"";"time";"report_cell";"values"
"81";36;0;4e-04
"84";36,1;0;0,000752
"85";36,2;0;0,001061
"88";36,3;0;0,001331
"89";36,4;0;0,001567
"92";36,5;0;0,001772
"93";36,6;0;0,001949
"96";36,7;0;0,002101
"97";36,8;0;0,002232
"100";36,9;0;0,002342
"101";37;0;0,002435
"104";37,1;0;0,002511
"105";37,2;0;0,002574
"108";37,3;0;0,002624
"109";37,4;0;0,002663
"112";37,5;0;0,002692
"113";37,6;0;0,002713
"116";37,7;0;0,002725
"117";37,8;0;0,002731
"120";37,9;0;0,00273
"121";38;0;0,002724
"124";38,1;0;0,002713
"125";38,2;0;0,002699
"128";38,3;0;0,00268
"129";38,4;0;0,002658
"132";38,5;0;0,002634
"133";38,6;0;0,002607
"136";38,7;0;0,002578
"137";38,8;0;0,002548
"140";38,9;0;0,002515
"141";39;0;0,002482
"144";39,1;0;0,002448
"145";39,2;0;0,002413
"148";39,3;0;0,002377
"149";39,4;0;0,00234
"152";39,5;0;0,002303
"153";39,6;0;0,002266
"156";39,7;0;0,002229
"157";39,8;0;0,002192
"160";39,9;0;0,002155
"161";40;0;0,002117
"166";40,1;0;0,00208
"167";40,2;0;0,002044
"172";40,3;0;0,002007
"173";40,4;0;0,001971
"178";40,5;0;0,001935
"179";40,6;0;0,001899
"184";40,7;0;0,001864
"185";40,8;0;0,001829
"190";40,9;0;0,001795
"191";41;0;0,001761
"196";41,1;0;0,001731
"197";41,2;0;0,001707
"202";41,3;0;0,00169
"203";41,4;0;0,001682
"208";41,5;0;0,001684
"209";41,6;0;0,001696
"214";41,7;0;0,001718
"215";41,8;0;0,001751
"220";41,9;0;0,001793
"221";42;0;0,001845
"226";42,1;0;0,001906
"227";42,2;0;0,001976
"232";42,3;0;0,002053
"233";42,4;0;0,002137
"238";42,5;0;0,002228
"239";42,6;0;0,002325
"244";42,7;0;0,002426
"245";42,8;0;0,002532
"250";42,9;0;0,002641
"251";43;0;0,002753
"256";43,1;0;0,002868
"257";43,2;0;0,002984
"262";43,3;0;0,003102
"263";43,4;0;0,00322
"268";43,5;0;0,003338
"269";43,6;0;0,003456
"274";43,7;0;0,003574
"275";43,8;0;0,00369
"280";43,9;0;0,003805
"281";44;0;0,003919
"286";44,1;0;0,00403
"287";44,2;0;0,004139
"292";44,3;0;0,004245
"293";44,4;0;0,00435
"298";44,5;0;0,004451
"299";44,6;0;0,004549
"304";44,7;0;0,004644
"305";44,8;0;0,004735
"310";44,9;0;0,004824
"311";45;0;0,004909
"316";45,1;0;0,00499
"317";45,2;0;0,005068
"322";45,3;0;0,005143
"323";45,4;0;0,005214
"328";45,5;0;0,005281
"329";45,6;0;0,005345
"334";45,7;0;0,005406
"335";45,8;0;0,005462
"340";45,9;0;0,005516
"341";46;0;0,005566
"346";46,1;0;0,005613
"347";46,2;0;0,005656
"352";46,3;0;0,005696
"353";46,4;0;0,005733
"358";46,5;0;0,005767
"359";46,6;0;0,005799
