"";"time";"report_cell";"values"
"81";31;0;0,1
"84";31,1;0;0,09
"85";31,2;0;0,081
"88";31,3;0;0,0729
"89";31,4;0;0,06561
"92";31,5;0;0,059049
"93";31,6;0;0,053144
"96";31,7;0;0,04783
"97";31,8;0;0,043047
"100";31,9;0;0,038742
"101";32;0;0,034868
"104";32,1;0;0,031381
"105";32,2;0;0,028243
"108";32,3;0;0,025419
"109";32,4;0;0,022877
"112";32,5;0;0,020589
"113";32,6;0;0,01853
"116";32,7;0;0,016677
"117";32,8;0;0,015009
"120";32,9;0;0,013509
"121";33;0;0,012158
"124";33,1;0;0,010942
"125";33,2;0;0,009848
"128";33,3;0;0,008863
"129";33,4;0;0,007977
"132";33,5;0;0,007179
"133";33,6;0;0,006461
"136";33,7;0;0,005815
"137";33,8;0;0,005233
"140";33,9;0;0,00471
"141";34;0;0,004239
"144";34,1;0;0,003815
"145";34,2;0;0,003434
"148";34,3;0;0,00309
"149";34,4;0;0,002781
"152";34,5;0;0,002503
"153";34,6;0;0,002253
"156";34,7;0;0,002028
"157";34,8;0;0,001825
"160";34,9;0;0,001642
"161";35;0;0,001478
"166";35,1;0;0,00133
"167";35,2;0;0,001197
"172";35,3;0;0,001078
"173";35,4;0;0,00097
"178";35,5;0;0,000873
"179";35,6;0;0,000785
"184";35,7;0;0,000707
"185";35,8;0;0,000636
"190";35,9;0;0,000573
"191";36;0;0,000515
"196";36,1;0;0,001238
"197";36,2;0;0,00257
"202";36,3;0;0,004366
"203";36,4;0;0,006506
"208";36,5;0;0,008889
"209";36,6;0;0,01143
"214";36,7;0;0,014059
"215";36,8;0;0,016721
"220";36,9;0;0,019368
"221";37;0;0,021964
"226";37,1;0;0,02448
"227";37,2;0;0,026893
"232";37,3;0;0,029186
"233";37,4;0;0,031347
"238";37,5;0;0,033367
"239";37,6;0;0,035242
"244";37,7;0;0,036968
"245";37,8;0;0,038546
"250";37,9;0;0,039977
"251";38;0;0,041263
"256";38,1;0;0,04241
"257";38,2;0;0,04342
"262";38,3;0;0,044302
"263";38,4;0;0,045059
"268";38,5;0;0,045698
"269";38,6;0;0,046226
"274";38,7;0;0,04665
"275";38,8;0;0,046975
"280";38,9;0;0,047208
"281";39;0;0,047356
"286";39,1;0;0,047424
"287";39,2;0;0,04742
"292";39,3;0;0,047347
"293";39,4;0;0,047212
"298";39,5;0;0,047021
"299";39,6;0;0,046777
"304";39,7;0;0,046486
"305";39,8;0;0,046152
"310";39,9;0;0,045779
"311";40;0;0,045371
"316";40,1;0;0,044932
"317";40,2;0;0,044466
"322";40,3;0;0,043974
"323";40,4;0;0,043462
