"";"time";"report_cell";"values"
"82";36;0;0,011
"83";36,1;0;0,0099
"86";36,2;0;0,00891
"87";36,3;0;0,008019
"90";36,4;0;0,007217
"91";36,5;0;0,006495
"94";36,6;0;0,005846
"95";36,7;0;0,005261
"98";36,8;0;0,004735
"99";36,9;0;0,004262
"102";37;0;0,003835
"103";37,1;0;0,003452
"106";37,2;0;0,003107
"107";37,3;0;0,002796
"110";37,4;0;0,002516
"111";37,5;0;0,002265
"114";37,6;0;0,002038
"115";37,7;0;0,001834
"118";37,8;0;0,001651
"119";37,9;0;0,001486
"122";38;0;0,001337
"123";38,1;0;0,001204
"126";38,2;0;0,001083
"127";38,3;0;0,000975
"130";38,4;0;0,000877
"131";38,5;0;0,00079
"134";38,6;0;0,000711
"135";38,7;0;0,00064
"138";38,8;0;0,000576
"139";38,9;0;0,000518
"142";39;0;0,000466
"143";39,1;0;0,00042
"146";39,2;0;0,000378
"147";39,3;0;0,00034
"150";39,4;0;0,000306
"151";39,5;0;0,000275
"154";39,6;0;0,000248
"155";39,7;0;0,000223
"158";39,8;0;0,000201
"159";39,9;0;0,000181
"162";40;0;0,000163
"164";40,1;0;0,000146
"168";40,2;0;0,000132
"170";40,3;0;0,000119
"174";40,4;0;0,000107
"176";40,5;0;9,6e-05
"180";40,6;0;8,6e-05
"182";40,7;0;7,8e-05
"186";40,8;0;7e-05
"188";40,9;0;6,3e-05
"192";41;0;5,7e-05
"194";41,1;0;0,000136
"198";41,2;0;0,000283
"200";41,3;0;0,00048
"204";41,4;0;0,000716
"206";41,5;0;0,000978
"210";41,6;0;0,001257
"212";41,7;0;0,001546
"216";41,8;0;0,001839
"218";41,9;0;0,00213
"222";42;0;0,002416
"224";42,1;0;0,002693
"228";42,2;0;0,002958
"230";42,3;0;0,00321
"234";42,4;0;0,003448
"236";42,5;0;0,00367
"240";42,6;0;0,003877
"242";42,7;0;0,004066
"246";42,8;0;0,00424
"248";42,9;0;0,004397
"252";43;0;0,004539
"254";43,1;0;0,004665
"258";43,2;0;0,004776
"260";43,3;0;0,004873
"264";43,4;0;0,004956
"266";43,5;0;0,005027
"270";43,6;0;0,005085
"272";43,7;0;0,005131
"276";43,8;0;0,005167
"278";43,9;0;0,005193
"282";44;0;0,005209
"284";44,1;0;0,005217
"288";44,2;0;0,005216
"290";44,3;0;0,005208
"294";44,4;0;0,005193
"296";44,5;0;0,005172
"300";44,6;0;0,005145
"302";44,7;0;0,005113
"306";44,8;0;0,005077
"308";44,9;0;0,005036
"312";45;0;0,004991
"314";45,1;0;0,004943
"318";45,2;0;0,004891
"320";45,3;0;0,004837
"324";45,4;0;0,004781
"326";45,5;0;0,004722
"330";45,6;0;0,004662
"332";45,7;0;0,0046
"336";45,8;0;0,004537
"338";45,9;0;0,004473
"342";46;0;0,004408
"344";46,1;0;0,004342
"348";46,2;0;0,004276
"350";46,3;0;0,004212
"354";46,4;0;0,004151
"356";46,5;0;0,004094
"360";46,6;0;0,004043
"362";46,7;0;0,004
"366";46,8;0;0,003966
"368";46,9;0;0,003942
"373";47;0;0,003929
"375";47,1;0;0,003929
"381";47,2;0;0,003942
"383";47,3;0;0,003969
"389";47,4;0;0,004009
"391";47,5;0;0,004063
"397";47,6;0;0,004131
"399";47,7;0;0,004213
"405";47,8;0;0,004308
"407";47,9;0;0,004416
"413";48;0;0,004537
"415";48,1;0;0,00467
"421";48,2;0;0,004813
"423";48,3;0;0,004967
"429";48,4;0;0,005131
"431";48,5;0;0,005303
"437";48,6;0;0,005483
"439";48,7;0;0,005671
"445";48,8;0;0,005865
"447";48,9;0;0,006064
"453";49;0;0,006268
"455";49,1;0;0,006475
"461";49,2;0;0,006686
"463";49,3;0;0,006898
"469";49,4;0;0,007112
"471";49,5;0;0,007327
"477";49,6;0;0,007542
"479";49,7;0;0,007756
"485";49,8;0;0,007969
"487";49,9;0;0,00818
"493";50;0;0,008389
"495";50,1;0;0,008596
"501";50,2;0;0,008798
"503";50,3;0;0,008998
"509";50,4;0;0,009193
"511";50,5;0;0,009384
"517";50,6;0;0,00957
"519";50,7;0;0,009751
"525";50,8;0;0,009927
"527";50,9;0;0,010097
"533";51;0;0,010262
"535";51,1;0;0,01042
"541";51,2;0;0,010573
"543";51,3;0;0,01072
"549";51,4;0;0,010861
"551";51,5;0;0,010995
"557";51,6;0;0,011124
"559";51,7;0;0,011246
"565";51,8;0;0,011362
"567";51,9;0;0,011472
"573";52;0;0,011577
"575";52,1;0;0,011677
"581";52,2;0;0,011773
"583";52,3;0;0,011864
"589";52,4;0;0,011951
"591";52,5;0;0,012035
"597";52,6;0;0,012116
"599";52,7;0;0,012196
"605";52,8;0;0,012274
"607";52,9;0;0,012352
"613";53;0;0,012431
"615";53,1;0;0,01251
"621";53,2;0;0,012591
"623";53,3;0;0,012675
"629";53,4;0;0,012762
"631";53,5;0;0,012853
"637";53,6;0;0,012948
"639";53,7;0;0,013049
"645";53,8;0;0,013155
"647";53,9;0;0,013269
"653";54;0;0,013389
"655";54,1;0;0,013516
"661";54,2;0;0,013652
"663";54,3;0;0,013797
"669";54,4;0;0,01395
"671";54,5;0;0,014112
"677";54,6;0;0,014283
"679";54,7;0;0,014464
"685";54,8;0;0,014655
"687";54,9;0;0,014856
"693";55;0;0,015066
"695";55,1;0;0,015287
"701";55,2;0;0,015518
"703";55,3;0;0,015758
"709";55,4;0;0,016008
"711";55,5;0;0,016268
"717";55,6;0;0,016537
"719";55,7;0;0,016816
"725";55,8;0;0,017103
"727";55,9;0;0,0174
"733";56;0;0,017704
"735";56,1;0;0,018017
"741";56,2;0;0,018337
"743";56,3;0;0,018665
"749";56,4;0;0,019
"751";56,5;0;0,019342
"757";56,6;0;0,019689
"759";56,7;0;0,020042
"765";56,8;0;0,020401
"767";56,9;0;0,020764
"773";57;0;0,021132
"775";57,1;0;0,021504
"781";57,2;0;0,021879
"783";57,3;0;0,022258
"789";57,4;0;0,022639
"791";57,5;0;0,023022
"797";57,6;0;0,023407
"799";57,7;0;0,023794
"805";57,8;0;0,024182
"807";57,9;0;0,024571
"813";58;0;0,02496
"815";58,1;0;0,02535
"821";58,2;0;0,02574
"823";58,3;0;0,02613
"829";58,4;0;0,02652
"831";58,5;0;0,02691
"837";58,6;0;0,027299
"839";58,7;0;0,027688
"845";58,8;0;0,028077
"847";58,9;0;0,028465
"853";59;0;0,028854
"855";59,1;0;0,029242
"861";59,2;0;0,029631
"863";59,3;0;0,030021
"869";59,4;0;0,030411
"871";59,5;0;0,030802
"877";59,6;0;0,031195
"879";59,7;0;0,03159
"885";59,8;0;0,031987
"887";59,9;0;0,032386
"893";60;0;0,032789
"895";60,1;0;0,033195
"901";60,2;0;0,033605
"903";60,3;0;0,03402
"909";60,4;0;0,03444
"911";60,5;0;0,034865
"917";60,6;0;0,035296
"919";60,7;0;0,035734
"925";60,8;0;0,036179
"927";60,9;0;0,036632
"933";61;0;0,037092
"935";61,1;0;0,037561
"941";61,2;0;0,038039
"943";61,3;0;0,038527
"949";61,4;0;0,039024
"951";61,5;0;0,039532
"957";61,6;0;0,040051
"959";61,7;0;0,04058
"965";61,8;0;0,041122
"967";61,9;0;0,041675
"973";62;0;0,04224
"975";62,1;0;0,042817
"981";62,2;0;0,043408
"983";62,3;0;0,044011
"989";62,4;0;0,044627
"991";62,5;0;0,045257
"997";62,6;0;0,0459
"999";62,7;0;0,046556
"1005";62,8;0;0,047227
"1007";62,9;0;0,04791
"1013";63;0;0,048608
"1015";63,1;0;0,049319
"1021";63,2;0;0,050044
"1023";63,3;0;0,050783
"1029";63,4;0;0,051535
"1031";63,5;0;0,052301
"1037";63,6;0;0,05308
"1039";63,7;0;0,053872
"1045";63,8;0;0,054677
"1047";63,9;0;0,055496
"1053";64;0;0,056327
"1055";64,1;0;0,057171
"1061";64,2;0;0,058027
"1063";64,3;0;0,058896
"1069";64,4;0;0,059777
"1071";64,5;0;0,060669
"1077";64,6;0;0,061574
"1079";64,7;0;0,06249
"1085";64,8;0;0,063417
"1087";64,9;0;0,064356
"1092";65;0;0,065306
"1095";65,1;0;0,066268
"1101";65,2;0;0,06724
"1103";65,3;0;0,068223
"1109";65,4;0;0,069217
"1111";65,5;0;0,070222
"1117";65,6;0;0,071238
"1119";65,7;0;0,072265
"1125";65,8;0;0,073303
"1127";65,9;0;0,074351
"1133";66;0;0,075411
"1135";66,1;0;0,076483
"1141";66,2;0;0,077565
"1143";66,3;0;0,078659
"1149";66,4;0;0,079765
"1151";66,5;0;0,080883
"1157";66,6;0;0,082014
"1159";66,7;0;0,083157
"1165";66,8;0;0,084313
"1167";66,9;0;0,085482
"1173";67;0;0,086665
"1175";67,1;0;0,087862
"1181";67,2;0;0,089074
"1183";67,3;0;0,0903
"1189";67,4;0;0,091542
"1191";67,5;0;0,0928
"1197";67,6;0;0,094074
"1199";67,7;0;0,095365
"1205";67,8;0;0,096673
"1207";67,9;0;0,098
"1213";68;0;0,099344
"1215";68,1;0;0,100708
"1221";68,2;0;0,102091
"1223";68,3;0;0,103494
"1229";68,4;0;0,104917
"1231";68,5;0;0,106362
"1237";68,6;0;0,107829
"1239";68,7;0;0,109317
"1245";68,8;0;0,110829
"1247";68,9;0;0,112363
"1253";69;0;0,113922
"1255";69,1;0;0,115505
"1261";69,2;0;0,117112
"1263";69,3;0;0,118745
"1269";69,4;0;0,120404
"1271";69,5;0;0,122089
"1277";69,6;0;0,1238
"1279";69,7;0;0,125539
"1285";69,8;0;0,127305
"1287";69,9;0;0,129099
"1293";70;0;0,130922
"1295";70,1;0;0,132267
"1301";70,2;0;0,133695
"1303";70,3;0;0,1352
"1309";70,4;0;0,136777
"1311";70,5;0;0,138423
"1317";70,6;0;0,140134
"1319";70,7;0;0,141906
"1325";70,8;0;0,143736
"1327";70,9;0;0,145623
"1333";71;0;0,147563
"1335";71,1;0;0,149555
"1341";71,2;0;0,151596
"1343";71,3;0;0,153686
"1349";71,4;0;0,155821
"1351";71,5;0;0,158003
"1357";71,6;0;0,160228
"1359";71,7;0;0,162496
"1365";71,8;0;0,164807
"1367";71,9;0;0,167159
"1373";72;0;0,169551
"1375";72,1;0;0,171985
"1381";72,2;0;0,174457
"1383";72,3;0;0,17697
"1389";72,4;0;0,179521
"1391";72,5;0;0,182112
"1397";72,6;0;0,184741
"1399";72,7;0;0,187409
"1405";72,8;0;0,190115
"1407";72,9;0;0,19286
"1413";73;0;0,195644
"1415";73,1;0;0,198466
"1421";73,2;0;0,201328
"1423";73,3;0;0,204229
"1429";73,4;0;0,207169
"1431";73,5;0;0,210149
"1437";73,6;0;0,21317
"1439";73,7;0;0,216231
"1445";73,8;0;0,219333
"1447";73,9;0;0,222476
"1453";74;0;0,225662
"1455";74,1;0;0,22889
"1461";74,2;0;0,232161
"1463";74,3;0;0,235476
"1469";74,4;0;0,238836
"1471";74,5;0;0,24224
"1477";74,6;0;0,245691
"1479";74,7;0;0,249187
"1485";74,8;0;0,252732
"1487";74,9;0;0,256324
"1493";75;0;0,259965
"1495";75,1;0;0,263656
"1501";75,2;0;0,267397
"1503";75,3;0;0,271186
"1509";75,4;0;0,275021
"1511";75,5;0;0,278899
"1517";75,6;0;0,282821
"1519";75,7;0;0,286785
"1525";75,8;0;0,290793
"1527";75,9;0;0,294845
"1533";76;0;0,298942
"1535";76,1;0;0,303085
"1541";76,2;0;0,307274
"1543";76,3;0;0,311513
"1549";76,4;0;0,315802
"1551";76,5;0;0,320142
"1557";76,6;0;0,324536
"1559";76,7;0;0,328986
"1565";76,8;0;0,333493
"1567";76,9;0;0,338059
"1573";77;0;0,342685
"1575";77,1;0;0,347374
"1581";77,2;0;0,352127
"1583";77,3;0;0,356947
"1589";77,4;0;0,361834
"1591";77,5;0;0,366791
"1597";77,6;0;0,371818
"1599";77,7;0;0,376918
"1605";77,8;0;0,382093
"1607";77,9;0;0,387343
"1613";78;0;0,392671
"1615";78,1;0;0,398077
"1621";78,2;0;0,403563
"1623";78,3;0;0,409131
"1629";78,4;0;0,414782
"1631";78,5;0;0,420517
"1637";78,6;0;0,426338
"1639";78,7;0;0,432246
"1645";78,8;0;0,438242
"1647";78,9;0;0,444328
"1653";79;0;0,450504
"1655";79,1;0;0,456773
"1661";79,2;0;0,463135
"1663";79,3;0;0,469591
"1669";79,4;0;0,476143
"1671";79,5;0;0,482792
"1677";79,6;0;0,48954
"1679";79,7;0;0,496387
"1685";79,8;0;0,503334
"1687";79,9;0;0,510384
"1693";80;0;0,517537
"1695";80,1;0;0,524795
"1701";80,2;0;0,532159
"1703";80,3;0;0,539629
"1709";80,4;0;0,547209
"1711";80,5;0;0,554898
"1717";80,6;0;0,562699
