"";"time";"report_cell";"values"
"1";36,1;0;8e-06
"2";36,2;0;2,2e-05
"3";36,3;0;4,1e-05
"4";36,4;0;6,4e-05
"5";36,5;0;8,9e-05
"6";36,6;0;0,000115
"7";36,7;0;0,000143
"8";36,8;0;0,00017
"9";36,9;0;0,000198
"10";37;0;0,000225
"11";37,1;0;0,000251
"12";37,2;0;0,000276
"13";37,3;0;3e-04
"14";37,4;0;0,000323
"15";37,5;0;0,000344
"16";37,6;0;0,000363
"17";37,7;0;0,000381
"18";37,8;0;0,000397
"19";37,9;0;0,000412
"20";38;0;0,000426
"21";38,1;0;0,000438
"22";38,2;0;0,000448
"23";38,3;0;0,000457
"24";38,4;0;0,000465
"25";38,5;0;0,000472
"26";38,6;0;0,000477
"27";38,7;0;0,000482
"28";38,8;0;0,000485
"29";38,9;0;0,000488
"30";39;0;0,000489
"31";39,1;0;0,00049
"32";39,2;0;0,00049
"33";39,3;0;0,000489
"34";39,4;0;0,000488
"35";39,5;0;0,000486
"36";39,6;0;0,000483
"37";39,7;0;0,00048
"38";39,8;0;0,000477
"39";39,9;0;0,000473
"40";40;0;0,000469
"41";40,1;0;0,000464
"42";40,2;0;0,000459
"43";40,3;0;0,000454
"44";40,4;0;0,000449
"45";40,5;0;0,000444
"46";40,6;0;0,000438
"47";40,7;0;0,000432
"48";40,8;0;0,000426
"49";40,9;0;0,00042
"50";41;0;0,000414
"51";41,1;0;0,000408
"52";41,2;0;0,000402
"53";41,3;0;0,000396
"54";41,4;0;0,00039
"55";41,5;0;0,000385
"56";41,6;0;0,00038
"57";41,7;0;0,000376
"58";41,8;0;0,000372
"59";41,9;0;0,00037
"60";42;0;0,000369
"61";42,1;0;0,000369
"62";42,2;0;0,00037
"63";42,3;0;0,000373
"64";42,4;0;0,000377
"65";42,5;0;0,000382
"66";42,6;0;0,000388
"67";42,7;0;0,000396
"68";42,8;0;0,000405
"69";42,9;0;0,000415
"70";43;0;0,000426
"71";43,1;0;0,000439
"72";43,2;0;0,000452
"73";43,3;0;0,000467
"74";43,4;0;0,000482
"75";43,5;0;0,000498
"76";43,6;0;0,000515
"77";43,7;0;0,000533
"78";43,8;0;0,000551
"79";43,9;0;0,00057
"80";44;0;0,000589
"81";44,1;0;0,000608
"82";44,2;0;0,000628
"83";44,3;0;0,000648
"84";44,4;0;0,000668
"85";44,5;0;0,000688
"86";44,6;0;0,000708
"87";44,7;0;0,000729
"88";44,8;0;0,000749
"89";44,9;0;0,000768
"90";45;0;0,000788
"91";45,1;0;0,000807
"92";45,2;0;0,000827
"93";45,3;0;0,000845
"94";45,4;0;0,000864
"95";45,5;0;0,000882
"96";45,6;0;0,000899
"97";45,7;0;0,000916
"98";45,8;0;0,000932
"99";45,9;0;0,000948
"100";46;0;0,000964
"101";46,1;0;0,000979
"102";46,2;0;0,000993
"103";46,3;0;0,001007
"104";46,4;0;0,00102
"105";46,5;0;0,001033
"106";46,6;0;0,001045
"107";46,7;0;0,001056
"108";46,8;0;0,001067
"109";46,9;0;0,001078
"110";47;0;0,001088
"111";47,1;0;0,001097
"112";47,2;0;0,001106
"113";47,3;0;0,001114
"114";47,4;0;0,001123
"115";47,5;0;0,001131
"116";47,6;0;0,001138
"117";47,7;0;0,001146
"118";47,8;0;0,001153
"119";47,9;0;0,00116
"120";48;0;0,001168
"121";48,1;0;0,001175
"122";48,2;0;0,001183
"123";48,3;0;0,001191
"124";48,4;0;0,001199
"125";48,5;0;0,001207
"126";48,6;0;0,001216
"127";48,7;0;0,001226
"128";48,8;0;0,001236
"129";48,9;0;0,001246
"130";49;0;0,001258
"131";49,1;0;0,00127
"132";49,2;0;0,001282
"133";49,3;0;0,001296
"134";49,4;0;0,00131
"135";49,5;0;0,001326
"136";49,6;0;0,001342
"137";49,7;0;0,001359
"138";49,8;0;0,001377
"139";49,9;0;0,001396
"140";50;0;0,001415
"141";50,1;0;0,001436
"142";50,2;0;0,001458
"143";50,3;0;0,00148
"144";50,4;0;0,001504
"145";50,5;0;0,001528
"146";50,6;0;0,001553
"147";50,7;0;0,00158
"148";50,8;0;0,001607
"149";50,9;0;0,001634
"150";51;0;0,001663
"151";51,1;0;0,001692
"152";51,2;0;0,001723
"153";51,3;0;0,001753
"154";51,4;0;0,001785
"155";51,5;0;0,001817
"156";51,6;0;0,00185
"157";51,7;0;0,001883
"158";51,8;0;0,001916
"159";51,9;0;0,001951
"160";52;0;0,001985
"161";52,1;0;0,00202
"162";52,2;0;0,002055
"163";52,3;0;0,002091
"164";52,4;0;0,002127
"165";52,5;0;0,002163
"166";52,6;0;0,002199
"167";52,7;0;0,002235
"168";52,8;0;0,002272
"169";52,9;0;0,002308
"170";53;0;0,002345
"171";53,1;0;0,002381
"172";53,2;0;0,002418
"173";53,3;0;0,002455
"174";53,4;0;0,002491
"175";53,5;0;0,002528
"176";53,6;0;0,002564
"177";53,7;0;0,002601
"178";53,8;0;0,002638
"179";53,9;0;0,002674
"180";54;0;0,002711
"181";54,1;0;0,002747
"182";54,2;0;0,002784
"183";54,3;0;0,00282
"184";54,4;0;0,002857
"185";54,5;0;0,002894
"186";54,6;0;0,00293
"187";54,7;0;0,002968
"188";54,8;0;0,003005
"189";54,9;0;0,003042
"190";55;0;0,00308
"191";55,1;0;0,003118
"192";55,2;0;0,003157
"193";55,3;0;0,003196
"194";55,4;0;0,003235
"195";55,5;0;0,003275
"196";55,6;0;0,003316
"197";55,7;0;0,003357
"198";55,8;0;0,003399
"199";55,9;0;0,003441
"200";56;0;0,003485
"201";56,1;0;0,003529
"202";56,2;0;0,003573
"203";56,3;0;0,003619
"204";56,4;0;0,003666
"205";56,5;0;0,003714
"206";56,6;0;0,003762
"207";56,7;0;0,003812
"208";56,8;0;0,003863
"209";56,9;0;0,003915
"210";57;0;0,003968
"211";57,1;0;0,004022
"212";57,2;0;0,004078
"213";57,3;0;0,004134
"214";57,4;0;0,004192
"215";57,5;0;0,004251
"216";57,6;0;0,004312
"217";57,7;0;0,004374
"218";57,8;0;0,004437
"219";57,9;0;0,004501
"220";58;0;0,004566
"221";58,1;0;0,004633
"222";58,2;0;0,004701
"223";58,3;0;0,004771
"224";58,4;0;0,004841
"225";58,5;0;0,004913
"226";58,6;0;0,004986
"227";58,7;0;0,005061
"228";58,8;0;0,005136
"229";58,9;0;0,005213
"230";59;0;0,005291
"231";59,1;0;0,005371
"232";59,2;0;0,005451
"233";59,3;0;0,005533
"234";59,4;0;0,005616
"235";59,5;0;0,005699
"236";59,6;0;0,005784
"237";59,7;0;0,00587
"238";59,8;0;0,005958
"239";59,9;0;0,006046
"240";60;0;0,006135
"241";60,1;0;0,006225
"242";60,2;0;0,006317
"243";60,3;0;0,006409
"244";60,4;0;0,006502
"245";60,5;0;0,006597
"246";60,6;0;0,006692
"247";60,7;0;0,006789
"248";60,8;0;0,006886
"249";60,9;0;0,006985
"250";61;0;0,007084
"251";61,1;0;0,007185
"252";61,2;0;0,007287
"253";61,3;0;0,007389
"254";61,4;0;0,007493
"255";61,5;0;0,007598
"256";61,6;0;0,007705
"257";61,7;0;0,007812
"258";61,8;0;0,007921
"259";61,9;0;0,00803
"260";62;0;0,008142
"261";62,1;0;0,008254
"262";62,2;0;0,008368
"263";62,3;0;0,008483
"264";62,4;0;0,0086
"265";62,5;0;0,008718
"266";62,6;0;0,008838
"267";62,7;0;0,008959
"268";62,8;0;0,009082
"269";62,9;0;0,009206
"270";63;0;0,009333
"271";63,1;0;0,009461
"272";63,2;0;0,009591
"273";63,3;0;0,009722
"274";63,4;0;0,009856
"275";63,5;0;0,009992
"276";63,6;0;0,01013
"277";63,7;0;0,01027
"278";63,8;0;0,010412
"279";63,9;0;0,010556
"280";64;0;0,010702
"281";64,1;0;0,010851
"282";64,2;0;0,011002
"283";64,3;0;0,011155
"284";64,4;0;0,011311
"285";64,5;0;0,011469
"286";64,6;0;0,01163
"287";64,7;0;0,011794
"288";64,8;0;0,01196
"289";64,9;0;0,012128
"290";65;0;0,012299
"291";65,1;0;0,012426
"292";65,2;0;0,01256
"293";65,3;0;0,012701
"294";65,4;0;0,012849
"295";65,5;0;0,013004
"296";65,6;0;0,013165
"297";65,7;0;0,013331
