"";"time";"report_cell";"values"
"1";398;0;1623,327571
"5";405;0;11503,161449
"9";412;0;14995,604837
"13";427;0;8013,433953
"17";436;0;2222,181803
"21";456;0;56873,110752
"25";484;0;56485,126151
"29";491;0;66931,999523
"33";505;0;102403,68568
"37";517;0;56466,890875
"41";533;0;124990,597224
"45";547;0;70650,249948
"49";561;0;115986,444591
"53";575;0;123774,459491
"57";582;0;96996,150301
"4";398;1;1261,682489
"8";405;1;8940,485963
"12";412;1;11654,882455
"16";427;1;6228,200316
"20";436;1;1727,123914
"24";456;1;44202,913311
"28";484;1;43901,363959
"32";491;1;52020,881811
"36";505;1;79590,182091
"40";517;1;43887,19114
"44";533;1;97145,179167
"48";547;1;54910,780026
"52";561;1;90146,972581
"56";575;1;96199,972723
"60";582;1;75387,337998
"2";398;2;263,642164
"6";405;2;1868,210968
"10";412;2;2435,41339
"14";427;2;1301,449629
"18";436;2;360,901169
"22";456;2;9236,675478
"26";484;2;9173,663489
"30";491;2;10870,324315
"34";505;2;16631,226952
"38";517;2;9170,701925
"42";533;2;20299,532927
"46";547;2;11474,199716
"50";561;2;18837,182183
"54";575;2;20102,021846
"58";582;2;15752,99735
"3";398;3;6564,954674
"7";405;3;46520,329503
"11";412;3;60644,239516
"15";427;3;32407,402923
"19";436;3;8986,8016
"23";456;3;230002,496603
"27";484;3;228433,434779
"31";491;3;270681,993465
"35";505;3;414134,255299
"39";517;3;228359,688873
"43";533;3;505478,758473
"47";547;3;285719,09746
"51";561;3;469064,756182
"55";575;3;500560,534184
"59";582;3;392265,45612
