"";"time";"report_cell";"values"
"1";0,1;0;1484787
"2";0,1;0;1484787
"12";0,1;0;1484787
"13";0,2;0;1484787
"23";0,2;0;1484787
"24";0,2;0;1484787
"26";0,3;0;1484787
"27";0,3;0;1484787
"34";0,3;0;1484787
"37";0,4;0;1484787
"47";0,4;0;1484787
"48";0,4;0;1484787
"50";0,5;0;1484787
"51";0,5;0;1484787
"58";0,5;0;1484787
"61";0,6;0;1484787
"71";0,6;0;1484787
"72";0,6;0;1484787
"74";0,7;0;1484787
"75";0,7;0;1484787
"82";0,7;0;1484787
"85";0,8;0;1484787
"95";0,8;0;1484787
"96";0,8;0;1484787
"98";0,9;0;1484787
"99";0,9;0;1484787
"106";0,9;0;1484787
"109";1;0;1484787
"119";1;0;1484787
"120";1;0;1484787
"122";1,1;0;1484787
"123";1,1;0;1484787
"130";1,1;0;1484787
"133";1,2;0;1484787
"143";1,2;0;1484787
"144";1,2;0;1484787
"146";1,3;0;1484787
"147";1,3;0;1484787
"154";1,3;0;1484787
"157";1,4;0;1484787
"167";1,4;0;1484787
"168";1,4;0;1484787
"170";1,5;0;1484787
"171";1,5;0;1484787
"178";1,5;0;1484787
"181";1,6;0;1484787
"191";1,6;0;1484787
"192";1,6;0;1484787
"194";1,7;0;1484787
"195";1,7;0;1484787
"202";1,7;0;1484787
"205";1,8;0;1484787
"215";1,8;0;1484787
"216";1,8;0;1484787
"218";1,9;0;1484787
"219";1,9;0;1484787
"226";1,9;0;1484787
"229";2;0;1484787
"239";2;0;1484787
"240";2;0;1484787
"242";2,1;0;1484787
"243";2,1;0;1484787
"250";2,1;0;1484787
"253";2,2;0;1484787
"263";2,2;0;1484787
"264";2,2;0;1484787
"266";2,3;0;1484787
"267";2,3;0;1484787
"274";2,3;0;1484787
"277";2,4;0;1484787
"287";2,4;0;1484787
"288";2,4;0;1484787
"290";2,5;0;1484787
"291";2,5;0;1484787
"298";2,5;0;1484787
"301";2,6;0;1484787
"311";2,6;0;1484787
"312";2,6;0;1484787
"314";2,7;0;1484787
"315";2,7;0;1484787
"322";2,7;0;1484787
"325";2,8;0;1484787
"335";2,8;0;1484787
"336";2,8;0;1484787
"338";2,9;0;1484787
"339";2,9;0;1484787
"346";2,9;0;1484787
"349";3;0;1484787
"359";3;0;1484787
"360";3;0;1484787
"362";3,1;0;1484787
"363";3,1;0;1484787
"370";3,1;0;1484787
"373";3,2;0;1484787
"383";3,2;0;1484787
"384";3,2;0;1484787
"386";3,3;0;1484787
"387";3,3;0;1484787
"394";3,3;0;1484787
"397";3,4;0;1484787
"407";3,4;0;1484787
"408";3,4;0;1484787
"410";3,5;0;1484787
"411";3,5;0;1484787
"418";3,5;0;1484787
"421";3,6;0;1484787
"431";3,6;0;1484787
"432";3,6;0;1484787
"434";3,7;0;1484787
"435";3,7;0;1484787
"442";3,7;0;1484787
"445";3,8;0;1484787
"455";3,8;0;1484787
"456";3,8;0;1484787
"458";3,9;0;1484787
"459";3,9;0;1484787
"466";3,9;0;1484787
"469";4;0;1484787
"479";4;0;1484787
"480";4;0;1484787
"482";4,1;0;1484787
"483";4,1;0;1484787
"490";4,1;0;1484787
"493";4,2;0;1484787
"503";4,2;0;1484787
"504";4,2;0;1484787
"506";4,3;0;1484787
"507";4,3;0;1484787
"514";4,3;0;1484787
"517";4,4;0;1484787
"527";4,4;0;1484787
"528";4,4;0;1484787
"530";4,5;0;1484787
"531";4,5;0;1484787
"538";4,5;0;1484787
"541";4,6;0;1484787
"551";4,6;0;1484787
"552";4,6;0;1484787
"554";4,7;0;1484787
"555";4,7;0;1484787
"562";4,7;0;1484787
"565";4,8;0;1484787
"575";4,8;0;1484787
"576";4,8;0;1484787
"578";4,9;0;1484787
"579";4,9;0;1484787
"586";4,9;0;1484787
"589";5;0;1484787
"599";5;0;1484787
"600";5;0;1484787
"602";5,1;0;1484787
"603";5,1;0;1484787
"610";5,1;0;1484787
"613";5,2;0;1484787
"623";5,2;0;1484787
"624";5,2;0;1484787
"626";5,3;0;1484787
"627";5,3;0;1484787
"634";5,3;0;1484787
"637";5,4;0;1484787
"647";5,4;0;1484787
"648";5,4;0;1484787
"650";5,5;0;1484787
"651";5,5;0;1484787
"658";5,5;0;1484787
"661";5,6;0;1484787
"671";5,6;0;1484787
"672";5,6;0;1484787
"674";5,7;0;1484787
"675";5,7;0;1484787
"682";5,7;0;1484787
"685";5,8;0;1484787
"695";5,8;0;1484787
"696";5,8;0;1484787
"698";5,9;0;1484787
"699";5,9;0;1484787
"706";5,9;0;1484787
"709";6;0;1484787
"719";6;0;1484787
"720";6;0;1484787
"722";6,1;0;1484787
"723";6,1;0;1484787
"730";6,1;0;1484787
"733";6,2;0;1484787
"743";6,2;0;1484787
"744";6,2;0;1484787
"746";6,3;0;1484787
"747";6,3;0;1484787
"754";6,3;0;1484787
"757";6,4;0;1484787
"767";6,4;0;1484787
"768";6,4;0;1484787
"770";6,5;0;1484787
"771";6,5;0;1484787
"778";6,5;0;1484787
"781";6,6;0;1484787
"791";6,6;0;1484787
"792";6,6;0;1484787
"794";6,7;0;1484787
"795";6,7;0;1484787
"802";6,7;0;1484787
"805";6,8;0;1484787
"815";6,8;0;1484787
"816";6,8;0;1484787
"818";6,9;0;1484787
"819";6,9;0;1484787
"826";6,9;0;1484787
"829";7;0;1484787
"839";7;0;1484787
"840";7;0;1484787
"842";7,1;0;1484787
"843";7,1;0;1484787
"850";7,1;0;1484787
"853";7,2;0;1484787
"863";7,2;0;1484787
"864";7,2;0;1484787
"866";7,3;0;1484787
"867";7,3;0;1484787
"874";7,3;0;1484787
"877";7,4;0;1484787
"887";7,4;0;1484787
"888";7,4;0;1484787
"890";7,5;0;1484787
"891";7,5;0;1484787
"898";7,5;0;1484787
"901";7,6;0;1484787
"911";7,6;0;1484787
"912";7,6;0;1484787
"914";7,7;0;1484787
"915";7,7;0;1484787
"922";7,7;0;1484787
"925";7,8;0;1484787
"935";7,8;0;1484787
"936";7,8;0;1484787
"938";7,9;0;1484787
"939";7,9;0;1484787
"946";7,9;0;1484787
"949";8;0;1484787
"959";8;0;1484787
"960";8;0;1484787
"962";8,1;0;1484787
"963";8,1;0;1484787
"970";8,1;0;1484787
"973";8,2;0;1484787
"983";8,2;0;1484787
"984";8,2;0;1484787
"986";8,3;0;1484787
"987";8,3;0;1484787
"994";8,3;0;1484787
"997";8,4;0;1484787
"1007";8,4;0;1484787
"1008";8,4;0;1484787
"1010";8,5;0;1484787
"1011";8,5;0;1484787
"1018";8,5;0;1484787
"1021";8,6;0;1484787
"1031";8,6;0;1484787
"1032";8,6;0;1484787
"1034";8,7;0;1484787
"1035";8,7;0;1484787
"1042";8,7;0;1484787
"1045";8,8;0;1484787
"1055";8,8;0;1484787
"1056";8,8;0;1484787
"1058";8,9;0;1484787
"1059";8,9;0;1484787
"1066";8,9;0;1484787
"1069";9;0;1484787
"1079";9;0;1484787
"1080";9;0;1484787
"1082";9,1;0;1484787
"1083";9,1;0;1484787
"1090";9,1;0;1484787
"1093";9,2;0;1484787
