"";"time";"report_cell";"values"
"1";0,1;0;0,395
"2";0,1;0;0,158
"12";0,1;0;0,79
"13";0,2;0;0,79
"23";0,2;0;0,395
"24";0,2;0;0,158
"26";0,3;0;0,395
"27";0,3;0;0,158
"34";0,3;0;0,79
"37";0,4;0;0,79
"47";0,4;0;0,395
"48";0,4;0;0,158
"50";0,5;0;0,395
"51";0,5;0;0,158
"58";0,5;0;0,79
"61";0,6;0;0,79
"71";0,6;0;0,395
"72";0,6;0;0,158
"74";0,7;0;0,395
"75";0,7;0;0,158
"82";0,7;0;0,79
"85";0,8;0;0,79
"95";0,8;0;0,395
"96";0,8;0;0,158
"98";0,9;0;0,395
"99";0,9;0;0,158
"106";0,9;0;0,79
"109";1;0;0,79
"119";1;0;0,395
"120";1;0;0,158
"122";1,1;0;0,395
"123";1,1;0;0,158
"130";1,1;0;0,79
"133";1,2;0;0,79
"143";1,2;0;0,395
"144";1,2;0;0,158
"146";1,3;0;0,395
"147";1,3;0;0,158
"154";1,3;0;0,79
"157";1,4;0;0,79
"167";1,4;0;0,395
"168";1,4;0;0,158
"170";1,5;0;0,395
"171";1,5;0;0,158
"178";1,5;0;0,79
"181";1,6;0;0,79
"191";1,6;0;0,395
"192";1,6;0;0,158
"194";1,7;0;0,395
"195";1,7;0;0,158
"202";1,7;0;0,79
"205";1,8;0;0,79
"215";1,8;0;0,395
"216";1,8;0;0,158
"218";1,9;0;0,395
"219";1,9;0;0,158
"226";1,9;0;0,79
"229";2;0;0,79
"239";2;0;0,395
"240";2;0;0,158
"242";2,1;0;0,395
"243";2,1;0;0,158
"250";2,1;0;0,79
"253";2,2;0;0,79
"263";2,2;0;0,395
"264";2,2;0;0,158
"266";2,3;0;0,395
"267";2,3;0;0,158
"274";2,3;0;0,79
"277";2,4;0;0,79
"287";2,4;0;0,395
"288";2,4;0;0,158
"290";2,5;0;0,395
"291";2,5;0;0,158
"298";2,5;0;0,79
"301";2,6;0;0,79
"311";2,6;0;0,395
"312";2,6;0;0,158
"314";2,7;0;0,395
"315";2,7;0;0,158
"322";2,7;0;0,79
"325";2,8;0;0,79
"335";2,8;0;0,395
"336";2,8;0;0,158
"338";2,9;0;0,395
"339";2,9;0;0,158
"346";2,9;0;0,79
"349";3;0;0,79
"359";3;0;0,395
"360";3;0;0,158
"362";3,1;0;0,395
"363";3,1;0;0,158
"370";3,1;0;0,79
"373";3,2;0;0,79
"383";3,2;0;0,395
"384";3,2;0;0,158
"386";3,3;0;0,395
"387";3,3;0;0,158
"394";3,3;0;0,79
"397";3,4;0;0,79
"407";3,4;0;0,395
"408";3,4;0;0,158
"410";3,5;0;0,395
"411";3,5;0;0,158
"418";3,5;0;0,79
"421";3,6;0;0,79
"431";3,6;0;0,395
"432";3,6;0;0,158
"434";3,7;0;0,395
"435";3,7;0;0,158
"442";3,7;0;0,79
"445";3,8;0;0,79
"455";3,8;0;0,395
"456";3,8;0;0,158
"458";3,9;0;0,395
"459";3,9;0;0,158
"466";3,9;0;0,79
"469";4;0;0,79
"479";4;0;0,395
"480";4;0;0,158
"482";4,1;0;0,395
"483";4,1;0;0,158
"490";4,1;0;0,79
"493";4,2;0;0,79
"503";4,2;0;0,395
"504";4,2;0;0,158
"506";4,3;0;0,395
"507";4,3;0;0,158
"514";4,3;0;0,79
"517";4,4;0;0,79
"527";4,4;0;0,395
"528";4,4;0;0,158
"530";4,5;0;0,395
"531";4,5;0;0,158
"538";4,5;0;0,79
"541";4,6;0;0,79
"551";4,6;0;0,395
"552";4,6;0;0,158
"554";4,7;0;0,395
"555";4,7;0;0,158
"562";4,7;0;0,79
"565";4,8;0;0,79
"575";4,8;0;0,395
"576";4,8;0;0,158
"578";4,9;0;0,395
"579";4,9;0;0,158
"586";4,9;0;0,79
"589";5;0;0,79
"599";5;0;0,395
"600";5;0;0,158
"602";5,1;0;0,395
"603";5,1;0;0,158
"610";5,1;0;0,79
"613";5,2;0;0,79
"623";5,2;0;0,395
"624";5,2;0;0,158
"626";5,3;0;0,395
"627";5,3;0;0,158
"634";5,3;0;0,79
"637";5,4;0;0,79
"647";5,4;0;0,395
"648";5,4;0;0,158
"650";5,5;0;0,395
"651";5,5;0;0,158
"658";5,5;0;0,79
"661";5,6;0;0,79
"671";5,6;0;0,395
"672";5,6;0;0,158
"674";5,7;0;0,395
"675";5,7;0;0,158
"682";5,7;0;0,79
"685";5,8;0;0,79
"695";5,8;0;0,395
"696";5,8;0;0,158
"698";5,9;0;0,395
"699";5,9;0;0,158
"706";5,9;0;0,79
"709";6;0;0,79
"719";6;0;0,395
"720";6;0;0,158
"722";6,1;0;0,395
"723";6,1;0;0,158
"730";6,1;0;0,79
"733";6,2;0;0,79
"743";6,2;0;0,395
"744";6,2;0;0,158
"746";6,3;0;0,395
"747";6,3;0;0,158
"754";6,3;0;0,79
"757";6,4;0;0,79
"767";6,4;0;0,395
"768";6,4;0;0,158
"770";6,5;0;0,395
