"";"datetimes";"values"
"1";2019-12-27;0
"2";2019-12-28;0
"3";2019-12-29;0
"4";2019-12-30;0
"5";2019-12-31;0
"6";2020-01-01;0
"7";2020-01-02;0
"8";2020-01-03;0
"9";2020-01-04;0
"10";2020-01-05;0
"11";2020-01-06;0
"12";2020-01-07;0
"13";2020-01-08;0
"14";2020-01-09;0
"15";2020-01-10;0
"16";2020-01-11;0
"17";2020-01-12;0
"18";2020-01-13;0
"19";2020-01-14;0
"20";2020-01-15;0
"21";2020-01-16;0
"22";2020-01-17;0
"23";2020-01-18;0
"24";2020-01-19;0
"25";2020-01-20;0
"26";2020-01-21;0
"27";2020-01-22;0
"28";2020-01-23;0
"29";2020-01-24;0
"30";2020-01-25;0
"31";2020-01-26;0
"32";2020-01-27;1e-06
"33";2020-01-28;1e-05
"34";2020-01-29;1e-05
"35";2020-01-30;1e-05
"36";2020-01-31;1,3e-05
"37";2020-02-01;2e-05
"38";2020-02-02;2,5e-05
"39";2020-02-03;3,3e-05
"40";2020-02-04;4,4e-05
"41";2020-02-05;5,5e-05
"42";2020-02-06;7,6e-05
"43";2020-02-07;1e-04
"44";2020-02-08;0,000133
"45";2020-02-09;0,000175
"46";2020-02-10;0,000235
"47";2020-02-11;0,00031
"48";2020-02-12;0,00041
"49";2020-02-13;0,000546
"50";2020-02-14;0,000722
"51";2020-02-15;0,000961
"52";2020-02-16;0,001276
"53";2020-02-17;0,001694
"54";2020-02-18;0,002247
"55";2020-02-19;0,002981
"56";2020-02-20;0,003955
"57";2020-02-21;0,005246
"58";2020-02-22;0,006963
"59";2020-02-23;0,009241
"60";2020-02-24;0,012268
"61";2020-02-25;0,016282
"62";2020-02-26;0,021602
"63";2020-02-27;0,028657
"64";2020-02-28;0,038022
"65";2020-02-29;0,050445
"66";2020-03-01;0,066933
"67";2020-03-02;0,08881
"68";2020-03-03;0,117827
"69";2020-03-04;0,156308
"70";2020-03-05;0,207347
"71";2020-03-06;0,275031
"72";2020-03-07;0,364789
"73";2020-03-08;0,483812
"74";2020-03-09;0,641621
"75";2020-03-10;0,850813
"76";2020-03-11;1,128068
"77";2020-03-12;1,495452
"78";2020-03-13;1,982158
"79";2020-03-14;2,626795
"80";2020-03-15;3,480375
"81";2020-03-16;1,425524
"82";2020-03-17;1,884583
"83";2020-03-18;2,495148
"84";2020-03-19;3,302325
"85";2020-03-20;4,368803
"86";2020-03-21;5,598496
"87";2020-03-22;6,273592
"88";2020-03-23;6,530854
"89";2020-03-24;6,66037
"90";2020-03-25;6,816975
"91";2020-03-26;7,086986
"92";2020-03-27;7,488736
"93";2020-03-28;7,935318
"94";2020-03-29;8,33631
"95";2020-03-30;8,655391
"96";2020-03-31;8,898526
"97";2020-04-01;9,09415
"98";2020-04-02;9,27494
"99";2020-04-03;9,458855
"100";2020-04-04;9,642776
"101";2020-04-05;9,814426
"102";2020-04-06;9,962903
"103";2020-04-07;10,083019
"104";2020-04-08;10,175743
"105";2020-04-09;10,24584
"106";2020-04-10;10,298472
"107";2020-04-11;10,337102
"108";2020-04-12;10,363121
"109";2020-04-13;10,376541
"110";2020-04-14;10,398188
"111";2020-04-15;10,364494
"112";2020-04-16;10,339582
"113";2020-04-17;10,303266
"114";2020-04-18;10,256677
"115";2020-04-19;10,236883
"116";2020-04-20;10,365459
"117";2020-04-21;6,765191
"118";2020-04-22;6,859199
"119";2020-04-23;6,943956
"120";2020-04-24;7,004032
"121";2020-04-25;7,044845
"122";2020-04-26;7,03265
"123";2020-04-27;6,817208
"124";2020-04-28;6,520823
"125";2020-04-29;6,234274
"126";2020-04-30;5,981872
"127";2020-05-01;5,765849
"128";2020-05-02;5,577968
"129";2020-05-03;5,400247
"130";2020-05-04;5,220393
"131";2020-05-05;5,03595
"132";2020-05-06;4,849598
"133";2020-05-07;4,665348
"134";2020-05-08;4,486462
"135";2020-05-09;4,314323
"136";2020-05-10;4,148628
"137";2020-05-11;3,988453
"138";2020-05-12;3,833
"139";2020-05-13;3,681872
"140";2020-05-14;3,53505
"141";2020-05-15;3,392701
"142";2020-05-16;3,255001
"143";2020-05-17;3,122018
"144";2020-05-18;2,993722
"145";2020-05-19;2,87
"146";2020-05-20;2,750729
